county,precinct,office,district,party,candidate,votes,election_day_paper_ballot,absentee,early_vote_ivo_machine,election_day_ivo_machine,early_vote_paper_ballot
Washington,FAY 02,Constable District 2,,DEM,Nickel Potter,2,0,0,0,2,0
Washington,FAY 03,Constable District 2,,DEM,Nickel Potter,2,0,1,0,1,0
Washington,FAY 04,Constable District 2,,DEM,Nickel Potter,1,0,0,1,0,0
Washington,FAY 05,Constable District 2,,DEM,Nickel Potter,4,0,1,0,2,1
Washington,FAY 06,Constable District 2,,DEM,Nickel Potter,4,0,3,0,1,0
Washington,FAY 07,Constable District 2,,DEM,Nickel Potter,3,0,0,0,3,0
Washington,FAY 08,Constable District 2,,DEM,Nickel Potter,3,0,0,0,3,0
Washington,FAY 09,Constable District 2,,DEM,Nickel Potter,5,0,1,1,2,1
Washington,FAY 12,Constable District 2,,DEM,Nickel Potter,1,0,1,0,0,0
Washington,FAY 13,Constable District 2,,DEM,Nickel Potter,0,0,0,0,0,0
Washington,FAY 14,Constable District 2,,DEM,Nickel Potter,1,0,0,0,0,1
Washington,FAY 15,Constable District 2,,DEM,Nickel Potter,2,0,1,0,0,1
Washington,FAY 17,Constable District 2,,DEM,Nickel Potter,5,0,0,0,5,0
Washington,FAY 18,Constable District 2,,DEM,Nickel Potter,3,0,0,0,2,1
Washington,FAY 19,Constable District 2,,DEM,Nickel Potter,5,0,2,0,3,0
Washington,FAY 21,Constable District 2,,DEM,Nickel Potter,0,0,0,0,0,0
Washington,FAY 22,Constable District 2,,DEM,Nickel Potter,2,0,0,0,2,0
Washington,FAY 23,Constable District 2,,DEM,Nickel Potter,0,0,0,0,0,0
Washington,FAY 24,Constable District 2,,DEM,Nickel Potter,2,0,1,0,1,0
Washington,FAY 25,Constable District 2,,DEM,Nickel Potter,4,0,0,0,3,1
Washington,FAY 28,Constable District 2,,DEM,Nickel Potter,2,0,2,0,0,0
Washington,FAY 29,Constable District 2,,DEM,Nickel Potter,0,0,0,0,0,0
Washington,FAY 30,Constable District 2,,DEM,Nickel Potter,0,0,0,0,0,0
Washington,FAY 31,Constable District 2,,DEM,Nickel Potter,1,0,0,0,1,0
Washington,FAY 34,Constable District 2,,DEM,Nickel Potter,0,0,0,0,0,0
Washington,FAY 35,Constable District 2,,DEM,Nickel Potter,1,0,0,0,0,1
Washington,FAY 36,Constable District 2,,DEM,Nickel Potter,2,0,0,0,2,0
Washington,FAY 42,Constable District 2,,DEM,Nickel Potter,3,0,2,0,1,0
Washington,FAY 44,Constable District 2,,DEM,Nickel Potter,0,0,0,0,0,0
Washington,FAY 45,Constable District 2,,DEM,Nickel Potter,0,0,0,0,0,0
Washington,PRAIRIE TWP 4,Constable District 2,,DEM,Nickel Potter,0,0,0,0,0,0
Washington,SPR 03,Constable District 2,,DEM,Nickel Potter,1,0,0,0,1,0
