county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee,provisional,hand_count
Arkansas,ALMYRA,Sheriff/Collector,,REP,Rick Newton,10,7,3,0,0,0
Arkansas,ALMYRA,Sheriff/Collector,,REP,Todd Wright,55,49,6,0,0,0
Arkansas,ALMYRA,U.S. President - DEM,,DEM,Hillary Clinton,5,4,1,0,0,0
Arkansas,ALMYRA,U.S. President - DEM,,DEM,Martin J. O'Malley,1,1,0,0,0,0
Arkansas,ALMYRA,U.S. President - REP,,REP,Ben Carson,2,1,1,0,0,0
Arkansas,ALMYRA,U.S. President - REP,,REP,Donald J. Trump,14,10,4,0,0,0
Arkansas,ALMYRA,U.S. President - REP,,REP,Jeb Bush,1,1,0,0,0,0
Arkansas,ALMYRA,U.S. President - REP,,REP,Marco Rubio,21,19,2,0,0,0
Arkansas,ALMYRA,U.S. President - REP,,REP,Mike Huckabee,1,1,0,0,0,0
Arkansas,ALMYRA,U.S. President - REP,,REP,Ted Cruz,25,23,2,0,0,0
Arkansas,ALMYRA,U.S. Senate - REP,,REP,Curtis Coleman,13,11,2,0,0,0
Arkansas,ALMYRA,U.S. Senate - REP,,REP,Senator John Boozman,47,40,7,0,0,0
Arkansas,ALMYRA,Unopposed Dem,,DEM,Vote for all Unopposed,3,2,1,0,0,0
Arkansas,ALMYRA,Unopposed Rep,,REP,Vote for all Unopposed,49,41,8,0,0,0
Arkansas,ARKANSAS,Sheriff/Collector,,REP,Rick Newton,5,4,1,0,0,0
Arkansas,ARKANSAS,Sheriff/Collector,,REP,Todd Wright,15,11,4,0,0,0
Arkansas,ARKANSAS,U.S. President - DEM,,DEM,Hillary Clinton,9,6,2,1,0,0
Arkansas,ARKANSAS,U.S. President - REP,,REP,Donald J. Trump,9,7,2,0,0,0
Arkansas,ARKANSAS,U.S. President - REP,,REP,Marco Rubio,2,0,2,0,0,0
Arkansas,ARKANSAS,U.S. President - REP,,REP,Mike Huckabee,1,1,0,0,0,0
Arkansas,ARKANSAS,U.S. President - REP,,REP,Ted Cruz,7,7,0,0,0,0
Arkansas,ARKANSAS,U.S. Senate - REP,,REP,Curtis Coleman,7,5,2,0,0,0
Arkansas,ARKANSAS,U.S. Senate - REP,,REP,Senator John Boozman,12,10,2,0,0,0
Arkansas,ARKANSAS,Unopposed Dem,,DEM,Vote for all Unopposed,3,1,1,1,0,0
Arkansas,ARKANSAS,Unopposed Rep,,REP,Vote for all Unopposed,18,13,5,0,0,0
Arkansas,BARTON,Sheriff/Collector,,REP,Rick Newton,12,6,6,0,0,0
Arkansas,BARTON,Sheriff/Collector,,REP,Todd Wright,29,14,14,1,0,0
Arkansas,BARTON,U.S. President - DEM,,DEM,Bernie Sanders,6,4,2,0,0,0
Arkansas,BARTON,U.S. President - DEM,,DEM,Hillary Clinton,5,3,2,0,0,0
Arkansas,BARTON,U.S. President - REP,,REP,Donald J. Trump,22,12,10,0,0,0
Arkansas,BARTON,U.S. President - REP,,REP,Gov. Chris Christie,1,0,1,0,0,0
Arkansas,BARTON,U.S. President - REP,,REP,Jeb Bush,1,0,1,0,0,0
Arkansas,BARTON,U.S. President - REP,,REP,John R. Kasich,2,1,0,1,0,0
Arkansas,BARTON,U.S. President - REP,,REP,Marco Rubio,8,4,4,0,0,0
Arkansas,BARTON,U.S. President - REP,,REP,Ted Cruz,7,3,4,0,0,0
Arkansas,BARTON,U.S. Senate - REP,,REP,Curtis Coleman,11,6,5,0,0,0
Arkansas,BARTON,U.S. Senate - REP,,REP,Senator John Boozman,26,12,13,1,0,0
Arkansas,BARTON,Unopposed Dem,,DEM,Vote for all Unopposed,8,5,3,0,0,0
Arkansas,BARTON,Unopposed Rep,,REP,Vote for all Unopposed,30,13,16,1,0,0
Arkansas,BAYOU METO,Sheriff/Collector,,REP,Rick Newton,11,3,8,0,0,0
Arkansas,BAYOU METO,Sheriff/Collector,,REP,Todd Wright,53,20,33,0,0,0
Arkansas,BAYOU METO,U.S. President - DEM,,DEM,Bernie Sanders,1,0,1,0,0,0
Arkansas,BAYOU METO,U.S. President - DEM,,DEM,Hillary Clinton,3,2,1,0,0,0
Arkansas,BAYOU METO,U.S. President - REP,,REP,Ben Carson,1,0,1,0,0,0
Arkansas,BAYOU METO,U.S. President - REP,,REP,Donald J. Trump,22,8,14,0,0,0
Arkansas,BAYOU METO,U.S. President - REP,,REP,Jeb Bush,2,1,1,0,0,0
Arkansas,BAYOU METO,U.S. President - REP,,REP,John R. Kasich,4,1,3,0,0,0
Arkansas,BAYOU METO,U.S. President - REP,,REP,Marco Rubio,20,8,12,0,0,0
Arkansas,BAYOU METO,U.S. President - REP,,REP,Ted Cruz,13,5,8,0,0,0
Arkansas,BAYOU METO,U.S. Senate - REP,,REP,Curtis Coleman,7,2,5,0,0,0
Arkansas,BAYOU METO,U.S. Senate - REP,,REP,Senator John Boozman,53,19,34,0,0,0
Arkansas,BAYOU METO,Unopposed Dem,,DEM,Vote for all Unopposed,2,1,1,0,0,0
Arkansas,BAYOU METO,Unopposed Rep,,REP,Vote for all Unopposed,45,18,27,0,0,0
Arkansas,BREWER,Sheriff/Collector,,REP,Rick Newton,2,1,1,0,0,0
Arkansas,BREWER,Sheriff/Collector,,REP,Todd Wright,6,4,2,0,0,0
Arkansas,BREWER,U.S. President - DEM,,DEM,Bernie Sanders,2,2,0,0,0,0
Arkansas,BREWER,U.S. President - DEM,,DEM,Hillary Clinton,2,1,1,0,0,0
Arkansas,BREWER,U.S. President - REP,,REP,Donald J. Trump,5,3,2,0,0,0
Arkansas,BREWER,U.S. President - REP,,REP,Marco Rubio,1,1,0,0,0,0
Arkansas,BREWER,U.S. President - REP,,REP,Ted Cruz,3,1,2,0,0,0
Arkansas,BREWER,U.S. Senate - REP,,REP,Curtis Coleman,2,1,1,0,0,0
Arkansas,BREWER,U.S. Senate - REP,,REP,Senator John Boozman,6,4,2,0,0,0
Arkansas,BREWER,Unopposed Dem,,DEM,Vote for all Unopposed,1,0,1,0,0,0
Arkansas,BREWER,Unopposed Rep,,REP,Vote for all Unopposed,4,3,1,0,0,0
Arkansas,CHESTER,Sheriff/Collector,,REP,Rick Newton,4,2,2,0,0,0
Arkansas,CHESTER,Sheriff/Collector,,REP,Todd Wright,43,31,12,0,0,0
Arkansas,CHESTER,U.S. President - DEM,,DEM,Bernie Sanders,2,0,0,2,0,0
Arkansas,CHESTER,U.S. President - DEM,,DEM,Hillary Clinton,5,5,0,0,0,0
Arkansas,CHESTER,U.S. President - REP,,REP,Ben Carson,2,2,0,0,0,0
Arkansas,CHESTER,U.S. President - REP,,REP,Donald J. Trump,18,12,6,0,0,0
Arkansas,CHESTER,U.S. President - REP,,REP,John R. Kasich,1,0,1,0,0,0
Arkansas,CHESTER,U.S. President - REP,,REP,Marco Rubio,22,17,5,0,0,0
Arkansas,CHESTER,U.S. President - REP,,REP,Ted Cruz,5,3,2,0,0,0
Arkansas,CHESTER,U.S. Senate - REP,,REP,Curtis Coleman,6,2,4,0,0,0
Arkansas,CHESTER,U.S. Senate - REP,,REP,Senator John Boozman,39,30,9,0,0,0
Arkansas,CHESTER,Unopposed Dem,,DEM,Vote for all Unopposed,5,4,0,1,0,0
Arkansas,CHESTER,Unopposed Rep,,REP,Vote for all Unopposed,39,28,11,0,0,0
Arkansas,CROCKETT,Sheriff/Collector,,REP,Rick Newton,1,0,1,0,0,0
Arkansas,CROCKETT,Sheriff/Collector,,REP,Todd Wright,20,11,9,0,0,0
Arkansas,CROCKETT,U.S. President - DEM,,DEM,Bernie Sanders,1,0,1,0,0,0
Arkansas,CROCKETT,U.S. President - DEM,,DEM,Hillary Clinton,8,4,2,2,0,0
Arkansas,CROCKETT,U.S. President - REP,,REP,Donald J. Trump,9,3,6,0,0,0
Arkansas,CROCKETT,U.S. President - REP,,REP,Gov. Chris Christie,2,1,1,0,0,0
Arkansas,CROCKETT,U.S. President - REP,,REP,Marco Rubio,6,4,2,0,0,0
Arkansas,CROCKETT,U.S. President - REP,,REP,Ted Cruz,2,2,0,0,0,0
Arkansas,CROCKETT,U.S. Senate - REP,,REP,Curtis Coleman,2,2,0,0,0,0
Arkansas,CROCKETT,U.S. Senate - REP,,REP,Senator John Boozman,18,8,10,0,0,0
Arkansas,CROCKETT,Unopposed Dem,,DEM,Vote for all Unopposed,6,2,2,2,0,0
Arkansas,CROCKETT,Unopposed Rep,,REP,Vote for all Unopposed,16,9,7,0,0,0
Arkansas,DEWITT WARD 1,Sheriff/Collector,,REP,Rick Newton,4,2,2,0,0,0
Arkansas,DEWITT WARD 1,Sheriff/Collector,,REP,Todd Wright,40,15,25,0,0,0
Arkansas,DEWITT WARD 1,U.S. President - DEM,,DEM,Bernie Sanders,5,3,2,0,0,0
Arkansas,DEWITT WARD 1,U.S. President - DEM,,DEM,Hillary Clinton,55,34,21,0,0,0
Arkansas,DEWITT WARD 1,U.S. President - REP,,REP,Ben Carson,2,0,2,0,0,0
Arkansas,DEWITT WARD 1,U.S. President - REP,,REP,Carly Fiorina,1,1,0,0,0,0
Arkansas,DEWITT WARD 1,U.S. President - REP,,REP,Donald J. Trump,18,5,13,0,0,0
Arkansas,DEWITT WARD 1,U.S. President - REP,,REP,Gov. Chris Christie,1,0,1,0,0,0
Arkansas,DEWITT WARD 1,U.S. President - REP,,REP,Jeb Bush,1,0,1,0,0,0
Arkansas,DEWITT WARD 1,U.S. President - REP,,REP,Marco Rubio,6,4,2,0,0,0
Arkansas,DEWITT WARD 1,U.S. President - REP,,REP,Mike Huckabee,5,1,4,0,0,0
Arkansas,DEWITT WARD 1,U.S. President - REP,,REP,Ted Cruz,6,2,4,0,0,0
Arkansas,DEWITT WARD 1,U.S. Senate - REP,,REP,Curtis Coleman,9,4,5,0,0,0
Arkansas,DEWITT WARD 1,U.S. Senate - REP,,REP,Senator John Boozman,28,11,17,0,0,0
Arkansas,DEWITT WARD 1,Unopposed Dem,,DEM,Vote for all Unopposed,23,14,9,0,0,0
Arkansas,DEWITT WARD 1,Unopposed Rep,,REP,Vote for all Unopposed,26,12,14,0,0,0
Arkansas,DEWITT WARD 2,Sheriff/Collector,,REP,Rick Newton,12,7,5,0,0,0
Arkansas,DEWITT WARD 2,Sheriff/Collector,,REP,Todd Wright,170,87,83,0,0,0
Arkansas,DEWITT WARD 2,U.S. President - DEM,,DEM,Bernie Sanders,3,3,0,0,0,0
Arkansas,DEWITT WARD 2,U.S. President - DEM,,DEM,Hillary Clinton,27,9,18,0,0,0
Arkansas,DEWITT WARD 2,U.S. President - DEM,,DEM,"Roque ""Rocky"" De La Fuente",1,1,0,0,0,0
Arkansas,DEWITT WARD 2,U.S. President - REP,,REP,Ben Carson,7,7,0,0,0,0
Arkansas,DEWITT WARD 2,U.S. President - REP,,REP,Carly Fiorina,1,1,0,0,0,0
Arkansas,DEWITT WARD 2,U.S. President - REP,,REP,Donald J. Trump,78,39,39,0,0,0
Arkansas,DEWITT WARD 2,U.S. President - REP,,REP,Gov. Chris Christie,1,0,1,0,0,0
Arkansas,DEWITT WARD 2,U.S. President - REP,,REP,Jeb Bush,3,2,1,0,0,0
Arkansas,DEWITT WARD 2,U.S. President - REP,,REP,Lindsey Graham,1,1,0,0,0,0
Arkansas,DEWITT WARD 2,U.S. President - REP,,REP,Marco Rubio,38,18,20,0,0,0
Arkansas,DEWITT WARD 2,U.S. President - REP,,REP,Mike Huckabee,9,4,5,0,0,0
Arkansas,DEWITT WARD 2,U.S. President - REP,,REP,Ted Cruz,36,23,13,0,0,0
Arkansas,DEWITT WARD 2,U.S. Senate - REP,,REP,Curtis Coleman,37,25,12,0,0,0
Arkansas,DEWITT WARD 2,U.S. Senate - REP,,REP,Senator John Boozman,128,65,63,0,0,0
Arkansas,DEWITT WARD 2,Unopposed Dem,,DEM,Vote for all Unopposed,14,8,6,0,0,0
Arkansas,DEWITT WARD 2,Unopposed Rep,,REP,Vote for all Unopposed,125,76,49,0,0,0
Arkansas,DEWITT WARD 3,Sheriff/Collector,,REP,Rick Newton,33,18,15,0,0,0
Arkansas,DEWITT WARD 3,Sheriff/Collector,,REP,Todd Wright,196,76,119,1,0,0
Arkansas,DEWITT WARD 3,U.S. President - DEM,,DEM,Bernie Sanders,7,3,4,0,0,0
Arkansas,DEWITT WARD 3,U.S. President - DEM,,DEM,Hillary Clinton,25,11,14,0,0,0
Arkansas,DEWITT WARD 3,U.S. President - DEM,,DEM,"Roque ""Rocky"" De La Fuente",1,0,1,0,0,0
Arkansas,DEWITT WARD 3,U.S. President - REP,,REP,Ben Carson,14,10,4,0,0,0
Arkansas,DEWITT WARD 3,U.S. President - REP,,REP,Donald J. Trump,84,31,52,1,0,0
Arkansas,DEWITT WARD 3,U.S. President - REP,,REP,Gov. Chris Christie,2,0,2,0,0,0
Arkansas,DEWITT WARD 3,U.S. President - REP,,REP,Jeb Bush,3,1,2,0,0,0
Arkansas,DEWITT WARD 3,U.S. President - REP,,REP,John R. Kasich,8,5,3,0,0,0
Arkansas,DEWITT WARD 3,U.S. President - REP,,REP,Marco Rubio,62,28,34,0,0,0
Arkansas,DEWITT WARD 3,U.S. President - REP,,REP,Mike Huckabee,7,4,3,0,0,0
Arkansas,DEWITT WARD 3,U.S. President - REP,,REP,Ted Cruz,44,14,30,0,0,0
Arkansas,DEWITT WARD 3,U.S. Senate - REP,,REP,Curtis Coleman,41,14,27,0,0,0
Arkansas,DEWITT WARD 3,U.S. Senate - REP,,REP,Senator John Boozman,173,72,100,1,0,0
Arkansas,DEWITT WARD 3,Unopposed Dem,,DEM,Vote for all Unopposed,23,11,12,0,0,0
Arkansas,DEWITT WARD 3,Unopposed Rep,,REP,Vote for all Unopposed,176,80,96,0,0,0
Arkansas,GARLAND,Sheriff/Collector,,REP,Rick Newton,12,8,4,0,0,0
Arkansas,GARLAND,Sheriff/Collector,,REP,Todd Wright,21,15,5,1,0,0
Arkansas,GARLAND,U.S. President - DEM,,DEM,Hillary Clinton,3,2,1,0,0,0
Arkansas,GARLAND,U.S. President - REP,,REP,Ben Carson,1,1,0,0,0,0
Arkansas,GARLAND,U.S. President - REP,,REP,Donald J. Trump,14,9,4,1,0,0
