county,precinct,office,district,party,candidate,votes,early_vote,provisional_vote,absentee,election_day
Crawford,# 1,U.S. Senate,,DEM,Natalie James,466,371,0,5,90
Crawford,# 2,U.S. Senate,,DEM,Natalie James,237,110,0,23,104
Crawford,# 3,U.S. Senate,,DEM,Natalie James,194,101,0,8,85
Crawford,# 4,U.S. Senate,,DEM,Natalie James,289,163,0,4,122
Crawford,# 5 no school VB city,U.S. Senate,,DEM,Natalie James,247,154,0,8,85
Crawford,# 6 no school VB city,U.S. Senate,,DEM,Natalie James,163,89,0,5,69
Crawford,# 7,U.S. Senate,,DEM,Natalie James,138,64,0,3,71
Crawford,# 8,U.S. Senate,,DEM,Natalie James,195,128,0,6,61
Crawford,# 9,U.S. Senate,,DEM,Natalie James,225,123,0,6,96
Crawford,# 10,U.S. Senate,,DEM,Natalie James,241,156,0,3,82
Crawford,# 11,U.S. Senate,,DEM,Natalie James,245,166,0,7,72
Crawford,# 12,U.S. Senate,,DEM,Natalie James,206,92,0,7,107
Crawford,# 13,U.S. Senate,,DEM,Natalie James,279,112,0,9,158
Crawford,# 1,U.S. Senate,,LIB,Kenneth Cates,109,58,0,0,51
Crawford,# 2,U.S. Senate,,LIB,Kenneth Cates,60,19,0,1,40
Crawford,# 3,U.S. Senate,,LIB,Kenneth Cates,48,17,0,0,31
Crawford,# 4,U.S. Senate,,LIB,Kenneth Cates,48,21,0,0,27
Crawford,# 5 no school VB city,U.S. Senate,,LIB,Kenneth Cates,46,21,0,0,25
Crawford,# 6 no school VB city,U.S. Senate,,LIB,Kenneth Cates,29,16,0,0,13
Crawford,# 7,U.S. Senate,,LIB,Kenneth Cates,29,7,0,0,22
Crawford,# 8,U.S. Senate,,LIB,Kenneth Cates,40,17,0,0,23
Crawford,# 9,U.S. Senate,,LIB,Kenneth Cates,43,19,0,0,24
Crawford,# 10,U.S. Senate,,LIB,Kenneth Cates,60,31,0,0,29
Crawford,# 11,U.S. Senate,,LIB,Kenneth Cates,43,21,0,1,21
Crawford,# 12,U.S. Senate,,LIB,Kenneth Cates,55,25,0,0,30
Crawford,# 13,U.S. Senate,,LIB,Kenneth Cates,50,14,0,0,36
Crawford,# 1,U.S. Senate,,REP,Senator John Boozman,2246,1401,0,14,831
Crawford,# 2,U.S. Senate,,REP,Senator John Boozman,1238,564,0,22,652
Crawford,# 3,U.S. Senate,,REP,Senator John Boozman,776,409,0,18,349
Crawford,# 4,U.S. Senate,,REP,Senator John Boozman,1007,475,0,19,513
Crawford,# 5 no school VB city,U.S. Senate,,REP,Senator John Boozman,909,464,0,29,416
Crawford,# 6 no school VB city,U.S. Senate,,REP,Senator John Boozman,428,226,0,14,188
Crawford,# 7,U.S. Senate,,REP,Senator John Boozman,597,254,0,7,336
