county,precinct,office,district,party,candidate,votes,provisional,early_voting,absentee,election_day
Calhoun,Bearden,U.S. Senate,,REP,Senator John Boozman,238,1,32,2,203
Calhoun,JP District 4,U.S. Senate,,REP,Senator John Boozman,107,1,59,3,44
Calhoun,JP Dist 4 - Harrell City,U.S. Senate,,REP,Senator John Boozman,64,1,37,0,26
Calhoun,Hampton Alderman,U.S. Senate,,REP,Senator John Boozman,221,1,135,3,82
Calhoun,Countywide,U.S. Senate,,REP,Senator John Boozman,639,3,291,5,340
Calhoun,Bearden,U.S. Senate,,LIB,Kenneth Cates,7,0,0,0,7
Calhoun,JP District 4,U.S. Senate,,LIB,Kenneth Cates,4,1,2,0,1
Calhoun,JP Dist 4 - Harrell City,U.S. Senate,,LIB,Kenneth Cates,1,0,1,0,0
Calhoun,Hampton Alderman,U.S. Senate,,LIB,Kenneth Cates,7,0,2,0,5
Calhoun,Countywide,U.S. Senate,,LIB,Kenneth Cates,14,0,10,0,4
Calhoun,Bearden,U.S. Senate,,DEM,Natalie James,53,0,8,0,45
Calhoun,JP District 4,U.S. Senate,,DEM,Natalie James,24,0,16,0,8
Calhoun,JP Dist 4 - Harrell City,U.S. Senate,,DEM,Natalie James,24,1,11,0,12
Calhoun,Hampton Alderman,U.S. Senate,,DEM,Natalie James,104,1,74,2,27
Calhoun,Countywide,U.S. Senate,,DEM,Natalie James,76,2,45,3,26
Calhoun,Bearden,U.S. Congress District 04,,DEM,John White,58,0,8,0,50
Calhoun,JP District 4,U.S. Congress District 04,,DEM,John White,25,1,15,0,9
Calhoun,JP Dist 4 - Harrell City,U.S. Congress District 04,,DEM,John White,22,1,10,0,11
Calhoun,Hampton Alderman,U.S. Congress District 04,,DEM,John White,105,1,71,4,29
Calhoun,Countywide,U.S. Congress District 04,,DEM,John White,76,2,50,3,21
Calhoun,Bearden,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,232,1,32,2,197
Calhoun,JP District 4,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,106,1,59,3,43
Calhoun,JP Dist 4 - Harrell City,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,63,1,37,0,25
Calhoun,Hampton Alderman,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,216,1,134,1,80
Calhoun,Countywide,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,640,3,290,5,342
Calhoun,Bearden,U.S. Congress District 04,,LIB,Gregory Maxwell,4,0,0,0,4
Calhoun,JP District 4,U.S. Congress District 04,,LIB,Gregory Maxwell,2,0,2,0,0
Calhoun,JP Dist 4 - Harrell City,U.S. Congress District 04,,LIB,Gregory Maxwell,2,0,1,0,1
Calhoun,Hampton Alderman,U.S. Congress District 04,,LIB,Gregory Maxwell,8,0,4,0,4
Calhoun,Countywide,U.S. Congress District 04,,LIB,Gregory Maxwell,15,0,8,0,7
Calhoun,Bearden,Attorney General,,DEM,Jesse Gibson,58,0,8,0,50
Calhoun,JP District 4,Attorney General,,DEM,Jesse Gibson,29,1,19,0,9
Calhoun,JP Dist 4 - Harrell City,Attorney General,,DEM,Jesse Gibson,24,1,12,0,11
Calhoun,Hampton Alderman,Attorney General,,DEM,Jesse Gibson,113,0,76,4,33
Calhoun,Countywide,Attorney General,,DEM,Jesse Gibson,76,2,51,3,20
Calhoun,Bearden,Attorney General,,REP,Lieutenant Governor Tim Griffin,245,1,32,10,202
Calhoun,JP District 4,Attorney General,,REP,Lieutenant Governor Tim Griffin,106,1,58,3,44
Calhoun,JP Dist 4 - Harrell City,Attorney General,,REP,Lieutenant Governor Tim Griffin,64,1,37,0,26
Calhoun,Hampton Alderman,Attorney General,,REP,Lieutenant Governor Tim Griffin,217,2,133,1,81
Calhoun,Countywide,Attorney General,,REP,Lieutenant Governor Tim Griffin,652,3,295,5,349
Calhoun,Bearden,Auditor of State,,DEM,Diamond Arnold-Johnson,61,0,8,0,53
Calhoun,JP District 4,Auditor of State,,DEM,Diamond Arnold-Johnson,26,1,16,0,9
