county,precinct,office,district,party,candidate,votes,early_vote,absentee,election_day
Woodruff,Augusta-01,U.S. Senate,,DEM,Natalie James,116,74,3,39
Woodruff,Augusta-02,U.S. Senate,,DEM,Natalie James,127,67,2,58
Woodruff,Augusta-03,U.S. Senate,,DEM,Natalie James,81,41,1,39
Woodruff,North Rural Augusta-04,U.S. Senate,,DEM,Natalie James,10,3,0,7
Woodruff,South Rural Augusta-05,U.S. Senate,,DEM,Natalie James,8,5,0,3
Woodruff,Gregory-06,U.S. Senate,,DEM,Natalie James,9,3,0,6
Woodruff,Cotton Plant/Freeman-07,U.S. Senate,,DEM,Natalie James,5,1,0,4
Woodruff,Cotton Plant-08,U.S. Senate,,DEM,Natalie James,58,11,0,47
Woodruff,Cotton Plant-09,U.S. Senate,,DEM,Natalie James,41,6,1,34
Woodruff,Rural Hunter-10,U.S. Senate,,DEM,Natalie James,4,2,0,2
Woodruff,Hunter-11,U.S. Senate,,DEM,Natalie James,2,0,0,2
Woodruff,Howell-12,U.S. Senate,,DEM,Natalie James,10,5,0,5
Woodruff,Hilleman-13,U.S. Senate,,DEM,Natalie James,3,0,0,3
Woodruff,Morton-14,U.S. Senate,,DEM,Natalie James,5,1,0,4
Woodruff,McCrory Rural-15,U.S. Senate,,DEM,Natalie James,13,4,0,9
Woodruff,Patterson-16,U.S. Senate,,DEM,Natalie James,13,5,0,8
Woodruff,McCrory-17,U.S. Senate,,DEM,Natalie James,85,29,5,51
Woodruff,McCrory-18,U.S. Senate,,DEM,Natalie James,27,8,0,19
Woodruff,Pumkin Bend-19,U.S. Senate,,DEM,Natalie James,15,6,0,9
Woodruff,Fakes Chapel-20,U.S. Senate,,DEM,Natalie James,1,0,0,1
Woodruff,Augusta-01,U.S. Senate,,LIB,Kenneth Cates,6,3,0,3
Woodruff,Augusta-02,U.S. Senate,,LIB,Kenneth Cates,6,2,0,4
Woodruff,Augusta-03,U.S. Senate,,LIB,Kenneth Cates,6,2,0,4
Woodruff,North Rural Augusta-04,U.S. Senate,,LIB,Kenneth Cates,3,3,0,0
Woodruff,South Rural Augusta-05,U.S. Senate,,LIB,Kenneth Cates,1,1,0,0
Woodruff,Gregory-06,U.S. Senate,,LIB,Kenneth Cates,1,0,0,1
Woodruff,Cotton Plant/Freeman-07,U.S. Senate,,LIB,Kenneth Cates,0,0,0,0
Woodruff,Cotton Plant-08,U.S. Senate,,LIB,Kenneth Cates,6,0,0,6
Woodruff,Cotton Plant-09,U.S. Senate,,LIB,Kenneth Cates,10,0,0,10
Woodruff,Rural Hunter-10,U.S. Senate,,LIB,Kenneth Cates,0,0,0,0
Woodruff,Hunter-11,U.S. Senate,,LIB,Kenneth Cates,1,0,0,1
