county,precinct,office,district,party,candidate,votes,absentee,election_day,early_voting
Baxter,1,U.S. Senate,,REP,Senator John Boozman,1267,21,554,692
Baxter,2,U.S. Senate,,REP,Senator John Boozman,1300,25,459,816
Baxter,3,U.S. Senate,,REP,Senator John Boozman,1243,14,357,872
Baxter,4,U.S. Senate,,REP,Senator John Boozman,952,18,303,631
Baxter,5,U.S. Senate,,REP,Senator John Boozman,700,12,262,426
Baxter,6,U.S. Senate,,REP,Senator John Boozman,1042,32,318,692
Baxter,7,U.S. Senate,,REP,Senator John Boozman,1111,34,322,755
Baxter,8,U.S. Senate,,REP,Senator John Boozman,1171,32,363,776
Baxter,9,U.S. Senate,,REP,Senator John Boozman,1259,20,503,736
Baxter,10,U.S. Senate,,REP,Senator John Boozman,891,19,413,459
Baxter,11,U.S. Senate,,REP,Senator John Boozman,1271,11,698,562
Baxter,1,U.S. Senate,,DEM,Natalie James,263,14,117,132
Baxter,2,U.S. Senate,,DEM,Natalie James,250,9,55,186
Baxter,3,U.S. Senate,,DEM,Natalie James,274,7,64,203
Baxter,4,U.S. Senate,,DEM,Natalie James,254,17,61,176
Baxter,5,U.S. Senate,,DEM,Natalie James,283,17,85,181
Baxter,6,U.S. Senate,,DEM,Natalie James,270,15,55,200
Baxter,7,U.S. Senate,,DEM,Natalie James,302,14,64,224
Baxter,8,U.S. Senate,,DEM,Natalie James,248,15,54,179
Baxter,9,U.S. Senate,,DEM,Natalie James,297,17,91,189
Baxter,10,U.S. Senate,,DEM,Natalie James,204,14,68,122
Baxter,11,U.S. Senate,,DEM,Natalie James,295,5,127,163
Baxter,1,U.S. Senate,,LIB,Kenneth Cates,46,1,26,19
Baxter,2,U.S. Senate,,LIB,Kenneth Cates,40,0,16,24
Baxter,3,U.S. Senate,,LIB,Kenneth Cates,42,0,12,30
Baxter,4,U.S. Senate,,LIB,Kenneth Cates,29,0,15,14
Baxter,5,U.S. Senate,,LIB,Kenneth Cates,49,0,22,27
Baxter,6,U.S. Senate,,LIB,Kenneth Cates,37,1,12,24
Baxter,7,U.S. Senate,,LIB,Kenneth Cates,31,0,12,19
Baxter,8,U.S. Senate,,LIB,Kenneth Cates,44,1,16,27
Baxter,9,U.S. Senate,,LIB,Kenneth Cates,40,0,14,26
Baxter,10,U.S. Senate,,LIB,Kenneth Cates,36,2,15,19
Baxter,11,U.S. Senate,,LIB,Kenneth Cates,49,0,27,22
Baxter,1,U.S. Congress District 01,,REP,Congressman Rick Crawford,1281,21,565,695
Baxter,2,U.S. Congress District 01,,REP,Congressman Rick Crawford,1324,25,472,827
Baxter,3,U.S. Congress District 01,,REP,Congressman Rick Crawford,1267,14,366,887
Baxter,4,U.S. Congress District 01,,REP,Congressman Rick Crawford,960,18,313,629
Baxter,5,U.S. Congress District 01,,REP,Congressman Rick Crawford,731,13,282,436
Baxter,6,U.S. Congress District 01,,REP,Congressman Rick Crawford,1035,32,313,690
Baxter,7,U.S. Congress District 01,,REP,Congressman Rick Crawford,1100,32,321,747
Baxter,8,U.S. Congress District 01,,REP,Congressman Rick Crawford,1192,29,373,790
Baxter,9,U.S. Congress District 01,,REP,Congressman Rick Crawford,1277,19,507,751
Baxter,10,U.S. Congress District 01,,REP,Congressman Rick Crawford,901,19,415,467
Baxter,11,U.S. Congress District 01,,REP,Congressman Rick Crawford,1305,11,714,580
Baxter,1,U.S. Congress District 01,,DEM,Representative Monte Hodges,270,14,124,132
Baxter,2,U.S. Congress District 01,,DEM,Representative Monte Hodges,261,9,57,195
Baxter,3,U.S. Congress District 01,,DEM,Representative Monte Hodges,288,7,65,216
Baxter,4,U.S. Congress District 01,,DEM,Representative Monte Hodges,258,17,62,179
Baxter,5,U.S. Congress District 01,,DEM,Representative Monte Hodges,290,16,88,186
Baxter,6,U.S. Congress District 01,,DEM,Representative Monte Hodges,299,16,66,217
Baxter,7,U.S. Congress District 01,,DEM,Representative Monte Hodges,324,15,74,235
Baxter,8,U.S. Congress District 01,,DEM,Representative Monte Hodges,268,19,58,191
Baxter,9,U.S. Congress District 01,,DEM,Representative Monte Hodges,306,18,95,193
Baxter,10,U.S. Congress District 01,,DEM,Representative Monte Hodges,224,16,78,130
Baxter,11,U.S. Congress District 01,,DEM,Representative Monte Hodges,301,5,131,165
Baxter,1,Governor,,DEM,Chris Jones,274,14,122,138
