county,precinct,office,district,party,candidate,votes,early_vote,absentee,election_day
Ouachita,001_Camden,U.S. Senate,,DEM,Natalie James,428,323,14,91
Ouachita,002_Camden,U.S. Senate,,DEM,Natalie James,330,249,10,71
Ouachita,003_Camden,U.S. Senate,,DEM,Natalie James,420,283,27,110
Ouachita,004_Camden,U.S. Senate,,DEM,Natalie James,318,229,9,80
Ouachita,005_Bearden,U.S. Senate,,DEM,Natalie James,109,38,1,70
Ouachita,006_Chidester,U.S. Senate,,DEM,Natalie James,55,14,2,39
Ouachita,007_East Camden,U.S. Senate,,DEM,Natalie James,57,35,2,20
Ouachita,008_Louann,U.S. Senate,,DEM,Natalie James,12,2,0,10
Ouachita,009_Stephens,U.S. Senate,,DEM,Natalie James,128,50,2,76
Ouachita,010_County 001,U.S. Senate,,DEM,Natalie James,105,58,1,46
Ouachita,011_County 002,U.S. Senate,,DEM,Natalie James,75,49,1,25
Ouachita,012_County 003,U.S. Senate,,DEM,Natalie James,128,72,8,48
Ouachita,013_County 004,U.S. Senate,,DEM,Natalie James,140,94,7,39
Ouachita,014_County 005,U.S. Senate,,DEM,Natalie James,185,90,7,88
Ouachita,015_County 007,U.S. Senate,,DEM,Natalie James,78,55,2,21
Ouachita,016_County 008,U.S. Senate,,DEM,Natalie James,27,19,2,6
Ouachita,017_County 010,U.S. Senate,,DEM,Natalie James,0,0,0,0
Ouachita,018_County 011,U.S. Senate,,DEM,Natalie James,68,56,2,10
Ouachita,001_Camden,U.S. Senate,,LIB,Kenneth Cates,24,8,0,16
Ouachita,002_Camden,U.S. Senate,,LIB,Kenneth Cates,12,7,1,4
Ouachita,003_Camden,U.S. Senate,,LIB,Kenneth Cates,9,4,0,5
Ouachita,004_Camden,U.S. Senate,,LIB,Kenneth Cates,24,13,0,11
Ouachita,005_Bearden,U.S. Senate,,LIB,Kenneth Cates,4,0,0,4
Ouachita,006_Chidester,U.S. Senate,,LIB,Kenneth Cates,1,0,0,1
Ouachita,007_East Camden,U.S. Senate,,LIB,Kenneth Cates,3,2,0,1
Ouachita,008_Louann,U.S. Senate,,LIB,Kenneth Cates,1,0,0,1
Ouachita,009_Stephens,U.S. Senate,,LIB,Kenneth Cates,4,0,0,4
Ouachita,010_County 001,U.S. Senate,,LIB,Kenneth Cates,9,4,0,5
Ouachita,011_County 002,U.S. Senate,,LIB,Kenneth Cates,13,7,0,6
Ouachita,012_County 003,U.S. Senate,,LIB,Kenneth Cates,21,6,0,15
Ouachita,013_County 004,U.S. Senate,,LIB,Kenneth Cates,9,6,0,3
Ouachita,014_County 005,U.S. Senate,,LIB,Kenneth Cates,18,9,0,9
Ouachita,015_County 007,U.S. Senate,,LIB,Kenneth Cates,9,4,0,5
Ouachita,016_County 008,U.S. Senate,,LIB,Kenneth Cates,0,0,0,0
Ouachita,017_County 010,U.S. Senate,,LIB,Kenneth Cates,1,1,0,0
Ouachita,018_County 011,U.S. Senate,,LIB,Kenneth Cates,6,5,0,1
Ouachita,001_Camden,U.S. Senate,,REP,Senator John Boozman,449,324,14,111
Ouachita,002_Camden,U.S. Senate,,REP,Senator John Boozman,107,72,3,32
Ouachita,003_Camden,U.S. Senate,,REP,Senator John Boozman,124,68,3,53
Ouachita,004_Camden,U.S. Senate,,REP,Senator John Boozman,593,404,13,176
Ouachita,005_Bearden,U.S. Senate,,REP,Senator John Boozman,108,28,2,78
Ouachita,006_Chidester,U.S. Senate,,REP,Senator John Boozman,44,4,0,40
Ouachita,007_East Camden,U.S. Senate,,REP,Senator John Boozman,115,43,2,70
Ouachita,008_Louann,U.S. Senate,,REP,Senator John Boozman,24,6,2,16
Ouachita,009_Stephens,U.S. Senate,,REP,Senator John Boozman,75,21,2,52
Ouachita,010_County 001,U.S. Senate,,REP,Senator John Boozman,286,140,3,143
Ouachita,011_County 002,U.S. Senate,,REP,Senator John Boozman,418,174,4,240
Ouachita,012_County 003,U.S. Senate,,REP,Senator John Boozman,575,316,12,247
Ouachita,013_County 004,U.S. Senate,,REP,Senator John Boozman,289,162,5,122
Ouachita,014_County 005,U.S. Senate,,REP,Senator John Boozman,388,178,5,205
Ouachita,015_County 007,U.S. Senate,,REP,Senator John Boozman,328,222,7,99
Ouachita,016_County 008,U.S. Senate,,REP,Senator John Boozman,9,5,0,4
Ouachita,017_County 010,U.S. Senate,,REP,Senator John Boozman,18,9,1,8
Ouachita,018_County 011,U.S. Senate,,REP,Senator John Boozman,213,149,8,56
Ouachita,001_Camden,U.S. Congress District 04,,DEM,John White,406,303,14,89
Ouachita,002_Camden,U.S. Congress District 04,,DEM,John White,329,245,10,74
Ouachita,003_Camden,U.S. Congress District 04,,DEM,John White,414,286,26,102
Ouachita,004_Camden,U.S. Congress District 04,,DEM,John White,305,217,9,79
Ouachita,005_Bearden,U.S. Congress District 04,,DEM,John White,105,38,1,66
Ouachita,006_Chidester,U.S. Congress District 04,,DEM,John White,51,14,2,35
Ouachita,007_East Camden,U.S. Congress District 04,,DEM,John White,51,31,1,19
Ouachita,008_Louann,U.S. Congress District 04,,DEM,John White,12,2,0,10
Ouachita,009_Stephens,U.S. Congress District 04,,DEM,John White,122,47,1,74
Ouachita,010_County 001,U.S. Congress District 04,,DEM,John White,103,59,1,43
Ouachita,011_County 002,U.S. Congress District 04,,DEM,John White,76,47,2,27
Ouachita,012_County 003,U.S. Congress District 04,,DEM,John White,122,72,7,43
Ouachita,013_County 004,U.S. Congress District 04,,DEM,John White,133,89,7,37
Ouachita,014_County 005,U.S. Congress District 04,,DEM,John White,183,91,7,85
Ouachita,015_County 007,U.S. Congress District 04,,DEM,John White,70,51,3,16
Ouachita,016_County 008,U.S. Congress District 04,,DEM,John White,30,21,2,7
Ouachita,017_County 010,U.S. Congress District 04,,DEM,John White,0,0,0,0
Ouachita,018_County 011,U.S. Congress District 04,,DEM,John White,71,56,2,13
Ouachita,001_Camden,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,464,334,14,116
Ouachita,002_Camden,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,103,70,4,29
Ouachita,003_Camden,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,118,60,4,54
Ouachita,004_Camden,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,603,409,13,181
Ouachita,005_Bearden,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,104,25,2,77
Ouachita,006_Chidester,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,47,4,0,43
Ouachita,007_East Camden,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,117,47,2,68
Ouachita,008_Louann,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,24,6,2,16
Ouachita,009_Stephens,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,76,22,2,52
Ouachita,010_County 001,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,288,138,3,147
Ouachita,011_County 002,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,424,181,3,240
Ouachita,012_County 003,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,581,313,13,255
Ouachita,013_County 004,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,288,161,5,122
Ouachita,014_County 005,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,387,176,5,206
Ouachita,015_County 007,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,327,220,6,101
Ouachita,016_County 008,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,7,5,0,2
Ouachita,017_County 010,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,18,9,1,8
Ouachita,018_County 011,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,209,149,7,53
Ouachita,001_Camden,U.S. Congress District 04,,LIB,Gregory Maxwell,25,13,0,12
Ouachita,002_Camden,U.S. Congress District 04,,LIB,Gregory Maxwell,17,12,0,5
Ouachita,003_Camden,U.S. Congress District 04,,LIB,Gregory Maxwell,15,6,0,9
Ouachita,004_Camden,U.S. Congress District 04,,LIB,Gregory Maxwell,19,13,0,6
Ouachita,005_Bearden,U.S. Congress District 04,,LIB,Gregory Maxwell,9,2,0,7
Ouachita,006_Chidester,U.S. Congress District 04,,LIB,Gregory Maxwell,1,0,0,1
Ouachita,007_East Camden,U.S. Congress District 04,,LIB,Gregory Maxwell,4,1,0,3
Ouachita,008_Louann,U.S. Congress District 04,,LIB,Gregory Maxwell,1,0,0,1
Ouachita,009_Stephens,U.S. Congress District 04,,LIB,Gregory Maxwell,6,2,1,3
Ouachita,010_County 001,U.S. Congress District 04,,LIB,Gregory Maxwell,6,4,0,2
Ouachita,011_County 002,U.S. Congress District 04,,LIB,Gregory Maxwell,7,4,0,3
Ouachita,012_County 003,U.S. Congress District 04,,LIB,Gregory Maxwell,14,4,0,10
Ouachita,013_County 004,U.S. Congress District 04,,LIB,Gregory Maxwell,11,7,0,4
Ouachita,014_County 005,U.S. Congress District 04,,LIB,Gregory Maxwell,17,8,0,9
Ouachita,015_County 007,U.S. Congress District 04,,LIB,Gregory Maxwell,11,5,0,6
Ouachita,016_County 008,U.S. Congress District 04,,LIB,Gregory Maxwell,0,0,0,0
Ouachita,017_County 010,U.S. Congress District 04,,LIB,Gregory Maxwell,0,0,0,0
Ouachita,018_County 011,U.S. Congress District 04,,LIB,Gregory Maxwell,7,5,1,1
Ouachita,001_Camden,Attorney General,,DEM,Jesse Gibson,427,317,13,97
Ouachita,002_Camden,Attorney General,,DEM,Jesse Gibson,341,254,10,77
Ouachita,003_Camden,Attorney General,,DEM,Jesse Gibson,421,282,27,112
Ouachita,004_Camden,Attorney General,,DEM,Jesse Gibson,327,237,9,81
Ouachita,005_Bearden,Attorney General,,DEM,Jesse Gibson,107,39,1,67
Ouachita,006_Chidester,Attorney General,,DEM,Jesse Gibson,52,13,2,37
Ouachita,007_East Camden,Attorney General,,DEM,Jesse Gibson,57,34,2,21
Ouachita,008_Louann,Attorney General,,DEM,Jesse Gibson,12,2,0,10
Ouachita,009_Stephens,Attorney General,,DEM,Jesse Gibson,125,50,2,73
Ouachita,010_County 001,Attorney General,,DEM,Jesse Gibson,105,60,1,44
Ouachita,011_County 002,Attorney General,,DEM,Jesse Gibson,77,49,2,26
Ouachita,012_County 003,Attorney General,,DEM,Jesse Gibson,138,77,8,53
Ouachita,013_County 004,Attorney General,,DEM,Jesse Gibson,146,101,7,38
Ouachita,014_County 005,Attorney General,,DEM,Jesse Gibson,202,95,7,100
Ouachita,015_County 007,Attorney General,,DEM,Jesse Gibson,73,50,3,20
Ouachita,016_County 008,Attorney General,,DEM,Jesse Gibson,28,20,2,6
Ouachita,017_County 010,Attorney General,,DEM,Jesse Gibson,0,0,0,0
Ouachita,018_County 011,Attorney General,,DEM,Jesse Gibson,71,60,2,9
Ouachita,001_Camden,Attorney General,,REP,Lieutenant Governor Tim Griffin,472,338,15,119
Ouachita,002_Camden,Attorney General,,REP,Lieutenant Governor Tim Griffin,111,75,4,32
Ouachita,003_Camden,Attorney General,,REP,Lieutenant Governor Tim Griffin,122,63,3,56
Ouachita,004_Camden,Attorney General,,REP,Lieutenant Governor Tim Griffin,600,402,13,185
Ouachita,005_Bearden,Attorney General,,REP,Lieutenant Governor Tim Griffin,113,27,2,84
Ouachita,006_Chidester,Attorney General,,REP,Lieutenant Governor Tim Griffin,46,5,0,41
Ouachita,007_East Camden,Attorney General,,REP,Lieutenant Governor Tim Griffin,116,44,2,70
Ouachita,008_Louann,Attorney General,,REP,Lieutenant Governor Tim Griffin,25,6,2,17
Ouachita,009_Stephens,Attorney General,,REP,Lieutenant Governor Tim Griffin,79,21,2,56
Ouachita,010_County 001,Attorney General,,REP,Lieutenant Governor Tim Griffin,297,144,3,150
Ouachita,011_County 002,Attorney General,,REP,Lieutenant Governor Tim Griffin,430,183,3,244
Ouachita,012_County 003,Attorney General,,REP,Lieutenant Governor Tim Griffin,581,314,12,255
Ouachita,013_County 004,Attorney General,,REP,Lieutenant Governor Tim Griffin,293,163,5,125
Ouachita,014_County 005,Attorney General,,REP,Lieutenant Governor Tim Griffin,384,178,5,201
Ouachita,015_County 007,Attorney General,,REP,Lieutenant Governor Tim Griffin,340,229,6,105
Ouachita,016_County 008,Attorney General,,REP,Lieutenant Governor Tim Griffin,8,5,0,3
Ouachita,017_County 010,Attorney General,,REP,Lieutenant Governor Tim Griffin,19,10,1,8
Ouachita,018_County 011,Attorney General,,REP,Lieutenant Governor Tim Griffin,216,150,8,58
Ouachita,001_Camden,Auditor of State,,REP,Treasurer of State Dennis Milligan,453,326,13,114
Ouachita,002_Camden,Auditor of State,,REP,Treasurer of State Dennis Milligan,102,69,4,29
Ouachita,003_Camden,Auditor of State,,REP,Treasurer of State Dennis Milligan,113,58,4,51
Ouachita,004_Camden,Auditor of State,,REP,Treasurer of State Dennis Milligan,599,409,13,177
Ouachita,005_Bearden,Auditor of State,,REP,Treasurer of State Dennis Milligan,111,29,2,80
Ouachita,006_Chidester,Auditor of State,,REP,Treasurer of State Dennis Milligan,43,4,0,39
Ouachita,007_East Camden,Auditor of State,,REP,Treasurer of State Dennis Milligan,113,44,2,67
Ouachita,008_Louann,Auditor of State,,REP,Treasurer of State Dennis Milligan,25,6,2,17
Ouachita,009_Stephens,Auditor of State,,REP,Treasurer of State Dennis Milligan,77,22,1,54
Ouachita,010_County 001,Auditor of State,,REP,Treasurer of State Dennis Milligan,295,144,3,148
Ouachita,011_County 002,Auditor of State,,REP,Treasurer of State Dennis Milligan,428,181,3,244
Ouachita,012_County 003,Auditor of State,,REP,Treasurer of State Dennis Milligan,583,317,12,254
Ouachita,013_County 004,Auditor of State,,REP,Treasurer of State Dennis Milligan,295,166,5,124
Ouachita,014_County 005,Auditor of State,,REP,Treasurer of State Dennis Milligan,389,178,5,206
Ouachita,015_County 007,Auditor of State,,REP,Treasurer of State Dennis Milligan,336,225,6,105
Ouachita,016_County 008,Auditor of State,,REP,Treasurer of State Dennis Milligan,8,5,0,3
Ouachita,017_County 010,Auditor of State,,REP,Treasurer of State Dennis Milligan,18,9,1,8
Ouachita,018_County 011,Auditor of State,,REP,Treasurer of State Dennis Milligan,206,148,8,50
Ouachita,001_Camden,Auditor of State,,DEM,Diamond Arnold-Johnson,413,309,14,90
Ouachita,002_Camden,Auditor of State,,DEM,Diamond Arnold-Johnson,333,250,10,73
Ouachita,003_Camden,Auditor of State,,DEM,Diamond Arnold-Johnson,423,289,26,108
Ouachita,004_Camden,Auditor of State,,DEM,Diamond Arnold-Johnson,299,210,9,80
Ouachita,005_Bearden,Auditor of State,,DEM,Diamond Arnold-Johnson,105,37,1,67
Ouachita,006_Chidester,Auditor of State,,DEM,Diamond Arnold-Johnson,50,13,2,35
Ouachita,007_East Camden,Auditor of State,,DEM,Diamond Arnold-Johnson,56,34,2,20
Ouachita,008_Louann,Auditor of State,,DEM,Diamond Arnold-Johnson,12,2,0,10
Ouachita,009_Stephens,Auditor of State,,DEM,Diamond Arnold-Johnson,126,47,2,77
Ouachita,010_County 001,Auditor of State,,DEM,Diamond Arnold-Johnson,98,55,1,42
Ouachita,011_County 002,Auditor of State,,DEM,Diamond Arnold-Johnson,72,47,1,24
Ouachita,012_County 003,Auditor of State,,DEM,Diamond Arnold-Johnson,117,69,8,40
Ouachita,013_County 004,Auditor of State,,DEM,Diamond Arnold-Johnson,135,89,7,39
Ouachita,014_County 005,Auditor of State,,DEM,Diamond Arnold-Johnson,185,91,7,87
Ouachita,015_County 007,Auditor of State,,DEM,Diamond Arnold-Johnson,68,51,3,14
Ouachita,016_County 008,Auditor of State,,DEM,Diamond Arnold-Johnson,29,20,2,7
Ouachita,017_County 010,Auditor of State,,DEM,Diamond Arnold-Johnson,0,0,0,0
Ouachita,018_County 011,Auditor of State,,DEM,Diamond Arnold-Johnson,70,56,2,12
Ouachita,001_Camden,Auditor of State,,LIB,Simeon Snow,25,13,0,12
Ouachita,002_Camden,Auditor of State,,LIB,Simeon Snow,14,7,0,7
Ouachita,003_Camden,Auditor of State,,LIB,Simeon Snow,13,5,0,8
Ouachita,004_Camden,Auditor of State,,LIB,Simeon Snow,27,19,0,8
Ouachita,005_Bearden,Auditor of State,,LIB,Simeon Snow,5,0,0,5
Ouachita,006_Chidester,Auditor of State,,LIB,Simeon Snow,5,0,0,5
Ouachita,007_East Camden,Auditor of State,,LIB,Simeon Snow,4,1,0,3
Ouachita,008_Louann,Auditor of State,,LIB,Simeon Snow,0,0,0,0
Ouachita,009_Stephens,Auditor of State,,LIB,Simeon Snow,3,2,0,1
Ouachita,010_County 001,Auditor of State,,LIB,Simeon Snow,9,5,0,4
