county,precinct,office,district,party,candidate,votes,early_vote,absentee,election_day
Columbia,Columbia North,U.S. Senate,,LIB,Kenneth Cates,19,10,0,9
Columbia,Columbia South,U.S. Senate,,LIB,Kenneth Cates,10,7,0,3
Columbia,Mag Ward 1,U.S. Senate,,LIB,Kenneth Cates,10,2,1,7
Columbia,Mag Ward 2,U.S. Senate,,LIB,Kenneth Cates,10,6,0,4
Columbia,Mag Ward 3,U.S. Senate,,LIB,Kenneth Cates,10,7,0,3
Columbia,Mag Ward 4,U.S. Senate,,LIB,Kenneth Cates,20,15,0,5
Columbia,McNeil Township,U.S. Senate,,LIB,Kenneth Cates,13,6,0,7
Columbia,McNeil City,U.S. Senate,,LIB,Kenneth Cates,1,0,0,1
Columbia,Waldo Township,U.S. Senate,,LIB,Kenneth Cates,5,4,0,1
Columbia,Waldo City,U.S. Senate,,LIB,Kenneth Cates,8,3,0,5
Columbia,Emerson Township,U.S. Senate,,LIB,Kenneth Cates,6,4,0,2
Columbia,Emerson City,U.S. Senate,,LIB,Kenneth Cates,5,0,0,5
Columbia,Taylor Township,U.S. Senate,,LIB,Kenneth Cates,4,0,1,3
Columbia,Taylor City,U.S. Senate,,LIB,Kenneth Cates,3,2,0,1
Columbia,Columbia North,U.S. Senate,,DEM,Natalie James,148,115,15,18
Columbia,Columbia South,U.S. Senate,,DEM,Natalie James,242,163,8,71
Columbia,Mag Ward 1,U.S. Senate,,DEM,Natalie James,224,137,13,74
Columbia,Mag Ward 2,U.S. Senate,,DEM,Natalie James,308,213,13,82
Columbia,Mag Ward 3,U.S. Senate,,DEM,Natalie James,119,73,5,41
Columbia,Mag Ward 4,U.S. Senate,,DEM,Natalie James,175,109,10,56
Columbia,McNeil Township,U.S. Senate,,DEM,Natalie James,88,42,5,41
Columbia,McNeil City,U.S. Senate,,DEM,Natalie James,55,34,1,20
Columbia,Waldo Township,U.S. Senate,,DEM,Natalie James,57,28,0,29
Columbia,Waldo City,U.S. Senate,,DEM,Natalie James,186,67,5,114
Columbia,Emerson Township,U.S. Senate,,DEM,Natalie James,64,26,0,38
Columbia,Emerson City,U.S. Senate,,DEM,Natalie James,33,14,0,19
Columbia,Taylor Township,U.S. Senate,,DEM,Natalie James,45,26,2,17
Columbia,Taylor City,U.S. Senate,,DEM,Natalie James,8,2,1,5
Columbia,Columbia North,U.S. Senate,,REP,Senator John Boozman,923,678,13,232
Columbia,Columbia South,U.S. Senate,,REP,Senator John Boozman,387,273,10,104
Columbia,Mag Ward 1,U.S. Senate,,REP,Senator John Boozman,350,234,20,96
Columbia,Mag Ward 2,U.S. Senate,,REP,Senator John Boozman,82,50,0,32
Columbia,Mag Ward 3,U.S. Senate,,REP,Senator John Boozman,539,394,24,121
Columbia,Mag Ward 4,U.S. Senate,,REP,Senator John Boozman,551,423,22,106
Columbia,McNeil Township,U.S. Senate,,REP,Senator John Boozman,180,124,0,56
Columbia,McNeil City,U.S. Senate,,REP,Senator John Boozman,70,32,0,38
Columbia,Waldo Township,U.S. Senate,,REP,Senator John Boozman,173,106,5,62
Columbia,Waldo City,U.S. Senate,,REP,Senator John Boozman,84,39,1,44
Columbia,Emerson Township,U.S. Senate,,REP,Senator John Boozman,404,215,2,187
Columbia,Emerson City,U.S. Senate,,REP,Senator John Boozman,38,14,0,24
Columbia,Taylor Township,U.S. Senate,,REP,Senator John Boozman,262,96,2,164
Columbia,Taylor City,U.S. Senate,,REP,Senator John Boozman,134,38,5,91
Columbia,Columbia North,U.S. Congress District 04,,DEM,John White,150,114,15,21
Columbia,Columbia South,U.S. Congress District 04,,DEM,John White,251,166,7,78
Columbia,Mag Ward 1,U.S. Congress District 04,,DEM,John White,215,133,14,68
Columbia,Mag Ward 2,U.S. Congress District 04,,DEM,John White,306,214,11,81
Columbia,Mag Ward 3,U.S. Congress District 04,,DEM,John White,107,63,5,39
Columbia,Mag Ward 4,U.S. Congress District 04,,DEM,John White,171,108,10,53
Columbia,McNeil Township,U.S. Congress District 04,,DEM,John White,88,42,5,41
Columbia,McNeil City,U.S. Congress District 04,,DEM,John White,54,32,1,21
Columbia,Waldo Township,U.S. Congress District 04,,DEM,John White,57,27,2,28
Columbia,Waldo City,U.S. Congress District 04,,DEM,John White,187,66,4,117
Columbia,Emerson Township,U.S. Congress District 04,,DEM,John White,66,29,0,37
Columbia,Emerson City,U.S. Congress District 04,,DEM,John White,30,12,0,18
Columbia,Taylor Township,U.S. Congress District 04,,DEM,John White,42,25,2,15
Columbia,Taylor City,U.S. Congress District 04,,DEM,John White,11,4,1,6
Columbia,Columbia North,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,914,670,13,231
Columbia,Columbia South,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,384,272,11,101
Columbia,Mag Ward 1,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,353,236,19,98
Columbia,Mag Ward 2,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,81,50,1,30
Columbia,Mag Ward 3,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,551,406,22,123
Columbia,Mag Ward 4,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,554,425,20,109
Columbia,McNeil Township,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,181,125,0,56
Columbia,McNeil City,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,71,34,0,37
Columbia,Waldo Township,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,175,109,4,62
Columbia,Waldo City,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,80,37,1,42
Columbia,Emerson Township,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,403,213,2,188
Columbia,Emerson City,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,39,14,0,25
Columbia,Taylor Township,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,265,95,3,167
Columbia,Taylor City,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,133,38,5,90
Columbia,Columbia North,U.S. Congress District 04,,LIB,Gregory Maxwell,23,17,0,6
Columbia,Columbia South,U.S. Congress District 04,,LIB,Gregory Maxwell,7,5,0,2
Columbia,Mag Ward 1,U.S. Congress District 04,,LIB,Gregory Maxwell,17,8,1,8
Columbia,Mag Ward 2,U.S. Congress District 04,,LIB,Gregory Maxwell,14,7,1,6
Columbia,Mag Ward 3,U.S. Congress District 04,,LIB,Gregory Maxwell,8,6,0,2
Columbia,Mag Ward 4,U.S. Congress District 04,,LIB,Gregory Maxwell,23,16,0,7
Columbia,McNeil Township,U.S. Congress District 04,,LIB,Gregory Maxwell,8,5,0,3
Columbia,McNeil City,U.S. Congress District 04,,LIB,Gregory Maxwell,1,0,0,1
Columbia,Waldo Township,U.S. Congress District 04,,LIB,Gregory Maxwell,3,2,0,1
Columbia,Waldo City,U.S. Congress District 04,,LIB,Gregory Maxwell,12,5,1,6
Columbia,Emerson Township,U.S. Congress District 04,,LIB,Gregory Maxwell,3,3,0,0
Columbia,Emerson City,U.S. Congress District 04,,LIB,Gregory Maxwell,6,1,0,5
Columbia,Taylor Township,U.S. Congress District 04,,LIB,Gregory Maxwell,4,1,0,3
Columbia,Taylor City,U.S. Congress District 04,,LIB,Gregory Maxwell,2,1,0,1
Columbia,Columbia North,Attorney General,,DEM,Jesse Gibson,156,122,15,19
Columbia,Columbia South,Attorney General,,DEM,Jesse Gibson,247,165,7,75
Columbia,Mag Ward 1,Attorney General,,DEM,Jesse Gibson,225,138,12,75
Columbia,Mag Ward 2,Attorney General,,DEM,Jesse Gibson,305,212,13,80
Columbia,Mag Ward 3,Attorney General,,DEM,Jesse Gibson,125,72,7,46
Columbia,Mag Ward 4,Attorney General,,DEM,Jesse Gibson,183,114,10,59
Columbia,McNeil Township,Attorney General,,DEM,Jesse Gibson,98,47,5,46
Columbia,McNeil City,Attorney General,,DEM,Jesse Gibson,58,35,1,22
Columbia,Waldo Township,Attorney General,,DEM,Jesse Gibson,58,28,1,29
Columbia,Waldo City,Attorney General,,DEM,Jesse Gibson,198,73,5,120
Columbia,Emerson Township,Attorney General,,DEM,Jesse Gibson,67,28,1,38
Columbia,Emerson City,Attorney General,,DEM,Jesse Gibson,35,13,0,22
Columbia,Taylor Township,Attorney General,,DEM,Jesse Gibson,48,27,2,19
Columbia,Taylor City,Attorney General,,DEM,Jesse Gibson,11,3,1,7
Columbia,Columbia North,Attorney General,,REP,Lieutenant Governor Tim Griffin,933,681,14,238
Columbia,Columbia South,Attorney General,,REP,Lieutenant Governor Tim Griffin,389,276,10,103
