county,precinct,office,district,party,candidate,votes,provisional_ed,early_vote,absentee,provisional_ev,post,election_day
Washington,020 Boston,U.S. Senate,,DEM,Natalie James,33,0,8,0,0,0,25
Washington,040 Brush Creek,U.S. Senate,,DEM,Natalie James,281,0,125,11,0,0,145
Washington,060 Cane Hill-1,U.S. Senate,,DEM,Natalie James,80,0,26,0,0,0,54
Washington,061 Cane Hill-2,U.S. Senate,,DEM,Natalie James,28,0,12,1,0,0,15
Washington,062 Cane Hill-3,U.S. Senate,,DEM,Natalie James,0,0,0,0,0,0,0
Washington,080 Center-1,U.S. Senate,,DEM,Natalie James,163,0,111,2,0,0,50
Washington,082 Center-2,U.S. Senate,,DEM,Natalie James,21,0,13,0,0,0,8
Washington,083 Center-3,U.S. Senate,,DEM,Natalie James,0,0,0,0,0,0,0
Washington,084 Center-4,U.S. Senate,,DEM,Natalie James,6,0,5,0,0,0,1
Washington,085 Center-5,U.S. Senate,,DEM,Natalie James,33,0,19,2,0,0,12
Washington,100 Cove Creek-1,U.S. Senate,,DEM,Natalie James,88,0,56,0,0,0,32
Washington,101 Cove Creek-2,U.S. Senate,,DEM,Natalie James,0,0,0,0,0,0,0
Washington,110 Cove Creek-3,U.S. Senate,,DEM,Natalie James,6,0,6,0,0,0,0
Washington,120 Crawford,U.S. Senate,,DEM,Natalie James,104,0,43,0,0,0,61
Washington,140 Durham,U.S. Senate,,DEM,Natalie James,88,0,46,0,0,0,42
Washington,160 Dutch Mills,U.S. Senate,,DEM,Natalie James,17,0,5,2,0,0,10
Washington,180 Elkins-1,U.S. Senate,,DEM,Natalie James,367,0,209,1,0,0,157
Washington,181 Elkins-2,U.S. Senate,,DEM,Natalie James,47,0,34,0,0,0,13
Washington,200 Elm Springs Twp,U.S. Senate,,DEM,Natalie James,23,0,9,0,0,0,14
Washington,210 Elm Springs City-1,U.S. Senate,,DEM,Natalie James,100,0,47,2,0,0,51
Washington,211 Elm Springs City-2,U.S. Senate,,DEM,Natalie James,80,0,31,0,0,0,49
Washington,220 Farmington-1,U.S. Senate,,DEM,Natalie James,281,0,168,8,0,0,105
Washington,221 Farmington-5,U.S. Senate,,DEM,Natalie James,14,0,8,2,0,0,4
Washington,222 Farmington-2,U.S. Senate,,DEM,Natalie James,382,0,199,12,0,0,171
Washington,223 Farmington-3,U.S. Senate,,DEM,Natalie James,190,0,120,3,0,0,67
Washington,224 Farmington-4,U.S. Senate,,DEM,Natalie James,140,0,75,2,0,0,63
Washington,225 Farmington-6,U.S. Senate,,DEM,Natalie James,20,0,13,0,0,0,7
Washington,240 Fay 01,U.S. Senate,,DEM,Natalie James,218,0,98,3,0,0,117
Washington,241 Fay 49,U.S. Senate,,DEM,Natalie James,165,0,105,3,0,0,57
Washington,242 Fay 50,U.S. Senate,,DEM,Natalie James,197,0,121,4,0,0,72
Washington,243 Fay 51,U.S. Senate,,DEM,Natalie James,5,0,3,0,0,0,2
Washington,244 Fay 52,U.S. Senate,,DEM,Natalie James,5,0,4,0,0,0,1
Washington,245 Fay 53,U.S. Senate,,DEM,Natalie James,27,0,21,2,0,0,4
Washington,246 Fay 54,U.S. Senate,,DEM,Natalie James,0,0,0,0,0,0,0
Washington,247 Fay 55,U.S. Senate,,DEM,Natalie James,23,0,16,1,0,0,6
Washington,248 Fay 56,U.S. Senate,,DEM,Natalie James,260,0,179,1,0,0,80
Washington,249 Fay 57,U.S. Senate,,DEM,Natalie James,5,0,4,1,0,0,0
Washington,250 Fay 02,U.S. Senate,,DEM,Natalie James,179,0,117,4,0,0,58
