county,precinct,office,district,party,candidate,votes,provisional,early_vote,absentee,election_day
Nevada,Bluff City City & Rural,U.S. Senate,,DEM,Natalie James,42,0,8,0,34
Nevada,Bodcaw City & Part Rural,U.S. Senate,,DEM,Natalie James,16,0,7,0,9
Nevada,Emmet City,U.S. Senate,,DEM,Natalie James,35,0,22,0,13
Nevada,Georgia,U.S. Senate,,DEM,Natalie James,12,0,4,0,8
Nevada,Laneburg,U.S. Senate,,DEM,Natalie James,21,0,14,0,7
Nevada,Rosston City & Part Rural,U.S. Senate,,DEM,Natalie James,67,0,8,3,56
Nevada,Willisville City & Part Rural,U.S. Senate,,DEM,Natalie James,59,0,11,1,47
Nevada,East & West Rural,U.S. Senate,,DEM,Natalie James,94,0,61,8,25
Nevada,"Ward 1,2,3,4",U.S. Senate,,DEM,Natalie James,344,0,198,20,126
Nevada,PART BODCAW RURAL,U.S. Senate,,DEM,Natalie James,18,0,8,1,9
Nevada,Part Rosston Rural,U.S. Senate,,DEM,Natalie James,18,0,0,0,18
Nevada,Emmet Rural,U.S. Senate,,DEM,Natalie James,12,0,7,0,5
Nevada,Part Willisville Rural,U.S. Senate,,DEM,Natalie James,2,0,2,0,0
Nevada,Bluff City City & Rural,U.S. Senate,,REP,Senator John Boozman,39,0,13,0,26
Nevada,Bodcaw City & Part Rural,U.S. Senate,,REP,Senator John Boozman,170,0,52,4,114
Nevada,Emmet City,U.S. Senate,,REP,Senator John Boozman,87,0,20,5,62
Nevada,Georgia,U.S. Senate,,REP,Senator John Boozman,68,3,17,1,47
Nevada,Laneburg,U.S. Senate,,REP,Senator John Boozman,124,0,41,4,79
Nevada,Rosston City & Part Rural,U.S. Senate,,REP,Senator John Boozman,45,0,8,0,37
Nevada,Willisville City & Part Rural,U.S. Senate,,REP,Senator John Boozman,106,0,14,0,92
Nevada,East & West Rural,U.S. Senate,,REP,Senator John Boozman,544,0,272,17,255
Nevada,"Ward 1,2,3,4",U.S. Senate,,REP,Senator John Boozman,338,0,181,16,141
Nevada,PART BODCAW RURAL,U.S. Senate,,REP,Senator John Boozman,79,4,19,1,55
Nevada,Part Rosston Rural,U.S. Senate,,REP,Senator John Boozman,16,0,4,0,12
Nevada,Emmet Rural,U.S. Senate,,REP,Senator John Boozman,44,0,11,1,32
Nevada,Part Willisville Rural,U.S. Senate,,REP,Senator John Boozman,7,0,6,1,0
Nevada,Bluff City City & Rural,U.S. Senate,,LIB,Kenneth Cates,2,0,0,0,2
Nevada,Bodcaw City & Part Rural,U.S. Senate,,LIB,Kenneth Cates,3,0,2,0,1
Nevada,Emmet City,U.S. Senate,,LIB,Kenneth Cates,5,0,1,0,4
Nevada,Georgia,U.S. Senate,,LIB,Kenneth Cates,0,0,0,0,0
