county,precinct,office,district,party,candidate,votes,provisional,early_vote,absentee,election_day
Pulaski,Precinct 1,U.S. Senate,,DEM,Natalie James,493,0,348,9,136
Pulaski,Precinct 2,U.S. Senate,,DEM,Natalie James,373,0,255,5,113
Pulaski,Precinct 3,U.S. Senate,,DEM,Natalie James,310,1,228,4,77
Pulaski,Precinct 4,U.S. Senate,,DEM,Natalie James,545,0,391,14,140
Pulaski,Precinct 5,U.S. Senate,,DEM,Natalie James,576,3,396,9,168
Pulaski,Precinct 6,U.S. Senate,,DEM,Natalie James,611,2,450,11,148
Pulaski,Precinct 7,U.S. Senate,,DEM,Natalie James,280,0,131,6,143
Pulaski,Precinct 8,U.S. Senate,,DEM,Natalie James,326,1,234,6,85
Pulaski,Precinct 9,U.S. Senate,,DEM,Natalie James,301,2,172,4,123
Pulaski,Precinct 10,U.S. Senate,,DEM,Natalie James,334,2,194,3,135
Pulaski,Precinct 11,U.S. Senate,,DEM,Natalie James,166,0,66,4,96
Pulaski,Precinct 12,U.S. Senate,,DEM,Natalie James,353,1,200,9,143
Pulaski,Precinct 13,U.S. Senate,,DEM,Natalie James,643,4,399,7,233
Pulaski,Precinct 14,U.S. Senate,,DEM,Natalie James,442,0,219,9,214
Pulaski,Precinct 15,U.S. Senate,,DEM,Natalie James,723,4,388,16,315
Pulaski,Precinct 16,U.S. Senate,,DEM,Natalie James,584,2,301,11,270
Pulaski,Precinct 17,U.S. Senate,,DEM,Natalie James,774,3,394,12,365
Pulaski,Precinct 18,U.S. Senate,,DEM,Natalie James,578,1,299,5,273
Pulaski,Precinct 19,U.S. Senate,,DEM,Natalie James,680,2,424,13,241
Pulaski,Precinct 20,U.S. Senate,,DEM,Natalie James,326,0,152,2,172
Pulaski,Precinct 21,U.S. Senate,,DEM,Natalie James,682,1,368,22,291
Pulaski,Precinct 22,U.S. Senate,,DEM,Natalie James,604,2,307,14,281
Pulaski,Precinct 23,U.S. Senate,,DEM,Natalie James,262,1,165,10,86
Pulaski,Precinct 24,U.S. Senate,,DEM,Natalie James,238,0,121,5,112
Pulaski,Precinct 25,U.S. Senate,,DEM,Natalie James,133,1,74,4,54
Pulaski,Precinct 26,U.S. Senate,,DEM,Natalie James,322,0,195,4,123
