county,precinct,office,district,party,candidate,votes,provisional_voting,early_vote,absentee,election_day
Randolph,Baker,U.S. Senate,,LIB,Kenneth Cates,0,0,0,0,0
Randolph,Bristow,U.S. Senate,,LIB,Kenneth Cates,2,0,2,0,0
Randolph,Butler,U.S. Senate,,LIB,Kenneth Cates,1,0,0,0,1
Randolph,Columbia,U.S. Senate,,LIB,Kenneth Cates,6,0,3,0,3
Randolph,Current River,U.S. Senate,,LIB,Kenneth Cates,4,0,0,0,4
Randolph,Dalton,U.S. Senate,,LIB,Kenneth Cates,2,0,1,0,1
Randolph,Elevenpoint,U.S. Senate,,LIB,Kenneth Cates,2,0,1,0,1
Randolph,Foster,U.S. Senate,,LIB,Kenneth Cates,10,0,6,0,4
Randolph,Ingram,U.S. Senate,,LIB,Kenneth Cates,0,0,0,0,0
Randolph,Jackson,U.S. Senate,,LIB,Kenneth Cates,1,0,0,0,1
Randolph,Janes Creek,U.S. Senate,,LIB,Kenneth Cates,5,0,1,0,4
Randolph,Little Black,U.S. Senate,,LIB,Kenneth Cates,10,0,4,0,6
Randolph,O'Kean,U.S. Senate,,LIB,Kenneth Cates,3,0,0,0,3
Randolph,Reyno,U.S. Senate,,LIB,Kenneth Cates,8,0,1,0,7
Randolph,Richardson,U.S. Senate,,LIB,Kenneth Cates,16,0,6,0,10
Randolph,East Roanoke,U.S. Senate,,LIB,Kenneth Cates,9,0,3,0,6
Randolph,West Roanoke,U.S. Senate,,LIB,Kenneth Cates,15,0,8,0,7
Randolph,Running Lake,U.S. Senate,,LIB,Kenneth Cates,2,0,2,0,0
Randolph,Shiloh,U.S. Senate,,LIB,Kenneth Cates,20,0,13,0,7
Randolph,Siloam,U.S. Senate,,LIB,Kenneth Cates,6,0,5,0,1
Randolph,Spring River,U.S. Senate,,LIB,Kenneth Cates,2,0,2,0,0
Randolph,Union,U.S. Senate,,LIB,Kenneth Cates,2,0,1,0,1
Randolph,Warm Springs,U.S. Senate,,LIB,Kenneth Cates,2,0,1,0,1
Randolph,Water Valley,U.S. Senate,,LIB,Kenneth Cates,2,0,0,0,2
Randolph,Wiley,U.S. Senate,,LIB,Kenneth Cates,0,0,0,0,0
Randolph,Ward One,U.S. Senate,,LIB,Kenneth Cates,22,0,11,1,10
Randolph,Ward Two,U.S. Senate,,LIB,Kenneth Cates,19,0,14,0,5
Randolph,Ward Three,U.S. Senate,,LIB,Kenneth Cates,27,0,19,0,8
Randolph,Demun Rural,U.S. Senate,,LIB,Kenneth Cates,23,0,14,0,9
Randolph,Baker,U.S. Senate,,DEM,Natalie James,3,0,2,0,1
Randolph,Bristow,U.S. Senate,,DEM,Natalie James,8,0,7,0,1
Randolph,Butler,U.S. Senate,,DEM,Natalie James,0,0,0,0,0
Randolph,Columbia,U.S. Senate,,DEM,Natalie James,25,0,11,0,14
Randolph,Current River,U.S. Senate,,DEM,Natalie James,14,0,2,0,12
Randolph,Dalton,U.S. Senate,,DEM,Natalie James,16,0,8,2,6
Randolph,Elevenpoint,U.S. Senate,,DEM,Natalie James,20,0,5,0,15
Randolph,Foster,U.S. Senate,,DEM,Natalie James,39,0,25,3,11
Randolph,Ingram,U.S. Senate,,DEM,Natalie James,9,0,5,1,3
Randolph,Jackson,U.S. Senate,,DEM,Natalie James,6,0,3,0,3
Randolph,Janes Creek,U.S. Senate,,DEM,Natalie James,27,0,9,0,18
Randolph,Little Black,U.S. Senate,,DEM,Natalie James,22,0,6,2,14
Randolph,O'Kean,U.S. Senate,,DEM,Natalie James,17,0,4,0,13
Randolph,Reyno,U.S. Senate,,DEM,Natalie James,18,0,3,0,15
Randolph,Richardson,U.S. Senate,,DEM,Natalie James,29,0,15,2,12
Randolph,East Roanoke,U.S. Senate,,DEM,Natalie James,25,0,15,1,9
Randolph,West Roanoke,U.S. Senate,,DEM,Natalie James,45,0,35,0,10
Randolph,Running Lake,U.S. Senate,,DEM,Natalie James,8,0,2,0,6
Randolph,Shiloh,U.S. Senate,,DEM,Natalie James,53,0,46,3,4
Randolph,Siloam,U.S. Senate,,DEM,Natalie James,13,0,8,0,5
Randolph,Spring River,U.S. Senate,,DEM,Natalie James,5,0,4,0,1
Randolph,Union,U.S. Senate,,DEM,Natalie James,8,0,6,0,2
Randolph,Warm Springs,U.S. Senate,,DEM,Natalie James,14,0,6,0,8
Randolph,Water Valley,U.S. Senate,,DEM,Natalie James,3,0,2,0,1
Randolph,Wiley,U.S. Senate,,DEM,Natalie James,2,0,2,0,0
Randolph,Ward One,U.S. Senate,,DEM,Natalie James,104,0,79,11,14
Randolph,Ward Two,U.S. Senate,,DEM,Natalie James,85,0,60,2,23
Randolph,Ward Three,U.S. Senate,,DEM,Natalie James,150,0,121,6,23
Randolph,Demun Rural,U.S. Senate,,DEM,Natalie James,96,0,84,2,10
Randolph,Baker,U.S. Senate,,REP,Senator John Boozman,12,0,1,0,11
Randolph,Bristow,U.S. Senate,,REP,Senator John Boozman,26,0,17,0,9
Randolph,Butler,U.S. Senate,,REP,Senator John Boozman,25,0,12,0,13
Randolph,Columbia,U.S. Senate,,REP,Senator John Boozman,179,0,80,1,98
Randolph,Current River,U.S. Senate,,REP,Senator John Boozman,82,1,18,0,63
Randolph,Dalton,U.S. Senate,,REP,Senator John Boozman,85,0,25,5,55
Randolph,Elevenpoint,U.S. Senate,,REP,Senator John Boozman,80,0,34,1,45
Randolph,Foster,U.S. Senate,,REP,Senator John Boozman,218,0,132,3,83
Randolph,Ingram,U.S. Senate,,REP,Senator John Boozman,52,0,23,3,26
Randolph,Jackson,U.S. Senate,,REP,Senator John Boozman,39,0,16,0,23
Randolph,Janes Creek,U.S. Senate,,REP,Senator John Boozman,161,2,54,1,104
Randolph,Little Black,U.S. Senate,,REP,Senator John Boozman,143,0,70,3,70
Randolph,O'Kean,U.S. Senate,,REP,Senator John Boozman,40,0,6,0,34
Randolph,Reyno,U.S. Senate,,REP,Senator John Boozman,93,0,10,1,82
Randolph,Richardson,U.S. Senate,,REP,Senator John Boozman,202,0,92,8,102
Randolph,East Roanoke,U.S. Senate,,REP,Senator John Boozman,139,0,86,2,51
Randolph,West Roanoke,U.S. Senate,,REP,Senator John Boozman,260,0,148,0,112
Randolph,Running Lake,U.S. Senate,,REP,Senator John Boozman,54,0,14,1,39
Randolph,Shiloh,U.S. Senate,,REP,Senator John Boozman,313,0,238,5,70
Randolph,Siloam,U.S. Senate,,REP,Senator John Boozman,78,1,37,0,40
Randolph,Spring River,U.S. Senate,,REP,Senator John Boozman,86,0,52,0,34
Randolph,Union,U.S. Senate,,REP,Senator John Boozman,28,0,8,1,19
Randolph,Warm Springs,U.S. Senate,,REP,Senator John Boozman,59,0,17,2,40
Randolph,Water Valley,U.S. Senate,,REP,Senator John Boozman,69,0,24,4,41
Randolph,Wiley,U.S. Senate,,REP,Senator John Boozman,15,0,9,0,6
Randolph,Ward One,U.S. Senate,,REP,Senator John Boozman,358,0,269,6,83
Randolph,Ward Two,U.S. Senate,,REP,Senator John Boozman,274,0,223,8,43
Randolph,Ward Three,U.S. Senate,,REP,Senator John Boozman,502,0,433,8,61
Randolph,Demun Rural,U.S. Senate,,REP,Senator John Boozman,488,0,373,8,107
Randolph,Baker,U.S. Congress District 01,,DEM,Representative Monte Hodges,3,0,2,0,1
Randolph,Bristow,U.S. Congress District 01,,DEM,Representative Monte Hodges,5,0,5,0,0
Randolph,Butler,U.S. Congress District 01,,DEM,Representative Monte Hodges,0,0,0,0,0
Randolph,Columbia,U.S. Congress District 01,,DEM,Representative Monte Hodges,28,0,12,0,16
Randolph,Current River,U.S. Congress District 01,,DEM,Representative Monte Hodges,15,0,1,0,14
Randolph,Dalton,U.S. Congress District 01,,DEM,Representative Monte Hodges,14,0,7,2,5
Randolph,Elevenpoint,U.S. Congress District 01,,DEM,Representative Monte Hodges,22,0,6,0,16
Randolph,Foster,U.S. Congress District 01,,DEM,Representative Monte Hodges,44,0,28,3,13
Randolph,Ingram,U.S. Congress District 01,,DEM,Representative Monte Hodges,9,0,5,1,3
Randolph,Jackson,U.S. Congress District 01,,DEM,Representative Monte Hodges,6,0,3,0,3
Randolph,Janes Creek,U.S. Congress District 01,,DEM,Representative Monte Hodges,29,1,9,0,19
Randolph,Little Black,U.S. Congress District 01,,DEM,Representative Monte Hodges,21,0,4,2,15
Randolph,O'Kean,U.S. Congress District 01,,DEM,Representative Monte Hodges,17,0,4,0,13
Randolph,Reyno,U.S. Congress District 01,,DEM,Representative Monte Hodges,17,0,5,0,12
Randolph,Richardson,U.S. Congress District 01,,DEM,Representative Monte Hodges,28,0,13,2,13
Randolph,East Roanoke,U.S. Congress District 01,,DEM,Representative Monte Hodges,29,0,16,1,12
Randolph,West Roanoke,U.S. Congress District 01,,DEM,Representative Monte Hodges,46,0,34,0,12
Randolph,Running Lake,U.S. Congress District 01,,DEM,Representative Monte Hodges,7,0,1,0,6
Randolph,Shiloh,U.S. Congress District 01,,DEM,Representative Monte Hodges,57,0,47,3,7
Randolph,Siloam,U.S. Congress District 01,,DEM,Representative Monte Hodges,13,0,8,0,5
Randolph,Spring River,U.S. Congress District 01,,DEM,Representative Monte Hodges,5,0,4,0,1
Randolph,Union,U.S. Congress District 01,,DEM,Representative Monte Hodges,7,0,6,0,1
