county,precinct,office,district,party,candidate,votes,early_vote,absentee,election_day
Sebastian,1-B1-98,U.S. Senate,,REP,Senator John Boozman,0,0,0,0
Sebastian,1-B1-99,U.S. Senate,,REP,Senator John Boozman,0,0,0,0
Sebastian,1-B3-95,U.S. Senate,,REP,Senator John Boozman,184,97,5,82
Sebastian,1-B3-96,U.S. Senate,,REP,Senator John Boozman,0,0,0,0
Sebastian,1-B3-97,U.S. Senate,,REP,Senator John Boozman,267,153,5,109
Sebastian,1-C1-108,U.S. Senate,,REP,Senator John Boozman,26,8,0,18
Sebastian,1-C2-107,U.S. Senate,,REP,Senator John Boozman,55,12,0,43
Sebastian,1-C3-106,U.S. Senate,,REP,Senator John Boozman,67,15,0,52
Sebastian,1-F4-104,U.S. Senate,,REP,Senator John Boozman,0,0,0,0
Sebastian,1-F4-105,U.S. Senate,,REP,Senator John Boozman,72,30,0,42
Sebastian,1-LV-103,U.S. Senate,,REP,Senator John Boozman,666,263,4,399
Sebastian,1-SC-94,U.S. Senate,,REP,Senator John Boozman,0,0,0,0
Sebastian,1-SC-100,U.S. Senate,,REP,Senator John Boozman,90,67,1,22
Sebastian,1-SC-101,U.S. Senate,,REP,Senator John Boozman,172,79,1,92
Sebastian,1-SC-102,U.S. Senate,,REP,Senator John Boozman,1063,427,7,629
Sebastian,2-GW-85,U.S. Senate,,REP,Senator John Boozman,20,12,0,8
Sebastian,2-GW-90,U.S. Senate,,REP,Senator John Boozman,0,0,0,0
Sebastian,2-GW-91,U.S. Senate,,REP,Senator John Boozman,879,556,5,318
Sebastian,2-GW-92,U.S. Senate,,REP,Senator John Boozman,190,111,3,76
Sebastian,2-GW-93,U.S. Senate,,REP,Senator John Boozman,898,683,11,204
Sebastian,2-SC-82,U.S. Senate,,REP,Senator John Boozman,0,0,0,0
Sebastian,2-SC-83,U.S. Senate,,REP,Senator John Boozman,129,43,2,84
Sebastian,2-SC-84,U.S. Senate,,REP,Senator John Boozman,55,32,0,23
Sebastian,2-SC-86,U.S. Senate,,REP,Senator John Boozman,67,46,0,21
Sebastian,2-SC-87,U.S. Senate,,REP,Senator John Boozman,189,66,3,120
Sebastian,2-SC-88,U.S. Senate,,REP,Senator John Boozman,278,196,2,80
Sebastian,2-SC-89,U.S. Senate,,REP,Senator John Boozman,159,113,3,43
Sebastian,3-BZ-79,U.S. Senate,,REP,Senator John Boozman,57,22,0,35
Sebastian,3-BZ-80,U.S. Senate,,REP,Senator John Boozman,31,7,0,24
Sebastian,3-BZ-81,U.S. Senate,,REP,Senator John Boozman,59,15,2,42
Sebastian,3-HC-78,U.S. Senate,,REP,Senator John Boozman,165,33,2,130
Sebastian,3-HF-77,U.S. Senate,,REP,Senator John Boozman,121,14,2,105
Sebastian,3-HG-76,U.S. Senate,,REP,Senator John Boozman,87,13,0,74
Sebastian,3-MD-75,U.S. Senate,,REP,Senator John Boozman,67,4,1,62
Sebastian,3-MN-74,U.S. Senate,,REP,Senator John Boozman,177,32,2,143
Sebastian,3-SC-70,U.S. Senate,,REP,Senator John Boozman,0,0,0,0
Sebastian,3-SC-71.2346,U.S. Senate,,REP,Senator John Boozman,546,243,8,295
Sebastian,3-SC-71.15789,U.S. Senate,,REP,Senator John Boozman,793,293,3,497
Sebastian,3-SC-72.02,U.S. Senate,,REP,Senator John Boozman,257,176,2,79
Sebastian,3-SC-72.03,U.S. Senate,,REP,Senator John Boozman,11,6,0,5
Sebastian,3-SC-73.178,U.S. Senate,,REP,Senator John Boozman,198,47,0,151
Sebastian,3-SC.73.23456,U.S. Senate,,REP,Senator John Boozman,348,87,4,257
Sebastian,4-F3-66,U.S. Senate,,REP,Senator John Boozman,501,352,4,145
Sebastian,4-F3-67,U.S. Senate,,REP,Senator John Boozman,177,90,0,87
Sebastian,4-F3-68,U.S. Senate,,REP,Senator John Boozman,96,68,0,28
Sebastian,4-F3-69,U.S. Senate,,REP,Senator John Boozman,104,68,2,34
Sebastian,4-F4-65,U.S. Senate,,REP,Senator John Boozman,86,54,0,32
Sebastian,4-GW-62,U.S. Senate,,REP,Senator John Boozman,387,253,5,129
Sebastian,4-GW-63,U.S. Senate,,REP,Senator John Boozman,0,0,0,0
Sebastian,4-GW-64,U.S. Senate,,REP,Senator John Boozman,0,0,0,0
Sebastian,4-HC-61,U.S. Senate,,REP,Senator John Boozman,0,0,0,0
Sebastian,4-SC-53,U.S. Senate,,REP,Senator John Boozman,0,0,0,0
