county,precinct,office,district,party,candidate,votes,provisional,early_vote,absentee,election_day
Jefferson,01,U.S. Senate,,REP,Senator John Boozman,56,0,10,1,45
Jefferson,02,U.S. Senate,,REP,Senator John Boozman,12,0,2,0,10
Jefferson,03,U.S. Senate,,REP,Senator John Boozman,11,0,0,0,11
Jefferson,04,U.S. Senate,,REP,Senator John Boozman,23,0,7,0,16
Jefferson,05,U.S. Senate,,REP,Senator John Boozman,47,0,32,0,15
Jefferson,07,U.S. Senate,,REP,Senator John Boozman,8,0,0,0,8
Jefferson,08,U.S. Senate,,REP,Senator John Boozman,10,0,0,0,10
Jefferson,09,U.S. Senate,,REP,Senator John Boozman,11,0,0,0,11
Jefferson,010,U.S. Senate,,REP,Senator John Boozman,14,0,3,1,10
Jefferson,011,U.S. Senate,,REP,Senator John Boozman,22,0,2,0,20
Jefferson,026,U.S. Senate,,REP,Senator John Boozman,31,0,4,1,26
Jefferson,027,U.S. Senate,,REP,Senator John Boozman,29,0,3,0,26
Jefferson,028,U.S. Senate,,REP,Senator John Boozman,62,1,20,0,41
Jefferson,029,U.S. Senate,,REP,Senator John Boozman,32,0,9,0,23
Jefferson,030,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0
Jefferson,031,U.S. Senate,,REP,Senator John Boozman,21,0,3,0,18
Jefferson,032,U.S. Senate,,REP,Senator John Boozman,2,0,0,0,2
Jefferson,033,U.S. Senate,,REP,Senator John Boozman,6,0,1,0,5
Jefferson,034,U.S. Senate,,REP,Senator John Boozman,1,0,0,0,1
Jefferson,036,U.S. Senate,,REP,Senator John Boozman,14,0,1,0,13
Jefferson,045,U.S. Senate,,REP,Senator John Boozman,26,0,18,0,8
Jefferson,050,U.S. Senate,,REP,Senator John Boozman,341,1,122,3,215
Jefferson,051,U.S. Senate,,REP,Senator John Boozman,236,0,43,0,193
Jefferson,053,U.S. Senate,,REP,Senator John Boozman,29,0,7,0,22
Jefferson,054,U.S. Senate,,REP,Senator John Boozman,462,2,149,7,304
Jefferson,055,U.S. Senate,,REP,Senator John Boozman,100,0,40,1,59
Jefferson,056,U.S. Senate,,REP,Senator John Boozman,53,0,13,0,40
Jefferson,057,U.S. Senate,,REP,Senator John Boozman,56,0,17,0,39
Jefferson,058,U.S. Senate,,REP,Senator John Boozman,213,0,86,1,126
Jefferson,059,U.S. Senate,,REP,Senator John Boozman,104,0,41,0,63
Jefferson,060,U.S. Senate,,REP,Senator John Boozman,11,0,6,0,5
Jefferson,061,U.S. Senate,,REP,Senator John Boozman,47,1,17,0,29
Jefferson,062,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0
Jefferson,064,U.S. Senate,,REP,Senator John Boozman,3,0,0,0,3
Jefferson,066,U.S. Senate,,REP,Senator John Boozman,31,0,21,0,10
Jefferson,067,U.S. Senate,,REP,Senator John Boozman,12,0,3,0,9
Jefferson,073,U.S. Senate,,REP,Senator John Boozman,65,0,27,0,38
Jefferson,074,U.S. Senate,,REP,Senator John Boozman,51,0,27,0,24
Jefferson,075,U.S. Senate,,REP,Senator John Boozman,196,2,41,2,151
Jefferson,076,U.S. Senate,,REP,Senator John Boozman,58,0,24,0,34
Jefferson,077,U.S. Senate,,REP,Senator John Boozman,76,0,22,0,54
Jefferson,078,U.S. Senate,,REP,Senator John Boozman,109,1,37,4,67
Jefferson,079,U.S. Senate,,REP,Senator John Boozman,16,0,6,0,10
Jefferson,080,U.S. Senate,,REP,Senator John Boozman,51,0,18,0,33
Jefferson,081,U.S. Senate,,REP,Senator John Boozman,8,0,0,0,8
Jefferson,082,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0
Jefferson,083,U.S. Senate,,REP,Senator John Boozman,10,0,5,0,5
Jefferson,084,U.S. Senate,,REP,Senator John Boozman,31,0,3,1,27
Jefferson,085,U.S. Senate,,REP,Senator John Boozman,45,0,8,0,37
Jefferson,086,U.S. Senate,,REP,Senator John Boozman,522,1,136,10,375
Jefferson,087,U.S. Senate,,REP,Senator John Boozman,274,0,50,2,222
Jefferson,089,U.S. Senate,,REP,Senator John Boozman,97,0,23,1,73
Jefferson,090,U.S. Senate,,REP,Senator John Boozman,8,0,4,0,4
Jefferson,092,U.S. Senate,,REP,Senator John Boozman,21,0,7,0,14
Jefferson,093,U.S. Senate,,REP,Senator John Boozman,34,0,10,0,24
Jefferson,094,U.S. Senate,,REP,Senator John Boozman,21,1,2,0,18
Jefferson,101,U.S. Senate,,REP,Senator John Boozman,33,0,23,0,10
Jefferson,104,U.S. Senate,,REP,Senator John Boozman,16,0,11,0,5
Jefferson,105,U.S. Senate,,REP,Senator John Boozman,2,0,0,0,2
Jefferson,106,U.S. Senate,,REP,Senator John Boozman,7,0,6,0,1
Jefferson,107,U.S. Senate,,REP,Senator John Boozman,30,0,14,1,15
Jefferson,108,U.S. Senate,,REP,Senator John Boozman,1,0,0,0,1
Jefferson,111,U.S. Senate,,REP,Senator John Boozman,15,0,8,0,7
Jefferson,112,U.S. Senate,,REP,Senator John Boozman,10,0,5,0,5
Jefferson,113,U.S. Senate,,REP,Senator John Boozman,36,0,21,2,13
Jefferson,114,U.S. Senate,,REP,Senator John Boozman,28,0,17,1,10
Jefferson,115,U.S. Senate,,REP,Senator John Boozman,3,0,1,0,2
Jefferson,116,U.S. Senate,,REP,Senator John Boozman,13,0,11,0,2
Jefferson,117,U.S. Senate,,REP,Senator John Boozman,5,0,2,1,2
Jefferson,119,U.S. Senate,,REP,Senator John Boozman,2,0,0,0,2
Jefferson,120,U.S. Senate,,REP,Senator John Boozman,10,1,5,0,4
Jefferson,121,U.S. Senate,,REP,Senator John Boozman,1,0,1,0,0
Jefferson,122,U.S. Senate,,REP,Senator John Boozman,13,0,7,0,6
Jefferson,123,U.S. Senate,,REP,Senator John Boozman,1,0,1,0,0
Jefferson,124,U.S. Senate,,REP,Senator John Boozman,5,0,0,0,5
Jefferson,125,U.S. Senate,,REP,Senator John Boozman,3,0,1,0,2
Jefferson,126,U.S. Senate,,REP,Senator John Boozman,18,0,2,0,16
Jefferson,128,U.S. Senate,,REP,Senator John Boozman,1,0,0,0,1
Jefferson,130,U.S. Senate,,REP,Senator John Boozman,34,0,8,1,25
Jefferson,150,U.S. Senate,,REP,Senator John Boozman,29,0,14,0,15
Jefferson,201,U.S. Senate,,REP,Senator John Boozman,8,0,2,0,6
Jefferson,202,U.S. Senate,,REP,Senator John Boozman,5,0,2,0,3
Jefferson,203,U.S. Senate,,REP,Senator John Boozman,10,0,6,1,3
Jefferson,204,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0
Jefferson,205,U.S. Senate,,REP,Senator John Boozman,11,0,4,0,7
Jefferson,206,U.S. Senate,,REP,Senator John Boozman,9,0,3,0,6
Jefferson,207,U.S. Senate,,REP,Senator John Boozman,4,0,2,0,2
Jefferson,208,U.S. Senate,,REP,Senator John Boozman,2,0,1,0,1
Jefferson,209,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0
Jefferson,210,U.S. Senate,,REP,Senator John Boozman,3,0,2,0,1
Jefferson,211,U.S. Senate,,REP,Senator John Boozman,20,0,5,0,15
Jefferson,212,U.S. Senate,,REP,Senator John Boozman,5,0,1,0,4
Jefferson,213,U.S. Senate,,REP,Senator John Boozman,6,0,1,0,5
Jefferson,214,U.S. Senate,,REP,Senator John Boozman,33,0,14,1,18
Jefferson,215,U.S. Senate,,REP,Senator John Boozman,138,1,57,3,77
Jefferson,216,U.S. Senate,,REP,Senator John Boozman,65,0,32,1,32
Jefferson,217,U.S. Senate,,REP,Senator John Boozman,15,0,8,0,7
Jefferson,218,U.S. Senate,,REP,Senator John Boozman,60,0,25,2,33
Jefferson,219,U.S. Senate,,REP,Senator John Boozman,67,0,33,0,34
Jefferson,221,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0
Jefferson,222,U.S. Senate,,REP,Senator John Boozman,119,0,40,6,73
Jefferson,223,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0
Jefferson,224,U.S. Senate,,REP,Senator John Boozman,25,0,12,0,13
Jefferson,306,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0
Jefferson,307,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0
Jefferson,308,U.S. Senate,,REP,Senator John Boozman,4,0,2,0,2
Jefferson,309,U.S. Senate,,REP,Senator John Boozman,35,1,19,1,14
Jefferson,310,U.S. Senate,,REP,Senator John Boozman,10,0,5,0,5
Jefferson,311,U.S. Senate,,REP,Senator John Boozman,4,0,1,0,3
Jefferson,312,U.S. Senate,,REP,Senator John Boozman,12,0,9,0,3
Jefferson,314,U.S. Senate,,REP,Senator John Boozman,31,0,8,0,23
Jefferson,315,U.S. Senate,,REP,Senator John Boozman,12,0,6,0,6
Jefferson,316,U.S. Senate,,REP,Senator John Boozman,29,0,15,0,14
Jefferson,317,U.S. Senate,,REP,Senator John Boozman,13,0,3,0,10
Jefferson,318,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0
Jefferson,319,U.S. Senate,,REP,Senator John Boozman,13,0,4,0,9
Jefferson,320,U.S. Senate,,REP,Senator John Boozman,4,0,0,0,4
Jefferson,322,U.S. Senate,,REP,Senator John Boozman,1,0,1,0,0
Jefferson,323,U.S. Senate,,REP,Senator John Boozman,2,0,2,0,0
Jefferson,324,U.S. Senate,,REP,Senator John Boozman,151,0,39,3,109
Jefferson,325,U.S. Senate,,REP,Senator John Boozman,6,0,2,0,4
Jefferson,326,U.S. Senate,,REP,Senator John Boozman,34,0,14,0,20
Jefferson,327,U.S. Senate,,REP,Senator John Boozman,41,0,17,1,23
Jefferson,328,U.S. Senate,,REP,Senator John Boozman,27,0,4,0,23
Jefferson,330,U.S. Senate,,REP,Senator John Boozman,119,0,46,10,63
Jefferson,331,U.S. Senate,,REP,Senator John Boozman,55,0,23,0,32
Jefferson,332,U.S. Senate,,REP,Senator John Boozman,3,0,3,0,0
Jefferson,403,U.S. Senate,,REP,Senator John Boozman,35,0,11,0,24
Jefferson,404,U.S. Senate,,REP,Senator John Boozman,16,0,3,0,13
Jefferson,405,U.S. Senate,,REP,Senator John Boozman,12,0,6,0,6
Jefferson,406,U.S. Senate,,REP,Senator John Boozman,190,0,52,0,138
Jefferson,407,U.S. Senate,,REP,Senator John Boozman,47,0,30,0,17
Jefferson,408,U.S. Senate,,REP,Senator John Boozman,31,2,20,0,9
Jefferson,409,U.S. Senate,,REP,Senator John Boozman,9,0,1,0,8
Jefferson,410,U.S. Senate,,REP,Senator John Boozman,1,0,1,0,0
Jefferson,412,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0
Jefferson,414,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0
Jefferson,415,U.S. Senate,,REP,Senator John Boozman,11,0,3,0,8
Jefferson,416,U.S. Senate,,REP,Senator John Boozman,15,0,9,0,6
Jefferson,417,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0
Jefferson,419,U.S. Senate,,REP,Senator John Boozman,2,0,2,0,0
Jefferson,420,U.S. Senate,,REP,Senator John Boozman,2,0,1,0,1
Jefferson,421,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0
Jefferson,422,U.S. Senate,,REP,Senator John Boozman,7,0,3,0,4
Jefferson,423,U.S. Senate,,REP,Senator John Boozman,10,0,3,0,7
Jefferson,425,U.S. Senate,,REP,Senator John Boozman,6,0,1,0,5
Jefferson,426,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0
Jefferson,450,U.S. Senate,,REP,Senator John Boozman,11,0,5,0,6
Jefferson,451,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0
Jefferson,452,U.S. Senate,,REP,Senator John Boozman,2,0,0,0,2
Jefferson,453,U.S. Senate,,REP,Senator John Boozman,8,0,3,0,5
Jefferson,454,U.S. Senate,,REP,Senator John Boozman,1,0,0,0,1
Jefferson,455,U.S. Senate,,REP,Senator John Boozman,6,0,2,0,4
Jefferson,510,U.S. Senate,,REP,Senator John Boozman,21,0,4,0,17
Jefferson,530,U.S. Senate,,REP,Senator John Boozman,18,0,0,0,18
Jefferson,610,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0
Jefferson,620,U.S. Senate,,REP,Senator John Boozman,29,0,15,0,14
Jefferson,711,U.S. Senate,,REP,Senator John Boozman,190,0,62,2,126
Jefferson,712,U.S. Senate,,REP,Senator John Boozman,135,0,39,3,93
Jefferson,713,U.S. Senate,,REP,Senator John Boozman,190,0,58,0,132
Jefferson,714,U.S. Senate,,REP,Senator John Boozman,2,0,0,0,2
Jefferson,721,U.S. Senate,,REP,Senator John Boozman,358,0,117,4,237
Jefferson,731,U.S. Senate,,REP,Senator John Boozman,187,1,64,0,122
Jefferson,732,U.S. Senate,,REP,Senator John Boozman,209,0,84,2,123
Jefferson,733,U.S. Senate,,REP,Senator John Boozman,90,0,34,0,56
Jefferson,810,U.S. Senate,,REP,Senator John Boozman,81,0,14,2,65
Jefferson,820,U.S. Senate,,REP,Senator John Boozman,75,1,11,2,61
Jefferson,830,U.S. Senate,,REP,Senator John Boozman,175,0,12,0,163
Jefferson,900,U.S. Senate,,REP,Senator John Boozman,21,1,2,3,15
Jefferson,950,U.S. Senate,,REP,Senator John Boozman,11,0,0,0,11
Jefferson,01,U.S. Senate,,DEM,Natalie James,12,1,1,0,10
Jefferson,02,U.S. Senate,,DEM,Natalie James,55,0,9,0,46
Jefferson,03,U.S. Senate,,DEM,Natalie James,1,0,0,0,1
Jefferson,04,U.S. Senate,,DEM,Natalie James,27,0,10,0,17
Jefferson,05,U.S. Senate,,DEM,Natalie James,8,0,6,0,2
Jefferson,07,U.S. Senate,,DEM,Natalie James,12,0,7,0,5
Jefferson,08,U.S. Senate,,DEM,Natalie James,2,0,0,0,2
Jefferson,09,U.S. Senate,,DEM,Natalie James,0,0,0,0,0
Jefferson,010,U.S. Senate,,DEM,Natalie James,3,0,0,0,3
Jefferson,011,U.S. Senate,,DEM,Natalie James,13,0,8,0,5
Jefferson,026,U.S. Senate,,DEM,Natalie James,43,0,11,0,32
Jefferson,027,U.S. Senate,,DEM,Natalie James,6,0,3,0,3
Jefferson,028,U.S. Senate,,DEM,Natalie James,99,0,45,1,53
Jefferson,029,U.S. Senate,,DEM,Natalie James,25,0,14,0,11
Jefferson,030,U.S. Senate,,DEM,Natalie James,7,0,5,0,2
Jefferson,031,U.S. Senate,,DEM,Natalie James,35,0,20,0,15
Jefferson,032,U.S. Senate,,DEM,Natalie James,1,0,0,0,1
Jefferson,033,U.S. Senate,,DEM,Natalie James,6,0,1,0,5
Jefferson,034,U.S. Senate,,DEM,Natalie James,0,0,0,0,0
Jefferson,036,U.S. Senate,,DEM,Natalie James,1,0,0,0,1
Jefferson,045,U.S. Senate,,DEM,Natalie James,7,0,4,0,3
Jefferson,050,U.S. Senate,,DEM,Natalie James,242,0,157,2,83
Jefferson,051,U.S. Senate,,DEM,Natalie James,81,0,32,1,48
Jefferson,053,U.S. Senate,,DEM,Natalie James,7,0,4,0,3
Jefferson,054,U.S. Senate,,DEM,Natalie James,125,1,70,5,49
Jefferson,055,U.S. Senate,,DEM,Natalie James,19,0,8,0,11
Jefferson,056,U.S. Senate,,DEM,Natalie James,34,0,15,0,19
Jefferson,057,U.S. Senate,,DEM,Natalie James,22,1,14,0,7
Jefferson,058,U.S. Senate,,DEM,Natalie James,81,0,50,0,31
Jefferson,059,U.S. Senate,,DEM,Natalie James,90,0,61,2,27
Jefferson,060,U.S. Senate,,DEM,Natalie James,11,0,6,0,5
Jefferson,061,U.S. Senate,,DEM,Natalie James,7,0,5,0,2
Jefferson,062,U.S. Senate,,DEM,Natalie James,1,0,0,0,1
Jefferson,064,U.S. Senate,,DEM,Natalie James,0,0,0,0,0
Jefferson,066,U.S. Senate,,DEM,Natalie James,24,0,19,0,5
Jefferson,067,U.S. Senate,,DEM,Natalie James,1,0,1,0,0
Jefferson,073,U.S. Senate,,DEM,Natalie James,52,0,34,0,18
Jefferson,074,U.S. Senate,,DEM,Natalie James,50,0,30,3,17
Jefferson,075,U.S. Senate,,DEM,Natalie James,34,0,18,0,16
Jefferson,076,U.S. Senate,,DEM,Natalie James,18,0,9,0,9
Jefferson,077,U.S. Senate,,DEM,Natalie James,20,0,10,0,10
Jefferson,078,U.S. Senate,,DEM,Natalie James,18,0,8,0,10
Jefferson,079,U.S. Senate,,DEM,Natalie James,4,0,2,0,2
Jefferson,080,U.S. Senate,,DEM,Natalie James,3,0,1,0,2
Jefferson,081,U.S. Senate,,DEM,Natalie James,2,0,1,0,1
Jefferson,082,U.S. Senate,,DEM,Natalie James,0,0,0,0,0
Jefferson,083,U.S. Senate,,DEM,Natalie James,20,0,16,0,4
Jefferson,084,U.S. Senate,,DEM,Natalie James,4,0,1,0,3
Jefferson,085,U.S. Senate,,DEM,Natalie James,6,0,1,0,5
Jefferson,086,U.S. Senate,,DEM,Natalie James,101,0,43,3,55
Jefferson,087,U.S. Senate,,DEM,Natalie James,36,0,13,0,23
Jefferson,089,U.S. Senate,,DEM,Natalie James,27,0,7,0,20
Jefferson,090,U.S. Senate,,DEM,Natalie James,7,1,4,0,2
Jefferson,092,U.S. Senate,,DEM,Natalie James,4,0,0,0,4
Jefferson,093,U.S. Senate,,DEM,Natalie James,1,0,0,0,1
Jefferson,094,U.S. Senate,,DEM,Natalie James,3,0,0,0,3
Jefferson,101,U.S. Senate,,DEM,Natalie James,2,0,2,0,0
Jefferson,104,U.S. Senate,,DEM,Natalie James,63,0,44,0,19
Jefferson,105,U.S. Senate,,DEM,Natalie James,6,0,5,0,1
Jefferson,106,U.S. Senate,,DEM,Natalie James,39,0,22,0,17
Jefferson,107,U.S. Senate,,DEM,Natalie James,233,1,119,5,108
Jefferson,108,U.S. Senate,,DEM,Natalie James,8,0,7,0,1
