county,precinct,office,district,party,candidate,votes,early_vote,absentee,election_day
Fulton,Benton/Union,U.S. Senate,,LIB,Kenneth Cates,41,29,0,12
Fulton,Vidette/Big Creek,U.S. Senate,,LIB,Kenneth Cates,15,3,0,12
Fulton,Cleveland,U.S. Senate,,LIB,Kenneth Cates,1,1,0,0
Fulton,Fulton/Mt Calm,U.S. Senate,,LIB,Kenneth Cates,17,6,0,11
Fulton,MS/Afton,U.S. Senate,,LIB,Kenneth Cates,29,8,1,20
Fulton,Myatt,U.S. Senate,,LIB,Kenneth Cates,3,0,0,3
Fulton,PR/SB,U.S. Senate,,LIB,Kenneth Cates,27,9,0,18
Fulton,Cherokee Village,U.S. Senate,,LIB,Kenneth Cates,13,4,0,9
Fulton,Southfork/Wilson,U.S. Senate,,LIB,Kenneth Cates,14,8,0,6
Fulton,Washington,U.S. Senate,,LIB,Kenneth Cates,8,4,0,4
Fulton,Benton/Union,U.S. Senate,,DEM,Natalie James,199,133,9,57
Fulton,Vidette/Big Creek,U.S. Senate,,DEM,Natalie James,29,9,0,20
Fulton,Cleveland,U.S. Senate,,DEM,Natalie James,17,8,1,8
Fulton,Fulton/Mt Calm,U.S. Senate,,DEM,Natalie James,47,20,1,26
Fulton,MS/Afton,U.S. Senate,,DEM,Natalie James,136,57,3,76
Fulton,Myatt,U.S. Senate,,DEM,Natalie James,5,3,1,1
Fulton,PR/SB,U.S. Senate,,DEM,Natalie James,103,58,4,41
Fulton,Cherokee Village,U.S. Senate,,DEM,Natalie James,71,30,0,41
Fulton,Southfork/Wilson,U.S. Senate,,DEM,Natalie James,48,31,2,15
Fulton,Washington,U.S. Senate,,DEM,Natalie James,26,12,4,10
Fulton,Benton/Union,U.S. Senate,,REP,Senator John Boozman,656,449,11,196
Fulton,Vidette/Big Creek,U.S. Senate,,REP,Senator John Boozman,270,78,3,189
Fulton,Cleveland,U.S. Senate,,REP,Senator John Boozman,105,61,0,44
Fulton,Fulton/Mt Calm,U.S. Senate,,REP,Senator John Boozman,329,113,2,214
Fulton,MS/Afton,U.S. Senate,,REP,Senator John Boozman,570,234,12,324
Fulton,Myatt,U.S. Senate,,REP,Senator John Boozman,65,23,0,42
Fulton,PR/SB,U.S. Senate,,REP,Senator John Boozman,540,245,6,289
Fulton,Cherokee Village,U.S. Senate,,REP,Senator John Boozman,230,69,10,151
Fulton,Southfork/Wilson,U.S. Senate,,REP,Senator John Boozman,221,130,6,85
Fulton,Washington,U.S. Senate,,REP,Senator John Boozman,133,85,1,47
Fulton,Benton/Union,U.S. Congress District 01,,DEM,Representative Monte Hodges,215,150,9,56
Fulton,Vidette/Big Creek,U.S. Congress District 01,,DEM,Representative Monte Hodges,36,7,0,29
Fulton,Cleveland,U.S. Congress District 01,,DEM,Representative Monte Hodges,19,9,1,9
Fulton,Fulton/Mt Calm,U.S. Congress District 01,,DEM,Representative Monte Hodges,51,22,1,28
Fulton,MS/Afton,U.S. Congress District 01,,DEM,Representative Monte Hodges,145,59,4,82
Fulton,Myatt,U.S. Congress District 01,,DEM,Representative Monte Hodges,8,3,1,4
