county,precinct,office,district,party,candidate,votes,absentee,election_day,early_voting
Logan,Cane Creek,U.S. Senate,,DEM,Natalie James,32,0,20,12
Logan,Clark Crossroads,U.S. Senate,,DEM,Natalie James,23,0,10,13
Logan,Clark City,U.S. Senate,,DEM,Natalie James,23,0,15,8
Logan,Clark Rural,U.S. Senate,,DEM,Natalie James,21,1,8,12
Logan,Delaware,U.S. Senate,,DEM,Natalie James,36,1,16,19
Logan,Driggs,U.S. Senate,,DEM,Natalie James,12,2,4,6
Logan,Ellsworth,U.S. Senate,,DEM,Natalie James,18,0,7,11
Logan,Johnson,U.S. Senate,,DEM,Natalie James,17,0,4,13
Logan,Logan,U.S. Senate,,DEM,Natalie James,29,2,18,9
Logan,Mountain,U.S. Senate,,DEM,Natalie James,7,0,4,3
Logan,River City,U.S. Senate,,DEM,Natalie James,10,0,7,3
Logan,River Rural,U.S. Senate,,DEM,Natalie James,32,0,23,9
Logan,Shoal Creek,U.S. Senate,,DEM,Natalie James,51,3,24,24
Logan,Short Mtn Ward 1,U.S. Senate,,DEM,Natalie James,97,1,24,72
Logan,Short Mtn Ward 2,U.S. Senate,,DEM,Natalie James,49,5,9,35
Logan,Short Mtn Ward 3,U.S. Senate,,DEM,Natalie James,37,1,17,19
Logan,Short Mtn Ward 4,U.S. Senate,,DEM,Natalie James,90,6,27,57
Logan,Caulksville City,U.S. Senate,,DEM,Natalie James,9,0,7,2
Logan,Caulksville Rural,U.S. Senate,,DEM,Natalie James,33,0,19,14
Logan,Ratcliff City,U.S. Senate,,DEM,Natalie James,7,0,7,0
Logan,Ratcliff Rural,U.S. Senate,,DEM,Natalie James,21,0,16,5
Logan,Morrison Bluff,U.S. Senate,,DEM,Natalie James,9,0,8,1
Logan,Blue Mtn City,U.S. Senate,,DEM,Natalie James,1,0,1,0
Logan,Blue Mtn Rural,U.S. Senate,,DEM,Natalie James,4,0,1,3
Logan,Boone Ward 1,U.S. Senate,,DEM,Natalie James,40,0,11,29
Logan,Boone Ward 2,U.S. Senate,,DEM,Natalie James,57,0,17,40
Logan,Boone Ward 3,U.S. Senate,,DEM,Natalie James,82,3,25,54
Logan,Boone Ward 4,U.S. Senate,,DEM,Natalie James,61,3,18,40
Logan,Cauthron,U.S. Senate,,DEM,Natalie James,20,0,4,16
Logan,Petit Jean,U.S. Senate,,DEM,Natalie James,11,0,0,11
Logan,Reveille City,U.S. Senate,,DEM,Natalie James,20,0,16,4
Logan,Reveille Rural,U.S. Senate,,DEM,Natalie James,36,0,25,11
Logan,Sugar Creek,U.S. Senate,,DEM,Natalie James,19,0,4,15
Logan,Washburn,U.S. Senate,,DEM,Natalie James,42,0,14,28
Logan,Barber,U.S. Senate,,DEM,Natalie James,15,0,4,11
Logan,Tomlinson,U.S. Senate,,DEM,Natalie James,23,0,14,9
Logan,Cane Creek,U.S. Senate,,REP,Senator John Boozman,139,2,100,37
