county,precinct,office,district,party,candidate,votes,early_vote,absentee,election_day
Bradley,Ward 1,U.S. Senate,,REP,Senator John Boozman,116,67,1,48
Bradley,Ward 2,U.S. Senate,,REP,Senator John Boozman,253,131,8,114
Bradley,Ward 3,U.S. Senate,,REP,Senator John Boozman,174,89,0,85
Bradley,North,U.S. Senate,,REP,Senator John Boozman,424,245,6,173
Bradley,South,U.S. Senate,,REP,Senator John Boozman,246,133,1,112
Bradley,Banks City,U.S. Senate,,REP,Senator John Boozman,19,8,0,11
Bradley,Banks Rural,U.S. Senate,,REP,Senator John Boozman,80,24,0,56
Bradley,Springhill,U.S. Senate,,REP,Senator John Boozman,101,32,0,69
Bradley,Hermitage City,U.S. Senate,,REP,Senator John Boozman,57,17,0,40
Bradley,Hermitage Rural,U.S. Senate,,REP,Senator John Boozman,156,60,1,95
Bradley,Eagle Lake,U.S. Senate,,REP,Senator John Boozman,42,10,0,32
Bradley,Jersey,U.S. Senate,,REP,Senator John Boozman,46,9,1,36
Bradley,Johnsville,U.S. Senate,,REP,Senator John Boozman,62,15,0,47
Bradley,Marion,U.S. Senate,,REP,Senator John Boozman,48,14,0,34
Bradley,Ward 1,U.S. Senate,,LIB,Kenneth Cates,12,7,0,5
Bradley,Ward 2,U.S. Senate,,LIB,Kenneth Cates,10,7,0,3
Bradley,Ward 3,U.S. Senate,,LIB,Kenneth Cates,11,9,1,1
Bradley,North,U.S. Senate,,LIB,Kenneth Cates,9,5,0,4
Bradley,South,U.S. Senate,,LIB,Kenneth Cates,5,2,0,3
Bradley,Banks City,U.S. Senate,,LIB,Kenneth Cates,1,0,0,1
Bradley,Banks Rural,U.S. Senate,,LIB,Kenneth Cates,3,1,0,2
Bradley,Springhill,U.S. Senate,,LIB,Kenneth Cates,2,2,0,0
Bradley,Hermitage City,U.S. Senate,,LIB,Kenneth Cates,0,0,0,0
Bradley,Hermitage Rural,U.S. Senate,,LIB,Kenneth Cates,3,0,0,3
Bradley,Eagle Lake,U.S. Senate,,LIB,Kenneth Cates,5,0,0,5
Bradley,Jersey,U.S. Senate,,LIB,Kenneth Cates,0,0,0,0
