county,precinct,office,district,party,candidate,votes,provisional,early_vote,absentee,election_day
Izard,Big Spring,U.S. Senate,,LIB,Kenneth Cates,5,0,0,0,5
Izard,Boswell,U.S. Senate,,LIB,Kenneth Cates,2,0,0,0,2
Izard,Brockwell,U.S. Senate,,LIB,Kenneth Cates,5,0,2,0,3
Izard,Calico Rock Rural,U.S. Senate,,LIB,Kenneth Cates,2,0,2,0,0
Izard,Calico Rock _ Ward 1,U.S. Senate,,LIB,Kenneth Cates,1,0,1,0,0
Izard,Calico Rock _ Ward 2,U.S. Senate,,LIB,Kenneth Cates,3,0,0,0,3
Izard,Calico Rock _ Ward 3,U.S. Senate,,LIB,Kenneth Cates,2,0,1,0,1
Izard,Calico Rock _ Ward 4,U.S. Senate,,LIB,Kenneth Cates,3,0,2,0,1
Izard,Claiborne,U.S. Senate,,LIB,Kenneth Cates,6,0,3,2,1
Izard,Dolph,U.S. Senate,,LIB,Kenneth Cates,0,0,0,0,0
Izard,Franklin City,U.S. Senate,,LIB,Kenneth Cates,0,0,0,0,0
Izard,Franklin Rural,U.S. Senate,,LIB,Kenneth Cates,4,0,2,0,2
Izard,Gid,U.S. Senate,,LIB,Kenneth Cates,4,0,1,0,3
Izard,Guion City,U.S. Senate,,LIB,Kenneth Cates,1,0,1,0,0
Izard,Guion Rural,U.S. Senate,,LIB,Kenneth Cates,0,0,0,0,0
Izard,Horseshoe Bend Rural,U.S. Senate,,LIB,Kenneth Cates,1,0,1,0,0
Izard,Horseshoe Bend _ Ward 1,U.S. Senate,,LIB,Kenneth Cates,5,0,3,0,2
Izard,Horseshoe Bend _ Ward 2,U.S. Senate,,LIB,Kenneth Cates,7,0,5,0,2
Izard,Horseshoe Bend _ Ward 3,U.S. Senate,,LIB,Kenneth Cates,9,1,6,0,2
Izard,Horseshoe Bend _ Ward 4,U.S. Senate,,LIB,Kenneth Cates,11,0,9,0,2
Izard,Knob Creek,U.S. Senate,,LIB,Kenneth Cates,1,0,0,0,1
Izard,Lacrosse,U.S. Senate,,LIB,Kenneth Cates,4,0,2,0,2
Izard,Lafferty,U.S. Senate,,LIB,Kenneth Cates,3,1,1,0,1
Izard,Larkin,U.S. Senate,,LIB,Kenneth Cates,1,0,0,0,1
Izard,Melbourne Rural,U.S. Senate,,LIB,Kenneth Cates,5,0,2,0,3
Izard,Melbourne _ Ward 1,U.S. Senate,,LIB,Kenneth Cates,6,0,6,0,0
Izard,Melbourne _ Ward 2,U.S. Senate,,LIB,Kenneth Cates,3,0,2,0,1
Izard,Melbourne _ Ward 3,U.S. Senate,,LIB,Kenneth Cates,0,0,0,0,0
Izard,Melbourne _ Ward 4,U.S. Senate,,LIB,Kenneth Cates,6,0,4,0,2
Izard,Mount Pleasant City,U.S. Senate,,LIB,Kenneth Cates,5,0,1,0,4
Izard,Mount Pleasant Rural,U.S. Senate,,LIB,Kenneth Cates,2,0,0,0,2
Izard,Myron,U.S. Senate,,LIB,Kenneth Cates,0,0,0,0,0
Izard,Newburg,U.S. Senate,,LIB,Kenneth Cates,0,0,0,0,0
Izard,Oxford City,U.S. Senate,,LIB,Kenneth Cates,15,0,5,0,10
Izard,Oxford Rural,U.S. Senate,,LIB,Kenneth Cates,4,0,1,0,3
Izard,Pineville City,U.S. Senate,,LIB,Kenneth Cates,4,0,1,0,3
Izard,Pineville Rural,U.S. Senate,,LIB,Kenneth Cates,4,0,3,0,1
Izard,Sage,U.S. Senate,,LIB,Kenneth Cates,3,0,0,0,3
Izard,Strawberry,U.S. Senate,,LIB,Kenneth Cates,3,0,3,0,0
Izard,Sylamore,U.S. Senate,,LIB,Kenneth Cates,4,0,2,0,2
Izard,Twin Creek,U.S. Senate,,LIB,Kenneth Cates,3,0,1,0,2
Izard,Violet Hill,U.S. Senate,,LIB,Kenneth Cates,5,0,3,0,2
Izard,Wideman,U.S. Senate,,LIB,Kenneth Cates,3,0,1,0,2
