county,precinct,office,district,party,candidate,votes,provisional,early_vote,absentee,election_day
Clay,North St. Francis,U.S. Senate,,LIB,Kenneth Cates,31,0,21,0,10
Clay,South St. Francis,U.S. Senate,,LIB,Kenneth Cates,21,0,14,0,7
Clay,East Oak Bluff,U.S. Senate,,LIB,Kenneth Cates,14,0,7,0,7
Clay,West Oak Bluff,U.S. Senate,,LIB,Kenneth Cates,13,0,3,1,9
Clay,Bennett & Lemmons,U.S. Senate,,LIB,Kenneth Cates,2,0,2,0,0
Clay,Bradshaw & Haywood,U.S. Senate,,LIB,Kenneth Cates,2,0,0,0,2
Clay,Johnson,U.S. Senate,,LIB,Kenneth Cates,2,0,1,0,1
Clay,Knob,U.S. Senate,,LIB,Kenneth Cates,1,0,1,0,0
Clay,Liddell & Chalk Bluff,U.S. Senate,,LIB,Kenneth Cates,6,0,6,0,0
Clay,Payne & Swain,U.S. Senate,,LIB,Kenneth Cates,3,0,3,0,0
Clay,Pollard/JP1,U.S. Senate,,LIB,Kenneth Cates,4,0,3,0,1
Clay,Brown & Carpenter,U.S. Senate,,LIB,Kenneth Cates,4,1,2,0,1
Clay,Cache & Wilson,U.S. Senate,,LIB,Kenneth Cates,3,0,2,0,1
Clay,Clark,U.S. Senate,,LIB,Kenneth Cates,1,0,1,0,0
Clay,Nelson,U.S. Senate,,LIB,Kenneth Cates,2,0,1,0,1
Clay,North Kilgore & Cleveland,U.S. Senate,,LIB,Kenneth Cates,12,0,9,0,3
Clay,South Kilgore & Gleghorn,U.S. Senate,,LIB,Kenneth Cates,18,1,11,0,6
Clay,North St. Francis,U.S. Senate,,REP,Senator John Boozman,599,1,413,14,171
Clay,South St. Francis,U.S. Senate,,REP,Senator John Boozman,357,1,218,6,132
Clay,East Oak Bluff,U.S. Senate,,REP,Senator John Boozman,235,1,88,2,144
Clay,West Oak Bluff,U.S. Senate,,REP,Senator John Boozman,228,0,67,3,158
Clay,Bennett & Lemmons,U.S. Senate,,REP,Senator John Boozman,96,1,53,2,40
Clay,Bradshaw & Haywood,U.S. Senate,,REP,Senator John Boozman,147,0,81,4,62
Clay,Johnson,U.S. Senate,,REP,Senator John Boozman,57,0,19,0,38
Clay,Knob,U.S. Senate,,REP,Senator John Boozman,45,0,20,0,25
Clay,Liddell & Chalk Bluff,U.S. Senate,,REP,Senator John Boozman,125,0,88,1,36
Clay,Payne & Swain,U.S. Senate,,REP,Senator John Boozman,63,0,45,1,17
Clay,Pollard/JP1,U.S. Senate,,REP,Senator John Boozman,139,0,78,0,61
Clay,Brown & Carpenter,U.S. Senate,,REP,Senator John Boozman,59,1,35,2,21
Clay,Cache & Wilson,U.S. Senate,,REP,Senator John Boozman,51,0,39,0,12
Clay,Clark,U.S. Senate,,REP,Senator John Boozman,25,0,14,0,11
Clay,Nelson,U.S. Senate,,REP,Senator John Boozman,30,0,21,0,9
Clay,North Kilgore & Cleveland,U.S. Senate,,REP,Senator John Boozman,456,6,284,7,159
Clay,South Kilgore & Gleghorn,U.S. Senate,,REP,Senator John Boozman,368,2,236,7,123
Clay,North St. Francis,U.S. Senate,,DEM,Natalie James,142,0,105,2,35
Clay,South St. Francis,U.S. Senate,,DEM,Natalie James,88,0,58,2,28
Clay,East Oak Bluff,U.S. Senate,,DEM,Natalie James,66,0,34,5,27
Clay,West Oak Bluff,U.S. Senate,,DEM,Natalie James,86,0,35,2,49
Clay,Bennett & Lemmons,U.S. Senate,,DEM,Natalie James,9,0,6,0,3
Clay,Bradshaw & Haywood,U.S. Senate,,DEM,Natalie James,19,0,11,0,8
Clay,Johnson,U.S. Senate,,DEM,Natalie James,13,0,4,0,9
Clay,Knob,U.S. Senate,,DEM,Natalie James,6,0,4,0,2
Clay,Liddell & Chalk Bluff,U.S. Senate,,DEM,Natalie James,29,0,21,0,8
Clay,Payne & Swain,U.S. Senate,,DEM,Natalie James,16,0,12,0,4
Clay,Pollard/JP1,U.S. Senate,,DEM,Natalie James,20,0,12,0,8
Clay,Brown & Carpenter,U.S. Senate,,DEM,Natalie James,15,0,9,0,6
Clay,Cache & Wilson,U.S. Senate,,DEM,Natalie James,7,0,4,0,3
Clay,Clark,U.S. Senate,,DEM,Natalie James,8,0,6,0,2
Clay,Nelson,U.S. Senate,,DEM,Natalie James,5,0,3,0,2
Clay,North Kilgore & Cleveland,U.S. Senate,,DEM,Natalie James,85,2,56,3,24
Clay,South Kilgore & Gleghorn,U.S. Senate,,DEM,Natalie James,84,2,62,1,19
Clay,North St. Francis,U.S. Congress District 01,,DEM,Representative Monte Hodges,152,0,115,2,35
Clay,South St. Francis,U.S. Congress District 01,,DEM,Representative Monte Hodges,92,0,60,2,30
Clay,East Oak Bluff,U.S. Congress District 01,,DEM,Representative Monte Hodges,67,0,31,5,31
Clay,West Oak Bluff,U.S. Congress District 01,,DEM,Representative Monte Hodges,100,0,40,3,57
Clay,Bennett & Lemmons,U.S. Congress District 01,,DEM,Representative Monte Hodges,9,0,6,0,3
Clay,Bradshaw & Haywood,U.S. Congress District 01,,DEM,Representative Monte Hodges,18,0,11,0,7
Clay,Johnson,U.S. Congress District 01,,DEM,Representative Monte Hodges,13,0,5,0,8
Clay,Knob,U.S. Congress District 01,,DEM,Representative Monte Hodges,8,0,6,0,2
Clay,Liddell & Chalk Bluff,U.S. Congress District 01,,DEM,Representative Monte Hodges,26,0,19,0,7
Clay,Payne & Swain,U.S. Congress District 01,,DEM,Representative Monte Hodges,16,0,13,0,3
Clay,Pollard/JP1,U.S. Congress District 01,,DEM,Representative Monte Hodges,23,0,13,0,10
Clay,Brown & Carpenter,U.S. Congress District 01,,DEM,Representative Monte Hodges,19,1,11,0,7
Clay,Cache & Wilson,U.S. Congress District 01,,DEM,Representative Monte Hodges,9,0,5,0,4
Clay,Clark,U.S. Congress District 01,,DEM,Representative Monte Hodges,8,0,6,0,2
Clay,Nelson,U.S. Congress District 01,,DEM,Representative Monte Hodges,8,0,5,0,3
Clay,North Kilgore & Cleveland,U.S. Congress District 01,,DEM,Representative Monte Hodges,78,1,55,3,19
Clay,South Kilgore & Gleghorn,U.S. Congress District 01,,DEM,Representative Monte Hodges,77,2,57,1,17
Clay,North St. Francis,U.S. Congress District 01,,REP,Congressman Rick Crawford,622,1,424,14,183
Clay,South St. Francis,U.S. Congress District 01,,REP,Congressman Rick Crawford,372,1,227,6,138
Clay,East Oak Bluff,U.S. Congress District 01,,REP,Congressman Rick Crawford,249,1,99,2,147
Clay,West Oak Bluff,U.S. Congress District 01,,REP,Congressman Rick Crawford,228,0,65,3,160
Clay,Bennett & Lemmons,U.S. Congress District 01,,REP,Congressman Rick Crawford,97,1,54,2,40
Clay,Bradshaw & Haywood,U.S. Congress District 01,,REP,Congressman Rick Crawford,151,0,81,4,66
Clay,Johnson,U.S. Congress District 01,,REP,Congressman Rick Crawford,60,0,19,0,41
Clay,Knob,U.S. Congress District 01,,REP,Congressman Rick Crawford,45,0,20,0,25
Clay,Liddell & Chalk Bluff,U.S. Congress District 01,,REP,Congressman Rick Crawford,133,0,95,1,37
Clay,Payne & Swain,U.S. Congress District 01,,REP,Congressman Rick Crawford,65,0,46,1,18
Clay,Pollard/JP1,U.S. Congress District 01,,REP,Congressman Rick Crawford,139,0,80,0,59
Clay,Brown & Carpenter,U.S. Congress District 01,,REP,Congressman Rick Crawford,60,1,35,2,22
Clay,Cache & Wilson,U.S. Congress District 01,,REP,Congressman Rick Crawford,53,0,41,0,12
Clay,Clark,U.S. Congress District 01,,REP,Congressman Rick Crawford,26,0,15,0,11
Clay,Nelson,U.S. Congress District 01,,REP,Congressman Rick Crawford,29,0,20,0,9
Clay,North Kilgore & Cleveland,U.S. Congress District 01,,REP,Congressman Rick Crawford,473,8,293,6,166
Clay,South Kilgore & Gleghorn,U.S. Congress District 01,,REP,Congressman Rick Crawford,393,3,249,7,134
Clay,North St. Francis,Attorney General,,DEM,Jesse Gibson,155,0,117,2,36
Clay,South St. Francis,Attorney General,,DEM,Jesse Gibson,96,0,67,2,27
Clay,East Oak Bluff,Attorney General,,DEM,Jesse Gibson,77,0,38,5,34
