county,precinct,office,district,party,candidate,votes,early_vote,absentee,election_day
Polk,Precinct 1 - Mena,U.S. Senate,,DEM,Natalie James,91,72,1,18
Polk,Precinct 2 - Mena,U.S. Senate,,DEM,Natalie James,121,85,4,32
Polk,Precinct 3 - Mena,U.S. Senate,,DEM,Natalie James,126,80,1,45
Polk,Precinct 4 - Acorn,U.S. Senate,,DEM,Natalie James,55,27,1,27
Polk,Precinct 5 - Ink,U.S. Senate,,DEM,Natalie James,24,9,3,12
Polk,Precinct 6 - Board Camp,U.S. Senate,,DEM,Natalie James,47,28,2,17
Polk,Precinct 7- Cherry Hill,U.S. Senate,,DEM,Natalie James,42,23,3,16
Polk,Precinct 8 - Big Fork,U.S. Senate,,DEM,Natalie James,9,6,0,3
Polk,Precinct 9 - Dallas Valley,U.S. Senate,,DEM,Natalie James,98,73,4,21
Polk,Precinct 10 - Shady Grove,U.S. Senate,,DEM,Natalie James,43,30,2,11
Polk,Precinct 11 - Rocky,U.S. Senate,,DEM,Natalie James,24,20,2,2
Polk,Precinct 12- Potter,U.S. Senate,,DEM,Natalie James,91,68,7,16
Polk,Precinct 13 - Hatfield,U.S. Senate,,DEM,Natalie James,51,21,2,28
Polk,Precinct 14 - Cove,U.S. Senate,,DEM,Natalie James,38,13,2,23
Polk,Precinct 15- Vandervoort,U.S. Senate,,DEM,Natalie James,22,10,1,11
Polk,Precinct 16 - Wickes,U.S. Senate,,DEM,Natalie James,32,7,0,25
Polk,Precinct 17 - Grannis,U.S. Senate,,DEM,Natalie James,18,1,0,17
Polk,Precinct 1 - Mena,U.S. Senate,,LIB,Kenneth Cates,23,10,1,12
Polk,Precinct 2 - Mena,U.S. Senate,,LIB,Kenneth Cates,32,15,1,16
Polk,Precinct 3 - Mena,U.S. Senate,,LIB,Kenneth Cates,27,15,0,12
Polk,Precinct 4 - Acorn,U.S. Senate,,LIB,Kenneth Cates,14,9,0,5
Polk,Precinct 5 - Ink,U.S. Senate,,LIB,Kenneth Cates,11,2,1,8
Polk,Precinct 6 - Board Camp,U.S. Senate,,LIB,Kenneth Cates,10,7,0,3
Polk,Precinct 7- Cherry Hill,U.S. Senate,,LIB,Kenneth Cates,6,3,0,3
Polk,Precinct 8 - Big Fork,U.S. Senate,,LIB,Kenneth Cates,3,3,0,0
Polk,Precinct 9 - Dallas Valley,U.S. Senate,,LIB,Kenneth Cates,21,12,0,9
Polk,Precinct 10 - Shady Grove,U.S. Senate,,LIB,Kenneth Cates,15,12,0,3
Polk,Precinct 11 - Rocky,U.S. Senate,,LIB,Kenneth Cates,8,5,0,3
Polk,Precinct 12- Potter,U.S. Senate,,LIB,Kenneth Cates,30,21,0,9
Polk,Precinct 13 - Hatfield,U.S. Senate,,LIB,Kenneth Cates,13,8,0,5
Polk,Precinct 14 - Cove,U.S. Senate,,LIB,Kenneth Cates,18,1,2,15
Polk,Precinct 15- Vandervoort,U.S. Senate,,LIB,Kenneth Cates,10,5,0,5
Polk,Precinct 16 - Wickes,U.S. Senate,,LIB,Kenneth Cates,18,5,0,13
Polk,Precinct 17 - Grannis,U.S. Senate,,LIB,Kenneth Cates,4,1,0,3
Polk,Precinct 1 - Mena,U.S. Senate,,REP,Senator John Boozman,427,266,16,145
Polk,Precinct 2 - Mena,U.S. Senate,,REP,Senator John Boozman,453,301,22,130
Polk,Precinct 3 - Mena,U.S. Senate,,REP,Senator John Boozman,491,307,15,169
Polk,Precinct 4 - Acorn,U.S. Senate,,REP,Senator John Boozman,602,369,7,226
Polk,Precinct 5 - Ink,U.S. Senate,,REP,Senator John Boozman,132,49,4,79
Polk,Precinct 6 - Board Camp,U.S. Senate,,REP,Senator John Boozman,295,162,15,118
Polk,Precinct 7- Cherry Hill,U.S. Senate,,REP,Senator John Boozman,260,120,3,137
Polk,Precinct 8 - Big Fork,U.S. Senate,,REP,Senator John Boozman,69,41,1,27
Polk,Precinct 9 - Dallas Valley,U.S. Senate,,REP,Senator John Boozman,704,487,13,204
Polk,Precinct 10 - Shady Grove,U.S. Senate,,REP,Senator John Boozman,318,235,5,78
Polk,Precinct 11 - Rocky,U.S. Senate,,REP,Senator John Boozman,175,126,3,46
Polk,Precinct 12- Potter,U.S. Senate,,REP,Senator John Boozman,466,317,7,142
Polk,Precinct 13 - Hatfield,U.S. Senate,,REP,Senator John Boozman,334,130,5,199
Polk,Precinct 14 - Cove,U.S. Senate,,REP,Senator John Boozman,300,98,2,200
Polk,Precinct 15- Vandervoort,U.S. Senate,,REP,Senator John Boozman,179,78,7,94
Polk,Precinct 16 - Wickes,U.S. Senate,,REP,Senator John Boozman,300,87,6,207
Polk,Precinct 17 - Grannis,U.S. Senate,,REP,Senator John Boozman,164,18,0,146
Polk,Precinct 1 - Mena,U.S. Congress District 04,,DEM,John White,86,66,1,19
Polk,Precinct 2 - Mena,U.S. Congress District 04,,DEM,John White,115,79,5,31
Polk,Precinct 3 - Mena,U.S. Congress District 04,,DEM,John White,117,73,1,43
Polk,Precinct 4 - Acorn,U.S. Congress District 04,,DEM,John White,46,21,1,24
Polk,Precinct 5 - Ink,U.S. Congress District 04,,DEM,John White,24,9,3,12
Polk,Precinct 6 - Board Camp,U.S. Congress District 04,,DEM,John White,45,29,3,13
Polk,Precinct 7- Cherry Hill,U.S. Congress District 04,,DEM,John White,41,24,3,14
Polk,Precinct 8 - Big Fork,U.S. Congress District 04,,DEM,John White,8,5,0,3
Polk,Precinct 9 - Dallas Valley,U.S. Congress District 04,,DEM,John White,86,65,5,16
Polk,Precinct 10 - Shady Grove,U.S. Congress District 04,,DEM,John White,46,33,2,11
Polk,Precinct 11 - Rocky,U.S. Congress District 04,,DEM,John White,22,18,2,2
Polk,Precinct 12- Potter,U.S. Congress District 04,,DEM,John White,91,69,7,15
Polk,Precinct 13 - Hatfield,U.S. Congress District 04,,DEM,John White,45,19,1,25
Polk,Precinct 14 - Cove,U.S. Congress District 04,,DEM,John White,37,14,2,21
Polk,Precinct 15- Vandervoort,U.S. Congress District 04,,DEM,John White,22,11,2,9
Polk,Precinct 16 - Wickes,U.S. Congress District 04,,DEM,John White,28,5,0,23
Polk,Precinct 17 - Grannis,U.S. Congress District 04,,DEM,John White,15,1,0,14
Polk,Precinct 1 - Mena,U.S. Congress District 04,,LIB,Gregory Maxwell,20,10,0,10
Polk,Precinct 2 - Mena,U.S. Congress District 04,,LIB,Gregory Maxwell,28,12,0,16
Polk,Precinct 3 - Mena,U.S. Congress District 04,,LIB,Gregory Maxwell,33,19,0,14
Polk,Precinct 4 - Acorn,U.S. Congress District 04,,LIB,Gregory Maxwell,16,9,1,6
Polk,Precinct 5 - Ink,U.S. Congress District 04,,LIB,Gregory Maxwell,7,1,1,5
Polk,Precinct 6 - Board Camp,U.S. Congress District 04,,LIB,Gregory Maxwell,10,5,0,5
Polk,Precinct 7- Cherry Hill,U.S. Congress District 04,,LIB,Gregory Maxwell,7,4,0,3
Polk,Precinct 8 - Big Fork,U.S. Congress District 04,,LIB,Gregory Maxwell,2,1,0,1
Polk,Precinct 9 - Dallas Valley,U.S. Congress District 04,,LIB,Gregory Maxwell,24,16,1,7
Polk,Precinct 10 - Shady Grove,U.S. Congress District 04,,LIB,Gregory Maxwell,11,7,0,4
Polk,Precinct 11 - Rocky,U.S. Congress District 04,,LIB,Gregory Maxwell,5,4,0,1
Polk,Precinct 12- Potter,U.S. Congress District 04,,LIB,Gregory Maxwell,28,17,0,11
Polk,Precinct 13 - Hatfield,U.S. Congress District 04,,LIB,Gregory Maxwell,11,5,0,6
Polk,Precinct 14 - Cove,U.S. Congress District 04,,LIB,Gregory Maxwell,14,0,0,14
Polk,Precinct 15- Vandervoort,U.S. Congress District 04,,LIB,Gregory Maxwell,5,2,0,3
Polk,Precinct 16 - Wickes,U.S. Congress District 04,,LIB,Gregory Maxwell,16,6,0,10
Polk,Precinct 17 - Grannis,U.S. Congress District 04,,LIB,Gregory Maxwell,4,1,0,3
Polk,Precinct 1 - Mena,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,432,271,17,144
Polk,Precinct 2 - Mena,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,464,311,22,131
Polk,Precinct 3 - Mena,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,491,308,15,168
Polk,Precinct 4 - Acorn,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,609,376,6,227
Polk,Precinct 5 - Ink,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,136,51,4,81
Polk,Precinct 6 - Board Camp,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,296,163,14,119
Polk,Precinct 7- Cherry Hill,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,258,117,3,138
Polk,Precinct 8 - Big Fork,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,72,45,1,26
Polk,Precinct 9 - Dallas Valley,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,713,492,11,210
Polk,Precinct 10 - Shady Grove,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,319,237,5,77
Polk,Precinct 11 - Rocky,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,178,127,3,48
Polk,Precinct 12- Potter,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,470,320,7,143
Polk,Precinct 13 - Hatfield,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,343,134,5,204
Polk,Precinct 14 - Cove,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,304,98,4,202
Polk,Precinct 15- Vandervoort,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,182,79,6,97
Polk,Precinct 16 - Wickes,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,304,88,6,210
