county,precinct,office,district,party,candidate,votes,early_vote,absentee,election_day
Pike,Antoine,U.S. Senate,,DEM,Natalie James,47,21,3,23
Pike,Daisy,U.S. Senate,,DEM,Natalie James,26,21,2,3
Pike,Delight,U.S. Senate,,DEM,Natalie James,37,17,2,18
Pike,Glenwood North,U.S. Senate,,DEM,Natalie James,55,35,3,17
Pike,Glenwood South,U.S. Senate,,DEM,Natalie James,51,39,0,12
Pike,Kirby,U.S. Senate,,DEM,Natalie James,39,18,0,21
Pike,Langley/Lodi,U.S. Senate,,DEM,Natalie James,9,4,2,3
Pike,Murfreesboro East,U.S. Senate,,DEM,Natalie James,93,76,2,15
Pike,Murfreesboro West,U.S. Senate,,DEM,Natalie James,90,72,6,12
Pike,Newhope,U.S. Senate,,DEM,Natalie James,10,8,0,2
Pike,Pisgah,U.S. Senate,,DEM,Natalie James,15,5,0,10
Pike,Antoine,U.S. Senate,,LIB,Kenneth Cates,1,1,0,0
Pike,Daisy,U.S. Senate,,LIB,Kenneth Cates,8,4,0,4
Pike,Delight,U.S. Senate,,LIB,Kenneth Cates,13,6,1,6
Pike,Glenwood North,U.S. Senate,,LIB,Kenneth Cates,7,4,1,2
Pike,Glenwood South,U.S. Senate,,LIB,Kenneth Cates,10,6,0,4
Pike,Kirby,U.S. Senate,,LIB,Kenneth Cates,4,4,0,0
Pike,Langley/Lodi,U.S. Senate,,LIB,Kenneth Cates,5,5,0,0
Pike,Murfreesboro East,U.S. Senate,,LIB,Kenneth Cates,14,9,0,5
Pike,Murfreesboro West,U.S. Senate,,LIB,Kenneth Cates,24,18,0,6
Pike,Newhope,U.S. Senate,,LIB,Kenneth Cates,6,4,0,2
Pike,Pisgah,U.S. Senate,,LIB,Kenneth Cates,6,4,0,2
Pike,Antoine,U.S. Senate,,REP,Senator John Boozman,42,14,1,27
Pike,Daisy,U.S. Senate,,REP,Senator John Boozman,212,94,5,113
Pike,Delight,U.S. Senate,,REP,Senator John Boozman,327,147,2,178
Pike,Glenwood North,U.S. Senate,,REP,Senator John Boozman,257,166,4,87
Pike,Glenwood South,U.S. Senate,,REP,Senator John Boozman,405,256,11,138
Pike,Kirby,U.S. Senate,,REP,Senator John Boozman,390,159,6,225
Pike,Langley/Lodi,U.S. Senate,,REP,Senator John Boozman,184,88,3,93
Pike,Murfreesboro East,U.S. Senate,,REP,Senator John Boozman,427,321,7,99
Pike,Murfreesboro West,U.S. Senate,,REP,Senator John Boozman,564,410,8,146
Pike,Newhope,U.S. Senate,,REP,Senator John Boozman,144,56,6,82
Pike,Pisgah,U.S. Senate,,REP,Senator John Boozman,181,90,0,91
Pike,Antoine,U.S. Congress District 04,,DEM,John White,45,19,3,23
Pike,Daisy,U.S. Congress District 04,,DEM,John White,22,18,0,4
Pike,Delight,U.S. Congress District 04,,DEM,John White,37,17,3,17
Pike,Glenwood North,U.S. Congress District 04,,DEM,John White,54,34,2,18
Pike,Glenwood South,U.S. Congress District 04,,DEM,John White,44,34,0,10
Pike,Kirby,U.S. Congress District 04,,DEM,John White,38,16,0,22
Pike,Langley/Lodi,U.S. Congress District 04,,DEM,John White,7,5,2,0
Pike,Murfreesboro East,U.S. Congress District 04,,DEM,John White,87,74,1,12
Pike,Murfreesboro West,U.S. Congress District 04,,DEM,John White,93,74,6,13
Pike,Newhope,U.S. Congress District 04,,DEM,John White,10,10,0,0
Pike,Pisgah,U.S. Congress District 04,,DEM,John White,13,6,0,7
Pike,Antoine,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,43,16,1,26
Pike,Daisy,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,215,98,5,112
Pike,Delight,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,327,149,2,176
Pike,Glenwood North,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,257,169,5,83
Pike,Glenwood South,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,405,261,11,133
Pike,Kirby,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,391,161,7,223
Pike,Langley/Lodi,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,185,90,3,92
Pike,Murfreesboro East,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,435,324,8,103
Pike,Murfreesboro West,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,559,407,8,144
Pike,Newhope,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,149,57,6,86
Pike,Pisgah,U.S. Congress District 04,,REP,U.S. Representative Bruce Westerman,185,92,0,93
Pike,Antoine,U.S. Congress District 04,,LIB,Gregory Maxwell,2,1,0,1
Pike,Daisy,U.S. Congress District 04,,LIB,Gregory Maxwell,10,4,2,4
Pike,Delight,U.S. Congress District 04,,LIB,Gregory Maxwell,12,6,0,6
Pike,Glenwood North,U.S. Congress District 04,,LIB,Gregory Maxwell,6,2,0,4
Pike,Glenwood South,U.S. Congress District 04,,LIB,Gregory Maxwell,17,7,0,10
Pike,Kirby,U.S. Congress District 04,,LIB,Gregory Maxwell,3,3,0,0
Pike,Langley/Lodi,U.S. Congress District 04,,LIB,Gregory Maxwell,6,2,0,4
Pike,Murfreesboro East,U.S. Congress District 04,,LIB,Gregory Maxwell,12,9,0,3
Pike,Murfreesboro West,U.S. Congress District 04,,LIB,Gregory Maxwell,19,15,0,4
Pike,Newhope,U.S. Congress District 04,,LIB,Gregory Maxwell,2,1,0,1
Pike,Pisgah,U.S. Congress District 04,,LIB,Gregory Maxwell,3,1,0,2
Pike,Antoine,Attorney General,,DEM,Jesse Gibson,45,20,3,22
Pike,Daisy,Attorney General,,DEM,Jesse Gibson,25,19,2,4
Pike,Delight,Attorney General,,DEM,Jesse Gibson,40,21,3,16
Pike,Glenwood North,Attorney General,,DEM,Jesse Gibson,60,40,2,18
Pike,Glenwood South,Attorney General,,DEM,Jesse Gibson,61,43,0,18
Pike,Kirby,Attorney General,,DEM,Jesse Gibson,40,17,1,22
Pike,Langley/Lodi,Attorney General,,DEM,Jesse Gibson,9,6,2,1
Pike,Murfreesboro East,Attorney General,,DEM,Jesse Gibson,98,84,1,13
Pike,Murfreesboro West,Attorney General,,DEM,Jesse Gibson,100,81,6,13
Pike,Newhope,Attorney General,,DEM,Jesse Gibson,9,8,0,1
Pike,Pisgah,Attorney General,,DEM,Jesse Gibson,13,6,0,7
Pike,Antoine,Attorney General,,REP,Lieutenant Governor Tim Griffin,45,16,1,28
Pike,Daisy,Attorney General,,REP,Lieutenant Governor Tim Griffin,222,101,5,116
Pike,Delight,Attorney General,,REP,Lieutenant Governor Tim Griffin,334,151,2,181
Pike,Glenwood North,Attorney General,,REP,Lieutenant Governor Tim Griffin,255,163,5,87
Pike,Glenwood South,Attorney General,,REP,Lieutenant Governor Tim Griffin,403,258,11,134
