county,precinct,office,district,party,candidate,votes,absentee,early_vote,election_day
Benton,Precinct 1,U.S. President,,REP,Donald J. Trump,417,3,215,199
Benton,Precinct 2,U.S. President,,REP,Donald J. Trump,92,0,47,45
Benton,Precinct 3,U.S. President,,REP,Donald J. Trump,141,1,78,62
Benton,Precinct 4,U.S. President,,REP,Donald J. Trump,231,0,57,174
Benton,Precinct 5,U.S. President,,REP,Donald J. Trump,263,4,126,133
Benton,Precinct 6,U.S. President,,REP,Donald J. Trump,214,2,70,142
Benton,Precinct 7,U.S. President,,REP,Donald J. Trump,150,1,71,78
Benton,Precinct 8,U.S. President,,REP,Donald J. Trump,316,1,137,178
Benton,Precinct 9,U.S. President,,REP,Donald J. Trump,230,6,122,102
Benton,Precinct 10,U.S. President,,REP,Donald J. Trump,207,0,87,120
Benton,Precinct 11,U.S. President,,REP,Donald J. Trump,276,0,149,127
Benton,Precinct 12,U.S. President,,REP,Donald J. Trump,247,3,101,143
Benton,Precinct 13,U.S. President,,REP,Donald J. Trump,203,0,93,110
Benton,Precinct 14,U.S. President,,REP,Donald J. Trump,264,1,82,181
Benton,Precinct 15,U.S. President,,REP,Donald J. Trump,148,0,37,111
Benton,Precinct 16,U.S. President,,REP,Donald J. Trump,138,0,70,68
Benton,Precinct 17,U.S. President,,REP,Donald J. Trump,142,0,38,104
Benton,Precinct 18,U.S. President,,REP,Donald J. Trump,139,0,74,65
Benton,Precinct 19,U.S. President,,REP,Donald J. Trump,166,1,61,104
Benton,Precinct 20,U.S. President,,REP,Donald J. Trump,168,0,70,98
Benton,Precinct 21,U.S. President,,REP,Donald J. Trump,365,6,182,177
Benton,Precinct 22,U.S. President,,REP,Donald J. Trump,109,1,42,66
Benton,Precinct 23,U.S. President,,REP,Donald J. Trump,158,1,85,72
Benton,Precinct 24,U.S. President,,REP,Donald J. Trump,494,5,203,286
Benton,Precinct 25,U.S. President,,REP,Donald J. Trump,337,2,167,168
Benton,Precinct 26,U.S. President,,REP,Donald J. Trump,138,0,53,85
Benton,Precinct 27,U.S. President,,REP,Donald J. Trump,247,4,141,102
Benton,Precinct 28,U.S. President,,REP,Donald J. Trump,256,1,137,118
Benton,Precinct 29,U.S. President,,REP,Donald J. Trump,284,4,157,123
Benton,Precinct 30,U.S. President,,REP,Donald J. Trump,252,8,127,117
Benton,Precinct 31,U.S. President,,REP,Donald J. Trump,205,0,69,136
Benton,Precinct 32,U.S. President,,REP,Donald J. Trump,126,2,82,42
Benton,Precinct 33,U.S. President,,REP,Donald J. Trump,329,4,82,243
Benton,Precinct 34,U.S. President,,REP,Donald J. Trump,274,1,128,145
Benton,Precinct 35,U.S. President,,REP,Donald J. Trump,184,0,71,113
Benton,Precinct 36,U.S. President,,REP,Donald J. Trump,69,3,27,39
Benton,Precinct 37,U.S. President,,REP,Donald J. Trump,94,1,47,46
Benton,Precinct 38,U.S. President,,REP,Donald J. Trump,135,6,62,67
Benton,Precinct 39,U.S. President,,REP,Donald J. Trump,118,1,60,57
Benton,Precinct 40,U.S. President,,REP,Donald J. Trump,192,0,96,96
Benton,Precinct 41,U.S. President,,REP,Donald J. Trump,212,0,91,121
Benton,Precinct 42,U.S. President,,REP,Donald J. Trump,271,2,133,136
Benton,Precinct 43,U.S. President,,REP,Donald J. Trump,187,0,110,77
Benton,Precinct 44,U.S. President,,REP,Donald J. Trump,55,1,23,31
Benton,Precinct 45,U.S. President,,REP,Donald J. Trump,185,1,75,109
Benton,Precinct 46,U.S. President,,REP,Donald J. Trump,100,3,50,47
Benton,Precinct 47,U.S. President,,REP,Donald J. Trump,272,7,125,140
Benton,Precinct 48,U.S. President,,REP,Donald J. Trump,97,0,31,66
Benton,Precinct 49,U.S. President,,REP,Donald J. Trump,252,2,48,202
Benton,Precinct 50,U.S. President,,REP,Donald J. Trump,79,0,42,37
Benton,Precinct 51,U.S. President,,REP,Donald J. Trump,134,0,72,62
Benton,Precinct 52,U.S. President,,REP,Donald J. Trump,130,0,71,59
Benton,Precinct 53,U.S. President,,REP,Donald J. Trump,233,1,105,127
Benton,Precinct 54,U.S. President,,REP,Donald J. Trump,192,3,101,88
Benton,Precinct 55,U.S. President,,REP,Donald J. Trump,230,0,99,131
Benton,Precinct 56,U.S. President,,REP,Donald J. Trump,246,2,118,126
Benton,Precinct 57,U.S. President,,REP,Donald J. Trump,121,0,38,83
Benton,Precinct 58,U.S. President,,REP,Donald J. Trump,243,0,69,174
Benton,Precinct 59,U.S. President,,REP,Donald J. Trump,102,0,57,45
Benton,Precinct 60,U.S. President,,REP,Donald J. Trump,190,3,103,84
Benton,Precinct 61,U.S. President,,REP,Donald J. Trump,207,1,111,95
Benton,Precinct 62,U.S. President,,REP,Donald J. Trump,144,2,76,66
Benton,Precinct 63,U.S. President,,REP,Donald J. Trump,360,3,194,163
Benton,Precinct 64,U.S. President,,REP,Donald J. Trump,192,3,110,79
Benton,Precinct 65,U.S. President,,REP,Donald J. Trump,242,7,107,128
Benton,Precinct 66,U.S. President,,REP,Donald J. Trump,207,1,110,96
Benton,Precinct 67,U.S. President,,REP,Donald J. Trump,155,2,54,99
Benton,Precinct 68,U.S. President,,REP,Donald J. Trump,137,1,61,75
Benton,Precinct 69,U.S. President,,REP,Donald J. Trump,114,0,59,55
Benton,Precinct 70,U.S. President,,REP,Donald J. Trump,256,1,113,142
Benton,Precinct 71,U.S. President,,REP,Donald J. Trump,241,0,129,112
Benton,Precinct 72,U.S. President,,REP,Donald J. Trump,154,0,91,63
Benton,Precinct 73,U.S. President,,REP,Donald J. Trump,91,0,47,44
Benton,Precinct 74,U.S. President,,REP,Donald J. Trump,239,1,142,96
Benton,Precinct 75,U.S. President,,REP,Donald J. Trump,78,1,46,31
Benton,Precinct 76,U.S. President,,REP,Donald J. Trump,203,1,85,117
Benton,Precinct 77,U.S. President,,REP,Donald J. Trump,217,1,67,149
Benton,Precinct 78,U.S. President,,REP,Donald J. Trump,192,2,103,87
Benton,Precinct 79,U.S. President,,REP,Donald J. Trump,128,3,66,59
Benton,Precinct 80,U.S. President,,REP,Donald J. Trump,123,0,59,64
Benton,Precinct 81,U.S. President,,REP,Donald J. Trump,285,1,168,116
Benton,Precinct 82,U.S. President,,REP,Donald J. Trump,146,0,73,73
Benton,Precinct 83,U.S. President,,REP,Donald J. Trump,108,2,57,49
Benton,Precinct 84,U.S. President,,REP,Donald J. Trump,214,1,94,119
Benton,Precinct 85,U.S. President,,REP,Donald J. Trump,232,2,109,121
Benton,Precinct 86,U.S. President,,REP,Donald J. Trump,286,8,162,116
Benton,Precinct 87,U.S. President,,REP,Donald J. Trump,146,4,73,69
Benton,Precinct 88,U.S. President,,REP,Donald J. Trump,182,1,86,95
Benton,Precinct 89,U.S. President,,REP,Donald J. Trump,131,1,65,65
Benton,Precinct 90,U.S. President,,REP,Donald J. Trump,110,1,70,39
Benton,Precinct 91,U.S. President,,REP,Donald J. Trump,130,4,34,92
Benton,Precinct 92,U.S. President,,REP,Donald J. Trump,77,0,28,49
Benton,Precinct 93,U.S. President,,REP,Donald J. Trump,155,4,89,62
Benton,Precinct 94,U.S. President,,REP,Donald J. Trump,83,0,37,46
Benton,Precinct 95,U.S. President,,REP,Donald J. Trump,216,0,51,165
Benton,Precinct 96,U.S. President,,REP,Donald J. Trump,266,0,146,120
Benton,Precinct 97,U.S. President,,REP,Donald J. Trump,208,0,121,87
Benton,Precinct 98,U.S. President,,REP,Donald J. Trump,50,0,33,17
Benton,Precinct 99,U.S. President,,REP,Donald J. Trump,202,1,89,112
Benton,Precinct 100,U.S. President,,REP,Donald J. Trump,185,1,101,83
