county,precinct,office,district,party,candidate,votes,absentee,election_day,early_vote,provisional
Perry,1 Aplin,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Perry,2 Casa,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Perry,3 Cherry Hill,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Perry,4 Fourche,U.S. President,,DEM,Kamala Harris,3,0,2,1,0
Perry,5 Houston,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Perry,6 Kenney,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Perry,7 Lake,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Perry,8 Maumelle,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Perry,9 New Tennessee,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Perry,10 Perry,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Perry,11 Petit Jean,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Perry,12 Rankin,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Perry,13 Rose Creek,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Perry,14 Tyler,U.S. President,,DEM,Kamala Harris,1,0,1,0,0
Perry,15 Union,U.S. President,,DEM,Kamala Harris,2,0,2,0,0
Perry,16 Union Valley,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Perry,17 Wye,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Perry,1 Aplin,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Perry,2 Casa,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Perry,3 Cherry Hill,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Perry,4 Fourche,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Perry,5 Houston,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Perry,6 Kenney,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Perry,7 Lake,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Perry,8 Maumelle,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Perry,9 New Tennessee,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Perry,10 Perry,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Perry,11 Petit Jean,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Perry,12 Rankin,U.S. President,,DEM,Julian Castro,0,0,0,0,0
