county,precinct,absentee,early_voting,election_day,provisional,votes,candidate,party,office,district
Grant,Calvert,0,0,0,0,0,Andrew Yang,DEM,President,
Grant,Darysaw,0,0,0,0,0,Andrew Yang,DEM,President,
Grant,Davis,0,0,0,0,0,Andrew Yang,DEM,President,
Grant,DeKalb 1,0,0,0,0,0,Andrew Yang,DEM,President,
Grant,DeKalb 2,0,0,0,0,0,Andrew Yang,DEM,President,
Grant,Fenter,0,0,0,0,0,Andrew Yang,DEM,President,
Grant,Franklin,0,0,0,0,0,Andrew Yang,DEM,President,
Grant,Madison,0,0,1,0,1,Andrew Yang,DEM,President,
Grant,Merry Green 1,0,0,0,0,0,Andrew Yang,DEM,President,
Grant,Merry Green 2,0,0,0,0,0,Andrew Yang,DEM,President,
Grant,River,0,0,0,0,0,Andrew Yang,DEM,President,
Grant,Simpson 1,0,0,1,0,1,Andrew Yang,DEM,President,
Grant,Simpson 2,0,0,0,0,0,Andrew Yang,DEM,President,
Grant,Tennessee,0,0,0,0,0,Andrew Yang,DEM,President,
Grant,Ward 1,0,0,0,0,0,Andrew Yang,DEM,President,
Grant,Ward 2,0,0,1,0,1,Andrew Yang,DEM,President,
Grant,Ward 3,0,1,0,0,1,Andrew Yang,DEM,President,
Grant,Washington,0,0,0,0,0,Andrew Yang,DEM,President,
Grant,Calvert,0,1,4,0,5,Elizabeth Warren,DEM,President,
Grant,Darysaw,0,0,5,0,5,Elizabeth Warren,DEM,President,
Grant,Davis,0,0,0,0,0,Elizabeth Warren,DEM,President,
Grant,DeKalb 1,0,0,0,0,0,Elizabeth Warren,DEM,President,
Grant,DeKalb 2,0,0,2,0,2,Elizabeth Warren,DEM,President,
Grant,Fenter,0,1,1,0,2,Elizabeth Warren,DEM,President,
Grant,Franklin,0,0,0,0,0,Elizabeth Warren,DEM,President,
Grant,Madison,0,1,3,0,4,Elizabeth Warren,DEM,President,
Grant,Merry Green 1,0,4,2,0,6,Elizabeth Warren,DEM,President,
Grant,Merry Green 2,0,2,2,0,4,Elizabeth Warren,DEM,President,
Grant,River,0,1,5,0,6,Elizabeth Warren,DEM,President,
Grant,Simpson 1,0,0,1,0,1,Elizabeth Warren,DEM,President,
Grant,Simpson 2,0,1,1,0,2,Elizabeth Warren,DEM,President,
Grant,Tennessee,0,0,1,0,1,Elizabeth Warren,DEM,President,
Grant,Ward 1,0,11,8,0,19,Elizabeth Warren,DEM,President,
Grant,Ward 2,1,10,6,0,17,Elizabeth Warren,DEM,President,
Grant,Ward 3,0,5,1,0,6,Elizabeth Warren,DEM,President,
Grant,Washington,0,3,2,0,5,Elizabeth Warren,DEM,President,
Grant,Calvert,0,0,0,0,0,Joe Sestak,DEM,President,
Grant,Darysaw,0,0,0,0,0,Joe Sestak,DEM,President,
Grant,Davis,0,0,0,0,0,Joe Sestak,DEM,President,
Grant,DeKalb 1,0,0,0,0,0,Joe Sestak,DEM,President,
Grant,DeKalb 2,0,0,0,0,0,Joe Sestak,DEM,President,
Grant,Fenter,0,0,0,0,0,Joe Sestak,DEM,President,
Grant,Franklin,0,0,1,0,1,Joe Sestak,DEM,President,
Grant,Madison,0,0,0,0,0,Joe Sestak,DEM,President,
Grant,Merry Green 1,0,0,0,0,0,Joe Sestak,DEM,President,
Grant,Merry Green 2,0,0,0,0,0,Joe Sestak,DEM,President,
Grant,River,0,0,0,0,0,Joe Sestak,DEM,President,
Grant,Simpson 1,0,0,0,0,0,Joe Sestak,DEM,President,
Grant,Simpson 2,0,0,1,0,1,Joe Sestak,DEM,President,
Grant,Tennessee,0,0,0,0,0,Joe Sestak,DEM,President,
Grant,Ward 1,0,0,0,0,0,Joe Sestak,DEM,President,
Grant,Ward 2,0,0,0,0,0,Joe Sestak,DEM,President,
Grant,Ward 3,0,0,0,0,0,Joe Sestak,DEM,President,
Grant,Washington,0,0,0,0,0,Joe Sestak,DEM,President,
Grant,Calvert,0,0,0,0,0,Michael Bennet,DEM,President,
Grant,Darysaw,0,1,1,0,2,Michael Bennet,DEM,President,
