county,precinct,office,district,party,candidate,votes,absentee,test,election_day,early_vote,provisional
Nevada,Bluff City City/Rural,U.S. President,,Dem,Julian Castro,0,0,0,0,0,0
Nevada,Bodcaw City & Rural,U.S. President,,Dem,Julian Castro,0,0,0,0,0,0
Nevada,Georgia,U.S. President,,Dem,Julian Castro,0,0,0,0,0,0
Nevada,Emmet City/Rural,U.S. President,,Dem,Julian Castro,0,0,0,0,0,0
Nevada,Laneburg,U.S. President,,Dem,Julian Castro,1,0,1,0,0,0
Nevada,Rosston City/Rural,U.S. President,,Dem,Julian Castro,0,0,0,0,0,0
Nevada,Willisville City/Rural,U.S. President,,Dem,Julian Castro,0,0,0,0,0,0
Nevada,"Ward 1,2,3 & 4",U.S. President,,Dem,Julian Castro,0,0,0,0,0,0
Nevada,West & East Rural,U.S. President,,Dem,Julian Castro,1,0,1,0,0,0
Nevada,Absentee,U.S. President,,Dem,Julian Castro,1,0,0,0,0,1
Nevada,Bluff City City/Rural,U.S. President,,Dem,John K. Delaney,1,0,1,0,0,0
Nevada,Bodcaw City & Rural,U.S. President,,Dem,John K. Delaney,0,0,0,0,0,0
Nevada,Georgia,U.S. President,,Dem,John K. Delaney,1,0,1,0,0,0
Nevada,Emmet City/Rural,U.S. President,,Dem,John K. Delaney,0,0,0,0,0,0
Nevada,Laneburg,U.S. President,,Dem,John K. Delaney,0,0,0,0,0,0
Nevada,Rosston City/Rural,U.S. President,,Dem,John K. Delaney,0,0,0,0,0,0
Nevada,Willisville City/Rural,U.S. President,,Dem,John K. Delaney,0,0,0,0,0,0
Nevada,"Ward 1,2,3 & 4",U.S. President,,Dem,John K. Delaney,1,0,1,0,0,0
Nevada,West & East Rural,U.S. President,,Dem,John K. Delaney,0,0,0,0,0,0
Nevada,Absentee,U.S. President,,Dem,John K. Delaney,1,0,0,0,0,1
Nevada,Bluff City City/Rural,U.S. President,,Dem,Bernie Sanders,8,0,8,0,0,0
Nevada,Bodcaw City & Rural,U.S. President,,Dem,Bernie Sanders,4,2,2,0,0,0
Nevada,Georgia,U.S. President,,Dem,Bernie Sanders,3,0,3,0,0,0
Nevada,Emmet City/Rural,U.S. President,,Dem,Bernie Sanders,4,1,3,0,0,0
Nevada,Laneburg,U.S. President,,Dem,Bernie Sanders,1,0,1,0,0,0
Nevada,Rosston City/Rural,U.S. President,,Dem,Bernie Sanders,10,2,8,0,0,0
Nevada,Willisville City/Rural,U.S. President,,Dem,Bernie Sanders,12,0,12,0,0,0
Nevada,"Ward 1,2,3 & 4",U.S. President,,Dem,Bernie Sanders,35,12,23,0,0,0
Nevada,West & East Rural,U.S. President,,Dem,Bernie Sanders,12,3,9,0,0,0
Nevada,Absentee,U.S. President,,Dem,Bernie Sanders,1,0,0,0,0,1
Nevada,Bluff City City/Rural,U.S. President,,Dem,Joseph R Biden,15,2,13,0,0,0
Nevada,Bodcaw City & Rural,U.S. President,,Dem,Joseph R Biden,23,1,22,0,0,0
Nevada,Georgia,U.S. President,,Dem,Joseph R Biden,2,1,1,0,0,0
Nevada,Emmet City/Rural,U.S. President,,Dem,Joseph R Biden,23,8,15,0,0,0
Nevada,Laneburg,U.S. President,,Dem,Joseph R Biden,10,2,8,0,0,0
Nevada,Rosston City/Rural,U.S. President,,Dem,Joseph R Biden,35,0,35,0,0,0
Nevada,Willisville City/Rural,U.S. President,,Dem,Joseph R Biden,24,3,21,0,0,0
Nevada,"Ward 1,2,3 & 4",U.S. President,,Dem,Joseph R Biden,114,29,85,0,0,0
Nevada,West & East Rural,U.S. President,,Dem,Joseph R Biden,44,13,31,0,0,0
Nevada,Absentee,U.S. President,,Dem,Joseph R Biden,9,0,0,0,0,9
Nevada,Bluff City City/Rural,U.S. President,,Dem,Kamala Harris,0,0,0,0,0,0
Nevada,Bodcaw City & Rural,U.S. President,,Dem,Kamala Harris,0,0,0,0,0,0
Nevada,Georgia,U.S. President,,Dem,Kamala Harris,0,0,0,0,0,0
Nevada,Emmet City/Rural,U.S. President,,Dem,Kamala Harris,0,0,0,0,0,0
Nevada,Laneburg,U.S. President,,Dem,Kamala Harris,0,0,0,0,0,0
Nevada,Rosston City/Rural,U.S. President,,Dem,Kamala Harris,0,0,0,0,0,0
Nevada,Willisville City/Rural,U.S. President,,Dem,Kamala Harris,2,0,2,0,0,0
Nevada,"Ward 1,2,3 & 4",U.S. President,,Dem,Kamala Harris,1,0,1,0,0,0
Nevada,West & East Rural,U.S. President,,Dem,Kamala Harris,0,0,0,0,0,0
Nevada,Absentee,U.S. President,,Dem,Kamala Harris,0,0,0,0,0,0
Nevada,Bluff City City/Rural,U.S. President,,Dem,Michael R. Bloomberg,2,0,2,0,0,0
Nevada,Bodcaw City & Rural,U.S. President,,Dem,Michael R. Bloomberg,3,0,3,0,0,0
Nevada,Georgia,U.S. President,,Dem,Michael R. Bloomberg,4,0,4,0,0,0
Nevada,Emmet City/Rural,U.S. President,,Dem,Michael R. Bloomberg,3,2,1,0,0,0
Nevada,Laneburg,U.S. President,,Dem,Michael R. Bloomberg,8,0,8,0,0,0
Nevada,Rosston City/Rural,U.S. President,,Dem,Michael R. Bloomberg,2,0,2,0,0,0
Nevada,Willisville City/Rural,U.S. President,,Dem,Michael R. Bloomberg,4,0,4,0,0,0
Nevada,"Ward 1,2,3 & 4",U.S. President,,Dem,Michael R. Bloomberg,35,19,16,0,0,0
Nevada,West & East Rural,U.S. President,,Dem,Michael R. Bloomberg,14,3,11,0,0,0
Nevada,Absentee,U.S. President,,Dem,Michael R. Bloomberg,2,0,0,0,0,2
Nevada,Bluff City City/Rural,U.S. President,,Dem,Steve Bullock,0,0,0,0,0,0
Nevada,Bodcaw City & Rural,U.S. President,,Dem,Steve Bullock,0,0,0,0,0,0
Nevada,Georgia,U.S. President,,Dem,Steve Bullock,0,0,0,0,0,0
Nevada,Emmet City/Rural,U.S. President,,Dem,Steve Bullock,0,0,0,0,0,0
Nevada,Laneburg,U.S. President,,Dem,Steve Bullock,0,0,0,0,0,0
Nevada,Rosston City/Rural,U.S. President,,Dem,Steve Bullock,0,0,0,0,0,0
Nevada,Willisville City/Rural,U.S. President,,Dem,Steve Bullock,0,0,0,0,0,0
Nevada,"Ward 1,2,3 & 4",U.S. President,,Dem,Steve Bullock,3,0,3,0,0,0
Nevada,West & East Rural,U.S. President,,Dem,Steve Bullock,0,0,0,0,0,0
Nevada,Absentee,U.S. President,,Dem,Steve Bullock,1,0,0,0,0,1
Nevada,Bluff City City/Rural,U.S. President,,Dem,Mosie Boyd,0,0,0,0,0,0
Nevada,Bodcaw City & Rural,U.S. President,,Dem,Mosie Boyd,0,0,0,0,0,0
Nevada,Georgia,U.S. President,,Dem,Mosie Boyd,0,0,0,0,0,0
Nevada,Emmet City/Rural,U.S. President,,Dem,Mosie Boyd,0,0,0,0,0,0
Nevada,Laneburg,U.S. President,,Dem,Mosie Boyd,0,0,0,0,0,0
Nevada,Rosston City/Rural,U.S. President,,Dem,Mosie Boyd,1,0,1,0,0,0
Nevada,Willisville City/Rural,U.S. President,,Dem,Mosie Boyd,0,0,0,0,0,0
Nevada,"Ward 1,2,3 & 4",U.S. President,,Dem,Mosie Boyd,0,0,0,0,0,0
Nevada,West & East Rural,U.S. President,,Dem,Mosie Boyd,0,0,0,0,0,0
Nevada,Absentee,U.S. President,,Dem,Mosie Boyd,0,0,0,0,0,0
Nevada,Bluff City City/Rural,U.S. President,,Dem,Cory Booker,0,0,0,0,0,0
Nevada,Bodcaw City & Rural,U.S. President,,Dem,Cory Booker,0,0,0,0,0,0
Nevada,Georgia,U.S. President,,Dem,Cory Booker,0,0,0,0,0,0
Nevada,Emmet City/Rural,U.S. President,,Dem,Cory Booker,0,0,0,0,0,0
Nevada,Laneburg,U.S. President,,Dem,Cory Booker,1,0,1,0,0,0
Nevada,Rosston City/Rural,U.S. President,,Dem,Cory Booker,0,0,0,0,0,0
Nevada,Willisville City/Rural,U.S. President,,Dem,Cory Booker,0,0,0,0,0,0
Nevada,"Ward 1,2,3 & 4",U.S. President,,Dem,Cory Booker,3,3,0,0,0,0
Nevada,West & East Rural,U.S. President,,Dem,Cory Booker,0,0,0,0,0,0
Nevada,Absentee,U.S. President,,Dem,Cory Booker,0,0,0,0,0,0
Nevada,Bluff City City/Rural,U.S. President,,Dem,Elizabeth Warren,1,0,1,0,0,0
Nevada,Bodcaw City & Rural,U.S. President,,Dem,Elizabeth Warren,0,0,0,0,0,0
Nevada,Georgia,U.S. President,,Dem,Elizabeth Warren,1,1,0,0,0,0
Nevada,Emmet City/Rural,U.S. President,,Dem,Elizabeth Warren,1,0,1,0,0,0
Nevada,Laneburg,U.S. President,,Dem,Elizabeth Warren,0,0,0,0,0,0
Nevada,Rosston City/Rural,U.S. President,,Dem,Elizabeth Warren,1,0,1,0,0,0
Nevada,Willisville City/Rural,U.S. President,,Dem,Elizabeth Warren,2,0,2,0,0,0
Nevada,"Ward 1,2,3 & 4",U.S. President,,Dem,Elizabeth Warren,18,8,10,0,0,0
Nevada,West & East Rural,U.S. President,,Dem,Elizabeth Warren,10,4,6,0,0,0
Nevada,Absentee,U.S. President,,Dem,Elizabeth Warren,0,0,0,0,0,0
Nevada,Bluff City City/Rural,U.S. President,,Dem,Michael Bennet,0,0,0,0,0,0
Nevada,Bodcaw City & Rural,U.S. President,,Dem,Michael Bennet,0,0,0,0,0,0
Nevada,Georgia,U.S. President,,Dem,Michael Bennet,0,0,0,0,0,0
Nevada,Emmet City/Rural,U.S. President,,Dem,Michael Bennet,0,0,0,0,0,0
Nevada,Laneburg,U.S. President,,Dem,Michael Bennet,1,1,0,0,0,0
Nevada,Rosston City/Rural,U.S. President,,Dem,Michael Bennet,0,0,0,0,0,0
Nevada,Willisville City/Rural,U.S. President,,Dem,Michael Bennet,0,0,0,0,0,0
Nevada,"Ward 1,2,3 & 4",U.S. President,,Dem,Michael Bennet,0,0,0,0,0,0
Nevada,West & East Rural,U.S. President,,Dem,Michael Bennet,0,0,0,0,0,0
Nevada,Absentee,U.S. President,,Dem,Michael Bennet,0,0,0,0,0,0
Nevada,Bluff City City/Rural,U.S. President,,Dem,Pete Buttigieg,0,0,0,0,0,0
Nevada,Bodcaw City & Rural,U.S. President,,Dem,Pete Buttigieg,0,0,0,0,0,0
Nevada,Georgia,U.S. President,,Dem,Pete Buttigieg,0,0,0,0,0,0
Nevada,Emmet City/Rural,U.S. President,,Dem,Pete Buttigieg,0,0,0,0,0,0
Nevada,Laneburg,U.S. President,,Dem,Pete Buttigieg,0,0,0,0,0,0
Nevada,Rosston City/Rural,U.S. President,,Dem,Pete Buttigieg,0,0,0,0,0,0
Nevada,Willisville City/Rural,U.S. President,,Dem,Pete Buttigieg,0,0,0,0,0,0
Nevada,"Ward 1,2,3 & 4",U.S. President,,Dem,Pete Buttigieg,4,2,2,0,0,0
Nevada,West & East Rural,U.S. President,,Dem,Pete Buttigieg,2,2,0,0,0,0
Nevada,Absentee,U.S. President,,Dem,Pete Buttigieg,0,0,0,0,0,0
Nevada,Bluff City City/Rural,U.S. President,,Dem,Andrew Yang,0,0,0,0,0,0
Nevada,Bodcaw City & Rural,U.S. President,,Dem,Andrew Yang,0,0,0,0,0,0
Nevada,Georgia,U.S. President,,Dem,Andrew Yang,0,0,0,0,0,0
Nevada,Emmet City/Rural,U.S. President,,Dem,Andrew Yang,0,0,0,0,0,0
Nevada,Laneburg,U.S. President,,Dem,Andrew Yang,1,0,1,0,0,0
Nevada,Rosston City/Rural,U.S. President,,Dem,Andrew Yang,0,0,0,0,0,0
Nevada,Willisville City/Rural,U.S. President,,Dem,Andrew Yang,0,0,0,0,0,0
