county,precinct,office,district,party,candidate,votes,absentee,election_day,early_vote,provisional
Craighead,Precinct 1,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 2,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 3,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 4,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 5,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 6,U.S. President,,Dem,Julian Castro,1,0,0,1,0
Craighead,Precinct 7,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 8,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 9,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 10,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 11,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 12,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 13,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 14,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 15,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 16,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 17,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 18,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 19,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 20,U.S. President,,Dem,Julian Castro,1,0,0,1,0
Craighead,Precinct 21,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 22,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 23,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 24,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 25,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 26,U.S. President,,Dem,Julian Castro,1,0,1,0,0
Craighead,Precinct 27,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 28,U.S. President,,Dem,Julian Castro,1,0,0,1,0
Craighead,Precinct 29,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 30,U.S. President,,Dem,Julian Castro,1,0,1,0,0
Craighead,Precicnt 31,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 31,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 32,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 33,U.S. President,,Dem,Julian Castro,1,0,1,0,0
Craighead,Precinct 34,U.S. President,,Dem,Julian Castro,1,0,0,1,0
Craighead,Precinct 35,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 36,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 37,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 38,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 39,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 40,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 41,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 42,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 43,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 44,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 45,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 46,U.S. President,,Dem,Julian Castro,2,0,1,1,0
Craighead,Precinct 47,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 48,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 49,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 50,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 51,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 52,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 53,U.S. President,,Dem,Julian Castro,0,0,0,0,0
Craighead,Precinct 1,U.S. President,,Dem,Bernie Sanders,53,0,29,24,0
Craighead,Precinct 2,U.S. President,,Dem,Bernie Sanders,43,1,24,18,0
Craighead,Precinct 3,U.S. President,,Dem,Bernie Sanders,37,1,24,12,0
Craighead,Precinct 4,U.S. President,,Dem,Bernie Sanders,31,2,17,12,0
Craighead,Precinct 5,U.S. President,,Dem,Bernie Sanders,19,0,7,12,0
Craighead,Precinct 6,U.S. President,,Dem,Bernie Sanders,12,0,2,10,0
Craighead,Precinct 7,U.S. President,,Dem,Bernie Sanders,29,0,20,9,0
Craighead,Precinct 8,U.S. President,,Dem,Bernie Sanders,23,0,19,4,0
Craighead,Precinct 9,U.S. President,,Dem,Bernie Sanders,10,0,7,2,1
Craighead,Precinct 10,U.S. President,,Dem,Bernie Sanders,33,0,17,16,0
Craighead,Precinct 11,U.S. President,,Dem,Bernie Sanders,25,0,13,12,0
Craighead,Precinct 12,U.S. President,,Dem,Bernie Sanders,21,0,14,7,0
