county,precinct,office,district,party,candidate,votes,absentee,election_day,early_vote,provisional
Prairie,Belcher/Tyler,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Prairie,Bullard,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Prairie,Calhoun,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Prairie,Center,U.S. President,,Dem,Joe Sestak,1,0,1,0,0
Prairie,Des Arc,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Prairie,Hazen Ward 1,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Prairie,Hazen Ward 2,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Prairie,Hazen Ward 3,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Prairie,Hazen Country,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Prairie,Hickory Plains,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Prairie,Hickory Plains- Beebe SD,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Prairie,Lower Hill City,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Prairie,Lower Hill Country,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Prairie,Roc Roe City,U.S. President,,Dem,Joe Sestak,1,0,1,0,0
Prairie,Roc Roe Country,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Prairie,Union,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Prairie,Upper Hill,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Prairie,Wattensaw City Ward 1,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Prairie,Wattensaw City Ward 2,U.S. President,,Dem,Joe Sestak,1,0,0,1,0
Prairie,Wattensaw City Ward 3,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Prairie,Wattensaw Country,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Prairie,White River Ward 1,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Prairie,White River Ward 2,U.S. President,,Dem,Joe Sestak,1,0,1,0,0
Prairie,White River Ward 3,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Prairie,White River Country,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Prairie,Belcher/Tyler,U.S. President,,Dem,Bernie Sanders,3,0,3,0,0
Prairie,Bullard,U.S. President,,Dem,Bernie Sanders,2,0,2,0,0
Prairie,Calhoun,U.S. President,,Dem,Bernie Sanders,0,0,0,0,0
Prairie,Center,U.S. President,,Dem,Bernie Sanders,2,0,2,0,0
Prairie,Des Arc,U.S. President,,Dem,Bernie Sanders,3,0,3,0,0
Prairie,Hazen Ward 1,U.S. President,,Dem,Bernie Sanders,3,0,3,0,0
Prairie,Hazen Ward 2,U.S. President,,Dem,Bernie Sanders,4,0,2,2,0
Prairie,Hazen Ward 3,U.S. President,,Dem,Bernie Sanders,2,0,1,1,0
Prairie,Hazen Country,U.S. President,,Dem,Bernie Sanders,1,0,1,0,0
Prairie,Hickory Plains,U.S. President,,Dem,Bernie Sanders,3,0,3,0,0
Prairie,Hickory Plains- Beebe SD,U.S. President,,Dem,Bernie Sanders,0,0,0,0,0
Prairie,Lower Hill City,U.S. President,,Dem,Bernie Sanders,6,0,5,1,0
Prairie,Lower Hill Country,U.S. President,,Dem,Bernie Sanders,1,0,1,0,0
Prairie,Roc Roe City,U.S. President,,Dem,Bernie Sanders,1,0,1,0,0
Prairie,Roc Roe Country,U.S. President,,Dem,Bernie Sanders,1,0,1,0,0
Prairie,Union,U.S. President,,Dem,Bernie Sanders,3,0,3,0,0
Prairie,Upper Hill,U.S. President,,Dem,Bernie Sanders,0,0,0,0,0
Prairie,Wattensaw City Ward 1,U.S. President,,Dem,Bernie Sanders,1,0,1,0,0
Prairie,Wattensaw City Ward 2,U.S. President,,Dem,Bernie Sanders,1,0,1,0,0
Prairie,Wattensaw City Ward 3,U.S. President,,Dem,Bernie Sanders,2,0,1,1,0
Prairie,Wattensaw Country,U.S. President,,Dem,Bernie Sanders,4,0,2,2,0
Prairie,White River Ward 1,U.S. President,,Dem,Bernie Sanders,12,0,4,8,0
Prairie,White River Ward 2,U.S. President,,Dem,Bernie Sanders,12,0,9,3,0
Prairie,White River Ward 3,U.S. President,,Dem,Bernie Sanders,2,0,2,0,0
Prairie,White River Country,U.S. President,,Dem,Bernie Sanders,7,0,7,0,0
Prairie,Belcher/Tyler,U.S. President,,Dem,Elizabeth Warren,2,0,2,0,0
Prairie,Bullard,U.S. President,,Dem,Elizabeth Warren,2,0,1,1,0
Prairie,Calhoun,U.S. President,,Dem,Elizabeth Warren,1,0,0,1,0
Prairie,Center,U.S. President,,Dem,Elizabeth Warren,4,0,4,0,0
Prairie,Des Arc,U.S. President,,Dem,Elizabeth Warren,1,0,1,0,0
Prairie,Hazen Ward 1,U.S. President,,Dem,Elizabeth Warren,0,0,0,0,0
Prairie,Hazen Ward 2,U.S. President,,Dem,Elizabeth Warren,0,0,0,0,0
Prairie,Hazen Ward 3,U.S. President,,Dem,Elizabeth Warren,0,0,0,0,0
Prairie,Hazen Country,U.S. President,,Dem,Elizabeth Warren,1,0,0,1,0
Prairie,Hickory Plains,U.S. President,,Dem,Elizabeth Warren,1,0,1,0,0
Prairie,Hickory Plains- Beebe SD,U.S. President,,Dem,Elizabeth Warren,0,0,0,0,0
Prairie,Lower Hill City,U.S. President,,Dem,Elizabeth Warren,0,0,0,0,0
Prairie,Lower Hill Country,U.S. President,,Dem,Elizabeth Warren,0,0,0,0,0
