county,precinct,office,district,party,candidate,votes,absentee,election_day,early_voting,provisional
Clark,BALLOT STYLE 1,U.S. President,,DEM,Kamala Harris,17,0,7,10,0
Clark,BALLOT STYLE 2,U.S. President,,DEM,Kamala Harris,1,0,0,1,0
Clark,BALLOT STYLE 3,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Clark,BALLOT STYLE 4,U.S. President,,DEM,Kamala Harris,5,0,5,0,0
Clark,BALLOT STYLE 5,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Clark,BALLOT STYLE 6,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Clark,BALLOT STYLE 7,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Clark,BALLOT STYLE 1,U.S. President,,DEM,Amy Klobuchar,41,2,11,28,0
Clark,BALLOT STYLE 2,U.S. President,,DEM,Amy Klobuchar,17,0,2,15,0
Clark,BALLOT STYLE 3,U.S. President,,DEM,Amy Klobuchar,1,0,0,1,0
Clark,BALLOT STYLE 4,U.S. President,,DEM,Amy Klobuchar,8,1,4,3,0
Clark,BALLOT STYLE 5,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0
Clark,BALLOT STYLE 6,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0
Clark,BALLOT STYLE 7,U.S. President,,DEM,Amy Klobuchar,1,0,0,1,0
Clark,BALLOT STYLE 1,U.S. President,,DEM,Pete Buttigieg,39,2,2,35,0
Clark,BALLOT STYLE 2,U.S. President,,DEM,Pete Buttigieg,8,2,0,6,0
Clark,BALLOT STYLE 3,U.S. President,,DEM,Pete Buttigieg,2,0,0,2,0
Clark,BALLOT STYLE 4,U.S. President,,DEM,Pete Buttigieg,7,1,2,4,0
Clark,BALLOT STYLE 5,U.S. President,,DEM,Pete Buttigieg,1,0,0,1,0
Clark,BALLOT STYLE 6,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0
Clark,BALLOT STYLE 7,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0
Clark,BALLOT STYLE 1,U.S. President,,DEM,John K. Delaney,2,0,1,1,0
Clark,BALLOT STYLE 2,U.S. President,,DEM,John K. Delaney,2,0,1,1,0
Clark,BALLOT STYLE 3,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Clark,BALLOT STYLE 4,U.S. President,,DEM,John K. Delaney,3,0,2,1,0
Clark,BALLOT STYLE 5,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Clark,BALLOT STYLE 6,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Clark,BALLOT STYLE 7,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Clark,BALLOT STYLE 1,U.S. President,,DEM,Joe Sestak,4,0,1,3,0
Clark,BALLOT STYLE 2,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Clark,BALLOT STYLE 3,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
