county,precinct,office,district,party,candidate,votes,absentee,early_vote,election_day
St Francis,Hughes,U.S. President,,Dem,Steve Bullock,1,0,1,0
St Francis,Heth/Blackfish,U.S. President,,Dem,Steve Bullock,0,0,0,0
St Francis,Widener,U.S. President,,Dem,Steve Bullock,1,0,1,0
St Francis,Madison,U.S. President,,Dem,Steve Bullock,2,1,1,0
St Francis,Bonair,U.S. President,,Dem,Steve Bullock,0,0,0,0
St Francis,Newcastle/Parrott,U.S. President,,Dem,Steve Bullock,3,1,2,0
St Francis,Colt,U.S. President,,Dem,Steve Bullock,1,0,1,0
St Francis,Caldwell,U.S. President,,Dem,Steve Bullock,0,0,0,0
St Francis,Forrest City Country West,U.S. President,,Dem,Steve Bullock,0,0,0,0
St Francis,Palestine,U.S. President,,Dem,Steve Bullock,1,0,1,0
St Francis,Wheatley,U.S. President,,Dem,Steve Bullock,1,0,1,0
St Francis,FC Ward 1,U.S. President,,Dem,Steve Bullock,0,0,0,0
St Francis,FC Ward 2,U.S. President,,Dem,Steve Bullock,5,0,4,1
St Francis,FC Ward 3,U.S. President,,Dem,Steve Bullock,4,1,3,0
St Francis,FC Ward 4,U.S. President,,Dem,Steve Bullock,1,1,0,0
St Francis,Hughes,U.S. President,,Dem,John K. Delaney,5,0,5,0
St Francis,Heth/Blackfish,U.S. President,,Dem,John K. Delaney,0,0,0,0
St Francis,Widener,U.S. President,,Dem,John K. Delaney,2,0,2,0
St Francis,Madison,U.S. President,,Dem,John K. Delaney,0,0,0,0
St Francis,Bonair,U.S. President,,Dem,John K. Delaney,1,1,0,0
St Francis,Newcastle/Parrott,U.S. President,,Dem,John K. Delaney,3,2,1,0
St Francis,Colt,U.S. President,,Dem,John K. Delaney,1,0,1,0
St Francis,Caldwell,U.S. President,,Dem,John K. Delaney,0,0,0,0
St Francis,Forrest City Country West,U.S. President,,Dem,John K. Delaney,0,0,0,0
St Francis,Palestine,U.S. President,,Dem,John K. Delaney,2,0,2,0
St Francis,Wheatley,U.S. President,,Dem,John K. Delaney,0,0,0,0
St Francis,FC Ward 1,U.S. President,,Dem,John K. Delaney,2,0,2,0
St Francis,FC Ward 2,U.S. President,,Dem,John K. Delaney,2,2,0,0
St Francis,FC Ward 3,U.S. President,,Dem,John K. Delaney,0,0,0,0
St Francis,FC Ward 4,U.S. President,,Dem,John K. Delaney,1,0,1,0
St Francis,Hughes,U.S. President,,Dem,Joseph R. Biden,46,5,40,1
St Francis,Heth/Blackfish,U.S. President,,Dem,Joseph R. Biden,21,2,19,0
St Francis,Widener,U.S. President,,Dem,Joseph R. Biden,27,3,24,0
St Francis,Madison,U.S. President,,Dem,Joseph R. Biden,89,19,67,3
St Francis,Bonair,U.S. President,,Dem,Joseph R. Biden,36,15,21,0
St Francis,Newcastle/Parrott,U.S. President,,Dem,Joseph R. Biden,62,28,34,0
St Francis,Colt,U.S. President,,Dem,Joseph R. Biden,60,10,49,1
St Francis,Caldwell,U.S. President,,Dem,Joseph R. Biden,24,5,19,0
St Francis,Forrest City Country West,U.S. President,,Dem,Joseph R. Biden,23,11,8,4
St Francis,Palestine,U.S. President,,Dem,Joseph R. Biden,65,14,48,3
St Francis,Wheatley,U.S. President,,Dem,Joseph R. Biden,16,2,14,0
St Francis,FC Ward 1,U.S. President,,Dem,Joseph R. Biden,180,73,93,14
St Francis,FC Ward 2,U.S. President,,Dem,Joseph R. Biden,211,68,117,26
St Francis,FC Ward 3,U.S. President,,Dem,Joseph R. Biden,192,62,116,14
St Francis,FC Ward 4,U.S. President,,Dem,Joseph R. Biden,130,44,76,10
St Francis,Hughes,U.S. President,,Dem,Michael R. Bloomberg,10,3,7,0
St Francis,Heth/Blackfish,U.S. President,,Dem,Michael R. Bloomberg,9,2,7,0
St Francis,Widener,U.S. President,,Dem,Michael R. Bloomberg,12,1,11,0
St Francis,Madison,U.S. President,,Dem,Michael R. Bloomberg,12,4,8,0
St Francis,Bonair,U.S. President,,Dem,Michael R. Bloomberg,18,5,11,2
St Francis,Newcastle/Parrott,U.S. President,,Dem,Michael R. Bloomberg,32,18,13,1
St Francis,Colt,U.S. President,,Dem,Michael R. Bloomberg,9,6,3,0
St Francis,Caldwell,U.S. President,,Dem,Michael R. Bloomberg,9,2,7,0
St Francis,Forrest City Country West,U.S. President,,Dem,Michael R. Bloomberg,7,4,3,0
St Francis,Palestine,U.S. President,,Dem,Michael R. Bloomberg,21,11,9,1
St Francis,Wheatley,U.S. President,,Dem,Michael R. Bloomberg,6,3,3,0
St Francis,FC Ward 1,U.S. President,,Dem,Michael R. Bloomberg,53,36,10,7
St Francis,FC Ward 2,U.S. President,,Dem,Michael R. Bloomberg,65,44,15,6
St Francis,FC Ward 3,U.S. President,,Dem,Michael R. Bloomberg,54,36,17,1
St Francis,FC Ward 4,U.S. President,,Dem,Michael R. Bloomberg,51,35,15,1
St Francis,Hughes,U.S. President,,Dem,Elizabeth Warren,2,0,2,0
St Francis,Heth/Blackfish,U.S. President,,Dem,Elizabeth Warren,1,0,1,0
St Francis,Widener,U.S. President,,Dem,Elizabeth Warren,0,0,0,0
St Francis,Madison,U.S. President,,Dem,Elizabeth Warren,7,0,7,0
St Francis,Bonair,U.S. President,,Dem,Elizabeth Warren,5,1,4,0
St Francis,Newcastle/Parrott,U.S. President,,Dem,Elizabeth Warren,10,3,7,0
St Francis,Colt,U.S. President,,Dem,Elizabeth Warren,2,1,1,0
St Francis,Caldwell,U.S. President,,Dem,Elizabeth Warren,2,0,2,0
St Francis,Forrest City Country West,U.S. President,,Dem,Elizabeth Warren,2,1,1,0
St Francis,Palestine,U.S. President,,Dem,Elizabeth Warren,4,0,4,0
St Francis,Wheatley,U.S. President,,Dem,Elizabeth Warren,3,0,3,0
St Francis,FC Ward 1,U.S. President,,Dem,Elizabeth Warren,7,7,0,0
St Francis,FC Ward 2,U.S. President,,Dem,Elizabeth Warren,16,10,5,1
St Francis,FC Ward 3,U.S. President,,Dem,Elizabeth Warren,13,2,11,0
St Francis,FC Ward 4,U.S. President,,Dem,Elizabeth Warren,10,4,6,0
St Francis,Hughes,U.S. President,,Dem,Julian Castro,0,0,0,0
St Francis,Heth/Blackfish,U.S. President,,Dem,Julian Castro,0,0,0,0
St Francis,Widener,U.S. President,,Dem,Julian Castro,0,0,0,0
St Francis,Madison,U.S. President,,Dem,Julian Castro,0,0,0,0
St Francis,Bonair,U.S. President,,Dem,Julian Castro,0,0,0,0
St Francis,Newcastle/Parrott,U.S. President,,Dem,Julian Castro,0,0,0,0
St Francis,Colt,U.S. President,,Dem,Julian Castro,0,0,0,0
St Francis,Caldwell,U.S. President,,Dem,Julian Castro,0,0,0,0
St Francis,Forrest City Country West,U.S. President,,Dem,Julian Castro,0,0,0,0
St Francis,Palestine,U.S. President,,Dem,Julian Castro,1,0,1,0
St Francis,Wheatley,U.S. President,,Dem,Julian Castro,0,0,0,0
St Francis,FC Ward 1,U.S. President,,Dem,Julian Castro,0,0,0,0
St Francis,FC Ward 2,U.S. President,,Dem,Julian Castro,1,1,0,0
St Francis,FC Ward 3,U.S. President,,Dem,Julian Castro,1,0,1,0
St Francis,FC Ward 4,U.S. President,,Dem,Julian Castro,0,0,0,0
St Francis,Hughes,U.S. President,,Dem,Tulsi Gabbard,1,0,1,0
St Francis,Heth/Blackfish,U.S. President,,Dem,Tulsi Gabbard,0,0,0,0
St Francis,Widener,U.S. President,,Dem,Tulsi Gabbard,0,0,0,0
St Francis,Madison,U.S. President,,Dem,Tulsi Gabbard,0,0,0,0
St Francis,Bonair,U.S. President,,Dem,Tulsi Gabbard,2,2,0,0
St Francis,Newcastle/Parrott,U.S. President,,Dem,Tulsi Gabbard,2,0,2,0
St Francis,Colt,U.S. President,,Dem,Tulsi Gabbard,0,0,0,0
St Francis,Caldwell,U.S. President,,Dem,Tulsi Gabbard,2,0,2,0
St Francis,Forrest City Country West,U.S. President,,Dem,Tulsi Gabbard,0,0,0,0
St Francis,Palestine,U.S. President,,Dem,Tulsi Gabbard,3,1,2,0
St Francis,Wheatley,U.S. President,,Dem,Tulsi Gabbard,0,0,0,0
St Francis,FC Ward 1,U.S. President,,Dem,Tulsi Gabbard,0,0,0,0
St Francis,FC Ward 2,U.S. President,,Dem,Tulsi Gabbard,0,0,0,0
St Francis,FC Ward 3,U.S. President,,Dem,Tulsi Gabbard,1,1,0,0
St Francis,FC Ward 4,U.S. President,,Dem,Tulsi Gabbard,4,2,2,0
St Francis,Hughes,U.S. President,,Dem,Joe Sestak,0,0,0,0
St Francis,Heth/Blackfish,U.S. President,,Dem,Joe Sestak,0,0,0,0
St Francis,Widener,U.S. President,,Dem,Joe Sestak,0,0,0,0
St Francis,Madison,U.S. President,,Dem,Joe Sestak,0,0,0,0
St Francis,Bonair,U.S. President,,Dem,Joe Sestak,0,0,0,0
St Francis,Newcastle/Parrott,U.S. President,,Dem,Joe Sestak,0,0,0,0
St Francis,Colt,U.S. President,,Dem,Joe Sestak,0,0,0,0
St Francis,Caldwell,U.S. President,,Dem,Joe Sestak,0,0,0,0
St Francis,Forrest City Country West,U.S. President,,Dem,Joe Sestak,0,0,0,0
St Francis,Palestine,U.S. President,,Dem,Joe Sestak,0,0,0,0
St Francis,Wheatley,U.S. President,,Dem,Joe Sestak,1,0,1,0
St Francis,FC Ward 1,U.S. President,,Dem,Joe Sestak,2,1,1,0
St Francis,FC Ward 2,U.S. President,,Dem,Joe Sestak,2,1,1,0
St Francis,FC Ward 3,U.S. President,,Dem,Joe Sestak,0,0,0,0
St Francis,FC Ward 4,U.S. President,,Dem,Joe Sestak,0,0,0,0
St Francis,Hughes,U.S. President,,Dem,Andrew Yang,1,0,1,0
St Francis,Heth/Blackfish,U.S. President,,Dem,Andrew Yang,0,0,0,0
St Francis,Widener,U.S. President,,Dem,Andrew Yang,1,0,1,0
St Francis,Madison,U.S. President,,Dem,Andrew Yang,0,0,0,0
St Francis,Bonair,U.S. President,,Dem,Andrew Yang,2,1,1,0
St Francis,Newcastle/Parrott,U.S. President,,Dem,Andrew Yang,1,0,1,0
St Francis,Colt,U.S. President,,Dem,Andrew Yang,0,0,0,0
St Francis,Caldwell,U.S. President,,Dem,Andrew Yang,0,0,0,0
St Francis,Forrest City Country West,U.S. President,,Dem,Andrew Yang,0,0,0,0
St Francis,Palestine,U.S. President,,Dem,Andrew Yang,0,0,0,0
St Francis,Wheatley,U.S. President,,Dem,Andrew Yang,0,0,0,0
St Francis,FC Ward 1,U.S. President,,Dem,Andrew Yang,1,0,1,0
St Francis,FC Ward 2,U.S. President,,Dem,Andrew Yang,2,1,0,1
St Francis,FC Ward 3,U.S. President,,Dem,Andrew Yang,1,1,0,0
St Francis,FC Ward 4,U.S. President,,Dem,Andrew Yang,1,1,0,0
