county,precinct,office,district,party,candidate,votes,absentee,election_day,early_vote,provisionals
Lee,JP01,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Lee,JP02,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Lee,JP03,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Lee,JP04,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Lee,JP05,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Lee,JP06,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Lee,JP07,U.S. President,,DEM,Kamala Harris,1,0,0,1,0
Lee,JP08,U.S. President,,DEM,Kamala Harris,1,0,0,1,0
Lee,JP09,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Lee,JP01,U.S. President,,DEM,Tom Steyer,2,0,1,1,0
Lee,JP02,U.S. President,,DEM,Tom Steyer,2,0,1,1,0
Lee,JP03,U.S. President,,DEM,Tom Steyer,2,0,0,2,0
Lee,JP04,U.S. President,,DEM,Tom Steyer,0,0,0,0,0
Lee,JP05,U.S. President,,DEM,Tom Steyer,2,0,0,2,0
Lee,JP06,U.S. President,,DEM,Tom Steyer,2,0,2,0,0
Lee,JP07,U.S. President,,DEM,Tom Steyer,0,0,0,0,0
Lee,JP08,U.S. President,,DEM,Tom Steyer,0,0,0,0,0
Lee,JP09,U.S. President,,DEM,Tom Steyer,0,0,0,0,0
Lee,JP01,U.S. President,,DEM,Joseph R. Biden,36,0,31,5,0
Lee,JP02,U.S. President,,DEM,Joseph R. Biden,83,11,57,15,0
Lee,JP03,U.S. President,,DEM,Joseph R. Biden,60,5,28,27,0
Lee,JP04,U.S. President,,DEM,Joseph R. Biden,33,0,32,1,0
Lee,JP05,U.S. President,,DEM,Joseph R. Biden,17,0,14,3,0
Lee,JP06,U.S. President,,DEM,Joseph R. Biden,61,0,38,23,0
Lee,JP07,U.S. President,,DEM,Joseph R. Biden,71,1,44,26,0
Lee,JP08,U.S. President,,DEM,Joseph R. Biden,32,0,18,14,0
Lee,JP09,U.S. President,,DEM,Joseph R. Biden,27,0,17,10,0
Lee,JP01,U.S. President,,DEM,Marianne Williamson,1,0,1,0,0
Lee,JP02,U.S. President,,DEM,Marianne Williamson,1,0,1,0,0
Lee,JP03,U.S. President,,DEM,Marianne Williamson,1,0,0,1,0
Lee,JP04,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Lee,JP05,U.S. President,,DEM,Marianne Williamson,1,0,1,0,0
Lee,JP06,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Lee,JP07,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Lee,JP08,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Lee,JP09,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Lee,JP01,U.S. President,,DEM,Bernie Sanders,10,0,9,1,0
Lee,JP02,U.S. President,,DEM,Bernie Sanders,36,0,27,9,0
Lee,JP03,U.S. President,,DEM,Bernie Sanders,14,0,5,9,0
Lee,JP04,U.S. President,,DEM,Bernie Sanders,4,0,3,1,0
Lee,JP05,U.S. President,,DEM,Bernie Sanders,7,0,3,4,0
Lee,JP06,U.S. President,,DEM,Bernie Sanders,13,1,9,3,0
Lee,JP07,U.S. President,,DEM,Bernie Sanders,11,0,4,7,0
Lee,JP08,U.S. President,,DEM,Bernie Sanders,9,0,3,6,0
Lee,JP09,U.S. President,,DEM,Bernie Sanders,8,1,4,3,0
Lee,JP01,U.S. President,,DEM,Tulsi Gabbard,1,0,1,0,0
Lee,JP02,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0
Lee,JP03,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0
Lee,JP04,U.S. President,,DEM,Tulsi Gabbard,4,0,1,3,0
Lee,JP05,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0
Lee,JP06,U.S. President,,DEM,Tulsi Gabbard,2,1,0,1,0
Lee,JP07,U.S. President,,DEM,Tulsi Gabbard,1,0,0,1,0
Lee,JP08,U.S. President,,DEM,Tulsi Gabbard,1,0,1,0,0
Lee,JP09,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0
Lee,JP01,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Lee,JP02,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Lee,JP03,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Lee,JP04,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Lee,JP05,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Lee,JP06,U.S. President,,DEM,Julian Castro,1,0,1,0,0
Lee,JP07,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Lee,JP08,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Lee,JP09,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Lee,JP01,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Lee,JP02,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Lee,JP03,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Lee,JP04,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Lee,JP05,U.S. President,,DEM,Cory Booker,1,0,0,1,0
Lee,JP06,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Lee,JP07,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Lee,JP08,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Lee,JP09,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Lee,JP01,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Lee,JP02,U.S. President,,DEM,John K. Delaney,1,0,1,0,0
Lee,JP03,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Lee,JP04,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Lee,JP05,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Lee,JP06,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Lee,JP07,U.S. President,,DEM,John K. Delaney,1,0,0,1,0
Lee,JP08,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Lee,JP09,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Lee,JP01,U.S. President,,DEM,Elizabeth Warren,0,0,0,0,0
Lee,JP02,U.S. President,,DEM,Elizabeth Warren,2,0,1,1,0
Lee,JP03,U.S. President,,DEM,Elizabeth Warren,0,0,0,0,0
Lee,JP04,U.S. President,,DEM,Elizabeth Warren,2,0,2,0,0
Lee,JP05,U.S. President,,DEM,Elizabeth Warren,0,0,0,0,0
Lee,JP06,U.S. President,,DEM,Elizabeth Warren,3,0,2,1,0
Lee,JP07,U.S. President,,DEM,Elizabeth Warren,2,0,1,1,0
Lee,JP08,U.S. President,,DEM,Elizabeth Warren,1,0,0,1,0
Lee,JP09,U.S. President,,DEM,Elizabeth Warren,2,0,1,1,0
Lee,JP01,U.S. President,,DEM,Mosie Boyd,1,0,1,0,0
Lee,JP02,U.S. President,,DEM,Mosie Boyd,1,0,0,1,0
Lee,JP03,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Lee,JP04,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Lee,JP05,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Lee,JP06,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Lee,JP07,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Lee,JP08,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Lee,JP09,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Lee,JP01,U.S. President,,DEM,Michael Bennet,2,0,2,0,0
Lee,JP02,U.S. President,,DEM,Michael Bennet,0,0,0,0,0
Lee,JP03,U.S. President,,DEM,Michael Bennet,3,0,1,2,0
Lee,JP04,U.S. President,,DEM,Michael Bennet,4,0,2,2,0
Lee,JP05,U.S. President,,DEM,Michael Bennet,5,0,3,2,0
Lee,JP06,U.S. President,,DEM,Michael Bennet,0,0,0,0,0
Lee,JP07,U.S. President,,DEM,Michael Bennet,5,0,0,5,0
Lee,JP08,U.S. President,,DEM,Michael Bennet,2,0,0,2,0
Lee,JP09,U.S. President,,DEM,Michael Bennet,0,0,0,0,0
Lee,JP01,U.S. President,,DEM,Andrew Yang,0,0,0,0,0
Lee,JP02,U.S. President,,DEM,Andrew Yang,0,0,0,0,0
Lee,JP03,U.S. President,,DEM,Andrew Yang,0,0,0,0,0
Lee,JP04,U.S. President,,DEM,Andrew Yang,0,0,0,0,0
Lee,JP05,U.S. President,,DEM,Andrew Yang,0,0,0,0,0
Lee,JP06,U.S. President,,DEM,Andrew Yang,2,0,0,2,0
Lee,JP07,U.S. President,,DEM,Andrew Yang,0,0,0,0,0
Lee,JP08,U.S. President,,DEM,Andrew Yang,2,0,2,0,0
