county,precinct,office,district,party,candidate,votes,absentee,election_day_paper,election_day,early_vote,provisional
Bradley,Ward 1,U.S. President,,DEM,Tulsi Gabbard,2,0,0,2,0,0
Bradley,Ward 2,U.S. President,,DEM,Tulsi Gabbard,2,0,0,2,0,0
Bradley,Ward 3,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0,0
Bradley,North,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0,0
Bradley,South,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0,0
Bradley,Banks City,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0,0
Bradley,Banks Rural,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0,0
Bradley,Springhill,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0,0
Bradley,Hermitage City,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0,0
Bradley,Hermitage Rural,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0,0
Bradley,Eagle Lake,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0,0
Bradley,Jersey,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0,0
Bradley,Johnsville,U.S. President,,DEM,Tulsi Gabbard,1,0,0,1,0,0
Bradley,Marion,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0,0
Bradley,Ward 1,U.S. President,,DEM,Elizabeth Warren,5,0,0,3,2,0
Bradley,Ward 2,U.S. President,,DEM,Elizabeth Warren,5,1,0,2,2,0
Bradley,Ward 3,U.S. President,,DEM,Elizabeth Warren,4,0,0,1,3,0
Bradley,North,U.S. President,,DEM,Elizabeth Warren,1,0,0,1,0,0
Bradley,South,U.S. President,,DEM,Elizabeth Warren,1,0,0,1,0,0
Bradley,Banks City,U.S. President,,DEM,Elizabeth Warren,2,0,0,2,0,0
Bradley,Banks Rural,U.S. President,,DEM,Elizabeth Warren,0,0,0,0,0,0
Bradley,Springhill,U.S. President,,DEM,Elizabeth Warren,1,0,0,1,0,0
Bradley,Hermitage City,U.S. President,,DEM,Elizabeth Warren,3,0,0,3,0,0
Bradley,Hermitage Rural,U.S. President,,DEM,Elizabeth Warren,0,0,0,0,0,0
Bradley,Eagle Lake,U.S. President,,DEM,Elizabeth Warren,0,0,0,0,0,0
Bradley,Jersey,U.S. President,,DEM,Elizabeth Warren,2,0,0,2,0,0
Bradley,Johnsville,U.S. President,,DEM,Elizabeth Warren,0,0,0,0,0,0
Bradley,Marion,U.S. President,,DEM,Elizabeth Warren,0,0,0,0,0,0
Bradley,Ward 1,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Bradley,Ward 2,U.S. President,,DEM,Julian Castro,1,1,0,0,0,0
Bradley,Ward 3,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Bradley,North,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Bradley,South,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Bradley,Banks City,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Bradley,Banks Rural,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Bradley,Springhill,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Bradley,Hermitage City,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Bradley,Hermitage Rural,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Bradley,Eagle Lake,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
