county,precinct,office,district,party,candidate,votes,absentee,tuckerman,swifton,newport,grubbs,pg,early_vote,php,pv,crossroads,tupelo,beedeville
Jackson,AIRBASE,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,ALCORN,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,ALGOA,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,AMAGON,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,AUVERGNE,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,BEEDEVILLE,U.S. President,,DEM,John K. Delaney,1,0,0,0,0,0,0,0,0,0,0,0,1
Jackson,BLACKVILLE,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,CAMPBELL STATION,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,CROSSROADS-37,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,DENMARK,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,DIAZ,U.S. President,,DEM,John K. Delaney,1,0,0,0,1,0,0,0,0,0,0,0,0
Jackson,GOURDNECK-CITIZENSHIP,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,GREENHAW,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,GRUBBS,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,HICKORY GROVE,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,HORSESHOE,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,INGLESIDE,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,ISLAND,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0,0,0,0,0,0,0,0
