county,precinct,office,district,party,candidate,votes,absentee,election_day,early_vote,provisional
Garland,011,U.S. President,,DEM,Marianne Williamson,1,0,1,0,0
Garland,012,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,013,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,014,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,021,U.S. President,,DEM,Marianne Williamson,1,0,1,0,0
Garland,022,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,023,U.S. President,,DEM,Marianne Williamson,1,0,0,1,0
Garland,024,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,031,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,032,U.S. President,,DEM,Marianne Williamson,1,0,1,0,0
Garland,033,U.S. President,,DEM,Marianne Williamson,1,0,0,1,0
Garland,034,U.S. President,,DEM,Marianne Williamson,1,0,0,1,0
Garland,041,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,042,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,043,U.S. President,,DEM,Marianne Williamson,5,0,4,1,0
Garland,044,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,051,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,052,U.S. President,,DEM,Marianne Williamson,1,0,1,0,0
Garland,053,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,054,U.S. President,,DEM,Marianne Williamson,1,0,0,1,0
Garland,061,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,062,U.S. President,,DEM,Marianne Williamson,1,0,1,0,0
Garland,063,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,064,U.S. President,,DEM,Marianne Williamson,6,0,3,3,0
Garland,065,U.S. President,,DEM,Marianne Williamson,1,0,1,0,0
Garland,071,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,072,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,073,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,074,U.S. President,,DEM,Marianne Williamson,1,0,0,1,0
Garland,081,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,082,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,083,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,084,U.S. President,,DEM,Marianne Williamson,1,0,1,0,0
Garland,091,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,092,U.S. President,,DEM,Marianne Williamson,1,0,0,1,0
Garland,093,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,094,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,095,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,101,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,102,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,103,U.S. President,,DEM,Marianne Williamson,1,0,1,0,0
Garland,104,U.S. President,,DEM,Marianne Williamson,2,0,1,1,0
Garland,111,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,112,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,113,U.S. President,,DEM,Marianne Williamson,1,0,0,1,0
Garland,114,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,115,U.S. President,,DEM,Marianne Williamson,1,0,1,0,0
Garland,121,U.S. President,,DEM,Marianne Williamson,1,0,0,1,0
Garland,122,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,123,U.S. President,,DEM,Marianne Williamson,1,0,0,1,0
Garland,124,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,125,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,131,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0
Garland,132,U.S. President,,DEM,Marianne Williamson,1,0,0,1,0
Garland,133,U.S. President,,DEM,Marianne Williamson,1,0,0,0,1
Garland,134,U.S. President,,DEM,Marianne Williamson,1,0,0,1,0
Garland,011,U.S. President,,DEM,Joe Sestak,1,0,0,1,0
Garland,012,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,013,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,014,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,021,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,022,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,023,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,024,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,031,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,032,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,033,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,034,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,041,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,042,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,043,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,044,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,051,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,052,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,053,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,054,U.S. President,,DEM,Joe Sestak,2,0,0,2,0
Garland,061,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,062,U.S. President,,DEM,Joe Sestak,1,0,1,0,0
Garland,063,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,064,U.S. President,,DEM,Joe Sestak,1,0,0,1,0
Garland,065,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,071,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,072,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,073,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,074,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,081,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,082,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,083,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,084,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,091,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,092,U.S. President,,DEM,Joe Sestak,1,0,0,1,0
Garland,093,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,094,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,095,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,101,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,102,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,103,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,104,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,111,U.S. President,,DEM,Joe Sestak,2,0,1,1,0
Garland,112,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,113,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,114,U.S. President,,DEM,Joe Sestak,1,0,1,0,0
Garland,115,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,121,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,122,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,123,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,124,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,125,U.S. President,,DEM,Joe Sestak,1,0,1,0,0
Garland,131,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,132,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,133,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,134,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Garland,011,U.S. President,,DEM,Cory Booker,2,0,1,1,0
Garland,012,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,013,U.S. President,,DEM,Cory Booker,1,0,1,0,0
Garland,014,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,021,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,022,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,023,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,024,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,031,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,032,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,033,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,034,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,041,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,042,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,043,U.S. President,,DEM,Cory Booker,2,0,2,0,0
Garland,044,U.S. President,,DEM,Cory Booker,2,0,1,1,0
Garland,051,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,052,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,053,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,054,U.S. President,,DEM,Cory Booker,3,0,2,1,0
Garland,061,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,062,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,063,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,064,U.S. President,,DEM,Cory Booker,1,0,0,1,0
Garland,065,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,071,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,072,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,073,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,074,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,081,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,082,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,083,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,084,U.S. President,,DEM,Cory Booker,1,0,1,0,0
Garland,091,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,092,U.S. President,,DEM,Cory Booker,4,0,2,2,0
Garland,093,U.S. President,,DEM,Cory Booker,1,0,0,1,0
Garland,094,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Garland,095,U.S. President,,DEM,Cory Booker,0,0,0,0,0
