county,precinct,office,district,party,candidate,votes,absentee,early_vote_north,election_day,early_vote_south,provisional
Arkansas,MCFALL,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Arkansas,CROCKETT,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Arkansas,KEATON,U.S. President,,DEM,Mosie Boyd,2,0,1,1,0,0
Arkansas,MILL BAYOU,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Arkansas,ALMYRA,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Arkansas,PRAIRIE,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Arkansas,LAGRUE,U.S. President,,DEM,Mosie Boyd,1,0,0,1,0,0
Arkansas,ST. CHARLES,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Arkansas,CHESTER,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Arkansas,ARKANSAS,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Arkansas,STANLEY,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Arkansas,GILLETT WARD 1,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Arkansas,GILLETT WARD 2,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Arkansas,GILLETT WARD 3,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Arkansas,PT DELUCE,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Arkansas,BAYOU METO,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Arkansas,MORRIS,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Arkansas,GUM POND,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Arkansas,BARTON,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Arkansas,HENTON,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Arkansas,BREWER,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Arkansas,GARLAND,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Arkansas,HUMPHREY WARD 1,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Arkansas,HUMPHREY WARD 3,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Arkansas,DEWITT WARD 1,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Arkansas,DEWITT WARD 2,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Arkansas,DEWITT WARD 3,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Arkansas,STUTTGART WARD 1,U.S. President,,DEM,Mosie Boyd,1,0,0,1,0,0
Arkansas,STUTTGART WARD 2,U.S. President,,DEM,Mosie Boyd,1,0,0,1,0,0
Arkansas,STUTTGART WARD 3,U.S. President,,DEM,Mosie Boyd,1,0,1,0,0,0
Arkansas,MCFALL,U.S. President,,DEM,Joseph R. Biden,1,0,0,1,0,0
Arkansas,CROCKETT,U.S. President,,DEM,Joseph R. Biden,4,0,0,1,3,0
Arkansas,KEATON,U.S. President,,DEM,Joseph R. Biden,21,0,5,12,4,0
Arkansas,MILL BAYOU,U.S. President,,DEM,Joseph R. Biden,6,0,0,6,0,0
Arkansas,ALMYRA,U.S. President,,DEM,Joseph R. Biden,2,0,0,2,0,0
Arkansas,PRAIRIE,U.S. President,,DEM,Joseph R. Biden,11,0,0,8,3,0
Arkansas,LAGRUE,U.S. President,,DEM,Joseph R. Biden,19,0,0,16,3,0
Arkansas,ST. CHARLES,U.S. President,,DEM,Joseph R. Biden,3,0,0,3,0,0
Arkansas,CHESTER,U.S. President,,DEM,Joseph R. Biden,0,0,0,0,0,0
Arkansas,ARKANSAS,U.S. President,,DEM,Joseph R. Biden,4,1,0,3,0,0
Arkansas,STANLEY,U.S. President,,DEM,Joseph R. Biden,2,0,0,2,0,0
Arkansas,GILLETT WARD 1,U.S. President,,DEM,Joseph R. Biden,6,1,0,5,0,0
Arkansas,GILLETT WARD 2,U.S. President,,DEM,Joseph R. Biden,9,0,0,6,3,0
Arkansas,GILLETT WARD 3,U.S. President,,DEM,Joseph R. Biden,14,0,0,12,2,0
Arkansas,PT DELUCE,U.S. President,,DEM,Joseph R. Biden,6,2,0,2,2,0
Arkansas,BAYOU METO,U.S. President,,DEM,Joseph R. Biden,2,0,2,0,0,0
Arkansas,MORRIS,U.S. President,,DEM,Joseph R. Biden,6,0,2,4,0,0
Arkansas,GUM POND,U.S. President,,DEM,Joseph R. Biden,4,0,4,0,0,0
Arkansas,BARTON,U.S. President,,DEM,Joseph R. Biden,1,0,1,0,0,0
Arkansas,HENTON,U.S. President,,DEM,Joseph R. Biden,7,0,0,6,1,0
Arkansas,BREWER,U.S. President,,DEM,Joseph R. Biden,2,0,0,2,0,0
Arkansas,GARLAND,U.S. President,,DEM,Joseph R. Biden,1,0,0,0,1,0
Arkansas,HUMPHREY WARD 1,U.S. President,,DEM,Joseph R. Biden,10,0,0,10,0,0
Arkansas,HUMPHREY WARD 3,U.S. President,,DEM,Joseph R. Biden,1,0,0,1,0,0
Arkansas,DEWITT WARD 1,U.S. President,,DEM,Joseph R. Biden,27,0,0,19,8,0
Arkansas,DEWITT WARD 2,U.S. President,,DEM,Joseph R. Biden,17,0,0,10,7,0
Arkansas,DEWITT WARD 3,U.S. President,,DEM,Joseph R. Biden,14,0,0,12,2,0
Arkansas,STUTTGART WARD 1,U.S. President,,DEM,Joseph R. Biden,94,1,37,56,0,0
Arkansas,STUTTGART WARD 2,U.S. President,,DEM,Joseph R. Biden,78,0,25,53,0,0
Arkansas,STUTTGART WARD 3,U.S. President,,DEM,Joseph R. Biden,78,0,36,42,0,0
Arkansas,MCFALL,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Arkansas,CROCKETT,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Arkansas,KEATON,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Arkansas,MILL BAYOU,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Arkansas,ALMYRA,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Arkansas,PRAIRIE,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Arkansas,LAGRUE,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Arkansas,ST. CHARLES,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Arkansas,CHESTER,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Arkansas,ARKANSAS,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Arkansas,STANLEY,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
