county,precinct,office,district,party,candidate,votes,absentee,early,election_day
Van Buren,02 Barnett,U.S. President,,DEM,Tulsi Gabbard,1,1,0,0
Van Buren,03 Bradley,U.S. President,,DEM,Tulsi Gabbard,1,1,0,0
Van Buren,04 Culpepper,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0
Van Buren,05 Holly Mountain,U.S. President,,DEM,Tulsi Gabbard,1,0,0,1
Van Buren,06 Choctaw,U.S. President,,DEM,Tulsi Gabbard,1,0,0,1
Van Buren,07 West Griggs,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0
Van Buren,08 Craig,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0
Van Buren,09 Cargile,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0
Van Buren,10 Davis,U.S. President,,DEM,Tulsi Gabbard,1,0,0,1
Van Buren,11 Formosa,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0
Van Buren,12 East Griggs,U.S. President,,DEM,Tulsi Gabbard,1,0,0,1
Van Buren,15 Mountain,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0
Van Buren,17 Linn Creek,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0
Van Buren,17Linn Creek,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0
Van Buren,19 Red River,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0
Van Buren,20 Union,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0
Van Buren,21 Washington,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0
Van Buren,22 Wheeler,U.S. President,,DEM,Tulsi Gabbard,1,1,0,0
Van Buren,23 Mountain Ranch,U.S. President,,DEM,Tulsi Gabbard,2,2,0,0
Van Buren,24 South Griggs,U.S. President,,DEM,Tulsi Gabbard,3,1,0,2
Van Buren,25 Indian Hills,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0
Van Buren,26 Lakewood,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0
Van Buren,02 Barnett,U.S. President,,DEM,Pete Buttigieg,1,1,0,0
Van Buren,03 Bradley,U.S. President,,DEM,Pete Buttigieg,2,1,0,1
Van Buren,04 Culpepper,U.S. President,,DEM,Pete Buttigieg,1,0,0,1
Van Buren,05 Holly Mountain,U.S. President,,DEM,Pete Buttigieg,2,0,0,2
Van Buren,06 Choctaw,U.S. President,,DEM,Pete Buttigieg,1,1,0,0
Van Buren,07 West Griggs,U.S. President,,DEM,Pete Buttigieg,3,0,0,3
Van Buren,08 Craig,U.S. President,,DEM,Pete Buttigieg,1,0,0,1
Van Buren,09 Cargile,U.S. President,,DEM,Pete Buttigieg,0,0,0,0
