county,precinct,office,district,party,candidate,votes,absentee,election_day,early_vote,provisional
Crawford,ALMA 01 C4-JP8-R81-S5,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,ALMA 02,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,ALMA 03,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,ALMA 04 C4-JP11-R81-S5,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,BIDVILLE C4-JP13-R82-S5 MTNSD,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,CEDAR CREEK,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,CEDARVILLE C3-JP1-R80-S5,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,CHESTER C4-JP13-R-81-S5-MTNSD,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,COVE CITY C3-JP1-R80-S5,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,DEAN SPRINGS,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,DORA C3-JP4-R79-S9-VBSD,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,DYER C4-JP12-R-75-S5,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,EAGLE CREST C4-JP12-R-81-S5,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,FIGURE FIVE,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,JASPER,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,KIBLER,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,LANCASTER,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,LEE CREEK C3-JP1-R80-S5,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,LOCKE C4-160-JP13-R82-S5-MTNSD,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,MOUNTAIN,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,MULBERRY 01 C4-JP12-R75-S5-MSD,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,MULBERRY 02 C4-JP12-R82-S5-MSD,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,MULBERRY 03,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,OLIVER SPRINGS,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,PORTER C4-JP13-R81-S5-MTNSD,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,RUDY C3-JP10-R81-S5,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,UNION C3-JP1-R80-S5,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,UPPER C3-JP13-R81-S5-MTNSD,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,VAN BUREN 01 C3-JP4-R79-S9-VBS,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,VAN BUREN 02 C3-JP4-R79-S9-VBS,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,VAN BUREN 03 C3-JP3-R79-S9-VBS,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,VAN BUREN 04 C3-JP6-R79-S9-VBS,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,"VAN BUREN 05 C3-JP7,JP8-S9 VBS",REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,VAN BUREN 06 C3-R79-JP6-S9-VBS,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,VAN BUREN 07 -C3-JP5-R79-S9-VB,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,VAN BUREN 08 C3-JP9-R79-S5-VBS,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,VAN BUREN 09 C3-JP5-R79-S9-VBS,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,VAN BUREN 10,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,VAN BUREN 11 C3-JP5-R79-S9-VBS,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,VAN BUREN 12 C3-JP2-R79-S9-VBS,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,VINE PRAIRIE C4-JP12-R75-S5-MS,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,WHITLEY,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,WINFREY C4-JP13-R82-S5-MTNSD,REGISTERED VOTERS,,REP,REGISTERED VOTERS - REPUBLICAN,0,0,0,0,0
Crawford,ALMA 01 C4-JP8-R81-S5,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,ALMA 02,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,ALMA 03,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,ALMA 04 C4-JP11-R81-S5,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,BIDVILLE C4-JP13-R82-S5 MTNSD,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,CEDAR CREEK,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,CEDARVILLE C3-JP1-R80-S5,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,CHESTER C4-JP13-R-81-S5-MTNSD,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,COVE CITY C3-JP1-R80-S5,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,DEAN SPRINGS,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,DORA C3-JP4-R79-S9-VBSD,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,DYER C4-JP12-R-75-S5,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,EAGLE CREST C4-JP12-R-81-S5,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,FIGURE FIVE,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,JASPER,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,KIBLER,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,LANCASTER,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,LEE CREEK C3-JP1-R80-S5,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,LOCKE C4-160-JP13-R82-S5-MTNSD,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,MOUNTAIN,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,MULBERRY 01 C4-JP12-R75-S5-MSD,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,MULBERRY 02 C4-JP12-R82-S5-MSD,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,MULBERRY 03,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,OLIVER SPRINGS,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,PORTER C4-JP13-R81-S5-MTNSD,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,RUDY C3-JP10-R81-S5,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,UNION C3-JP1-R80-S5,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,UPPER C3-JP13-R81-S5-MTNSD,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,VAN BUREN 01 C3-JP4-R79-S9-VBS,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
Crawford,VAN BUREN 02 C3-JP4-R79-S9-VBS,REGISTERED VOTERS,,DEM,REGISTERED VOTERS - DEMOCRAT,0,0,0,0,0
