county,precinct,office,district,party,candidate,votes,provisional,absentee,election_day,early_vote
Desha,BOWIE 1,U.S. President,,DEM,Michael Bennet,1,0,0,1,0
Desha,BOWIE 2,U.S. President,,DEM,Michael Bennet,3,0,0,0,3
Desha,BOWIE 3,U.S. President,,DEM,Michael Bennet,1,0,0,0,1
Desha,BOWIE RURAL,U.S. President,,DEM,Michael Bennet,0,0,0,0,0
Desha,CLAYTON MCARTHUR,U.S. President,,DEM,Michael Bennet,1,0,0,1,0
Desha,CLAYTON REED,U.S. President,,DEM,Michael Bennet,0,0,0,0,0
Desha,CLAYTON TILLAR,U.S. President,,DEM,Michael Bennet,0,0,0,0,0
Desha,FRANKLIN,U.S. President,,DEM,Michael Bennet,0,0,0,0,0
Desha,HALLEY,U.S. President,,DEM,Michael Bennet,0,0,0,0,0
Desha,JEFFERSON,U.S. President,,DEM,Michael Bennet,1,0,0,1,0
Desha,MISSISSIPPI,U.S. President,,DEM,Michael Bennet,0,0,0,0,0
Desha,MITCHELLVILLE,U.S. President,,DEM,Michael Bennet,1,0,0,1,0
Desha,RANDOLPH 1,U.S. President,,DEM,Michael Bennet,0,0,0,0,0
Desha,RANDOLPH 2,U.S. President,,DEM,Michael Bennet,0,0,0,0,0
Desha,RANDOLPH 3,U.S. President,,DEM,Michael Bennet,2,0,0,1,1
Desha,RANDOLPH 4,U.S. President,,DEM,Michael Bennet,3,0,0,3,0
Desha,RANDOLPH RURAL,U.S. President,,DEM,Michael Bennet,0,0,0,0,0
Desha,REDFORK,U.S. President,,DEM,Michael Bennet,0,0,0,0,0
Desha,RICHLAND,U.S. President,,DEM,Michael Bennet,0,0,0,0,0
Desha,SILVERLAKE,U.S. President,,DEM,Michael Bennet,0,0,0,0,0
Desha,WALNUT LAKE,U.S. President,,DEM,Michael Bennet,0,0,0,0,0
Desha,BOWIE 1,U.S. President,,DEM,Cory Booker,1,0,0,1,0
Desha,BOWIE 2,U.S. President,,DEM,Cory Booker,2,0,0,2,0
Desha,BOWIE 3,U.S. President,,DEM,Cory Booker,3,0,0,2,1
Desha,BOWIE RURAL,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Desha,CLAYTON MCARTHUR,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Desha,CLAYTON REED,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Desha,CLAYTON TILLAR,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Desha,FRANKLIN,U.S. President,,DEM,Cory Booker,2,0,0,0,2
Desha,HALLEY,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Desha,JEFFERSON,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Desha,MISSISSIPPI,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Desha,MITCHELLVILLE,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Desha,RANDOLPH 1,U.S. President,,DEM,Cory Booker,2,0,0,1,1
Desha,RANDOLPH 2,U.S. President,,DEM,Cory Booker,1,0,0,1,0
Desha,RANDOLPH 3,U.S. President,,DEM,Cory Booker,0,0,0,0,0
