county,precinct,office,district,party,candidate,votes,absentee,election_day,provisional,early
Lawrence,Annieville,U.S. President,,Dem,Tom Steyer,1,0,0,0,1
Lawrence,Ashland,U.S. President,,Dem,Tom Steyer,1,0,0,0,1
Lawrence,Black River,U.S. President,,Dem,Tom Steyer,0,0,0,0,0
Lawrence,Black Rock,U.S. President,,Dem,Tom Steyer,3,0,2,0,1
Lawrence,Boas 1,U.S. President,,Dem,Tom Steyer,1,0,0,0,1
Lawrence,Boas 2,U.S. President,,Dem,Tom Steyer,4,0,2,0,2
Lawrence,Boas 3,U.S. President,,Dem,Tom Steyer,1,0,0,0,1
Lawrence,Cache,U.S. President,,Dem,Tom Steyer,1,0,1,0,0
Lawrence,Campbell 1,U.S. President,,Dem,Tom Steyer,3,0,0,0,3
Lawrence,Campbell 2,U.S. President,,Dem,Tom Steyer,5,0,2,0,3
Lawrence,Campbell 3,U.S. President,,Dem,Tom Steyer,3,1,0,0,2
Lawrence,Campbell 4,U.S. President,,Dem,Tom Steyer,1,0,1,0,0
Lawrence,Dent,U.S. President,,Dem,Tom Steyer,1,0,0,0,1
Lawrence,Dowell,U.S. President,,Dem,Tom Steyer,0,0,0,0,0
Lawrence,Duty,U.S. President,,Dem,Tom Steyer,0,0,0,0,0
Lawrence,Eaton,U.S. President,,Dem,Tom Steyer,1,0,1,0,0
Lawrence,Flat Creek,U.S. President,,Dem,Tom Steyer,0,0,0,0,0
Lawrence,Jesup,U.S. President,,Dem,Tom Steyer,0,0,0,0,0
Lawrence,Lawrence,U.S. President,,Dem,Tom Steyer,0,0,0,0,0
Lawrence,Marion,U.S. President,,Dem,Tom Steyer,2,0,1,0,1
Lawrence,Morgan,U.S. President,,Dem,Tom Steyer,1,0,1,0,0
Lawrence,Promised Land,U.S. President,,Dem,Tom Steyer,1,0,0,0,1
Lawrence,Reed's Creek Saffell,U.S. President,,Dem,Tom Steyer,0,0,0,0,0
Lawrence,Reed's Creek Strawberry,U.S. President,,Dem,Tom Steyer,0,0,0,0,0
Lawrence,Richwoods,U.S. President,,Dem,Tom Steyer,0,0,0,0,0
Lawrence,Spring River,U.S. President,,Dem,Tom Steyer,0,0,0,0,0
Lawrence,Strawberry,U.S. President,,Dem,Tom Steyer,2,0,2,0,0
Lawrence,Thacker,U.S. President,,Dem,Tom Steyer,0,0,0,0,0
Lawrence,Annieville,U.S. President,,Dem,Joe Sestak,1,0,0,0,1
Lawrence,Ashland,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Lawrence,Black River,U.S. President,,Dem,Joe Sestak,2,0,1,0,1
Lawrence,Black Rock,U.S. President,,Dem,Joe Sestak,1,0,1,0,0
Lawrence,Boas 1,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Lawrence,Boas 2,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Lawrence,Boas 3,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Lawrence,Cache,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Lawrence,Campbell 1,U.S. President,,Dem,Joe Sestak,2,0,1,0,1
Lawrence,Campbell 2,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Lawrence,Campbell 3,U.S. President,,Dem,Joe Sestak,1,0,0,0,1
Lawrence,Campbell 4,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Lawrence,Dent,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Lawrence,Dowell,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Lawrence,Duty,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Lawrence,Eaton,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Lawrence,Flat Creek,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Lawrence,Jesup,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Lawrence,Lawrence,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Lawrence,Marion,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Lawrence,Morgan,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Lawrence,Promised Land,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Lawrence,Reed's Creek Saffell,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Lawrence,Reed's Creek Strawberry,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
Lawrence,Richwoods,U.S. President,,Dem,Joe Sestak,0,0,0,0,0
