county,precinct,office,district,party,candidate,votes,election_day_paper_ballot,absentee,election_day_ivo_machine,provisional,early_vote
Pulaski,1,U.S. President,,REP,Rick Santorum,14,9,0,0,0,5
Pulaski,2,U.S. President,,REP,Rick Santorum,21,14,0,0,0,7
Pulaski,3,U.S. President,,REP,Rick Santorum,6,4,0,0,0,2
Pulaski,4,U.S. President,,REP,Rick Santorum,70,40,0,0,0,30
Pulaski,5,U.S. President,,REP,Rick Santorum,35,26,0,0,0,9
Pulaski,6,U.S. President,,REP,Rick Santorum,9,6,0,0,0,3
Pulaski,7,U.S. President,,REP,Rick Santorum,11,8,1,0,0,2
Pulaski,8,U.S. President,,REP,Rick Santorum,7,4,0,0,0,3
Pulaski,9,U.S. President,,REP,Rick Santorum,5,3,0,0,0,2
Pulaski,10,U.S. President,,REP,Rick Santorum,14,6,5,0,0,3
Pulaski,11,U.S. President,,REP,Rick Santorum,11,10,0,0,0,1
Pulaski,12,U.S. President,,REP,Rick Santorum,5,4,0,0,0,1
Pulaski,13,U.S. President,,REP,Rick Santorum,17,14,0,0,0,3
Pulaski,14,U.S. President,,REP,Rick Santorum,23,14,0,0,0,9
Pulaski,15,U.S. President,,REP,Rick Santorum,4,1,0,0,0,3
Pulaski,16,U.S. President,,REP,Rick Santorum,0,0,0,0,0,0
Pulaski,17,U.S. President,,REP,Rick Santorum,4,3,0,0,0,1
Pulaski,18,U.S. President,,REP,Rick Santorum,18,14,0,0,0,4
Pulaski,19,U.S. President,,REP,Rick Santorum,7,4,0,0,0,3
Pulaski,20,U.S. President,,REP,Rick Santorum,18,13,1,0,0,4
Pulaski,21,U.S. President,,REP,Rick Santorum,6,5,0,0,0,1
Pulaski,22,U.S. President,,REP,Rick Santorum,21,18,0,0,0,3
Pulaski,23,U.S. President,,REP,Rick Santorum,33,23,0,0,0,10
Pulaski,24,U.S. President,,REP,Rick Santorum,13,13,0,0,0,0
Pulaski,25,U.S. President,,REP,Rick Santorum,10,7,0,0,0,3
Pulaski,26,U.S. President,,REP,Rick Santorum,19,17,0,0,0,2
Pulaski,27,U.S. President,,REP,Rick Santorum,31,29,0,0,0,2
Pulaski,28,U.S. President,,REP,Rick Santorum,27,26,0,0,0,1
