county,precinct,office,district,party,candidate,votes,election_day
Prairie,Belcher/Tyler,U.S. President,,DEM,John Wolfe,20,20
Prairie,Bullard,U.S. President,,DEM,John Wolfe,7,7
Prairie,Calhoun,U.S. President,,DEM,John Wolfe,33,33
Prairie,Center,U.S. President,,DEM,John Wolfe,44,44
Prairie,Des Arc,U.S. President,,DEM,John Wolfe,23,23
Prairie,Hazen Ward 1,U.S. President,,DEM,John Wolfe,43,43
Prairie,Hazen Ward 2,U.S. President,,DEM,John Wolfe,42,42
Prairie,Hazen Ward 3,U.S. President,,DEM,John Wolfe,24,24
Prairie,Hazen Country,U.S. President,,DEM,John Wolfe,30,30
Prairie,Hickory Plains,U.S. President,,DEM,John Wolfe,31,31
Prairie,Lower Hill City,U.S. President,,DEM,John Wolfe,23,23
Prairie,Upper Hill/Lower Hill,U.S. President,,DEM,John Wolfe,18,18
Prairie,Roc Roe City,U.S. President,,DEM,John Wolfe,6,6
Prairie,Roc Roe Country,U.S. President,,DEM,John Wolfe,10,10
Prairie,Union,U.S. President,,DEM,John Wolfe,6,6
Prairie,Wattensaw City,U.S. President,,DEM,John Wolfe,26,26
Prairie,Wattensaw Country,U.S. President,,DEM,John Wolfe,25,25
Prairie,White River Ward 1,U.S. President,,DEM,John Wolfe,53,53
Prairie,White River Ward 2,U.S. President,,DEM,John Wolfe,80,80
Prairie,White River Ward 3,U.S. President,,DEM,John Wolfe,64,64
Prairie,White River Country,U.S. President,,DEM,John Wolfe,68,68
Prairie,Belcher/Tyler,U.S. President,,DEM,Barack Obama,3,3
Prairie,Bullard,U.S. President,,DEM,Barack Obama,5,5
Prairie,Calhoun,U.S. President,,DEM,Barack Obama,11,11
Prairie,Center,U.S. President,,DEM,Barack Obama,4,4
Prairie,Des Arc,U.S. President,,DEM,Barack Obama,14,14
Prairie,Hazen Ward 1,U.S. President,,DEM,Barack Obama,14,14
Prairie,Hazen Ward 2,U.S. President,,DEM,Barack Obama,9,9
Prairie,Hazen Ward 3,U.S. President,,DEM,Barack Obama,23,23
Prairie,Hazen Country,U.S. President,,DEM,Barack Obama,15,15
Prairie,Hickory Plains,U.S. President,,DEM,Barack Obama,12,12
Prairie,Lower Hill City,U.S. President,,DEM,Barack Obama,24,24
Prairie,Upper Hill/Lower Hill,U.S. President,,DEM,Barack Obama,12,12
Prairie,Roc Roe City,U.S. President,,DEM,Barack Obama,2,2
Prairie,Roc Roe Country,U.S. President,,DEM,Barack Obama,0,0
Prairie,Union,U.S. President,,DEM,Barack Obama,3,3
Prairie,Wattensaw City,U.S. President,,DEM,Barack Obama,25,25
Prairie,Wattensaw Country,U.S. President,,DEM,Barack Obama,9,9
Prairie,White River Ward 1,U.S. President,,DEM,Barack Obama,39,39
Prairie,White River Ward 2,U.S. President,,DEM,Barack Obama,38,38
Prairie,White River Ward 3,U.S. President,,DEM,Barack Obama,33,33
Prairie,White River Country,U.S. President,,DEM,Barack Obama,29,29
Prairie,Belcher/Tyler,U.S. Congress District 1,,DEM,Clark M. Hall,11,11
Prairie,Bullard,U.S. Congress District 1,,DEM,Clark M. Hall,5,5
Prairie,Calhoun,U.S. Congress District 1,,DEM,Clark M. Hall,18,18
Prairie,Center,U.S. Congress District 1,,DEM,Clark M. Hall,29,29
Prairie,Des Arc,U.S. Congress District 1,,DEM,Clark M. Hall,12,12
Prairie,Hazen Ward 1,U.S. Congress District 1,,DEM,Clark M. Hall,27,27
Prairie,Hazen Ward 2,U.S. Congress District 1,,DEM,Clark M. Hall,19,19
Prairie,Hazen Ward 3,U.S. Congress District 1,,DEM,Clark M. Hall,23,23
Prairie,Hazen Country,U.S. Congress District 1,,DEM,Clark M. Hall,30,30
Prairie,Hickory Plains,U.S. Congress District 1,,DEM,Clark M. Hall,24,24
Prairie,Lower Hill City,U.S. Congress District 1,,DEM,Clark M. Hall,18,18
Prairie,Upper Hill/Lower Hill,U.S. Congress District 1,,DEM,Clark M. Hall,14,14
Prairie,Roc Roe City,U.S. Congress District 1,,DEM,Clark M. Hall,5,5
Prairie,Roc Roe Country,U.S. Congress District 1,,DEM,Clark M. Hall,5,5
Prairie,Union,U.S. Congress District 1,,DEM,Clark M. Hall,4,4
Prairie,Wattensaw City,U.S. Congress District 1,,DEM,Clark M. Hall,22,22
Prairie,Wattensaw Country,U.S. Congress District 1,,DEM,Clark M. Hall,21,21
Prairie,White River Ward 1,U.S. Congress District 1,,DEM,Clark M. Hall,38,38
Prairie,White River Ward 2,U.S. Congress District 1,,DEM,Clark M. Hall,43,43
Prairie,White River Ward 3,U.S. Congress District 1,,DEM,Clark M. Hall,42,42
Prairie,White River Country,U.S. Congress District 1,,DEM,Clark M. Hall,47,47
Prairie,Belcher/Tyler,U.S. Congress District 1,,DEM,Gary Latanich,5,5
Prairie,Bullard,U.S. Congress District 1,,DEM,Gary Latanich,2,2
Prairie,Calhoun,U.S. Congress District 1,,DEM,Gary Latanich,6,6
Prairie,Center,U.S. Congress District 1,,DEM,Gary Latanich,3,3
Prairie,Des Arc,U.S. Congress District 1,,DEM,Gary Latanich,6,6
Prairie,Hazen Ward 1,U.S. Congress District 1,,DEM,Gary Latanich,6,6
Prairie,Hazen Ward 2,U.S. Congress District 1,,DEM,Gary Latanich,7,7
Prairie,Hazen Ward 3,U.S. Congress District 1,,DEM,Gary Latanich,8,8
Prairie,Hazen Country,U.S. Congress District 1,,DEM,Gary Latanich,5,5
Prairie,Hickory Plains,U.S. Congress District 1,,DEM,Gary Latanich,5,5
Prairie,Lower Hill City,U.S. Congress District 1,,DEM,Gary Latanich,7,7
Prairie,Upper Hill/Lower Hill,U.S. Congress District 1,,DEM,Gary Latanich,3,3
Prairie,Roc Roe City,U.S. Congress District 1,,DEM,Gary Latanich,0,0
Prairie,Roc Roe Country,U.S. Congress District 1,,DEM,Gary Latanich,1,1
Prairie,Union,U.S. Congress District 1,,DEM,Gary Latanich,0,0
Prairie,Wattensaw City,U.S. Congress District 1,,DEM,Gary Latanich,3,3
Prairie,Wattensaw Country,U.S. Congress District 1,,DEM,Gary Latanich,5,5
Prairie,White River Ward 1,U.S. Congress District 1,,DEM,Gary Latanich,11,11
Prairie,White River Ward 2,U.S. Congress District 1,,DEM,Gary Latanich,17,17
Prairie,White River Ward 3,U.S. Congress District 1,,DEM,Gary Latanich,17,17
Prairie,White River Country,U.S. Congress District 1,,DEM,Gary Latanich,11,11
Prairie,Belcher/Tyler,U.S. Congress District 1,,DEM,Prosecuting Attorney Scott Ellington,11,11
Prairie,Bullard,U.S. Congress District 1,,DEM,Prosecuting Attorney Scott Ellington,4,4
Prairie,Calhoun,U.S. Congress District 1,,DEM,Prosecuting Attorney Scott Ellington,17,17
Prairie,Center,U.S. Congress District 1,,DEM,Prosecuting Attorney Scott Ellington,16,16
Prairie,Des Arc,U.S. Congress District 1,,DEM,Prosecuting Attorney Scott Ellington,16,16
Prairie,Hazen Ward 1,U.S. Congress District 1,,DEM,Prosecuting Attorney Scott Ellington,25,25
Prairie,Hazen Ward 2,U.S. Congress District 1,,DEM,Prosecuting Attorney Scott Ellington,24,24
Prairie,Hazen Ward 3,U.S. Congress District 1,,DEM,Prosecuting Attorney Scott Ellington,13,13
Prairie,Hazen Country,U.S. Congress District 1,,DEM,Prosecuting Attorney Scott Ellington,7,7
Prairie,Hickory Plains,U.S. Congress District 1,,DEM,Prosecuting Attorney Scott Ellington,16,16
Prairie,Lower Hill City,U.S. Congress District 1,,DEM,Prosecuting Attorney Scott Ellington,23,23
Prairie,Upper Hill/Lower Hill,U.S. Congress District 1,,DEM,Prosecuting Attorney Scott Ellington,13,13
Prairie,Roc Roe City,U.S. Congress District 1,,DEM,Prosecuting Attorney Scott Ellington,4,4
Prairie,Roc Roe Country,U.S. Congress District 1,,DEM,Prosecuting Attorney Scott Ellington,7,7
Prairie,Union,U.S. Congress District 1,,DEM,Prosecuting Attorney Scott Ellington,4,4
Prairie,Wattensaw City,U.S. Congress District 1,,DEM,Prosecuting Attorney Scott Ellington,23,23
Prairie,Wattensaw Country,U.S. Congress District 1,,DEM,Prosecuting Attorney Scott Ellington,10,10
Prairie,White River Ward 1,U.S. Congress District 1,,DEM,Prosecuting Attorney Scott Ellington,37,37
Prairie,White River Ward 2,U.S. Congress District 1,,DEM,Prosecuting Attorney Scott Ellington,55,55
Prairie,White River Ward 3,U.S. Congress District 1,,DEM,Prosecuting Attorney Scott Ellington,39,39
Prairie,White River Country,U.S. Congress District 1,,DEM,Prosecuting Attorney Scott Ellington,44,44
Prairie,Belcher/Tyler,Prairie County Sheriff / Collector,,DEM,Bruce Sutton,4,4
Prairie,Bullard,Prairie County Sheriff / Collector,,DEM,Bruce Sutton,6,6
Prairie,Calhoun,Prairie County Sheriff / Collector,,DEM,Bruce Sutton,25,25
Prairie,Center,Prairie County Sheriff / Collector,,DEM,Bruce Sutton,14,14
Prairie,Des Arc,Prairie County Sheriff / Collector,,DEM,Bruce Sutton,12,12
Prairie,Hazen Ward 1,Prairie County Sheriff / Collector,,DEM,Bruce Sutton,14,14
Prairie,Hazen Ward 2,Prairie County Sheriff / Collector,,DEM,Bruce Sutton,8,8
Prairie,Hazen Ward 3,Prairie County Sheriff / Collector,,DEM,Bruce Sutton,12,12
Prairie,Hazen Country,Prairie County Sheriff / Collector,,DEM,Bruce Sutton,4,4
Prairie,Hickory Plains,Prairie County Sheriff / Collector,,DEM,Bruce Sutton,24,24
Prairie,Lower Hill City,Prairie County Sheriff / Collector,,DEM,Bruce Sutton,7,7
Prairie,Upper Hill/Lower Hill,Prairie County Sheriff / Collector,,DEM,Bruce Sutton,9,9
Prairie,Roc Roe City,Prairie County Sheriff / Collector,,DEM,Bruce Sutton,11,11
Prairie,Roc Roe Country,Prairie County Sheriff / Collector,,DEM,Bruce Sutton,1,1
Prairie,Union,Prairie County Sheriff / Collector,,DEM,Bruce Sutton,5,5
Prairie,Wattensaw City,Prairie County Sheriff / Collector,,DEM,Bruce Sutton,4,4
Prairie,Wattensaw Country,Prairie County Sheriff / Collector,,DEM,Bruce Sutton,8,8
Prairie,White River Ward 1,Prairie County Sheriff / Collector,,DEM,Bruce Sutton,48,48
Prairie,White River Ward 2,Prairie County Sheriff / Collector,,DEM,Bruce Sutton,64,64
Prairie,White River Ward 3,Prairie County Sheriff / Collector,,DEM,Bruce Sutton,33,33
Prairie,White River Country,Prairie County Sheriff / Collector,,DEM,Bruce Sutton,36,36
Prairie,Belcher/Tyler,Prairie County Sheriff / Collector,,DEM,Mike Wallace,16,16
Prairie,Bullard,Prairie County Sheriff / Collector,,DEM,Mike Wallace,1,1
Prairie,Calhoun,Prairie County Sheriff / Collector,,DEM,Mike Wallace,3,3
Prairie,Center,Prairie County Sheriff / Collector,,DEM,Mike Wallace,19,19
Prairie,Des Arc,Prairie County Sheriff / Collector,,DEM,Mike Wallace,4,4
Prairie,Hazen Ward 1,Prairie County Sheriff / Collector,,DEM,Mike Wallace,31,31
Prairie,Hazen Ward 2,Prairie County Sheriff / Collector,,DEM,Mike Wallace,29,29
Prairie,Hazen Ward 3,Prairie County Sheriff / Collector,,DEM,Mike Wallace,18,18
Prairie,Hazen Country,Prairie County Sheriff / Collector,,DEM,Mike Wallace,20,20
Prairie,Hickory Plains,Prairie County Sheriff / Collector,,DEM,Mike Wallace,1,1
Prairie,Lower Hill City,Prairie County Sheriff / Collector,,DEM,Mike Wallace,13,13
Prairie,Upper Hill/Lower Hill,Prairie County Sheriff / Collector,,DEM,Mike Wallace,6,6
Prairie,Roc Roe City,Prairie County Sheriff / Collector,,DEM,Mike Wallace,7,7
Prairie,Roc Roe Country,Prairie County Sheriff / Collector,,DEM,Mike Wallace,11,11
Prairie,Union,Prairie County Sheriff / Collector,,DEM,Mike Wallace,1,1
Prairie,Wattensaw City,Prairie County Sheriff / Collector,,DEM,Mike Wallace,6,6
Prairie,Wattensaw Country,Prairie County Sheriff / Collector,,DEM,Mike Wallace,15,15
Prairie,White River Ward 1,Prairie County Sheriff / Collector,,DEM,Mike Wallace,4,4
Prairie,White River Ward 2,Prairie County Sheriff / Collector,,DEM,Mike Wallace,11,11
Prairie,White River Ward 3,Prairie County Sheriff / Collector,,DEM,Mike Wallace,2,2
Prairie,White River Country,Prairie County Sheriff / Collector,,DEM,Mike Wallace,3,3
Prairie,Belcher/Tyler,Prairie County Sheriff / Collector,,DEM,Gary Burnett,14,14
Prairie,Bullard,Prairie County Sheriff / Collector,,DEM,Gary Burnett,5,5
Prairie,Calhoun,Prairie County Sheriff / Collector,,DEM,Gary Burnett,21,21
Prairie,Center,Prairie County Sheriff / Collector,,DEM,Gary Burnett,25,25
Prairie,Des Arc,Prairie County Sheriff / Collector,,DEM,Gary Burnett,28,28
Prairie,Hazen Ward 1,Prairie County Sheriff / Collector,,DEM,Gary Burnett,26,26
Prairie,Hazen Ward 2,Prairie County Sheriff / Collector,,DEM,Gary Burnett,22,22
Prairie,Hazen Ward 3,Prairie County Sheriff / Collector,,DEM,Gary Burnett,21,21
Prairie,Hazen Country,Prairie County Sheriff / Collector,,DEM,Gary Burnett,24,24
Prairie,Hickory Plains,Prairie County Sheriff / Collector,,DEM,Gary Burnett,30,30
Prairie,Lower Hill City,Prairie County Sheriff / Collector,,DEM,Gary Burnett,33,33
Prairie,Upper Hill/Lower Hill,Prairie County Sheriff / Collector,,DEM,Gary Burnett,19,19
