county,precinct,office,district,party,candidate,votes,election_day
Crawford,Alma 1,U.S. President,,DEM,Barack Obama,28,28
Crawford,Alma 2,U.S. President,,DEM,Barack Obama,10,10
Crawford,Alma 3,U.S. President,,DEM,Barack Obama,22,22
Crawford,Bidville,U.S. President,,DEM,Barack Obama,0,0
Crawford,Cedar Creek,U.S. President,,DEM,Barack Obama,8,8
Crawford,Cedarville,U.S. President,,DEM,Barack Obama,27,27
Crawford,Chester,U.S. President,,DEM,Barack Obama,11,11
Crawford,Cove City,U.S. President,,DEM,Barack Obama,5,5
Crawford,Dean Springs,U.S. President,,DEM,Barack Obama,12,12
Crawford,Dora,U.S. President,,DEM,Barack Obama,10,10
Crawford,Dyer,U.S. President,,DEM,Barack Obama,22,22
Crawford,Jasper,U.S. President,,DEM,Barack Obama,24,24
Crawford,Kibler,U.S. President,,DEM,Barack Obama,16,16
Crawford,Lancaster,U.S. President,,DEM,Barack Obama,3,3
Crawford,Lee Creek,U.S. President,,DEM,Barack Obama,3,3
Crawford,Locke,U.S. President,,DEM,Barack Obama,5,5
Crawford,Mullberry 1,U.S. President,,DEM,Barack Obama,11,11
Crawford,Mullberry 2,U.S. President,,DEM,Barack Obama,0,0
Crawford,Mulberry 3,U.S. President,,DEM,Barack Obama,20,20
Crawford,Mountain,U.S. President,,DEM,Barack Obama,14,14
Crawford,Oliver Springs,U.S. President,,DEM,Barack Obama,9,9
Crawford,Porter,U.S. President,,DEM,Barack Obama,3,3
Crawford,Rudy,U.S. President,,DEM,Barack Obama,16,16
Crawford,Union,U.S. President,,DEM,Barack Obama,12,12
Crawford,Upper,U.S. President,,DEM,Barack Obama,3,3
Crawford,Van Buren 1-1,U.S. President,,DEM,Barack Obama,14,14
Crawford,Van Buren 1-2,U.S. President,,DEM,Barack Obama,29,29
Crawford,Van Buren 2-1,U.S. President,,DEM,Barack Obama,19,19
Crawford,Van Buren 2-2,U.S. President,,DEM,Barack Obama,30,30
Crawford,Van Buren 3-1,U.S. President,,DEM,Barack Obama,24,24
Crawford,Van Buren 3-2,U.S. President,,DEM,Barack Obama,19,19
Crawford,Van Buren 3-3,U.S. President,,DEM,Barack Obama,20,20
Crawford,Van Buren 3-4,U.S. President,,DEM,Barack Obama,21,21
Crawford,Van Buren 3-6,U.S. President,,DEM,Barack Obama,24,24
Crawford,Van Buren 3-5,U.S. President,,DEM,Barack Obama,27,27
Crawford,Vine Prairie,U.S. President,,DEM,Barack Obama,16,16
Crawford,Whitley,U.S. President,,DEM,Barack Obama,9,9
Crawford,Winfrey,U.S. President,,DEM,Barack Obama,1,1
Crawford,Van Buren 1-3,U.S. President,,DEM,Barack Obama,30,30
Crawford,Alma 4,U.S. President,,DEM,Barack Obama,24,24
Crawford,Eagle Crest,U.S. President,,DEM,Barack Obama,5,5
Crawford,Figure Five,U.S. President,,DEM,Barack Obama,1,1
Crawford,Van Buren 4-1,U.S. President,,DEM,Barack Obama,24,24
Crawford,Alma 1,U.S. President,,DEM,John Wolfe,11,11
Crawford,Alma 2,U.S. President,,DEM,John Wolfe,1,1
Crawford,Alma 3,U.S. President,,DEM,John Wolfe,18,18
Crawford,Bidville,U.S. President,,DEM,John Wolfe,0,0
Crawford,Cedar Creek,U.S. President,,DEM,John Wolfe,5,5
Crawford,Cedarville,U.S. President,,DEM,John Wolfe,37,37
Crawford,Chester,U.S. President,,DEM,John Wolfe,0,0
Crawford,Cove City,U.S. President,,DEM,John Wolfe,7,7
Crawford,Dean Springs,U.S. President,,DEM,John Wolfe,9,9
Crawford,Dora,U.S. President,,DEM,John Wolfe,3,3
Crawford,Dyer,U.S. President,,DEM,John Wolfe,9,9
Crawford,Jasper,U.S. President,,DEM,John Wolfe,15,15
Crawford,Kibler,U.S. President,,DEM,John Wolfe,12,12
Crawford,Lancaster,U.S. President,,DEM,John Wolfe,6,6
Crawford,Lee Creek,U.S. President,,DEM,John Wolfe,5,5
Crawford,Locke,U.S. President,,DEM,John Wolfe,1,1
Crawford,Mullberry 1,U.S. President,,DEM,John Wolfe,5,5
Crawford,Mullberry 2,U.S. President,,DEM,John Wolfe,2,2
Crawford,Mulberry 3,U.S. President,,DEM,John Wolfe,11,11
Crawford,Mountain,U.S. President,,DEM,John Wolfe,11,11
