county,precinct,office,district,party,candidate,votes,election_day
Madison,Alabam,U.S. President,,DEM,John Wolfe,16,16
Madison,Boston,U.S. President,,DEM,John Wolfe,5,5
Madison,Bowen,U.S. President,,DEM,John Wolfe,10,10
Madison,California,U.S. President,,DEM,John Wolfe,17,17
Madison,Hilburn,U.S. President,,DEM,John Wolfe,3,3
Madison,Japton,U.S. President,,DEM,John Wolfe,1,1
Madison,Kings River,U.S. President,,DEM,John Wolfe,15,15
Madison,Lamar,U.S. President,,DEM,John Wolfe,12,12
Madison,Lincoln,U.S. President,,DEM,John Wolfe,4,4
Madison,Marble,U.S. President,,DEM,John Wolfe,15,15
Madison,Mill Creek,U.S. President,,DEM,John Wolfe,13,13
Madison,Prairie,U.S. President,,DEM,John Wolfe,14,14
Madison,Richland,U.S. President,,DEM,John Wolfe,12,12
Madison,Valley,U.S. President,,DEM,John Wolfe,13,13
Madison,War Eagle,U.S. President,,DEM,John Wolfe,32,32
Madison,Ward 1,U.S. President,,DEM,John Wolfe,5,5
Madison,Ward 2,U.S. President,,DEM,John Wolfe,3,3
Madison,Ward 3,U.S. President,,DEM,John Wolfe,6,6
Madison,Ward 4,U.S. President,,DEM,John Wolfe,7,7
Madison,Wharton,U.S. President,,DEM,John Wolfe,3,3
Madison,Alabam,U.S. President,,DEM,Barack Obama,43,43
Madison,Boston,U.S. President,,DEM,Barack Obama,12,12
Madison,Bowen,U.S. President,,DEM,Barack Obama,24,24
Madison,California,U.S. President,,DEM,Barack Obama,16,16
Madison,Hilburn,U.S. President,,DEM,Barack Obama,25,25
Madison,Japton,U.S. President,,DEM,Barack Obama,3,3
Madison,Kings River,U.S. President,,DEM,Barack Obama,23,23
Madison,Lamar,U.S. President,,DEM,Barack Obama,26,26
Madison,Lincoln,U.S. President,,DEM,Barack Obama,15,15
Madison,Marble,U.S. President,,DEM,Barack Obama,19,19
Madison,Mill Creek,U.S. President,,DEM,Barack Obama,20,20
Madison,Prairie,U.S. President,,DEM,Barack Obama,40,40
Madison,Richland,U.S. President,,DEM,Barack Obama,7,7
Madison,Valley,U.S. President,,DEM,Barack Obama,22,22
Madison,War Eagle,U.S. President,,DEM,Barack Obama,64,64
Madison,Ward 1,U.S. President,,DEM,Barack Obama,14,14
Madison,Ward 2,U.S. President,,DEM,Barack Obama,6,6
Madison,Ward 3,U.S. President,,DEM,Barack Obama,16,16
Madison,Ward 4,U.S. President,,DEM,Barack Obama,24,24
Madison,Wharton,U.S. President,,DEM,Barack Obama,9,9
Madison,Alabam,U.S. Congress District 4,,DEM,Senator Gene Jeffress,20,20
Madison,Boston,U.S. Congress District 4,,DEM,Senator Gene Jeffress,6,6
Madison,Bowen,U.S. Congress District 4,,DEM,Senator Gene Jeffress,9,9
Madison,California,U.S. Congress District 4,,DEM,Senator Gene Jeffress,15,15
Madison,Hilburn,U.S. Congress District 4,,DEM,Senator Gene Jeffress,11,11
Madison,Japton,U.S. Congress District 4,,DEM,Senator Gene Jeffress,2,2
Madison,Kings River,U.S. Congress District 4,,DEM,Senator Gene Jeffress,9,9
Madison,Lamar,U.S. Congress District 4,,DEM,Senator Gene Jeffress,18,18
Madison,Lincoln,U.S. Congress District 4,,DEM,Senator Gene Jeffress,7,7
