county,precinct,office,district,party,candidate,votes,election_day
Drew,WARD 1,U.S. President,,DEM,Barack Obama,174,174
Drew,WARD 2,U.S. President,,DEM,Barack Obama,182,182
Drew,WARD 3,U.S. President,,DEM,Barack Obama,123,123
Drew,WARD 4,U.S. President,,DEM,Barack Obama,110,110
Drew,COLLINS,U.S. President,,DEM,Barack Obama,13,13
Drew,ENON,U.S. President,,DEM,Barack Obama,20,20
Drew,JEROME,U.S. President,,DEM,Barack Obama,5,5
Drew,Lacey,U.S. President,,DEM,Barack Obama,36,36
Drew,Marion N Box 1,U.S. President,,DEM,Barack Obama,137,137
Drew,Marion N Box 2,U.S. President,,DEM,Barack Obama,54,54
Drew,Marion South,U.S. President,,DEM,Barack Obama,54,54
Drew,Ozment,U.S. President,,DEM,Barack Obama,25,25
Drew,Plantersville,U.S. President,,DEM,Barack Obama,24,24
Drew,Selma,U.S. President,,DEM,Barack Obama,45,45
Drew,Tillar,U.S. President,,DEM,Barack Obama,12,12
Drew,Wilmar,U.S. President,,DEM,Barack Obama,112,112
Drew,Winchester,U.S. President,,DEM,Barack Obama,24,24
Drew,WARD 1,U.S. President,,DEM,John Wolfe,76,76
Drew,WARD 2,U.S. President,,DEM,John Wolfe,288,288
Drew,WARD 3,U.S. President,,DEM,John Wolfe,117,117
Drew,WARD 4,U.S. President,,DEM,John Wolfe,130,130
Drew,COLLINS,U.S. President,,DEM,John Wolfe,31,31
Drew,ENON,U.S. President,,DEM,John Wolfe,53,53
Drew,JEROME,U.S. President,,DEM,John Wolfe,8,8
Drew,Lacey,U.S. President,,DEM,John Wolfe,105,105
Drew,Marion N Box 1,U.S. President,,DEM,John Wolfe,164,164
Drew,Marion N Box 2,U.S. President,,DEM,John Wolfe,110,110
Drew,Marion South,U.S. President,,DEM,John Wolfe,172,172
Drew,Ozment,U.S. President,,DEM,John Wolfe,54,54
Drew,Plantersville,U.S. President,,DEM,John Wolfe,67,67
Drew,Selma,U.S. President,,DEM,John Wolfe,49,49
