county,precinct,office,district,party,candidate,votes,election_day
Cleburne,NORTH CADRON INSIDE,U.S. President,,DEM,John Wolfe,14,14
Cleburne,NORTH CADRON OUTSIDE,U.S. President,,DEM,John Wolfe,23,23
Cleburne,SOUTH CADRON INSIDE,U.S. President,,DEM,John Wolfe,18,18
Cleburne,SOUTH CADRON OUTSIDE,U.S. President,,DEM,John Wolfe,31,31
Cleburne,CALIFORNIA,U.S. President,,DEM,John Wolfe,24,24
Cleburne,CENTER POST,U.S. President,,DEM,John Wolfe,13,13
Cleburne,CLAYTON,U.S. President,,DEM,John Wolfe,50,50
Cleburne,FRANCIS,U.S. President,,DEM,John Wolfe,30,30
Cleburne,GRASSEY INSIDE,U.S. President,,DEM,John Wolfe,14,14
Cleburne,GRASSEY OUTSIDE,U.S. President,,DEM,John Wolfe,25,25
Cleburne,GREERS FERRY GILES,U.S. President,,DEM,John Wolfe,53,53
Cleburne,GILES,U.S. President,,DEM,John Wolfe,24,24
Cleburne,HEALING SPRINGS,U.S. President,,DEM,John Wolfe,32,32
Cleburne,HEBER WARD 1,U.S. President,,DEM,John Wolfe,38,38
Cleburne,HEBER WARD 2,U.S. President,,DEM,John Wolfe,35,35
Cleburne,HEBER WARD 3,U.S. President,,DEM,John Wolfe,64,64
Cleburne,HEBER WARD 4,U.S. President,,DEM,John Wolfe,50,50
Cleburne,HEBER SPRING OUTSIDE,U.S. President,,DEM,John Wolfe,79,79
Cleburne,MCJESTER,U.S. President,,DEM,John Wolfe,5,5
Cleburne,MORGAN OUTSIDE,U.S. President,,DEM,John Wolfe,13,13
Cleburne,MOUNTAIN,U.S. President,,DEM,John Wolfe,32,32
Cleburne,EAST PETER CREEK,U.S. President,,DEM,John Wolfe,39,39
Cleburne,WEST PETER CREEK,U.S. President,,DEM,John Wolfe,59,59
Cleburne,PICKENS,U.S. President,,DEM,John Wolfe,8,8
Cleburne,PINE,U.S. President,,DEM,John Wolfe,15,15
Cleburne,PINEY,U.S. President,,DEM,John Wolfe,40,40
Cleburne,POFF,U.S. President,,DEM,John Wolfe,1,1
Cleburne,SALINE INSIDE,U.S. President,,DEM,John Wolfe,15,15
Cleburne,SALINE OUTSIDE,U.S. President,,DEM,John Wolfe,10,10
Cleburne,SUGAR CAMP,U.S. President,,DEM,John Wolfe,24,24
Cleburne,SUGAR LOAF,U.S. President,,DEM,John Wolfe,36,36
Cleburne,VALLEY,U.S. President,,DEM,John Wolfe,16,16
Cleburne,WILBURN,U.S. President,,DEM,John Wolfe,16,16
