county,precinct,office,district,party,candidate,votes,absentee,election_day,early_vote
Grant,Calvert,U.S. President,,DEM,John Wolfe,139,0,95,44
Grant,Darysaw,U.S. President,,DEM,John Wolfe,42,0,28,14
Grant,Davis,U.S. President,,DEM,John Wolfe,43,0,34,9
Grant,Dekalb 1,U.S. President,,DEM,John Wolfe,18,0,15,3
Grant,Dekalb 2,U.S. President,,DEM,John Wolfe,10,0,10,0
Grant,Fenter,U.S. President,,DEM,John Wolfe,54,0,47,7
Grant,Franklin,U.S. President,,DEM,John Wolfe,35,0,33,2
Grant,Madison,U.S. President,,DEM,John Wolfe,56,0,50,6
Grant,Merry Green 1,U.S. President,,DEM,John Wolfe,162,0,95,67
Grant,Merry Green 2,U.S. President,,DEM,John Wolfe,110,0,80,30
Grant,River,U.S. President,,DEM,John Wolfe,93,0,76,17
Grant,Simpson 1,U.S. President,,DEM,John Wolfe,57,0,48,9
Grant,Simpson 2,U.S. President,,DEM,John Wolfe,54,0,42,12
Grant,Tennessee,U.S. President,,DEM,John Wolfe,72,0,69,3
Grant,Ward 1,U.S. President,,DEM,John Wolfe,121,0,88,33
Grant,Ward 2,U.S. President,,DEM,John Wolfe,105,0,64,41
Grant,Ward 3,U.S. President,,DEM,John Wolfe,109,0,68,41
Grant,Washington,U.S. President,,DEM,John Wolfe,121,0,93,28
Grant,Absentee,U.S. President,,DEM,John Wolfe,4,4,0,0
Grant,Calvert,U.S. President,,DEM,Barack Obama,43,0,26,17
Grant,Darysaw,U.S. President,,DEM,Barack Obama,49,0,41,8
Grant,Davis,U.S. President,,DEM,Barack Obama,10,0,10,0
Grant,Dekalb 1,U.S. President,,DEM,Barack Obama,11,0,10,1
Grant,Dekalb 2,U.S. President,,DEM,Barack Obama,31,0,30,1
Grant,Fenter,U.S. President,,DEM,Barack Obama,25,0,21,4
Grant,Franklin,U.S. President,,DEM,Barack Obama,18,0,15,3
Grant,Madison,U.S. President,,DEM,Barack Obama,12,0,11,1
Grant,Merry Green 1,U.S. President,,DEM,Barack Obama,57,0,25,32
Grant,Merry Green 2,U.S. President,,DEM,Barack Obama,47,0,26,21
Grant,River,U.S. President,,DEM,Barack Obama,41,0,34,7
Grant,Simpson 1,U.S. President,,DEM,Barack Obama,24,0,18,6
Grant,Simpson 2,U.S. President,,DEM,Barack Obama,14,0,13,1
Grant,Tennessee,U.S. President,,DEM,Barack Obama,17,0,16,1
Grant,Ward 1,U.S. President,,DEM,Barack Obama,57,0,26,31
Grant,Ward 2,U.S. President,,DEM,Barack Obama,79,0,48,31
