county,precinct,office,district,party,candidate,votes,election_day
Perry,01-ALPIN,U.S. President,,DEM,John Wolfe,29,29
Perry,02-CASA,U.S. President,,DEM,John Wolfe,23,23
Perry,03-CHERRY HILL,U.S. President,,DEM,John Wolfe,28,28
Perry,04-FOURCHE,U.S. President,,DEM,John Wolfe,104,104
Perry,05-HOUSTON,U.S. President,,DEM,John Wolfe,37,37
Perry,06-KENNY,U.S. President,,DEM,John Wolfe,6,6
Perry,07-LAKE,U.S. President,,DEM,John Wolfe,40,40
Perry,08-MAUMELLE,U.S. President,,DEM,John Wolfe,32,32
Perry,09-NEW TENNESEE,U.S. President,,DEM,John Wolfe,12,12
Perry,10-PERRY,U.S. President,,DEM,John Wolfe,84,84
Perry,11-PETIT JEAN,U.S. President,,DEM,John Wolfe,26,26
Perry,12-RANKIN,U.S. President,,DEM,John Wolfe,74,74
Perry,13-ROSE CREEK,U.S. President,,DEM,John Wolfe,14,14
Perry,14-TYLER,U.S. President,,DEM,John Wolfe,7,7
Perry,15-UNION,U.S. President,,DEM,John Wolfe,38,38
Perry,16-UNION VALLEY,U.S. President,,DEM,John Wolfe,21,21
Perry,17-WYE,U.S. President,,DEM,John Wolfe,15,15
Perry,ABSENTEE,U.S. President,,DEM,John Wolfe,0,0
Perry,01-ALPIN,U.S. President,,DEM,Barack Obama,16,16
Perry,02-CASA,U.S. President,,DEM,Barack Obama,19,19
Perry,03-CHERRY HILL,U.S. President,,DEM,Barack Obama,16,16
Perry,04-FOURCHE,U.S. President,,DEM,Barack Obama,66,66
Perry,05-HOUSTON,U.S. President,,DEM,Barack Obama,15,15
Perry,06-KENNY,U.S. President,,DEM,Barack Obama,5,5
Perry,07-LAKE,U.S. President,,DEM,Barack Obama,17,17
Perry,08-MAUMELLE,U.S. President,,DEM,Barack Obama,21,21
Perry,09-NEW TENNESEE,U.S. President,,DEM,Barack Obama,5,5
Perry,10-PERRY,U.S. President,,DEM,Barack Obama,37,37
Perry,11-PETIT JEAN,U.S. President,,DEM,Barack Obama,8,8
Perry,12-RANKIN,U.S. President,,DEM,Barack Obama,52,52
Perry,13-ROSE CREEK,U.S. President,,DEM,Barack Obama,4,4
Perry,14-TYLER,U.S. President,,DEM,Barack Obama,14,14
Perry,15-UNION,U.S. President,,DEM,Barack Obama,48,48
Perry,16-UNION VALLEY,U.S. President,,DEM,Barack Obama,20,20
Perry,17-WYE,U.S. President,,DEM,Barack Obama,25,25
Perry,ABSENTEE,U.S. President,,DEM,Barack Obama,0,0
Perry,01-ALPIN,County Treasurer,,DEM,Janice K Moore Treasurer,52,52
Perry,02-CASA,County Treasurer,,DEM,Janice K Moore Treasurer,31,31
Perry,03-CHERRY HILL,County Treasurer,,DEM,Janice K Moore Treasurer,35,35
Perry,04-FOURCHE,County Treasurer,,DEM,Janice K Moore Treasurer,137,137
Perry,05-HOUSTON,County Treasurer,,DEM,Janice K Moore Treasurer,27,27
Perry,06-KENNY,County Treasurer,,DEM,Janice K Moore Treasurer,3,3
Perry,07-LAKE,County Treasurer,,DEM,Janice K Moore Treasurer,31,31
Perry,08-MAUMELLE,County Treasurer,,DEM,Janice K Moore Treasurer,32,32
Perry,09-NEW TENNESEE,County Treasurer,,DEM,Janice K Moore Treasurer,15,15
Perry,10-PERRY,County Treasurer,,DEM,Janice K Moore Treasurer,27,27
Perry,11-PETIT JEAN,County Treasurer,,DEM,Janice K Moore Treasurer,19,19
Perry,12-RANKIN,County Treasurer,,DEM,Janice K Moore Treasurer,81,81
Perry,13-ROSE CREEK,County Treasurer,,DEM,Janice K Moore Treasurer,18,18
Perry,14-TYLER,County Treasurer,,DEM,Janice K Moore Treasurer,24,24
Perry,15-UNION,County Treasurer,,DEM,Janice K Moore Treasurer,46,46
Perry,16-UNION VALLEY,County Treasurer,,DEM,Janice K Moore Treasurer,36,36
Perry,17-WYE,County Treasurer,,DEM,Janice K Moore Treasurer,23,23
Perry,ABSENTEE,County Treasurer,,DEM,Janice K Moore Treasurer,0,0
Perry,01-ALPIN,County Treasurer,,DEM,Dixie Nutt Moix,5,5
Perry,02-CASA,County Treasurer,,DEM,Dixie Nutt Moix,19,19
Perry,03-CHERRY HILL,County Treasurer,,DEM,Dixie Nutt Moix,14,14
Perry,04-FOURCHE,County Treasurer,,DEM,Dixie Nutt Moix,54,54
Perry,05-HOUSTON,County Treasurer,,DEM,Dixie Nutt Moix,28,28
Perry,06-KENNY,County Treasurer,,DEM,Dixie Nutt Moix,9,9
Perry,07-LAKE,County Treasurer,,DEM,Dixie Nutt Moix,31,31
Perry,08-MAUMELLE,County Treasurer,,DEM,Dixie Nutt Moix,22,22
Perry,09-NEW TENNESEE,County Treasurer,,DEM,Dixie Nutt Moix,3,3
Perry,10-PERRY,County Treasurer,,DEM,Dixie Nutt Moix,102,102
Perry,11-PETIT JEAN,County Treasurer,,DEM,Dixie Nutt Moix,18,18
Perry,12-RANKIN,County Treasurer,,DEM,Dixie Nutt Moix,50,50
Perry,13-ROSE CREEK,County Treasurer,,DEM,Dixie Nutt Moix,1,1
Perry,14-TYLER,County Treasurer,,DEM,Dixie Nutt Moix,3,3
Perry,15-UNION,County Treasurer,,DEM,Dixie Nutt Moix,50,50
Perry,16-UNION VALLEY,County Treasurer,,DEM,Dixie Nutt Moix,14,14
Perry,17-WYE,County Treasurer,,DEM,Dixie Nutt Moix,22,22
Perry,ABSENTEE,County Treasurer,,DEM,Dixie Nutt Moix,3,3
Perry,04-FOURCHE,JP Dist 8,,DEM,"Marie ""Sissy"" Hackett",56,56
Perry,16-UNION VALLEY,JP Dist 8,,DEM,"Marie ""Sissy"" Hackett",44,44
Perry,ABSENTEE,JP Dist 8,,DEM,"Marie ""Sissy"" Hackett",0,0
Perry,04-FOURCHE,JP Dist 8,,DEM,Jamie Johnson,28,28
Perry,16-UNION VALLEY,JP Dist 8,,DEM,Jamie Johnson,6,6
Perry,ABSENTEE,JP Dist 8,,DEM,Jamie Johnson,0,0
Perry,01-ALPIN,ALL UNOPPOSED DEMOCRATIC CANDIDATES,,DEM,FOR,33,33
Perry,02-CASA,ALL UNOPPOSED DEMOCRATIC CANDIDATES,,DEM,FOR,21,21
Perry,03-CHERRY HILL,ALL UNOPPOSED DEMOCRATIC CANDIDATES,,DEM,FOR,25,25
Perry,04-FOURCHE,ALL UNOPPOSED DEMOCRATIC CANDIDATES,,DEM,FOR,127,127
Perry,05-HOUSTON,ALL UNOPPOSED DEMOCRATIC CANDIDATES,,DEM,FOR,29,29
Perry,06-KENNY,ALL UNOPPOSED DEMOCRATIC CANDIDATES,,DEM,FOR,5,5
Perry,07-LAKE,ALL UNOPPOSED DEMOCRATIC CANDIDATES,,DEM,FOR,38,38
Perry,08-MAUMELLE,ALL UNOPPOSED DEMOCRATIC CANDIDATES,,DEM,FOR,33,33
Perry,09-NEW TENNESEE,ALL UNOPPOSED DEMOCRATIC CANDIDATES,,DEM,FOR,10,10
Perry,10-PERRY,ALL UNOPPOSED DEMOCRATIC CANDIDATES,,DEM,FOR,73,73
Perry,11-PETIT JEAN,ALL UNOPPOSED DEMOCRATIC CANDIDATES,,DEM,FOR,29,29
Perry,12-RANKIN,ALL UNOPPOSED DEMOCRATIC CANDIDATES,,DEM,FOR,81,81
Perry,13-ROSE CREEK,ALL UNOPPOSED DEMOCRATIC CANDIDATES,,DEM,FOR,9,9
Perry,14-TYLER,ALL UNOPPOSED DEMOCRATIC CANDIDATES,,DEM,FOR,17,17
Perry,15-UNION,ALL UNOPPOSED DEMOCRATIC CANDIDATES,,DEM,FOR,53,53
Perry,16-UNION VALLEY,ALL UNOPPOSED DEMOCRATIC CANDIDATES,,DEM,FOR,33,33
Perry,17-WYE,ALL UNOPPOSED DEMOCRATIC CANDIDATES,,DEM,FOR,30,30
Perry,ABSENTEE,ALL UNOPPOSED DEMOCRATIC CANDIDATES,,DEM,FOR,0,0
Perry,01-ALPIN,U.S. President,,REP,Rick Santorum,2,2
Perry,02-CASA,U.S. President,,REP,Rick Santorum,0,0
Perry,03-CHERRY HILL,U.S. President,,REP,Rick Santorum,2,2
Perry,04-FOURCHE,U.S. President,,REP,Rick Santorum,8,8
Perry,05-HOUSTON,U.S. President,,REP,Rick Santorum,4,4
Perry,06-KENNY,U.S. President,,REP,Rick Santorum,2,2
Perry,07-LAKE,U.S. President,,REP,Rick Santorum,4,4
Perry,08-MAUMELLE,U.S. President,,REP,Rick Santorum,7,7
Perry,09-NEW TENNESEE,U.S. President,,REP,Rick Santorum,1,1
Perry,10-PERRY,U.S. President,,REP,Rick Santorum,2,2
Perry,11-PETIT JEAN,U.S. President,,REP,Rick Santorum,1,1
Perry,12-RANKIN,U.S. President,,REP,Rick Santorum,8,8
Perry,13-ROSE CREEK,U.S. President,,REP,Rick Santorum,3,3
Perry,14-TYLER,U.S. President,,REP,Rick Santorum,1,1
Perry,15-UNION,U.S. President,,REP,Rick Santorum,6,6
Perry,16-UNION VALLEY,U.S. President,,REP,Rick Santorum,9,9
Perry,17-WYE,U.S. President,,REP,Rick Santorum,5,5
Perry,ABSENTEE,U.S. President,,REP,Rick Santorum,0,0
Perry,01-ALPIN,U.S. President,,REP,Mitt Romney,7,7
Perry,02-CASA,U.S. President,,REP,Mitt Romney,7,7
Perry,03-CHERRY HILL,U.S. President,,REP,Mitt Romney,3,3
Perry,04-FOURCHE,U.S. President,,REP,Mitt Romney,46,46
Perry,05-HOUSTON,U.S. President,,REP,Mitt Romney,26,26
Perry,06-KENNY,U.S. President,,REP,Mitt Romney,5,5
Perry,07-LAKE,U.S. President,,REP,Mitt Romney,14,14
Perry,08-MAUMELLE,U.S. President,,REP,Mitt Romney,39,39
Perry,09-NEW TENNESEE,U.S. President,,REP,Mitt Romney,12,12
Perry,10-PERRY,U.S. President,,REP,Mitt Romney,21,21
Perry,11-PETIT JEAN,U.S. President,,REP,Mitt Romney,3,3
Perry,12-RANKIN,U.S. President,,REP,Mitt Romney,26,26
Perry,13-ROSE CREEK,U.S. President,,REP,Mitt Romney,4,4
Perry,14-TYLER,U.S. President,,REP,Mitt Romney,12,12
Perry,15-UNION,U.S. President,,REP,Mitt Romney,29,29
Perry,16-UNION VALLEY,U.S. President,,REP,Mitt Romney,8,8
Perry,17-WYE,U.S. President,,REP,Mitt Romney,30,30
Perry,ABSENTEE,U.S. President,,REP,Mitt Romney,0,0
Perry,01-ALPIN,U.S. President,,REP,Newt Gingrich,0,0
Perry,02-CASA,U.S. President,,REP,Newt Gingrich,1,1
Perry,03-CHERRY HILL,U.S. President,,REP,Newt Gingrich,0,0
Perry,04-FOURCHE,U.S. President,,REP,Newt Gingrich,3,3
Perry,05-HOUSTON,U.S. President,,REP,Newt Gingrich,3,3
Perry,06-KENNY,U.S. President,,REP,Newt Gingrich,4,4
Perry,07-LAKE,U.S. President,,REP,Newt Gingrich,0,0
Perry,08-MAUMELLE,U.S. President,,REP,Newt Gingrich,1,1
Perry,09-NEW TENNESEE,U.S. President,,REP,Newt Gingrich,0,0
Perry,10-PERRY,U.S. President,,REP,Newt Gingrich,0,0
Perry,11-PETIT JEAN,U.S. President,,REP,Newt Gingrich,0,0
Perry,12-RANKIN,U.S. President,,REP,Newt Gingrich,0,0
Perry,13-ROSE CREEK,U.S. President,,REP,Newt Gingrich,0,0
Perry,14-TYLER,U.S. President,,REP,Newt Gingrich,0,0
Perry,15-UNION,U.S. President,,REP,Newt Gingrich,0,0
Perry,16-UNION VALLEY,U.S. President,,REP,Newt Gingrich,3,3
Perry,17-WYE,U.S. President,,REP,Newt Gingrich,1,1
Perry,ABSENTEE,U.S. President,,REP,Newt Gingrich,0,0
Perry,01-ALPIN,U.S. President,,REP,Ron Paul,0,0
Perry,02-CASA,U.S. President,,REP,Ron Paul,1,1
Perry,03-CHERRY HILL,U.S. President,,REP,Ron Paul,1,1
Perry,04-FOURCHE,U.S. President,,REP,Ron Paul,13,13
Perry,05-HOUSTON,U.S. President,,REP,Ron Paul,2,2
Perry,06-KENNY,U.S. President,,REP,Ron Paul,3,3
Perry,07-LAKE,U.S. President,,REP,Ron Paul,6,6
Perry,08-MAUMELLE,U.S. President,,REP,Ron Paul,7,7
Perry,09-NEW TENNESEE,U.S. President,,REP,Ron Paul,3,3
Perry,10-PERRY,U.S. President,,REP,Ron Paul,4,4
Perry,11-PETIT JEAN,U.S. President,,REP,Ron Paul,0,0
Perry,12-RANKIN,U.S. President,,REP,Ron Paul,8,8
Perry,13-ROSE CREEK,U.S. President,,REP,Ron Paul,0,0
Perry,14-TYLER,U.S. President,,REP,Ron Paul,1,1
Perry,15-UNION,U.S. President,,REP,Ron Paul,8,8
Perry,16-UNION VALLEY,U.S. President,,REP,Ron Paul,1,1
Perry,17-WYE,U.S. President,,REP,Ron Paul,12,12
Perry,ABSENTEE,U.S. President,,REP,Ron Paul,0,0
Perry,01-ALPIN,State Senate District 15,,REP,Representative Ed Garner,4,4
Perry,02-CASA,State Senate District 15,,REP,Representative Ed Garner,6,6
Perry,03-CHERRY HILL,State Senate District 15,,REP,Representative Ed Garner,4,4
Perry,04-FOURCHE,State Senate District 15,,REP,Representative Ed Garner,37,37
Perry,05-HOUSTON,State Senate District 15,,REP,Representative Ed Garner,9,9
Perry,06-KENNY,State Senate District 15,,REP,Representative Ed Garner,9,9
Perry,07-LAKE,State Senate District 15,,REP,Representative Ed Garner,14,14
Perry,08-MAUMELLE,State Senate District 15,,REP,Representative Ed Garner,15,15
Perry,09-NEW TENNESEE,State Senate District 15,,REP,Representative Ed Garner,2,2
Perry,10-PERRY,State Senate District 15,,REP,Representative Ed Garner,17,17
Perry,11-PETIT JEAN,State Senate District 15,,REP,Representative Ed Garner,2,2
Perry,12-RANKIN,State Senate District 15,,REP,Representative Ed Garner,20,20
Perry,13-ROSE CREEK,State Senate District 15,,REP,Representative Ed Garner,4,4
Perry,14-TYLER,State Senate District 15,,REP,Representative Ed Garner,7,7
Perry,15-UNION,State Senate District 15,,REP,Representative Ed Garner,15,15
Perry,16-UNION VALLEY,State Senate District 15,,REP,Representative Ed Garner,10,10
Perry,17-WYE,State Senate District 15,,REP,Representative Ed Garner,21,21
Perry,ABSENTEE,State Senate District 15,,REP,Representative Ed Garner,0,0
Perry,01-ALPIN,State Senate District 15,,REP,Representative David J. Sanders,5,5
Perry,02-CASA,State Senate District 15,,REP,Representative David J. Sanders,3,3
Perry,03-CHERRY HILL,State Senate District 15,,REP,Representative David J. Sanders,2,2
Perry,04-FOURCHE,State Senate District 15,,REP,Representative David J. Sanders,31,31
Perry,05-HOUSTON,State Senate District 15,,REP,Representative David J. Sanders,24,24
Perry,06-KENNY,State Senate District 15,,REP,Representative David J. Sanders,5,5
Perry,07-LAKE,State Senate District 15,,REP,Representative David J. Sanders,9,9
Perry,08-MAUMELLE,State Senate District 15,,REP,Representative David J. Sanders,38,38
Perry,09-NEW TENNESEE,State Senate District 15,,REP,Representative David J. Sanders,12,12
Perry,10-PERRY,State Senate District 15,,REP,Representative David J. Sanders,8,8
Perry,11-PETIT JEAN,State Senate District 15,,REP,Representative David J. Sanders,2,2
Perry,12-RANKIN,State Senate District 15,,REP,Representative David J. Sanders,19,19
Perry,13-ROSE CREEK,State Senate District 15,,REP,Representative David J. Sanders,2,2
Perry,14-TYLER,State Senate District 15,,REP,Representative David J. Sanders,7,7
Perry,15-UNION,State Senate District 15,,REP,Representative David J. Sanders,10,10
Perry,16-UNION VALLEY,State Senate District 15,,REP,Representative David J. Sanders,11,11
Perry,17-WYE,State Senate District 15,,REP,Representative David J. Sanders,25,25
Perry,ABSENTEE,State Senate District 15,,REP,Representative David J. Sanders,0,0
Perry,10-PERRY,State Representative District 70,,REP,Price Dooley,2,2
Perry,15-UNION,State Representative District 70,,REP,Price Dooley,2,2
Perry,17-WYE,State Representative District 70,,REP,Price Dooley,2,2
Perry,ABSENTEE,State Representative District 70,,REP,Price Dooley,0,0
Perry,10-PERRY,State Representative District 70,,REP,Representative David Meeks,12,12
Perry,15-UNION,State Representative District 70,,REP,Representative David Meeks,6,6
Perry,17-WYE,State Representative District 70,,REP,Representative David Meeks,17,17
Perry,ABSENTEE,State Representative District 70,,REP,Representative David Meeks,0,0
Perry,01-ALPIN,ALL UNOPPOSED REPUBLICAN CANDIDATES,,REP,FOR,8,8
Perry,02-CASA,ALL UNOPPOSED REPUBLICAN CANDIDATES,,REP,FOR,6,6
Perry,03-CHERRY HILL,ALL UNOPPOSED REPUBLICAN CANDIDATES,,REP,FOR,4,4
Perry,04-FOURCHE,ALL UNOPPOSED REPUBLICAN CANDIDATES,,REP,FOR,61,61
Perry,05-HOUSTON,ALL UNOPPOSED REPUBLICAN CANDIDATES,,REP,FOR,25,25
Perry,06-KENNY,ALL UNOPPOSED REPUBLICAN CANDIDATES,,REP,FOR,11,11
Perry,07-LAKE,ALL UNOPPOSED REPUBLICAN CANDIDATES,,REP,FOR,18,18
Perry,08-MAUMELLE,ALL UNOPPOSED REPUBLICAN CANDIDATES,,REP,FOR,41,41
Perry,09-NEW TENNESEE,ALL UNOPPOSED REPUBLICAN CANDIDATES,,REP,FOR,10,10
Perry,10-PERRY,ALL UNOPPOSED REPUBLICAN CANDIDATES,,REP,FOR,20,20
Perry,11-PETIT JEAN,ALL UNOPPOSED REPUBLICAN CANDIDATES,,REP,FOR,3,3
Perry,12-RANKIN,ALL UNOPPOSED REPUBLICAN CANDIDATES,,REP,FOR,35,35
Perry,13-ROSE CREEK,ALL UNOPPOSED REPUBLICAN CANDIDATES,,REP,FOR,5,5
Perry,14-TYLER,ALL UNOPPOSED REPUBLICAN CANDIDATES,,REP,FOR,9,9
Perry,15-UNION,ALL UNOPPOSED REPUBLICAN CANDIDATES,,REP,FOR,31,31
Perry,16-UNION VALLEY,ALL UNOPPOSED REPUBLICAN CANDIDATES,,REP,FOR,17,17
Perry,17-WYE,ALL UNOPPOSED REPUBLICAN CANDIDATES,,REP,FOR,42,42
Perry,ABSENTEE,ALL UNOPPOSED REPUBLICAN CANDIDATES,,REP,FOR,0,0
Perry,01-ALPIN,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,10,10
Perry,02-CASA,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,13,13
Perry,03-CHERRY HILL,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,21,21
Perry,04-FOURCHE,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,59,59
Perry,05-HOUSTON,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,29,29
Perry,06-KENNY,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,10,10
Perry,07-LAKE,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,30,30
Perry,08-MAUMELLE,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,37,37
Perry,09-NEW TENNESEE,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,8,8
Perry,10-PERRY,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,49,49
Perry,11-PETIT JEAN,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,13,13
Perry,12-RANKIN,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,49,49
Perry,13-ROSE CREEK,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,9,9
Perry,14-TYLER,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,14,14
Perry,15-UNION,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,48,48
Perry,16-UNION VALLEY,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,15,15
Perry,17-WYE,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,35,35
Perry,ABSENTEE,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,0,0
Perry,01-ALPIN,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,44,44
Perry,02-CASA,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,39,39
Perry,03-CHERRY HILL,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,35,35
Perry,04-FOURCHE,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,180,180
Perry,05-HOUSTON,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,53,53
Perry,06-KENNY,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,14,14
Perry,07-LAKE,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,51,51
Perry,08-MAUMELLE,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,62,62
Perry,09-NEW TENNESEE,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,26,26
Perry,10-PERRY,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,91,91
Perry,11-PETIT JEAN,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,28,28
Perry,12-RANKIN,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,112,112
Perry,13-ROSE CREEK,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,19,19
Perry,14-TYLER,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,20,20
Perry,15-UNION,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,79,79
Perry,16-UNION VALLEY,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,45,45
Perry,17-WYE,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,51,51
Perry,ABSENTEE,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,0,0
Perry,01-ALPIN,Circuit Judge,"6, Division 11, Subdistrict 6.2",,John Hout,22,22
Perry,02-CASA,Circuit Judge,"6, Division 11, Subdistrict 6.2",,John Hout,20,20
Perry,03-CHERRY HILL,Circuit Judge,"6, Division 11, Subdistrict 6.2",,John Hout,30,30
Perry,04-FOURCHE,Circuit Judge,"6, Division 11, Subdistrict 6.2",,John Hout,131,131
Perry,05-HOUSTON,Circuit Judge,"6, Division 11, Subdistrict 6.2",,John Hout,37,37
Perry,06-KENNY,Circuit Judge,"6, Division 11, Subdistrict 6.2",,John Hout,10,10
Perry,07-LAKE,Circuit Judge,"6, Division 11, Subdistrict 6.2",,John Hout,38,38
Perry,08-MAUMELLE,Circuit Judge,"6, Division 11, Subdistrict 6.2",,John Hout,50,50
Perry,09-NEW TENNESEE,Circuit Judge,"6, Division 11, Subdistrict 6.2",,John Hout,14,14
