county,precinct,office,district,party,candidate,votes,election_day
Newton,Big Creek,U.S. President,,REP,Rick Santorum,18,18
Newton,Boston,U.S. President,,REP,Rick Santorum,4,4
Newton,Jefferson,U.S. President,,REP,Rick Santorum,0,0
Newton,Dogpatch,U.S. President,,REP,Rick Santorum,4,4
Newton,Grove,U.S. President,,REP,Rick Santorum,11,11
Newton,Hasty,U.S. President,,REP,Rick Santorum,0,0
Newton,Hickory Grove,U.S. President,,REP,Rick Santorum,1,1
Newton,Hudson,U.S. President,,REP,Rick Santorum,0,0
Newton,Jackson,U.S. President,,REP,Rick Santorum,5,5
Newton,Richland,U.S. President,,REP,Rick Santorum,10,10
Newton,Van Buren,U.S. President,,REP,Rick Santorum,1,1
Newton,Lincoln,U.S. President,,REP,Rick Santorum,1,1
Newton,Low Gap,U.S. President,,REP,Rick Santorum,4,4
Newton,Mt. Sherman,U.S. President,,REP,Rick Santorum,1,1
Newton,Murray,U.S. President,,REP,Rick Santorum,0,0
Newton,Plumlee,U.S. President,,REP,Rick Santorum,5,5
Newton,Pleasant Hill,U.S. President,,REP,Rick Santorum,1,1
Newton,Polk,U.S. President,,REP,Rick Santorum,2,2
Newton,Ponca,U.S. President,,REP,Rick Santorum,4,4
Newton,White,U.S. President,,REP,Rick Santorum,6,6
Newton,Big Creek,U.S. President,,REP,Newt Gingrich,5,5
Newton,Boston,U.S. President,,REP,Newt Gingrich,2,2
Newton,Jefferson,U.S. President,,REP,Newt Gingrich,0,0
Newton,Dogpatch,U.S. President,,REP,Newt Gingrich,0,0
Newton,Grove,U.S. President,,REP,Newt Gingrich,4,4
Newton,Hasty,U.S. President,,REP,Newt Gingrich,0,0
Newton,Hickory Grove,U.S. President,,REP,Newt Gingrich,0,0
Newton,Hudson,U.S. President,,REP,Newt Gingrich,2,2
Newton,Jackson,U.S. President,,REP,Newt Gingrich,3,3
Newton,Richland,U.S. President,,REP,Newt Gingrich,0,0
Newton,Van Buren,U.S. President,,REP,Newt Gingrich,0,0
Newton,Lincoln,U.S. President,,REP,Newt Gingrich,0,0
Newton,Low Gap,U.S. President,,REP,Newt Gingrich,2,2
Newton,Mt. Sherman,U.S. President,,REP,Newt Gingrich,0,0
Newton,Murray,U.S. President,,REP,Newt Gingrich,0,0
Newton,Plumlee,U.S. President,,REP,Newt Gingrich,2,2
Newton,Pleasant Hill,U.S. President,,REP,Newt Gingrich,2,2
Newton,Polk,U.S. President,,REP,Newt Gingrich,1,1
Newton,Ponca,U.S. President,,REP,Newt Gingrich,1,1
Newton,White,U.S. President,,REP,Newt Gingrich,0,0
Newton,Big Creek,U.S. President,,REP,Ron Paul,24,24
Newton,Boston,U.S. President,,REP,Ron Paul,0,0
Newton,Jefferson,U.S. President,,REP,Ron Paul,2,2
Newton,Dogpatch,U.S. President,,REP,Ron Paul,1,1
Newton,Grove,U.S. President,,REP,Ron Paul,9,9
Newton,Hasty,U.S. President,,REP,Ron Paul,0,0
Newton,Hickory Grove,U.S. President,,REP,Ron Paul,0,0
Newton,Hudson,U.S. President,,REP,Ron Paul,5,5
Newton,Jackson,U.S. President,,REP,Ron Paul,3,3
Newton,Richland,U.S. President,,REP,Ron Paul,1,1
Newton,Van Buren,U.S. President,,REP,Ron Paul,0,0
Newton,Lincoln,U.S. President,,REP,Ron Paul,3,3
Newton,Low Gap,U.S. President,,REP,Ron Paul,4,4
Newton,Mt. Sherman,U.S. President,,REP,Ron Paul,1,1
Newton,Murray,U.S. President,,REP,Ron Paul,1,1
Newton,Plumlee,U.S. President,,REP,Ron Paul,9,9
Newton,Pleasant Hill,U.S. President,,REP,Ron Paul,5,5
Newton,Polk,U.S. President,,REP,Ron Paul,0,0
Newton,Ponca,U.S. President,,REP,Ron Paul,1,1
Newton,White,U.S. President,,REP,Ron Paul,0,0
