county,precinct,office,district,party,candidate,votes,election_day_paper_ballot,early_vote_ivo_machine,election_day_ivo_machine,early_vote_paper_ballot,absentee
Pike,Antoine,U.S. President,,DEM,Barack Obama,54,32,2,20,0,0
Pike,Daisy,U.S. President,,DEM,Barack Obama,28,10,4,11,0,3
Pike,Delight,U.S. President,,DEM,Barack Obama,57,21,8,23,4,1
Pike,Glenwood North,U.S. President,,DEM,Barack Obama,42,7,13,22,0,0
Pike,Glenwood South,U.S. President,,DEM,Barack Obama,73,41,22,9,1,0
Pike,Kirby,U.S. President,,DEM,Barack Obama,57,28,8,15,1,5
Pike,Langley/Lodi,U.S. President,,DEM,Barack Obama,11,4,0,6,1,0
Pike,Murfreesboro East,U.S. President,,DEM,Barack Obama,97,14,46,20,11,6
Pike,Murfreesboro West,U.S. President,,DEM,Barack Obama,102,24,42,16,10,10
Pike,Newhope,U.S. President,,DEM,Barack Obama,10,6,0,2,2,0
Pike,Pisgah,U.S. President,,DEM,Barack Obama,29,8,4,14,3,0
Pike,Antoine,U.S. President,,DEM,John Wolfe,23,9,4,9,0,1
Pike,Daisy,U.S. President,,DEM,John Wolfe,84,39,4,39,1,1
Pike,Delight,U.S. President,,DEM,John Wolfe,176,53,43,68,9,3
Pike,Glenwood North,U.S. President,,DEM,John Wolfe,90,32,10,44,1,3
Pike,Glenwood South,U.S. President,,DEM,John Wolfe,176,98,29,39,2,8
Pike,Kirby,U.S. President,,DEM,John Wolfe,176,90,21,63,1,1
Pike,Langley/Lodi,U.S. President,,DEM,John Wolfe,72,26,3,39,1,3
Pike,Murfreesboro East,U.S. President,,DEM,John Wolfe,220,45,92,52,22,9
Pike,Murfreesboro West,U.S. President,,DEM,John Wolfe,276,68,109,62,28,9
Pike,Newhope,U.S. President,,DEM,John Wolfe,47,31,0,14,0,2
Pike,Pisgah,U.S. President,,DEM,John Wolfe,107,41,10,56,0,0
Pike,Antoine,U.S. Congress District 4,,DEM,DC Morrison,12,7,1,4,0,0
Pike,Daisy,U.S. Congress District 4,,DEM,DC Morrison,26,12,0,12,0,2
Pike,Delight,U.S. Congress District 4,,DEM,DC Morrison,55,13,11,25,5,1
Pike,Glenwood North,U.S. Congress District 4,,DEM,DC Morrison,34,10,5,18,0,1
Pike,Glenwood South,U.S. Congress District 4,,DEM,DC Morrison,57,40,6,10,1,0
Pike,Kirby,U.S. Congress District 4,,DEM,DC Morrison,53,28,3,19,0,3
Pike,Langley/Lodi,U.S. Congress District 4,,DEM,DC Morrison,20,5,0,15,0,0
Pike,Murfreesboro East,U.S. Congress District 4,,DEM,DC Morrison,76,20,20,19,13,4
Pike,Murfreesboro West,U.S. Congress District 4,,DEM,DC Morrison,68,24,20,16,4,4
Pike,Newhope,U.S. Congress District 4,,DEM,DC Morrison,17,10,0,6,1,0
Pike,Pisgah,U.S. Congress District 4,,DEM,DC Morrison,23,8,1,13,1,0
Pike,Antoine,U.S. Congress District 4,,DEM,Senator Gene Jeffress,32,15,0,16,0,1
Pike,Daisy,U.S. Congress District 4,,DEM,Senator Gene Jeffress,48,18,5,23,1,1
Pike,Delight,U.S. Congress District 4,,DEM,Senator Gene Jeffress,68,13,19,30,5,1
Pike,Glenwood North,U.S. Congress District 4,,DEM,Senator Gene Jeffress,34,7,9,16,0,2
Pike,Glenwood South,U.S. Congress District 4,,DEM,Senator Gene Jeffress,74,35,25,10,0,4
Pike,Kirby,U.S. Congress District 4,,DEM,Senator Gene Jeffress,67,26,8,30,0,3
Pike,Langley/Lodi,U.S. Congress District 4,,DEM,Senator Gene Jeffress,25,8,1,14,0,2
Pike,Murfreesboro East,U.S. Congress District 4,,DEM,Senator Gene Jeffress,110,13,62,20,12,3
Pike,Murfreesboro West,U.S. Congress District 4,,DEM,Senator Gene Jeffress,132,23,61,30,10,8
Pike,Newhope,U.S. Congress District 4,,DEM,Senator Gene Jeffress,13,9,0,4,0,0
Pike,Pisgah,U.S. Congress District 4,,DEM,Senator Gene Jeffress,40,12,3,23,2,0
Pike,Antoine,U.S. Congress District 4,,DEM,Q. Byrum Hurst,34,20,3,11,0,0
Pike,Daisy,U.S. Congress District 4,,DEM,Q. Byrum Hurst,45,24,5,15,1,0
Pike,Delight,U.S. Congress District 4,,DEM,Q. Byrum Hurst,99,42,21,31,4,1
Pike,Glenwood North,U.S. Congress District 4,,DEM,Q. Byrum Hurst,71,23,11,36,1,0
Pike,Glenwood South,U.S. Congress District 4,,DEM,Q. Byrum Hurst,140,74,31,30,1,4
Pike,Kirby,U.S. Congress District 4,,DEM,Q. Byrum Hurst,111,56,19,33,2,1
Pike,Langley/Lodi,U.S. Congress District 4,,DEM,Q. Byrum Hurst,44,18,3,20,2,1
Pike,Murfreesboro East,U.S. Congress District 4,,DEM,Q. Byrum Hurst,133,25,58,35,7,8
Pike,Murfreesboro West,U.S. Congress District 4,,DEM,Q. Byrum Hurst,180,44,75,33,22,6
Pike,Newhope,U.S. Congress District 4,,DEM,Q. Byrum Hurst,29,15,1,11,0,2
Pike,Pisgah,U.S. Congress District 4,,DEM,Q. Byrum Hurst,63,26,10,27,0,0
Pike,Antoine,County Judge,,DEM,Don Baker,49,23,1,24,0,1
Pike,Daisy,County Judge,,DEM,Don Baker,92,39,8,41,1,3
Pike,Delight,County Judge,,DEM,Don Baker,109,29,25,45,8,2
Pike,Glenwood North,County Judge,,DEM,Don Baker,121,40,22,57,0,2
Pike,Glenwood South,County Judge,,DEM,Don Baker,255,138,59,47,3,8
Pike,Kirby,County Judge,,DEM,Don Baker,195,103,22,62,1,7
Pike,Langley/Lodi,County Judge,,DEM,Don Baker,74,29,1,44,0,0
Pike,Murfreesboro East,County Judge,,DEM,Don Baker,112,15,43,33,16,5
Pike,Murfreesboro West,County Judge,,DEM,Don Baker,114,26,51,18,13,6
Pike,Newhope,County Judge,,DEM,Don Baker,33,20,0,13,0,0
Pike,Pisgah,County Judge,,DEM,Don Baker,61,26,7,25,3,0
Pike,Antoine,County Judge,,DEM,Keith Couch,36,19,6,11,0,0
Pike,Daisy,County Judge,,DEM,Keith Couch,39,18,2,17,1,1
Pike,Delight,County Judge,,DEM,Keith Couch,147,50,35,54,6,2
Pike,Glenwood North,County Judge,,DEM,Keith Couch,31,4,4,21,1,1
Pike,Glenwood South,County Judge,,DEM,Keith Couch,31,16,8,7,0,0
Pike,Kirby,County Judge,,DEM,Keith Couch,86,38,13,31,2,2
Pike,Langley/Lodi,County Judge,,DEM,Keith Couch,28,8,3,12,2,3
Pike,Murfreesboro East,County Judge,,DEM,Keith Couch,259,51,123,53,22,10
Pike,Murfreesboro West,County Judge,,DEM,Keith Couch,321,77,129,72,30,13
Pike,Newhope,County Judge,,DEM,Keith Couch,41,26,1,10,2,2
Pike,Pisgah,County Judge,,DEM,Keith Couch,86,28,9,48,1,0
Pike,Antoine,County Treasurer,,DEM,Sara Stewart McKinney,34,21,2,11,0,0
Pike,Daisy,County Treasurer,,DEM,Sara Stewart McKinney,59,27,2,30,0,0
Pike,Delight,County Treasurer,,DEM,Sara Stewart McKinney,77,33,15,24,4,1
Pike,Glenwood North,County Treasurer,,DEM,Sara Stewart McKinney,66,15,9,39,0,3
Pike,Glenwood South,County Treasurer,,DEM,Sara Stewart McKinney,98,52,28,16,1,1
Pike,Kirby,County Treasurer,,DEM,Sara Stewart McKinney,149,69,11,59,1,9
Pike,Langley/Lodi,County Treasurer,,DEM,Sara Stewart McKinney,53,17,1,35,0,0
Pike,Murfreesboro East,County Treasurer,,DEM,Sara Stewart McKinney,117,21,53,20,16,7
