county,precinct,office,district,party,candidate,votes,absentee,election_day,provisional,early_vote
White,ALBION,U.S. President,,REP,Newt Gingrich,5,3,0,0,2
White,ANTIOCH,U.S. President,,REP,Newt Gingrich,7,1,5,0,1
White,BALD KNOB WARD 1,U.S. President,,REP,Newt Gingrich,1,0,1,0,0
White,BALD KNOB WARD 2,U.S. President,,REP,Newt Gingrich,4,0,3,0,1
White,BALD KNOB WARD 3,U.S. President,,REP,Newt Gingrich,4,0,4,0,0
White,BALD KNOB TWP,U.S. President,,REP,Newt Gingrich,3,0,3,0,0
White,BEEBE WARD 1,U.S. President,,REP,Newt Gingrich,2,0,2,0,0
White,BEEBE WARD 2,U.S. President,,REP,Newt Gingrich,2,0,2,0,0
White,BEEBE WARD 3,U.S. President,,REP,Newt Gingrich,2,0,2,0,0
White,BIG CREEK,U.S. President,,REP,Newt Gingrich,5,0,4,0,1
White,BRADFORD WARD 1,U.S. President,,REP,Newt Gingrich,2,0,2,0,0
White,BRADFORD WARD 2,U.S. President,,REP,Newt Gingrich,2,0,2,0,0
White,BRADFORD WARD 3,U.S. President,,REP,Newt Gingrich,2,0,2,0,0
White,CADRON,U.S. President,,REP,Newt Gingrich,2,0,2,0,0
White,CANE,U.S. President,,REP,Newt Gingrich,5,0,2,0,3
White,CHRISP,U.S. President,,REP,Newt Gingrich,3,0,1,0,2
White,CLAY,U.S. President,,REP,Newt Gingrich,1,0,1,0,0
White,CLEVELAND,U.S. President,,REP,Newt Gingrich,0,0,0,0,0
White,COFFEY,U.S. President,,REP,Newt Gingrich,7,0,4,0,3
White,COLDWELL,U.S. President,,REP,Newt Gingrich,3,0,1,0,2
White,CROSBY,U.S. President,,REP,Newt Gingrich,2,0,2,0,0
White,CYPERT,U.S. President,,REP,Newt Gingrich,1,0,1,0,0
White,DENMARK,U.S. President,,REP,Newt Gingrich,0,0,0,0,0
White,DES ARC,U.S. President,,REP,Newt Gingrich,4,0,3,0,1
White,DOGWOOD TWP,U.S. President,,REP,Newt Gingrich,0,0,0,0,0
White,EL PASO,U.S. President,,REP,Newt Gingrich,2,0,2,0,0
White,FRANCURE,U.S. President,,REP,Newt Gingrich,2,0,2,0,0
White,GARNER TWP,U.S. President,,REP,Newt Gingrich,1,0,1,0,0
White,GARNER CITY,U.S. President,,REP,Newt Gingrich,0,0,0,0,0
White,GRAVEL HILL,U.S. President,,REP,Newt Gingrich,2,0,1,0,1
White,GRAY A,U.S. President,,REP,Newt Gingrich,9,3,5,0,1
White,GRAY B,U.S. President,,REP,Newt Gingrich,25,0,17,0,8
White,GRIFFITHVILLE,U.S. President,,REP,Newt Gingrich,4,0,4,0,0
White,GUM SPRINGS,U.S. President,,REP,Newt Gingrich,11,0,8,0,3
White,GUTHRIE,U.S. President,,REP,Newt Gingrich,6,0,6,0,0
White,HARRISON,U.S. President,,REP,Newt Gingrich,21,0,18,0,3
White,HARTSELL,U.S. President,,REP,Newt Gingrich,3,0,3,0,0
White,HIGGINSON TWP,U.S. President,,REP,Newt Gingrich,1,0,1,0,0
White,HIGGINSON CITY,U.S. President,,REP,Newt Gingrich,1,0,1,0,0
White,JACKSON,U.S. President,,REP,Newt Gingrich,1,0,1,0,0
White,JEFFERSON,U.S. President,,REP,Newt Gingrich,1,0,1,0,0
White,JOY,U.S. President,,REP,Newt Gingrich,3,0,2,0,1
White,JUDSONIA WARD 1,U.S. President,,REP,Newt Gingrich,5,0,4,0,1
White,JUDSONIA WARD 2,U.S. President,,REP,Newt Gingrich,5,0,5,0,0
White,JUDSONIA WARD 3,U.S. President,,REP,Newt Gingrich,2,0,2,0,0
White,KENSETT WARD 1,U.S. President,,REP,Newt Gingrich,0,0,0,0,0
White,KENSETT WARD 2,U.S. President,,REP,Newt Gingrich,3,0,3,0,0
White,KENSETT WARD 3,U.S. President,,REP,Newt Gingrich,1,0,1,0,0
White,KENSETT TWP,U.S. President,,REP,Newt Gingrich,1,0,0,0,1
White,KENTUCKY,U.S. President,,REP,Newt Gingrich,3,0,3,0,0
White,LETONIA,U.S. President,,REP,Newt Gingrich,1,0,1,0,0
White,LIBERTY,U.S. President,,REP,Newt Gingrich,8,0,8,0,0
White,MARION,U.S. President,,REP,Newt Gingrich,4,0,3,0,1
White,MARSHALL,U.S. President,,REP,Newt Gingrich,1,0,1,0,0
White,MCRAE WARD 1,U.S. President,,REP,Newt Gingrich,0,0,0,0,0
White,MCRAE WARD 2,U.S. President,,REP,Newt Gingrich,0,0,0,0,0
White,MCRAE TWP,U.S. President,,REP,Newt Gingrich,3,0,3,0,0
White,MT PISGAH,U.S. President,,REP,Newt Gingrich,1,0,1,0,0
White,PANGBURN WARD 1,U.S. President,,REP,Newt Gingrich,0,0,0,0,0
White,PANGBURN WARD 2,U.S. President,,REP,Newt Gingrich,0,0,0,0,0
White,RED RIVER,U.S. President,,REP,Newt Gingrich,1,0,1,0,0
White,ROSE BUD,U.S. President,,REP,Newt Gingrich,1,0,1,0,0
White,ROYAL,U.S. President,,REP,Newt Gingrich,1,0,1,0,0
White,RUSSELL CITY,U.S. President,,REP,Newt Gingrich,2,0,2,0,0
White,RUSSELL TWP,U.S. President,,REP,Newt Gingrich,4,0,4,0,0
White,SEARCY WARD 1 A,U.S. President,,REP,Newt Gingrich,5,0,2,0,3
White,SEARCY WARD 1 C,U.S. President,,REP,Newt Gingrich,6,0,6,0,0
White,SEARCY WARD 1 D,U.S. President,,REP,Newt Gingrich,13,0,7,0,6
White,SEARCY WARD 2 B,U.S. President,,REP,Newt Gingrich,5,0,1,0,4
