county,precinct,office,district,party,candidate,votes,election_day
Monroe,BRINKLEY WARD 1,U.S. President,,DEM,Barack Obama,58,58
Monroe,BRINKLEY WARD 3,U.S. President,,DEM,Barack Obama,60,60
Monroe,CLARENDON WARD 1,U.S. President,,DEM,Barack Obama,64,64
Monroe,CLARENDON WARD 2,U.S. President,,DEM,Barack Obama,54,54
Monroe,CLARENDON WARD 3,U.S. President,,DEM,Barack Obama,38,38
Monroe,HOLLY GROVE,U.S. President,,DEM,Barack Obama,96,96
Monroe,RICHLAND-GREENFIELD-FARGO,U.S. President,,DEM,Barack Obama,21,21
Monroe,BRINKLEY-DIXON,U.S. President,,DEM,Barack Obama,41,41
Monroe,CACHE TOWNSHIP,U.S. President,,DEM,Barack Obama,5,5
Monroe,CYPRESS RIDGE,U.S. President,,DEM,Barack Obama,10,10
Monroe,KEEVIL TOWNSHIP,U.S. President,,DEM,Barack Obama,6,6
Monroe,HINDMAN-PINE RIDGE-RAYMOND,U.S. President,,DEM,Barack Obama,11,11
Monroe,DUNCAN,U.S. President,,DEM,Barack Obama,22,22
Monroe,JACKSN-CLBRNE-MNTGMRY-SMA,U.S. President,,DEM,Barack Obama,19,19
Monroe,ROC ROE/ROE CITY,U.S. President,,DEM,Barack Obama,9,9
Monroe,BRINKLEY WARD 1,U.S. President,,DEM,John Wolfe,79,79
Monroe,BRINKLEY WARD 3,U.S. President,,DEM,John Wolfe,79,79
Monroe,CLARENDON WARD 1,U.S. President,,DEM,John Wolfe,45,45
Monroe,CLARENDON WARD 2,U.S. President,,DEM,John Wolfe,87,87
Monroe,CLARENDON WARD 3,U.S. President,,DEM,John Wolfe,69,69
Monroe,HOLLY GROVE,U.S. President,,DEM,John Wolfe,17,17
Monroe,RICHLAND-GREENFIELD-FARGO,U.S. President,,DEM,John Wolfe,21,21
Monroe,BRINKLEY-DIXON,U.S. President,,DEM,John Wolfe,84,84
Monroe,CACHE TOWNSHIP,U.S. President,,DEM,John Wolfe,29,29
