county,precinct,office,district,party,candidate,votes,absentee,election_day,early_vote
Montgomery,Alamo,U.S. President,,DEM,Barack Obama,5,0,4,1
Montgomery,Black Springs,U.S. President,,DEM,Barack Obama,24,1,19,4
Montgomery,Caddo Gap,U.S. President,,DEM,Barack Obama,9,0,9,0
Montgomery,Caney,U.S. President,,DEM,Barack Obama,5,0,5,0
Montgomery,Center,U.S. President,,DEM,Barack Obama,25,0,17,8
Montgomery,Fannie,U.S. President,,DEM,Barack Obama,2,1,1,0
Montgomery,Hopper,U.S. President,,DEM,Barack Obama,2,0,2,0
Montgomery,Mount Ida - Inside,U.S. President,,DEM,Barack Obama,36,10,9,17
Montgomery,Mount Ida - Outside,U.S. President,,DEM,Barack Obama,21,3,13,5
Montgomery,Norman - Inside,U.S. President,,DEM,Barack Obama,10,0,10,0
Montgomery,Norman - Outside,U.S. President,,DEM,Barack Obama,11,2,9,0
Montgomery,Oden - Inside,U.S. President,,DEM,Barack Obama,1,0,1,0
Montgomery,Oden - Outside,U.S. President,,DEM,Barack Obama,10,1,8,1
Montgomery,Pencil Bluff,U.S. President,,DEM,Barack Obama,9,0,9,0
Montgomery,Sims,U.S. President,,DEM,Barack Obama,8,0,8,0
Montgomery,Washita,U.S. President,,DEM,Barack Obama,14,0,9,5
Montgomery,Alamo,U.S. President,,DEM,John Wolfe,1,0,1,0
Montgomery,Black Springs,U.S. President,,DEM,John Wolfe,26,3,21,2
Montgomery,Caddo Gap,U.S. President,,DEM,John Wolfe,19,3,16,0
Montgomery,Caney,U.S. President,,DEM,John Wolfe,13,0,12,1
Montgomery,Center,U.S. President,,DEM,John Wolfe,20,2,12,6
Montgomery,Fannie,U.S. President,,DEM,John Wolfe,4,0,4,0
Montgomery,Hopper,U.S. President,,DEM,John Wolfe,6,0,6,0
Montgomery,Mount Ida - Inside,U.S. President,,DEM,John Wolfe,13,5,6,2
Montgomery,Mount Ida - Outside,U.S. President,,DEM,John Wolfe,17,2,8,7
Montgomery,Norman - Inside,U.S. President,,DEM,John Wolfe,13,3,9,1
Montgomery,Norman - Outside,U.S. President,,DEM,John Wolfe,8,2,4,2
Montgomery,Oden - Inside,U.S. President,,DEM,John Wolfe,1,0,1,0
Montgomery,Oden - Outside,U.S. President,,DEM,John Wolfe,7,1,5,1
Montgomery,Pencil Bluff,U.S. President,,DEM,John Wolfe,12,2,9,1
Montgomery,Sims,U.S. President,,DEM,John Wolfe,2,1,1,0
Montgomery,Washita,U.S. President,,DEM,John Wolfe,8,0,8,0
Montgomery,Alamo,U.S. Congress District 4,,DEM,Senator Gene Jeffress,3,0,2,1
Montgomery,Black Springs,U.S. Congress District 4,,DEM,Senator Gene Jeffress,12,0,9,3
