county,precinct,office,district,party,candidate,votes,election_day
Union,MP001,U.S. President,,DEM,Barack Obama,1214,1214
Union,MP001,U.S. President,,DEM,John Wolfe,582,582
Union,MP001,U.S. President,,REP,Newt Gingrich,107,107
Union,MP001,U.S. President,,REP,Ron Paul,255,255
Union,MP001,U.S. President,,REP,Mitt Romney,1642,1642
Union,MP001,U.S. President,,REP,Rick Santorum,235,235
Union,MP001,U.S. Congress District 4,,DEM,Q. Byrum Hurst,285,285
Union,MP001,U.S. Congress District 4,,DEM,Senator Gene Jeffress,1194,1194
Union,MP001,U.S. Congress District 4,,DEM,DC Morrison,260,260
Union,MP001,U.S. Congress District 4,,REP,Tom Cotton,789,789
Union,MP001,U.S. Congress District 4,,REP,John Cowart,75,75
Union,MP001,U.S. Congress District 4,,REP,Beth Anne Rankin,1383,1383
Union,MP001,State Senate District 27,,DEM,Rep. Bobby J. Pierce,730,730
Union,MP001,State Senate District 27,,DEM,Rep. Garry L. Smith,972,972
Union,MP001,State Representative District 7,,DEM,Justice of the Peace John Baine,498,498
Union,MP001,State Representative District 7,,DEM,Albert Glenn Glover,381,381
Union,MP001,State Representative District 7,,DEM,James McMenis,311,311
Union,MP001,State Supreme Court Associate Justice Position 4,,NON,Raymond Abramson,1456,1456
Union,MP001,State Supreme Court Associate Justice Position 4,,NON,Court of Appeals Judge Jo Hart,1918,1918
Union,MP001,Quorum Court,4,REP,Dean Storey,83,83
Union,MP001,Quorum Court,4,REP,Gary New,39,39
Union,MP001,Constable,,DEM,David B. Edney,64,64
Union,MP001,Constable,,DEM,Robert Hodges,123,123
Union,MP001,El Dorado City Alderman Ward 3,Position 2,DEM,Alvin Le Andre Rucks,157,157
Union,MP001,El Dorado City Alderman Ward 3,Position 2,DEM,Tony Henry,193,193
Union,MP001,El Dorado City Alderman Ward 4,Position 1,REP,Paul Choate,169,169
Union,MP001,El Dorado City Alderman Ward 4,Position 1,REP,Mary McAdams,190,190
Union,MP001,Smackover City Alderman Ward 2,Position 2,DEM,Benjy Hildebrand,67,67
Union,MP001,Smackover City Alderman Ward 2,Position 2,DEM,Chris Long,104,104
