county,precinct,office,district,party,candidate,votes,election_day,early_vote,absentee,provisional,hand_count
Calhoun,Absentee,Att Gen,,REP,David Sterling,1,0,0,1,0,0
Calhoun,Absentee,Att Gen,,REP,Leslie Rutledge,1,0,0,1,0,0
Calhoun,Absentee,Auditor of State - REP,,REP,Ken Yang,1,0,0,1,0,0
Calhoun,Absentee,Auditor of State - REP,,REP,Representative Andrea Lea,1,0,0,1,0,0
Calhoun,Absentee,Clerk,,DEM,Alma Davis,6,0,0,6,0,0
Calhoun,Absentee,Governor - DEM,,DEM,Mike Ross,6,0,0,6,0,0
Calhoun,Absentee,Governor - REP,,REP,Asa Hutchinson,2,0,0,2,0,0
Calhoun,Absentee,Lieutenant Governor - REP,,REP,Congressman Tim Griffin,1,0,0,1,0,0
Calhoun,Absentee,Lieutenant Governor - REP,,REP,State Rep. Andy Mayberry,1,0,0,1,0,0
Calhoun,Absentee,State Treasurer - REP,,REP,Circuit Clerk Dennis Milligan,1,0,0,1,0,0
Calhoun,Absentee,State Treasurer - REP,,REP,Representative Duncan Baird,1,0,0,1,0,0
Calhoun,Absentee,U.S. Congress District 4 - REP,,REP,Representative Bruce Westerman,1,0,0,1,0,0
Calhoun,Absentee,U.S. Congress District 4 - REP,,REP,Tommy Moll,1,0,0,1,0,0
Calhoun,Absentee,Unopposed Democrat Candidates,,DEM,For,5,0,0,5,0,0
Calhoun,Absentee,Unopposed Republican Candidates,,REP,For,1,0,0,1,0,0
Calhoun,Chambersville,Att Gen,,REP,David Sterling,3,2,0,0,1,0
Calhoun,Chambersville,Att Gen,,REP,Leslie Rutledge,15,15,0,0,0,0
Calhoun,Chambersville,Att Gen,,REP,Patricia Nation,2,2,0,0,0,0
Calhoun,Chambersville,Auditor of State - REP,,REP,Ken Yang,4,4,0,0,0,0
Calhoun,Chambersville,Auditor of State - REP,,REP,Representative Andrea Lea,16,15,0,0,1,0
Calhoun,Chambersville,Clerk,,DEM,Alma Davis,28,23,1,0,4,0
Calhoun,Chambersville,Governor - DEM,,DEM,"Lynette ""Doc"" Bryant",7,4,0,0,3,0
Calhoun,Chambersville,Governor - DEM,,DEM,Mike Ross,28,25,2,0,1,0
Calhoun,Chambersville,Governor - REP,,REP,Asa Hutchinson,13,12,0,0,1,0
Calhoun,Chambersville,Governor - REP,,REP,Curtis Coleman,6,6,0,0,0,0
Calhoun,Chambersville,Lieutenant Governor - REP,,REP,Congressman Tim Griffin,9,8,0,0,1,0
Calhoun,Chambersville,Lieutenant Governor - REP,,REP,Representative Debra Hobbs,4,4,0,0,0,0
Calhoun,Chambersville,Lieutenant Governor - REP,,REP,State Rep. Andy Mayberry,7,7,0,0,0,0
Calhoun,Chambersville,State Treasurer - REP,,REP,Circuit Clerk Dennis Milligan,8,7,0,0,1,0
Calhoun,Chambersville,State Treasurer - REP,,REP,Representative Duncan Baird,10,10,0,0,0,0
Calhoun,Chambersville,U.S. Congress District 4 - REP,,REP,Representative Bruce Westerman,13,12,0,0,1,0
Calhoun,Chambersville,U.S. Congress District 4 - REP,,REP,Tommy Moll,7,7,0,0,0,0
Calhoun,Chambersville,Unopposed Democrat Candidates,,DEM,For,18,16,1,0,1,0
Calhoun,Chambersville,Unopposed Republican Candidates,,REP,For,18,17,0,0,1,0
Calhoun,Chambersville West,Att Gen,,REP,David Sterling,1,0,1,0,0,0
Calhoun,Chambersville West,Att Gen,,REP,Patricia Nation,2,1,1,0,0,0
Calhoun,Chambersville West,Auditor of State - REP,,REP,Ken Yang,2,1,1,0,0,0
Calhoun,Chambersville West,Auditor of State - REP,,REP,Representative Andrea Lea,1,0,1,0,0,0
Calhoun,Chambersville West,Clerk,,DEM,Alma Davis,1,1,0,0,0,0
Calhoun,Chambersville West,Governor - DEM,,DEM,Mike Ross,1,1,0,0,0,0
Calhoun,Chambersville West,Governor - REP,,REP,Asa Hutchinson,3,1,2,0,0,0
Calhoun,Chambersville West,Lieutenant Governor - REP,,REP,Congressman Tim Griffin,2,0,2,0,0,0
Calhoun,Chambersville West,Lieutenant Governor - REP,,REP,Representative Debra Hobbs,1,1,0,0,0,0
Calhoun,Chambersville West,State Treasurer - REP,,REP,Circuit Clerk Dennis Milligan,2,0,2,0,0,0
Calhoun,Chambersville West,State Treasurer - REP,,REP,Representative Duncan Baird,1,1,0,0,0,0
Calhoun,Chambersville West,U.S. Congress District 4 - REP,,REP,Tommy Moll,3,1,2,0,0,0
Calhoun,Chambersville West,Unopposed Republican Candidates,,REP,For,3,1,2,0,0,0
Calhoun,Champagnolle,Att Gen,,REP,David Sterling,5,3,2,0,0,0
Calhoun,Champagnolle,Att Gen,,REP,Leslie Rutledge,12,11,1,0,0,0
Calhoun,Champagnolle,Att Gen,,REP,Patricia Nation,5,4,1,0,0,0
Calhoun,Champagnolle,Auditor of State - REP,,REP,Ken Yang,2,2,0,0,0,0
Calhoun,Champagnolle,Auditor of State - REP,,REP,Representative Andrea Lea,19,15,4,0,0,0
Calhoun,Champagnolle,Clerk,,DEM,Alma Davis,25,18,7,0,0,0
Calhoun,Champagnolle,Governor - DEM,,DEM,"Lynette ""Doc"" Bryant",4,3,1,0,0,0
Calhoun,Champagnolle,Governor - DEM,,DEM,Mike Ross,28,22,6,0,0,0
Calhoun,Champagnolle,Governor - REP,,REP,Asa Hutchinson,17,13,4,0,0,0
Calhoun,Champagnolle,Governor - REP,,REP,Curtis Coleman,6,6,0,0,0,0
Calhoun,Champagnolle,Lieutenant Governor - REP,,REP,Congressman Tim Griffin,11,9,2,0,0,0
Calhoun,Champagnolle,Lieutenant Governor - REP,,REP,Representative Debra Hobbs,2,2,0,0,0,0
Calhoun,Champagnolle,Lieutenant Governor - REP,,REP,State Rep. Andy Mayberry,10,8,2,0,0,0
Calhoun,Champagnolle,State Treasurer - REP,,REP,Circuit Clerk Dennis Milligan,13,11,2,0,0,0
Calhoun,Champagnolle,State Treasurer - REP,,REP,Representative Duncan Baird,8,6,2,0,0,0
Calhoun,Champagnolle,U.S. Congress District 4 - REP,,REP,Representative Bruce Westerman,9,5,4,0,0,0
Calhoun,Champagnolle,U.S. Congress District 4 - REP,,REP,Tommy Moll,13,13,0,0,0,0
Calhoun,Champagnolle,Unopposed Democrat Candidates,,DEM,For,28,20,8,0,0,0
Calhoun,Champagnolle,Unopposed Republican Candidates,,REP,For,20,17,3,0,0,0
Calhoun,Dr. Rhine Park,Att Gen,,REP,David Sterling,1,0,1,0,0,0
Calhoun,Dr. Rhine Park,Att Gen,,REP,Patricia Nation,1,1,0,0,0,0
Calhoun,Dr. Rhine Park,Auditor of State - REP,,REP,Representative Andrea Lea,2,1,1,0,0,0
Calhoun,Dr. Rhine Park,Governor - REP,,REP,Asa Hutchinson,2,1,1,0,0,0
Calhoun,Dr. Rhine Park,Lieutenant Governor - REP,,REP,Congressman Tim Griffin,2,1,1,0,0,0
Calhoun,Dr. Rhine Park,State Treasurer - REP,,REP,Circuit Clerk Dennis Milligan,1,1,0,0,0,0
Calhoun,Dr. Rhine Park,State Treasurer - REP,,REP,Representative Duncan Baird,1,0,1,0,0,0
Calhoun,Dr. Rhine Park,U.S. Congress District 4 - REP,,REP,Tommy Moll,2,1,1,0,0,0
Calhoun,Dr. Rhine Park,Unopposed Republican Candidates,,REP,For,2,1,1,0,0,0
Calhoun,Hampton City,Att Gen,,REP,David Sterling,13,6,7,0,0,0
Calhoun,Hampton City,Att Gen,,REP,Leslie Rutledge,15,14,1,0,0,0
Calhoun,Hampton City,Att Gen,,REP,Patricia Nation,3,2,1,0,0,0
Calhoun,Hampton City,Auditor of State - REP,,REP,Ken Yang,8,8,0,0,0,0
Calhoun,Hampton City,Auditor of State - REP,,REP,Representative Andrea Lea,24,14,10,0,0,0
Calhoun,Hampton City,Clerk,,DEM,Alma Davis,38,24,14,0,0,0
Calhoun,Hampton City,Governor - DEM,,DEM,"Lynette ""Doc"" Bryant",7,6,1,0,0,0
Calhoun,Hampton City,Governor - DEM,,DEM,Mike Ross,36,22,14,0,0,0
Calhoun,Hampton City,Governor - REP,,REP,Asa Hutchinson,26,17,9,0,0,0
Calhoun,Hampton City,Governor - REP,,REP,Curtis Coleman,5,4,1,0,0,0
Calhoun,Hampton City,Lieutenant Governor - REP,,REP,Congressman Tim Griffin,19,13,6,0,0,0
Calhoun,Hampton City,Lieutenant Governor - REP,,REP,Representative Debra Hobbs,3,1,2,0,0,0
Calhoun,Hampton City,Lieutenant Governor - REP,,REP,State Rep. Andy Mayberry,10,8,2,0,0,0
Calhoun,Hampton City,State Treasurer - REP,,REP,Circuit Clerk Dennis Milligan,17,13,4,0,0,0
Calhoun,Hampton City,State Treasurer - REP,,REP,Representative Duncan Baird,11,7,4,0,0,0
Calhoun,Hampton City,U.S. Congress District 4 - REP,,REP,Representative Bruce Westerman,11,7,4,0,0,0
Calhoun,Hampton City,U.S. Congress District 4 - REP,,REP,Tommy Moll,18,12,6,0,0,0
Calhoun,Hampton City,Unopposed Democrat Candidates,,DEM,For,34,23,11,0,0,0
Calhoun,Hampton City,Unopposed Republican Candidates,,REP,For,20,15,5,0,0,0
Calhoun,Hampton South City,Att Gen,,REP,David Sterling,4,2,2,0,0,0
Calhoun,Hampton South City,Att Gen,,REP,Leslie Rutledge,3,2,1,0,0,0
Calhoun,Hampton South City,Att Gen,,REP,Patricia Nation,4,3,1,0,0,0
Calhoun,Hampton South City,Auditor of State - REP,,REP,Ken Yang,3,3,0,0,0,0
Calhoun,Hampton South City,Auditor of State - REP,,REP,Representative Andrea Lea,8,4,4,0,0,0
Calhoun,Hampton South City,Clerk,,DEM,Alma Davis,27,16,11,0,0,0
Calhoun,Hampton South City,Governor - DEM,,DEM,"Lynette ""Doc"" Bryant",6,3,3,0,0,0
Calhoun,Hampton South City,Governor - DEM,,DEM,Mike Ross,26,15,11,0,0,0
Calhoun,Hampton South City,Governor - REP,,REP,Asa Hutchinson,7,5,2,0,0,0
Calhoun,Hampton South City,Governor - REP,,REP,Curtis Coleman,4,2,2,0,0,0
Calhoun,Hampton South City,Lieutenant Governor - REP,,REP,Congressman Tim Griffin,5,4,1,0,0,0
Calhoun,Hampton South City,Lieutenant Governor - REP,,REP,Representative Debra Hobbs,3,3,0,0,0,0
Calhoun,Hampton South City,Lieutenant Governor - REP,,REP,State Rep. Andy Mayberry,3,0,3,0,0,0
Calhoun,Hampton South City,State Treasurer - REP,,REP,Circuit Clerk Dennis Milligan,9,6,3,0,0,0
Calhoun,Hampton South City,State Treasurer - REP,,REP,Representative Duncan Baird,2,1,1,0,0,0
Calhoun,Hampton South City,U.S. Congress District 4 - REP,,REP,Representative Bruce Westerman,5,3,2,0,0,0
Calhoun,Hampton South City,U.S. Congress District 4 - REP,,REP,Tommy Moll,6,4,2,0,0,0
Calhoun,Hampton South City,Unopposed Democrat Candidates,,DEM,For,23,12,11,0,0,0
Calhoun,Hampton South City,Unopposed Republican Candidates,,REP,For,7,4,3,0,0,0
Calhoun,Hampton South Rural,Att Gen,,REP,David Sterling,2,0,2,0,0,0
Calhoun,Hampton South Rural,Att Gen,,REP,Leslie Rutledge,1,0,1,0,0,0
Calhoun,Hampton South Rural,Auditor of State - REP,,REP,Ken Yang,2,0,2,0,0,0
Calhoun,Hampton South Rural,Auditor of State - REP,,REP,Representative Andrea Lea,1,0,1,0,0,0
Calhoun,Hampton South Rural,Clerk,,DEM,Alma Davis,1,0,1,0,0,0
Calhoun,Hampton South Rural,Governor - DEM,,DEM,Mike Ross,1,0,1,0,0,0
Calhoun,Hampton South Rural,Governor - REP,,REP,Asa Hutchinson,1,0,1,0,0,0
Calhoun,Hampton South Rural,Governor - REP,,REP,Curtis Coleman,2,0,2,0,0,0
Calhoun,Hampton South Rural,Lieutenant Governor - REP,,REP,Congressman Tim Griffin,3,0,3,0,0,0
Calhoun,Hampton South Rural,State Treasurer - REP,,REP,Circuit Clerk Dennis Milligan,3,0,3,0,0,0
Calhoun,Hampton South Rural,U.S. Congress District 4 - REP,,REP,Representative Bruce Westerman,3,0,3,0,0,0
Calhoun,Hampton South Rural,Unopposed Democrat Candidates,,DEM,For,1,0,1,0,0,0
Calhoun,Hampton South Rural,Unopposed Republican Candidates,,REP,For,3,0,3,0,0,0
Calhoun,Harrell City,Att Gen,,REP,David Sterling,1,0,1,0,0,0
Calhoun,Harrell City,Att Gen,,REP,Leslie Rutledge,8,7,1,0,0,0
Calhoun,Harrell City,Att Gen,,REP,Patricia Nation,1,0,1,0,0,0
Calhoun,Harrell City,Auditor of State - REP,,REP,Ken Yang,5,3,2,0,0,0
Calhoun,Harrell City,Auditor of State - REP,,REP,Representative Andrea Lea,5,4,1,0,0,0
Calhoun,Harrell City,Clerk,,DEM,Alma Davis,20,19,1,0,0,0
Calhoun,Harrell City,Governor - DEM,,DEM,"Lynette ""Doc"" Bryant",4,4,0,0,0,0
Calhoun,Harrell City,Governor - DEM,,DEM,Mike Ross,21,19,2,0,0,0
Calhoun,Harrell City,Governor - REP,,REP,Asa Hutchinson,7,4,3,0,0,0
Calhoun,Harrell City,Governor - REP,,REP,Curtis Coleman,3,3,0,0,0,0
Calhoun,Harrell City,Lieutenant Governor - REP,,REP,Congressman Tim Griffin,3,1,2,0,0,0
Calhoun,Harrell City,Lieutenant Governor - REP,,REP,Representative Debra Hobbs,2,2,0,0,0,0
Calhoun,Harrell City,Lieutenant Governor - REP,,REP,State Rep. Andy Mayberry,5,4,1,0,0,0
Calhoun,Harrell City,State Treasurer - REP,,REP,Circuit Clerk Dennis Milligan,5,3,2,0,0,0
Calhoun,Harrell City,State Treasurer - REP,,REP,Representative Duncan Baird,4,4,0,0,0,0
Calhoun,Harrell City,U.S. Congress District 4 - REP,,REP,Representative Bruce Westerman,2,2,0,0,0,0
Calhoun,Harrell City,U.S. Congress District 4 - REP,,REP,Tommy Moll,8,5,3,0,0,0
Calhoun,Harrell City,Unopposed Democrat Candidates,,DEM,For,23,21,2,0,0,0
Calhoun,Harrell City,Unopposed Republican Candidates,,REP,For,7,6,1,0,0,0
Calhoun,Harrell Rural 7,Att Gen,,REP,David Sterling,1,0,1,0,0,0
Calhoun,Harrell Rural 7,Att Gen,,REP,Leslie Rutledge,2,2,0,0,0,0
Calhoun,Harrell Rural 7,Auditor of State - REP,,REP,Ken Yang,1,0,1,0,0,0
Calhoun,Harrell Rural 7,Auditor of State - REP,,REP,Representative Andrea Lea,2,2,0,0,0,0
Calhoun,Harrell Rural 7,Governor - REP,,REP,Asa Hutchinson,2,2,0,0,0,0
Calhoun,Harrell Rural 7,Governor - REP,,REP,Curtis Coleman,1,0,1,0,0,0
Calhoun,Harrell Rural 7,Lieutenant Governor - REP,,REP,Congressman Tim Griffin,3,2,1,0,0,0
Calhoun,Harrell Rural 7,State Treasurer - REP,,REP,Circuit Clerk Dennis Milligan,3,2,1,0,0,0
Calhoun,Harrell Rural 7,U.S. Congress District 4 - REP,,REP,Representative Bruce Westerman,1,0,1,0,0,0
Calhoun,Harrell Rural 7,U.S. Congress District 4 - REP,,REP,Tommy Moll,2,2,0,0,0,0
Calhoun,Harrell Rural 7,Unopposed Republican Candidates,,REP,For,2,1,1,0,0,0
Calhoun,Harrell Rural 8,Att Gen,,REP,David Sterling,3,3,0,0,0,0
Calhoun,Harrell Rural 8,Att Gen,,REP,Leslie Rutledge,6,4,2,0,0,0
Calhoun,Harrell Rural 8,Att Gen,,REP,Patricia Nation,1,1,0,0,0,0
Calhoun,Harrell Rural 8,Auditor of State - REP,,REP,Representative Andrea Lea,8,6,2,0,0,0
Calhoun,Harrell Rural 8,Clerk,,DEM,Alma Davis,12,11,1,0,0,0
Calhoun,Harrell Rural 8,Governor - DEM,,DEM,"Lynette ""Doc"" Bryant",1,1,0,0,0,0
Calhoun,Harrell Rural 8,Governor - DEM,,DEM,Mike Ross,12,10,2,0,0,0
Calhoun,Harrell Rural 8,Governor - REP,,REP,Asa Hutchinson,5,5,0,0,0,0
Calhoun,Harrell Rural 8,Governor - REP,,REP,Curtis Coleman,5,3,2,0,0,0
Calhoun,Harrell Rural 8,Lieutenant Governor - REP,,REP,Congressman Tim Griffin,6,4,2,0,0,0
Calhoun,Harrell Rural 8,Lieutenant Governor - REP,,REP,Representative Debra Hobbs,2,2,0,0,0,0
Calhoun,Harrell Rural 8,Lieutenant Governor - REP,,REP,State Rep. Andy Mayberry,2,2,0,0,0,0
Calhoun,Harrell Rural 8,State Treasurer - REP,,REP,Circuit Clerk Dennis Milligan,5,4,1,0,0,0
Calhoun,Harrell Rural 8,State Treasurer - REP,,REP,Representative Duncan Baird,3,2,1,0,0,0
Calhoun,Harrell Rural 8,U.S. Congress District 4 - REP,,REP,Representative Bruce Westerman,6,5,1,0,0,0
Calhoun,Harrell Rural 8,U.S. Congress District 4 - REP,,REP,Tommy Moll,4,3,1,0,0,0
Calhoun,Harrell Rural 8,Unopposed Democrat Candidates,,DEM,For,12,11,1,0,0,0
Calhoun,Harrell Rural 8,Unopposed Republican Candidates,,REP,For,8,6,2,0,0,0
Calhoun,Locust,Att Gen,,REP,David Sterling,14,14,0,0,0,0
Calhoun,Locust,Att Gen,,REP,Leslie Rutledge,23,23,0,0,0,0
Calhoun,Locust,Att Gen,,REP,Patricia Nation,16,16,0,0,0,0
Calhoun,Locust,Auditor of State - REP,,REP,Ken Yang,7,7,0,0,0,0
Calhoun,Locust,Auditor of State - REP,,REP,Representative Andrea Lea,45,45,0,0,0,0
Calhoun,Locust,Clerk,,DEM,Alma Davis,34,30,4,0,0,0
