county,precinct,office,district,party,candidate,votes,absentee,provisional,early_voting,election_day
Cleveland,Rison Inside,U.S. House,4,Dem,Hayden Catherine Shamel,121,1,1,68,51
Cleveland,Rison Outside,U.S. House,4,Dem,Hayden Catherine Shamel,21,0,0,10,11
Cleveland,Kingsland Inside,U.S. House,4,Dem,Hayden Catherine Shamel,46,0,0,15,31
Cleveland,Kingsland Outside,U.S. House,4,Dem,Hayden Catherine Shamel,21,0,0,9,12
Cleveland,Bowman,U.S. House,4,Dem,Hayden Catherine Shamel,52,0,0,21,31
Cleveland,Harper,U.S. House,4,Dem,Hayden Catherine Shamel,22,1,0,4,17
Cleveland,Hudgin,U.S. House,4,Dem,Hayden Catherine Shamel,14,0,0,0,14
Cleveland,Hurricane,U.S. House,4,Dem,Hayden Catherine Shamel,13,0,0,2,11
Cleveland,Lee,U.S. House,4,Dem,Hayden Catherine Shamel,26,2,0,3,21
Cleveland,Miller,U.S. House,4,Dem,Hayden Catherine Shamel,32,0,0,11,21
Cleveland,Niven,U.S. House,4,Dem,Hayden Catherine Shamel,27,1,0,20,6
Cleveland,Redland,U.S. House,4,Dem,Hayden Catherine Shamel,51,1,0,10,40
Cleveland,Rowell,U.S. House,4,Dem,Hayden Catherine Shamel,11,0,1,2,8
Cleveland,Saline,U.S. House,4,Dem,Hayden Catherine Shamel,3,0,0,2,1
Cleveland,Smith,U.S. House,4,Dem,Hayden Catherine Shamel,20,0,1,7,12
Cleveland,Whiteoak,U.S. House,4,Dem,Hayden Catherine Shamel,22,0,0,18,4
Cleveland,Whiteville,U.S. House,4,Dem,Hayden Catherine Shamel,33,2,1,2,28
Cleveland,Rison Inside,U.S. House,4,Rep,Representative Bruce Westerman,188,0,2,124,62
Cleveland,Rison Outside,U.S. House,4,Rep,Representative Bruce Westerman,88,1,1,55,31
Cleveland,Kingsland Inside,U.S. House,4,Rep,Representative Bruce Westerman,79,2,0,28,49
Cleveland,Kingsland Outside,U.S. House,4,Rep,Representative Bruce Westerman,157,1,1,57,98
Cleveland,Bowman,U.S. House,4,Rep,Representative Bruce Westerman,74,0,1,25,48
Cleveland,Harper,U.S. House,4,Rep,Representative Bruce Westerman,119,3,3,25,88
Cleveland,Hudgin,U.S. House,4,Rep,Representative Bruce Westerman,79,0,1,21,57
Cleveland,Hurricane,U.S. House,4,Rep,Representative Bruce Westerman,132,0,3,15,114
Cleveland,Lee,U.S. House,4,Rep,Representative Bruce Westerman,83,0,2,15,66
Cleveland,Miller,U.S. House,4,Rep,Representative Bruce Westerman,178,0,0,27,151
Cleveland,Niven,U.S. House,4,Rep,Representative Bruce Westerman,81,2,1,28,50
Cleveland,Redland,U.S. House,4,Rep,Representative Bruce Westerman,164,2,2,36,124
Cleveland,Rowell,U.S. House,4,Rep,Representative Bruce Westerman,89,1,4,23,61
Cleveland,Saline,U.S. House,4,Rep,Representative Bruce Westerman,14,0,4,4,6
Cleveland,Smith,U.S. House,4,Rep,Representative Bruce Westerman,120,1,3,44,72
Cleveland,Whiteoak,U.S. House,4,Rep,Representative Bruce Westerman,186,0,0,108,78
Cleveland,Whiteville,U.S. House,4,Rep,Representative Bruce Westerman,184,0,3,10,171
Cleveland,Rison Inside,U.S. House,4,Lib,Tom Canada,4,0,0,3,1
Cleveland,Rison Outside,U.S. House,4,Lib,Tom Canada,1,0,0,1,0
Cleveland,Kingsland Inside,U.S. House,4,Lib,Tom Canada,4,0,1,0,3
Cleveland,Kingsland Outside,U.S. House,4,Lib,Tom Canada,2,0,0,1,1
Cleveland,Bowman,U.S. House,4,Lib,Tom Canada,1,0,0,0,1
Cleveland,Harper,U.S. House,4,Lib,Tom Canada,3,0,0,0,3
Cleveland,Hudgin,U.S. House,4,Lib,Tom Canada,0,0,0,0,0
Cleveland,Hurricane,U.S. House,4,Lib,Tom Canada,3,0,0,0,3
Cleveland,Lee,U.S. House,4,Lib,Tom Canada,1,0,0,0,1
Cleveland,Miller,U.S. House,4,Lib,Tom Canada,6,0,0,0,6
Cleveland,Niven,U.S. House,4,Lib,Tom Canada,0,0,0,0,0
Cleveland,Redland,U.S. House,4,Lib,Tom Canada,2,0,0,0,2
Cleveland,Rowell,U.S. House,4,Lib,Tom Canada,0,0,0,0,0
Cleveland,Saline,U.S. House,4,Lib,Tom Canada,1,0,0,1,0
Cleveland,Smith,U.S. House,4,Lib,Tom Canada,2,0,0,0,2
Cleveland,Whiteoak,U.S. House,4,Lib,Tom Canada,3,0,0,3,0
Cleveland,Whiteville,U.S. House,4,Lib,Tom Canada,5,0,0,1,4
Cleveland,Rison Inside,U.S. House,4,Non,Write-In,1,0,0,1,0
Cleveland,Rison Outside,U.S. House,4,Non,Write-In,0,0,0,0,0
Cleveland,Kingsland Inside,U.S. House,4,Non,Write-In,0,0,0,0,0
Cleveland,Kingsland Outside,U.S. House,4,Non,Write-In,1,0,0,0,1
Cleveland,Bowman,U.S. House,4,Non,Write-In,0,0,0,0,0
Cleveland,Harper,U.S. House,4,Non,Write-In,0,0,0,0,0
Cleveland,Hudgin,U.S. House,4,Non,Write-In,0,0,0,0,0
Cleveland,Hurricane,U.S. House,4,Non,Write-In,0,0,0,0,0
Cleveland,Lee,U.S. House,4,Non,Write-In,0,0,0,0,0
Cleveland,Miller,U.S. House,4,Non,Write-In,0,0,0,0,0
Cleveland,Niven,U.S. House,4,Non,Write-In,0,0,0,0,0
Cleveland,Redland,U.S. House,4,Non,Write-In,0,0,0,0,0
Cleveland,Rowell,U.S. House,4,Non,Write-In,0,0,0,0,0
Cleveland,Saline,U.S. House,4,Non,Write-In,0,0,0,0,0
Cleveland,Smith,U.S. House,4,Non,Write-In,0,0,0,0,0
Cleveland,Whiteoak,U.S. House,4,Non,Write-In,0,0,0,0,0
Cleveland,Whiteville,U.S. House,4,Non,Write-In,0,0,0,0,0
Cleveland,Rison Inside,Governor,,Dem,Jared K. Henderson,116,1,1,63,51
Cleveland,Rison Outside,Governor,,Dem,Jared K. Henderson,19,0,0,8,11
Cleveland,Kingsland Inside,Governor,,Dem,Jared K. Henderson,35,0,0,13,22
Cleveland,Kingsland Outside,Governor,,Dem,Jared K. Henderson,19,0,0,10,9
Cleveland,Bowman,Governor,,Dem,Jared K. Henderson,52,0,0,22,30
Cleveland,Harper,Governor,,Dem,Jared K. Henderson,25,1,0,4,20
Cleveland,Hudgin,Governor,,Dem,Jared K. Henderson,13,0,0,1,12
Cleveland,Hurricane,Governor,,Dem,Jared K. Henderson,13,0,0,2,11
Cleveland,Lee,Governor,,Dem,Jared K. Henderson,23,2,0,4,17
Cleveland,Miller,Governor,,Dem,Jared K. Henderson,29,0,0,10,19
Cleveland,Niven,Governor,,Dem,Jared K. Henderson,25,1,0,17,7
Cleveland,Redland,Governor,,Dem,Jared K. Henderson,52,1,0,11,40
Cleveland,Rowell,Governor,,Dem,Jared K. Henderson,15,0,1,4,10
Cleveland,Saline,Governor,,Dem,Jared K. Henderson,3,0,0,2,1
Cleveland,Smith,Governor,,Dem,Jared K. Henderson,19,0,1,7,11
Cleveland,Whiteoak,Governor,,Dem,Jared K. Henderson,27,0,0,23,4
Cleveland,Whiteville,Governor,,Dem,Jared K. Henderson,28,2,1,1,24
Cleveland,Rison Inside,Governor,,Rep,Governor Asa Hutchinson,194,0,2,129,63
Cleveland,Rison Outside,Governor,,Rep,Governor Asa Hutchinson,89,1,1,57,30
Cleveland,Kingsland Inside,Governor,,Rep,Governor Asa Hutchinson,90,2,1,27,60
Cleveland,Kingsland Outside,Governor,,Rep,Governor Asa Hutchinson,152,1,1,55,95
Cleveland,Bowman,Governor,,Rep,Governor Asa Hutchinson,73,0,1,24,48
Cleveland,Harper,Governor,,Rep,Governor Asa Hutchinson,115,3,3,25,84
Cleveland,Hudgin,Governor,,Rep,Governor Asa Hutchinson,79,0,1,19,59
Cleveland,Hurricane,Governor,,Rep,Governor Asa Hutchinson,131,0,3,15,113
