county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee,provisional
Perry,1-Aplin,U.S. House,2,DEM,Representative Clarke Tucker,29,13,15,1,0
Perry,2-Casa,U.S. House,2,DEM,Representative Clarke Tucker,48,24,24,0,0
Perry,3-Cherry Hill,U.S. House,2,DEM,Representative Clarke Tucker,24,6,18,0,0
Perry,4-Fourche,U.S. House,2,DEM,Representative Clarke Tucker,179,56,120,2,1
Perry,5-Houston,U.S. House,2,DEM,Representative Clarke Tucker,62,37,23,2,0
Perry,6-Kenney,U.S. House,2,DEM,Representative Clarke Tucker,7,1,5,1,0
Perry,7-Lake,U.S. House,2,DEM,Representative Clarke Tucker,43,13,29,1,0
Perry,8-Maumelle,U.S. House,2,DEM,Representative Clarke Tucker,68,18,49,1,0
Perry,9-New Tennessee,U.S. House,2,DEM,Representative Clarke Tucker,14,11,3,0,0
Perry,10-Perry,U.S. House,2,DEM,Representative Clarke Tucker,91,64,23,4,0
Perry,11-Petit Jean,U.S. House,2,DEM,Representative Clarke Tucker,30,20,10,0,0
Perry,12-Rankin,U.S. House,2,DEM,Representative Clarke Tucker,132,38,94,0,0
Perry,13-Rose Creek,U.S. House,2,DEM,Representative Clarke Tucker,19,15,4,0,0
Perry,14-Tyler,U.S. House,2,DEM,Representative Clarke Tucker,25,23,2,0,0
Perry,15-Union,U.S. House,2,DEM,Representative Clarke Tucker,110,74,31,5,0
Perry,16-Union Valley,U.S. House,2,DEM,Representative Clarke Tucker,45,15,27,3,0
Perry,17-Wye,U.S. House,2,DEM,Representative Clarke Tucker,121,84,33,4,0
Perry,1-Aplin,U.S. House,2,LIB,Joe Ryne Swafford,3,1,2,0,0
Perry,2-Casa,U.S. House,2,LIB,Joe Ryne Swafford,4,3,1,0,0
Perry,3-Cherry Hill,U.S. House,2,LIB,Joe Ryne Swafford,4,2,2,0,0
Perry,4-Fourche,U.S. House,2,LIB,Joe Ryne Swafford,11,5,6,0,0
Perry,5-Houston,U.S. House,2,LIB,Joe Ryne Swafford,3,3,0,0,0
Perry,6-Kenney,U.S. House,2,LIB,Joe Ryne Swafford,1,1,0,0,0
Perry,7-Lake,U.S. House,2,LIB,Joe Ryne Swafford,4,0,4,0,0
Perry,8-Maumelle,U.S. House,2,LIB,Joe Ryne Swafford,6,0,6,0,0
Perry,9-New Tennessee,U.S. House,2,LIB,Joe Ryne Swafford,1,0,1,0,0
Perry,10-Perry,U.S. House,2,LIB,Joe Ryne Swafford,13,9,4,0,0
Perry,11-Petit Jean,U.S. House,2,LIB,Joe Ryne Swafford,6,2,4,0,0
Perry,12-Rankin,U.S. House,2,LIB,Joe Ryne Swafford,12,6,6,0,0
Perry,13-Rose Creek,U.S. House,2,LIB,Joe Ryne Swafford,2,1,1,0,0
Perry,14-Tyler,U.S. House,2,LIB,Joe Ryne Swafford,0,0,0,0,0
Perry,15-Union,U.S. House,2,LIB,Joe Ryne Swafford,9,5,4,0,0
Perry,16-Union Valley,U.S. House,2,LIB,Joe Ryne Swafford,1,0,1,0,0
Perry,17-Wye,U.S. House,2,LIB,Joe Ryne Swafford,8,8,0,0,0
