county,precinct,office,district,party,candidate,votes,absentee,election_day,provisional,early_vote
Boone,District 5.4,State Senate District 16,,REP,Robert (Bob) Bailey,0,0,0,0,0
Boone,"District 7.1, 7.2, 7.3, 7.8",State Senate District 16,,REP,Robert (Bob) Bailey,20,0,15,0,5
Boone,"District 8.2, 8.3, 8.4",State Senate District 16,,REP,Robert (Bob) Bailey,9,0,8,0,1
Boone,District 9.5,State Senate District 16,,REP,Robert (Bob) Bailey,2,0,0,0,2
Boone,District 5.4,State Senate District 16,,REP,Breanne Davis,2,0,2,0,0
Boone,"District 7.1, 7.2, 7.3, 7.8",State Senate District 16,,REP,Breanne Davis,35,0,30,0,5
Boone,"District 8.2, 8.3, 8.4",State Senate District 16,,REP,Breanne Davis,21,0,10,0,11
Boone,District 9.5,State Senate District 16,,REP,Breanne Davis,0,0,0,0,0
