county,precinct,office,district,party,candidate,votes,absentee,election_day,provisional,early_vote
Van Buren,05 Holly Mountain,State Senate District 16,,REP,Robert (Bob) Bailey,4,0,3,0,1
Van Buren,08 Craig,State Senate District 16,,REP,Robert (Bob) Bailey,5,0,5,0,0
Van Buren,15 Mountain,State Senate District 16,,REP,Robert (Bob) Bailey,12,0,5,0,7
Van Buren,17 Linn Creek,State Senate District 16,,REP,Robert (Bob) Bailey,9,0,5,0,4
Van Buren,20 Union,State Senate District 16,,REP,Robert (Bob) Bailey,16,0,16,0,0
Van Buren,21 Washington,State Senate District 16,,REP,Robert (Bob) Bailey,9,0,6,0,3
Van Buren,22 Wheeler,State Senate District 16,,REP,Robert (Bob) Bailey,5,0,5,0,0
Van Buren,05 Holly Mountain,State Senate District 16,,REP,Breanne Davis,13,1,2,0,10
Van Buren,08 Craig,State Senate District 16,,REP,Breanne Davis,27,3,15,0,9
Van Buren,15 Mountain,State Senate District 16,,REP,Breanne Davis,13,0,12,0,1
Van Buren,17 Linn Creek,State Senate District 16,,REP,Breanne Davis,8,0,3,0,5
Van Buren,20 Union,State Senate District 16,,REP,Breanne Davis,28,0,20,0,8
Van Buren,21 Washington,State Senate District 16,,REP,Breanne Davis,21,1,17,0,3
Van Buren,22 Wheeler,State Senate District 16,,REP,Breanne Davis,24,1,20,0,3
