county,precinct,office,district,party,candidate,votes,election_day,early_voting,election_day_paper,absentee,early_vote_paper
Poinsett,Bolivar,U.S. House,1,DEM,Chintan Desai,187,10,35,82,3,57
Poinsett,Greenfield - Greenfield,U.S. House,1,DEM,Chintan Desai,13,0,3,5,2,3
Poinsett,Scott VV and WH,U.S. House,1,DEM,Chintan Desai,44,2,4,22,1,15
Poinsett,West Prairie,U.S. House,1,DEM,Chintan Desai,65,10,6,48,1,0
Poinsett,Dobson,U.S. House,1,DEM,Chintan Desai,3,2,0,1,0,0
Poinsett,Greenfield - Buffalo Lick,U.S. House,1,DEM,Chintan Desai,33,8,4,14,2,5
Poinsett,Greenwood and Rivervale,U.S. House,1,DEM,Chintan Desai,147,14,1,124,0,8
Poinsett,Little River and Payneway,U.S. House,1,DEM,Chintan Desai,290,14,4,212,41,19
Poinsett,Owen - Fisher,U.S. House,1,DEM,Chintan Desai,10,1,2,7,0,0
Poinsett,Owen - Waldenburg,U.S. House,1,DEM,Chintan Desai,12,3,0,5,0,4
Poinsett,Tyronza,U.S. House,1,DEM,Chintan Desai,41,5,2,34,0,0
Poinsett,Willis,U.S. House,1,DEM,Chintan Desai,418,28,10,312,38,30
Poinsett,Lunsford,U.S. House,1,DEM,Chintan Desai,10,0,0,9,0,1
Poinsett,Bolivar,U.S. House,1,REP,Congressman Rick Crawford,898,70,171,356,15,286
Poinsett,Greenfield - Greenfield,U.S. House,1,REP,Congressman Rick Crawford,89,2,14,48,1,24
Poinsett,Scott VV and WH,U.S. House,1,REP,Congressman Rick Crawford,204,14,39,87,5,59
Poinsett,West Prairie,U.S. House,1,REP,Congressman Rick Crawford,209,36,11,148,5,9
Poinsett,Dobson,U.S. House,1,REP,Congressman Rick Crawford,36,2,4,22,1,7
Poinsett,Greenfield - Buffalo Lick,U.S. House,1,REP,Congressman Rick Crawford,192,47,17,115,0,13
Poinsett,Greenwood and Rivervale,U.S. House,1,REP,Congressman Rick Crawford,496,48,11,416,8,13
Poinsett,Little River and Payneway,U.S. House,1,REP,Congressman Rick Crawford,575,62,8,448,21,36
Poinsett,Owen - Fisher,U.S. House,1,REP,Congressman Rick Crawford,63,29,4,29,0,1
Poinsett,Owen - Waldenburg,U.S. House,1,REP,Congressman Rick Crawford,39,24,3,12,0,0
Poinsett,Tyronza,U.S. House,1,REP,Congressman Rick Crawford,236,49,6,175,1,5
Poinsett,Willis,U.S. House,1,REP,Congressman Rick Crawford,1571,80,64,1207,65,155
Poinsett,Lunsford,U.S. House,1,REP,Congressman Rick Crawford,43,1,1,31,0,10
Poinsett,Bolivar,U.S. House,1,LIB,Elvis Presley,56,5,7,26,0,18
Poinsett,Greenfield - Greenfield,U.S. House,1,LIB,Elvis Presley,0,0,0,0,0,0
Poinsett,Scott VV and WH,U.S. House,1,LIB,Elvis Presley,9,1,1,3,0,4
Poinsett,West Prairie,U.S. House,1,LIB,Elvis Presley,8,1,0,6,0,1
Poinsett,Dobson,U.S. House,1,LIB,Elvis Presley,1,0,0,1,0,0
Poinsett,Greenfield - Buffalo Lick,U.S. House,1,LIB,Elvis Presley,6,2,1,3,0,0
Poinsett,Greenwood and Rivervale,U.S. House,1,LIB,Elvis Presley,9,1,0,8,0,0
Poinsett,Little River and Payneway,U.S. House,1,LIB,Elvis Presley,16,2,0,11,1,2
Poinsett,Owen - Fisher,U.S. House,1,LIB,Elvis Presley,1,0,0,1,0,0
Poinsett,Owen - Waldenburg,U.S. House,1,LIB,Elvis Presley,0,0,0,0,0,0
Poinsett,Tyronza,U.S. House,1,LIB,Elvis Presley,2,0,0,2,0,0
Poinsett,Willis,U.S. House,1,LIB,Elvis Presley,55,1,4,42,4,4
Poinsett,Lunsford,U.S. House,1,LIB,Elvis Presley,1,0,1,0,0,0
Poinsett,Bolivar,Governor,,LIB,Mark West,65,6,12,30,0,17
Poinsett,Greenfield - Greenfield,Governor,,LIB,Mark West,1,0,0,1,0,0
Poinsett,Scott VV and WH,Governor,,LIB,Mark West,9,0,2,6,0,1
Poinsett,West Prairie,Governor,,LIB,Mark West,6,1,1,3,0,1
Poinsett,Dobson,Governor,,LIB,Mark West,2,0,0,2,0,0
Poinsett,Greenfield - Buffalo Lick,Governor,,LIB,Mark West,13,1,1,10,0,1
Poinsett,Greenwood and Rivervale,Governor,,LIB,Mark West,15,0,0,15,0,0
Poinsett,Little River and Payneway,Governor,,LIB,Mark West,30,3,0,26,0,1
Poinsett,Owen - Fisher,Governor,,LIB,Mark West,0,0,0,0,0,0
Poinsett,Owen - Waldenburg,Governor,,LIB,Mark West,0,0,0,0,0,0
Poinsett,Tyronza,Governor,,LIB,Mark West,10,3,0,6,0,1
Poinsett,Willis,Governor,,LIB,Mark West,68,4,3,52,3,6
Poinsett,Lunsford,Governor,,LIB,Mark West,6,0,1,4,0,1
Poinsett,Bolivar,Governor,,REP,Governor Asa Hutchinson,906,69,170,367,14,286
Poinsett,Greenfield - Greenfield,Governor,,REP,Governor Asa Hutchinson,87,2,14,45,1,25
Poinsett,Scott VV and WH,Governor,,REP,Governor Asa Hutchinson,204,14,38,86,4,62
Poinsett,West Prairie,Governor,,REP,Governor Asa Hutchinson,223,38,12,160,4,9
Poinsett,Dobson,Governor,,REP,Governor Asa Hutchinson,35,3,4,21,0,7
Poinsett,Greenfield - Buffalo Lick,Governor,,REP,Governor Asa Hutchinson,183,48,17,107,0,11
Poinsett,Greenwood and Rivervale,Governor,,REP,Governor Asa Hutchinson,505,50,11,425,7,12
Poinsett,Little River and Payneway,Governor,,REP,Governor Asa Hutchinson,582,59,8,454,23,38
Poinsett,Owen - Fisher,Governor,,REP,Governor Asa Hutchinson,65,28,5,31,0,1
Poinsett,Owen - Waldenburg,Governor,,REP,Governor Asa Hutchinson,39,22,3,13,0,1
Poinsett,Tyronza,Governor,,REP,Governor Asa Hutchinson,228,46,5,172,1,4
Poinsett,Willis,Governor,,REP,Governor Asa Hutchinson,1592,77,66,1219,77,153
Poinsett,Lunsford,Governor,,REP,Governor Asa Hutchinson,41,1,1,28,0,11
Poinsett,Bolivar,Governor,,DEM,Jared K. Henderson,176,10,32,72,4,58
Poinsett,Greenfield - Greenfield,Governor,,DEM,Jared K. Henderson,14,0,3,7,2,2
Poinsett,Scott VV and WH,Governor,,DEM,Jared K. Henderson,46,3,4,21,3,15
Poinsett,West Prairie,Governor,,DEM,Jared K. Henderson,52,8,4,38,2,0
Poinsett,Dobson,Governor,,DEM,Jared K. Henderson,2,1,0,0,1,0
