county,precinct,office,district,party,candidate,votes,election_day_paper,absentee,early_vote_paper,election_day,early_vote
Pope,Appleton #1,State Senate District 16,,REP,Breanne Davis,3,3,0,0,0,0
Pope,Appleton #2,State Senate District 16,,REP,Breanne Davis,5,1,0,4,0,0
Pope,Atkins In,State Senate District 16,,REP,Breanne Davis,43,21,0,3,9,10
Pope,Atkins Out #1,State Senate District 16,,REP,Breanne Davis,10,2,0,2,2,4
Pope,Atkins Out #2,State Senate District 16,,REP,Breanne Davis,0,0,0,0,0,0
Pope,Atkins Out #3,State Senate District 16,,REP,Breanne Davis,5,2,0,0,2,1
Pope,Bayliss,State Senate District 16,,REP,Breanne Davis,20,7,0,10,0,3
Pope,Buck Mountain,State Senate District 16,,REP,Breanne Davis,14,9,0,2,1,2
Pope,Caglesville #1,State Senate District 16,,REP,Breanne Davis,16,5,0,7,0,4
Pope,Caglesville #2,State Senate District 16,,REP,Breanne Davis,0,0,0,0,0,0
Pope,Crow Mountain East #1,State Senate District 16,,REP,Breanne Davis,13,4,0,5,0,4
Pope,Crow Mountain East #2,State Senate District 16,,REP,Breanne Davis,12,5,0,5,0,2
Pope,Crow Mountain West #1,State Senate District 16,,REP,Breanne Davis,28,4,0,8,6,10
Pope,Crow Mountain West #2,State Senate District 16,,REP,Breanne Davis,61,15,0,9,19,18
Pope,Dover In,State Senate District 16,,REP,Breanne Davis,33,14,0,9,5,5
Pope,Dover Out,State Senate District 16,,REP,Breanne Davis,109,23,1,32,15,38
Pope,Economy,State Senate District 16,,REP,Breanne Davis,7,2,0,2,1,2
Pope,Freeman,State Senate District 16,,REP,Breanne Davis,0,0,0,0,0,0
Pope,Hector In,State Senate District 16,,REP,Breanne Davis,9,8,0,0,0,1
Pope,Hector Out,State Senate District 16,,REP,Breanne Davis,9,6,0,2,0,1
Pope,London In,State Senate District 16,,REP,Breanne Davis,29,12,0,5,8,4
Pope,London Out,State Senate District 16,,REP,Breanne Davis,64,10,1,17,12,24
Pope,Martin #1,State Senate District 16,,REP,Breanne Davis,18,8,0,3,3,4
Pope,Martin #2,State Senate District 16,,REP,Breanne Davis,6,0,0,2,4,0
Pope,Martin #3,State Senate District 16,,REP,Breanne Davis,3,2,0,0,1,0
Pope,Moreland #1,State Senate District 16,,REP,Breanne Davis,11,3,0,4,1,3
Pope,Moreland #2,State Senate District 16,,REP,Breanne Davis,0,0,0,0,0,0
Pope,Pea Ridge,State Senate District 16,,REP,Breanne Davis,6,4,0,0,0,2
Pope,Pottsville In #1,State Senate District 16,,REP,Breanne Davis,74,26,0,7,22,19
Pope,Pottsville In #2,State Senate District 16,,REP,Breanne Davis,4,1,0,1,2,0
Pope,Pottsville Out #1,State Senate District 16,,REP,Breanne Davis,86,11,0,29,16,30
Pope,Pottsville Out #2,State Senate District 16,,REP,Breanne Davis,0,0,0,0,0,0
Pope,Russellville 1A,State Senate District 16,,REP,Breanne Davis,3,0,0,1,1,1
Pope,Russellville 1B,State Senate District 16,,REP,Breanne Davis,241,30,10,50,58,93
Pope,Russellville 1C,State Senate District 16,,REP,Breanne Davis,15,6,0,2,2,5
Pope,Russellville 2A,State Senate District 16,,REP,Breanne Davis,152,26,0,46,27,53
Pope,Russellville 2B,State Senate District 16,,REP,Breanne Davis,273,29,7,68,60,109
Pope,Russellville 2C,State Senate District 16,,REP,Breanne Davis,31,5,0,4,6,16
Pope,Russellville 3A,State Senate District 16,,REP,Breanne Davis,46,12,0,7,17,10
Pope,Russellville 3B,State Senate District 16,,REP,Breanne Davis,73,10,0,13,17,33
Pope,Russellville 4A,State Senate District 16,,REP,Breanne Davis,65,9,0,16,12,28
Pope,Russellville 4B,State Senate District 16,,REP,Breanne Davis,10,1,0,4,3,2
Pope,Russellville 4C,State Senate District 16,,REP,Breanne Davis,13,2,0,4,3,4
Pope,Russellville 4D,State Senate District 16,,REP,Breanne Davis,4,1,0,2,1,0
Pope,Russellville 4E,State Senate District 16,,REP,Breanne Davis,0,0,0,0,0,0
Pope,Russellville 4F,State Senate District 16,,REP,Breanne Davis,5,1,0,1,2,1
Pope,Russellville 4G,State Senate District 16,,REP,Breanne Davis,2,1,0,0,1,0
Pope,Russellville 4H,State Senate District 16,,REP,Breanne Davis,23,3,0,6,5,9
Pope,Russellville Out #1,State Senate District 16,,REP,Breanne Davis,71,12,0,17,11,31
Pope,Russellville Out #2,State Senate District 16,,REP,Breanne Davis,29,5,0,9,12,3
Pope,Russellville Out #3,State Senate District 16,,REP,Breanne Davis,3,0,0,1,0,2
Pope,Russellville Out #4,State Senate District 16,,REP,Breanne Davis,108,20,0,19,34,35
Pope,Scottsville #1,State Senate District 16,,REP,Breanne Davis,10,5,0,2,3,0
Pope,Scottsville #2,State Senate District 16,,REP,Breanne Davis,3,3,0,0,0,0
Pope,Nogo,State Senate District 16,,REP,Breanne Davis,6,4,0,1,0,1
Pope,Appleton #1,State Senate District 16,,REP,Luke Heffley,2,1,0,0,0,1
Pope,Appleton #2,State Senate District 16,,REP,Luke Heffley,0,0,0,0,0,0
Pope,Atkins In,State Senate District 16,,REP,Luke Heffley,6,2,0,0,4,0
Pope,Atkins Out #1,State Senate District 16,,REP,Luke Heffley,4,3,0,0,0,1
Pope,Atkins Out #2,State Senate District 16,,REP,Luke Heffley,0,0,0,0,0,0
Pope,Atkins Out #3,State Senate District 16,,REP,Luke Heffley,3,0,0,0,3,0
Pope,Bayliss,State Senate District 16,,REP,Luke Heffley,5,3,0,0,0,2
Pope,Buck Mountain,State Senate District 16,,REP,Luke Heffley,5,1,0,0,2,2
Pope,Caglesville #1,State Senate District 16,,REP,Luke Heffley,7,4,0,2,0,1
Pope,Caglesville #2,State Senate District 16,,REP,Luke Heffley,0,0,0,0,0,0
Pope,Crow Mountain East #1,State Senate District 16,,REP,Luke Heffley,1,0,0,1,0,0
Pope,Crow Mountain East #2,State Senate District 16,,REP,Luke Heffley,3,1,0,0,1,1
Pope,Crow Mountain West #1,State Senate District 16,,REP,Luke Heffley,8,1,0,0,1,6
Pope,Crow Mountain West #2,State Senate District 16,,REP,Luke Heffley,11,5,0,4,2,0
Pope,Dover In,State Senate District 16,,REP,Luke Heffley,16,8,0,3,3,2
Pope,Dover Out,State Senate District 16,,REP,Luke Heffley,51,20,0,9,11,11
Pope,Economy,State Senate District 16,,REP,Luke Heffley,3,0,0,1,2,0
Pope,Freeman,State Senate District 16,,REP,Luke Heffley,1,0,0,0,0,1
Pope,Hector In,State Senate District 16,,REP,Luke Heffley,4,2,0,2,0,0
Pope,Hector Out,State Senate District 16,,REP,Luke Heffley,3,2,0,0,0,1
Pope,London In,State Senate District 16,,REP,Luke Heffley,5,1,0,3,0,1
Pope,London Out,State Senate District 16,,REP,Luke Heffley,16,7,0,2,3,4
Pope,Martin #1,State Senate District 16,,REP,Luke Heffley,6,2,1,0,2,1
Pope,Martin #2,State Senate District 16,,REP,Luke Heffley,1,0,0,0,0,1
Pope,Martin #3,State Senate District 16,,REP,Luke Heffley,1,1,0,0,0,0
Pope,Moreland #1,State Senate District 16,,REP,Luke Heffley,2,0,0,1,0,1
Pope,Moreland #2,State Senate District 16,,REP,Luke Heffley,0,0,0,0,0,0
Pope,Pea Ridge,State Senate District 16,,REP,Luke Heffley,0,0,0,0,0,0
Pope,Pottsville In #1,State Senate District 16,,REP,Luke Heffley,12,6,0,4,0,2
Pope,Pottsville In #2,State Senate District 16,,REP,Luke Heffley,0,0,0,0,0,0
Pope,Pottsville Out #1,State Senate District 16,,REP,Luke Heffley,19,2,0,4,5,8
Pope,Pottsville Out #2,State Senate District 16,,REP,Luke Heffley,0,0,0,0,0,0
Pope,Russellville 1A,State Senate District 16,,REP,Luke Heffley,3,1,0,0,1,1
Pope,Russellville 1B,State Senate District 16,,REP,Luke Heffley,48,4,1,18,4,21
Pope,Russellville 1C,State Senate District 16,,REP,Luke Heffley,1,0,0,0,1,0
Pope,Russellville 2A,State Senate District 16,,REP,Luke Heffley,28,7,0,8,7,6
Pope,Russellville 2B,State Senate District 16,,REP,Luke Heffley,52,9,0,16,13,14
Pope,Russellville 2C,State Senate District 16,,REP,Luke Heffley,6,0,0,3,1,2
Pope,Russellville 3A,State Senate District 16,,REP,Luke Heffley,15,5,0,1,5,4
Pope,Russellville 3B,State Senate District 16,,REP,Luke Heffley,15,6,0,5,1,3
Pope,Russellville 4A,State Senate District 16,,REP,Luke Heffley,15,6,0,3,3,3
Pope,Russellville 4B,State Senate District 16,,REP,Luke Heffley,6,0,0,0,1,5
Pope,Russellville 4C,State Senate District 16,,REP,Luke Heffley,10,5,0,2,2,1
Pope,Russellville 4D,State Senate District 16,,REP,Luke Heffley,2,0,0,2,0,0
Pope,Russellville 4E,State Senate District 16,,REP,Luke Heffley,0,0,0,0,0,0
Pope,Russellville 4F,State Senate District 16,,REP,Luke Heffley,0,0,0,0,0,0
Pope,Russellville 4G,State Senate District 16,,REP,Luke Heffley,1,1,0,0,0,0
Pope,Russellville 4H,State Senate District 16,,REP,Luke Heffley,11,2,1,6,1,1
Pope,Russellville Out #1,State Senate District 16,,REP,Luke Heffley,12,3,0,1,2,6
Pope,Russellville Out #2,State Senate District 16,,REP,Luke Heffley,9,2,0,2,4,1
Pope,Russellville Out #3,State Senate District 16,,REP,Luke Heffley,1,0,0,0,0,1
Pope,Russellville Out #4,State Senate District 16,,REP,Luke Heffley,17,7,1,1,6,2
Pope,Scottsville #1,State Senate District 16,,REP,Luke Heffley,1,1,0,0,0,0
Pope,Scottsville #2,State Senate District 16,,REP,Luke Heffley,0,0,0,0,0,0
Pope,Nogo,State Senate District 16,,REP,Luke Heffley,2,2,0,0,0,0
Pope,Appleton #1,State Senate District 16,,REP,Robert (Bob) Bailey,11,8,0,3,0,0
Pope,Appleton #2,State Senate District 16,,REP,Robert (Bob) Bailey,8,6,0,2,0,0
Pope,Atkins In,State Senate District 16,,REP,Robert (Bob) Bailey,57,25,0,11,16,5
Pope,Atkins Out #1,State Senate District 16,,REP,Robert (Bob) Bailey,30,9,1,9,4,7
Pope,Atkins Out #2,State Senate District 16,,REP,Robert (Bob) Bailey,8,3,0,2,1,2
Pope,Atkins Out #3,State Senate District 16,,REP,Robert (Bob) Bailey,11,2,0,2,5,2
Pope,Bayliss,State Senate District 16,,REP,Robert (Bob) Bailey,32,14,1,9,5,3
Pope,Buck Mountain,State Senate District 16,,REP,Robert (Bob) Bailey,44,20,0,12,7,5
Pope,Caglesville #1,State Senate District 16,,REP,Robert (Bob) Bailey,14,6,0,5,0,3
Pope,Caglesville #2,State Senate District 16,,REP,Robert (Bob) Bailey,1,1,0,0,0,0
Pope,Crow Mountain East #1,State Senate District 16,,REP,Robert (Bob) Bailey,13,4,0,3,4,2
Pope,Crow Mountain East #2,State Senate District 16,,REP,Robert (Bob) Bailey,18,6,0,3,6,3
Pope,Crow Mountain West #1,State Senate District 16,,REP,Robert (Bob) Bailey,59,16,0,16,10,17
Pope,Crow Mountain West #2,State Senate District 16,,REP,Robert (Bob) Bailey,62,15,0,11,14,22
Pope,Dover In,State Senate District 16,,REP,Robert (Bob) Bailey,43,17,0,12,8,6
Pope,Dover Out,State Senate District 16,,REP,Robert (Bob) Bailey,158,58,0,31,34,35
Pope,Economy,State Senate District 16,,REP,Robert (Bob) Bailey,7,2,0,4,1,0
Pope,Freeman,State Senate District 16,,REP,Robert (Bob) Bailey,1,0,0,1,0,0
Pope,Hector In,State Senate District 16,,REP,Robert (Bob) Bailey,17,10,0,2,1,4
Pope,Hector Out,State Senate District 16,,REP,Robert (Bob) Bailey,23,19,0,3,0,1
Pope,London In,State Senate District 16,,REP,Robert (Bob) Bailey,42,17,0,6,8,11
Pope,London Out,State Senate District 16,,REP,Robert (Bob) Bailey,109,36,0,31,10,32
Pope,Martin #1,State Senate District 16,,REP,Robert (Bob) Bailey,36,13,0,8,8,7
Pope,Martin #2,State Senate District 16,,REP,Robert (Bob) Bailey,14,11,0,0,3,0
Pope,Martin #3,State Senate District 16,,REP,Robert (Bob) Bailey,8,4,0,0,3,1
Pope,Moreland #1,State Senate District 16,,REP,Robert (Bob) Bailey,9,1,0,4,0,4
Pope,Moreland #2,State Senate District 16,,REP,Robert (Bob) Bailey,2,0,0,1,0,1
Pope,Pea Ridge,State Senate District 16,,REP,Robert (Bob) Bailey,16,9,0,4,0,3
Pope,Pottsville In #1,State Senate District 16,,REP,Robert (Bob) Bailey,79,23,0,14,25,17
Pope,Pottsville In #2,State Senate District 16,,REP,Robert (Bob) Bailey,7,2,0,2,2,1
Pope,Pottsville Out #1,State Senate District 16,,REP,Robert (Bob) Bailey,98,26,0,28,18,26
Pope,Pottsville Out #2,State Senate District 16,,REP,Robert (Bob) Bailey,0,0,0,0,0,0
Pope,Russellville 1A,State Senate District 16,,REP,Robert (Bob) Bailey,7,2,0,2,3,0
Pope,Russellville 1B,State Senate District 16,,REP,Robert (Bob) Bailey,141,27,8,31,29,46
Pope,Russellville 1C,State Senate District 16,,REP,Robert (Bob) Bailey,16,3,0,6,1,6
Pope,Russellville 2A,State Senate District 16,,REP,Robert (Bob) Bailey,88,24,0,23,18,23
Pope,Russellville 2B,State Senate District 16,,REP,Robert (Bob) Bailey,163,32,1,48,29,53
Pope,Russellville 2C,State Senate District 16,,REP,Robert (Bob) Bailey,26,3,0,8,5,10
Pope,Russellville 3A,State Senate District 16,,REP,Robert (Bob) Bailey,52,15,0,15,11,11
Pope,Russellville 3B,State Senate District 16,,REP,Robert (Bob) Bailey,64,13,0,19,10,22
Pope,Russellville 4A,State Senate District 16,,REP,Robert (Bob) Bailey,47,19,0,9,7,12
