county,precinct,office,district,party,candidate,votes,election_day_paper,absentee,election_day,provisional,early_vote
Pulaski,13,State Senate District 29,,REP,Jim Coy,4,4,0,0,0,0
Pulaski,26,State Senate District 29,,REP,Jim Coy,49,49,0,0,0,0
Pulaski,27,State Senate District 29,,REP,Jim Coy,55,54,0,0,0,1
Pulaski,28,State Senate District 29,,REP,Jim Coy,24,24,0,0,0,0
Pulaski,13,State Senate District 29,,REP,Ricky Hill,12,12,0,0,0,0
Pulaski,26,State Senate District 29,,REP,Ricky Hill,31,31,0,0,0,0
Pulaski,27,State Senate District 29,,REP,Ricky Hill,43,42,0,0,0,1
Pulaski,28,State Senate District 29,,REP,Ricky Hill,26,22,0,0,0,4
