county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee,provisional
Garland,011,U.S. House,4,DEM,Hayden Catherine Shamel,194,46,137,10,1
Garland,012,U.S. House,4,DEM,Hayden Catherine Shamel,13,1,3,8,1
Garland,013,U.S. House,4,DEM,Hayden Catherine Shamel,160,38,116,6,0
Garland,014,U.S. House,4,DEM,Hayden Catherine Shamel,348,137,205,6,0
Garland,021,U.S. House,4,DEM,Hayden Catherine Shamel,649,239,403,6,1
Garland,022,U.S. House,4,DEM,Hayden Catherine Shamel,177,73,93,11,0
Garland,023,U.S. House,4,DEM,Hayden Catherine Shamel,388,72,314,2,0
Garland,024,U.S. House,4,DEM,Hayden Catherine Shamel,335,99,236,0,0
Garland,031,U.S. House,4,DEM,Hayden Catherine Shamel,3,0,3,0,0
Garland,032,U.S. House,4,DEM,Hayden Catherine Shamel,166,27,129,10,0
Garland,033,U.S. House,4,DEM,Hayden Catherine Shamel,150,49,95,6,0
Garland,034,U.S. House,4,DEM,Hayden Catherine Shamel,438,125,310,3,0
Garland,041,U.S. House,4,DEM,Hayden Catherine Shamel,219,58,159,2,0
Garland,042,U.S. House,4,DEM,Hayden Catherine Shamel,346,110,232,4,0
Garland,043,U.S. House,4,DEM,Hayden Catherine Shamel,164,41,118,5,0
Garland,044,U.S. House,4,DEM,Hayden Catherine Shamel,282,45,221,16,0
Garland,051,U.S. House,4,DEM,Hayden Catherine Shamel,86,33,52,1,0
Garland,052,U.S. House,4,DEM,Hayden Catherine Shamel,67,20,47,0,0
Garland,053,U.S. House,4,DEM,Hayden Catherine Shamel,315,61,247,7,0
Garland,054,U.S. House,4,DEM,Hayden Catherine Shamel,448,161,275,11,1
Garland,061,U.S. House,4,DEM,Hayden Catherine Shamel,13,2,10,1,0
Garland,062,U.S. House,4,DEM,Hayden Catherine Shamel,112,29,83,0,0
Garland,063,U.S. House,4,DEM,Hayden Catherine Shamel,82,31,42,9,0
Garland,064,U.S. House,4,DEM,Hayden Catherine Shamel,74,22,30,22,0
Garland,065,U.S. House,4,DEM,Hayden Catherine Shamel,16,0,15,1,0
Garland,071,U.S. House,4,DEM,Hayden Catherine Shamel,216,43,172,1,0
Garland,072,U.S. House,4,DEM,Hayden Catherine Shamel,42,12,28,2,0
Garland,073,U.S. House,4,DEM,Hayden Catherine Shamel,254,73,175,4,2
Garland,074,U.S. House,4,DEM,Hayden Catherine Shamel,265,101,158,6,0
Garland,081,U.S. House,4,DEM,Hayden Catherine Shamel,57,15,41,1,0
Garland,082,U.S. House,4,DEM,Hayden Catherine Shamel,149,48,100,1,0
Garland,083,U.S. House,4,DEM,Hayden Catherine Shamel,329,119,208,2,0
Garland,084,U.S. House,4,DEM,Hayden Catherine Shamel,41,15,25,1,0
Garland,091,U.S. House,4,DEM,Hayden Catherine Shamel,71,24,46,1,0
Garland,092,U.S. House,4,DEM,Hayden Catherine Shamel,86,38,47,1,0
Garland,093,U.S. House,4,DEM,Hayden Catherine Shamel,313,70,233,10,0
Garland,094,U.S. House,4,DEM,Hayden Catherine Shamel,130,27,98,5,0
Garland,095,U.S. House,4,DEM,Hayden Catherine Shamel,76,36,39,1,0
Garland,101,U.S. House,4,DEM,Hayden Catherine Shamel,399,122,276,1,0
Garland,102,U.S. House,4,DEM,Hayden Catherine Shamel,72,31,41,0,0
Garland,103,U.S. House,4,DEM,Hayden Catherine Shamel,1,0,1,0,0
Garland,104,U.S. House,4,DEM,Hayden Catherine Shamel,50,10,27,13,0
Garland,111,U.S. House,4,DEM,Hayden Catherine Shamel,32,13,19,0,0
Garland,112,U.S. House,4,DEM,Hayden Catherine Shamel,76,40,35,1,0
Garland,113,U.S. House,4,DEM,Hayden Catherine Shamel,252,61,189,2,0
Garland,114,U.S. House,4,DEM,Hayden Catherine Shamel,435,76,348,11,0
Garland,115,U.S. House,4,DEM,Hayden Catherine Shamel,150,19,126,5,0
Garland,121,U.S. House,4,DEM,Hayden Catherine Shamel,147,110,35,1,1
Garland,122,U.S. House,4,DEM,Hayden Catherine Shamel,238,76,160,2,0
Garland,123,U.S. House,4,DEM,Hayden Catherine Shamel,81,20,60,1,0
Garland,124,U.S. House,4,DEM,Hayden Catherine Shamel,0,0,0,0,0
Garland,125,U.S. House,4,DEM,Hayden Catherine Shamel,150,33,116,1,0
Garland,131,U.S. House,4,DEM,Hayden Catherine Shamel,76,36,37,3,0
Garland,132,U.S. House,4,DEM,Hayden Catherine Shamel,372,70,292,10,0
Garland,133,U.S. House,4,DEM,Hayden Catherine Shamel,129,38,89,2,0
Garland,134,U.S. House,4,DEM,Hayden Catherine Shamel,54,36,16,2,0
Garland,011,U.S. House,4,LIB,Tom Canada,12,9,3,0,0
Garland,012,U.S. House,4,LIB,Tom Canada,0,0,0,0,0
Garland,013,U.S. House,4,LIB,Tom Canada,7,5,2,0,0
Garland,014,U.S. House,4,LIB,Tom Canada,19,15,4,0,0
Garland,021,U.S. House,4,LIB,Tom Canada,24,12,12,0,0
Garland,022,U.S. House,4,LIB,Tom Canada,7,2,5,0,0
Garland,023,U.S. House,4,LIB,Tom Canada,21,11,10,0,0
Garland,024,U.S. House,4,LIB,Tom Canada,22,11,11,0,0
Garland,031,U.S. House,4,LIB,Tom Canada,0,0,0,0,0
Garland,032,U.S. House,4,LIB,Tom Canada,12,7,5,0,0
Garland,033,U.S. House,4,LIB,Tom Canada,8,6,2,0,0
Garland,034,U.S. House,4,LIB,Tom Canada,25,7,18,0,0
Garland,041,U.S. House,4,LIB,Tom Canada,11,4,7,0,0
Garland,042,U.S. House,4,LIB,Tom Canada,16,7,9,0,0
Garland,043,U.S. House,4,LIB,Tom Canada,8,1,7,0,0
Garland,044,U.S. House,4,LIB,Tom Canada,9,4,5,0,0
Garland,051,U.S. House,4,LIB,Tom Canada,4,0,4,0,0
Garland,052,U.S. House,4,LIB,Tom Canada,2,0,2,0,0
Garland,053,U.S. House,4,LIB,Tom Canada,14,6,8,0,0
Garland,054,U.S. House,4,LIB,Tom Canada,33,23,10,0,0
Garland,061,U.S. House,4,LIB,Tom Canada,0,0,0,0,0
Garland,062,U.S. House,4,LIB,Tom Canada,1,0,1,0,0
Garland,063,U.S. House,4,LIB,Tom Canada,7,6,1,0,0
Garland,064,U.S. House,4,LIB,Tom Canada,4,1,2,1,0
Garland,065,U.S. House,4,LIB,Tom Canada,0,0,0,0,0
Garland,071,U.S. House,4,LIB,Tom Canada,12,2,10,0,0
Garland,072,U.S. House,4,LIB,Tom Canada,1,1,0,0,0
Garland,073,U.S. House,4,LIB,Tom Canada,16,4,12,0,0
Garland,074,U.S. House,4,LIB,Tom Canada,18,10,8,0,0
Garland,081,U.S. House,4,LIB,Tom Canada,3,0,3,0,0
Garland,082,U.S. House,4,LIB,Tom Canada,7,4,3,0,0
Garland,083,U.S. House,4,LIB,Tom Canada,20,9,11,0,0
Garland,084,U.S. House,4,LIB,Tom Canada,3,1,2,0,0
Garland,091,U.S. House,4,LIB,Tom Canada,9,7,2,0,0
Garland,092,U.S. House,4,LIB,Tom Canada,4,3,1,0,0
Garland,093,U.S. House,4,LIB,Tom Canada,15,3,11,1,0
Garland,094,U.S. House,4,LIB,Tom Canada,2,2,0,0,0
Garland,095,U.S. House,4,LIB,Tom Canada,8,3,5,0,0
Garland,101,U.S. House,4,LIB,Tom Canada,32,13,19,0,0
Garland,102,U.S. House,4,LIB,Tom Canada,5,3,2,0,0
Garland,103,U.S. House,4,LIB,Tom Canada,0,0,0,0,0
Garland,104,U.S. House,4,LIB,Tom Canada,2,0,2,0,0
Garland,111,U.S. House,4,LIB,Tom Canada,1,0,1,0,0
Garland,112,U.S. House,4,LIB,Tom Canada,5,2,3,0,0
Garland,113,U.S. House,4,LIB,Tom Canada,11,6,5,0,0
Garland,114,U.S. House,4,LIB,Tom Canada,24,8,13,3,0
Garland,115,U.S. House,4,LIB,Tom Canada,7,0,7,0,0
Garland,121,U.S. House,4,LIB,Tom Canada,13,7,6,0,0
Garland,122,U.S. House,4,LIB,Tom Canada,20,9,9,2,0
Garland,123,U.S. House,4,LIB,Tom Canada,11,5,6,0,0
Garland,124,U.S. House,4,LIB,Tom Canada,0,0,0,0,0
Garland,125,U.S. House,4,LIB,Tom Canada,9,6,3,0,0
Garland,131,U.S. House,4,LIB,Tom Canada,2,2,0,0,0
Garland,132,U.S. House,4,LIB,Tom Canada,22,7,12,3,0
Garland,133,U.S. House,4,LIB,Tom Canada,12,6,6,0,0
Garland,134,U.S. House,4,LIB,Tom Canada,8,7,1,0,0
Garland,011,U.S. House,4,REP,Representative Bruce Westerman,315,42,256,17,0
Garland,012,U.S. House,4,REP,Representative Bruce Westerman,6,3,3,0,0
Garland,013,U.S. House,4,REP,Representative Bruce Westerman,273,69,201,3,0
Garland,014,U.S. House,4,REP,Representative Bruce Westerman,745,314,428,3,0
Garland,021,U.S. House,4,REP,Representative Bruce Westerman,509,152,354,2,1
Garland,022,U.S. House,4,REP,Representative Bruce Westerman,87,45,42,0,0
Garland,023,U.S. House,4,REP,Representative Bruce Westerman,670,166,504,0,0
Garland,024,U.S. House,4,REP,Representative Bruce Westerman,188,56,132,0,0
Garland,031,U.S. House,4,REP,Representative Bruce Westerman,12,0,12,0,0
Garland,032,U.S. House,4,REP,Representative Bruce Westerman,332,68,234,29,1
Garland,033,U.S. House,4,REP,Representative Bruce Westerman,152,45,92,15,0
Garland,034,U.S. House,4,REP,Representative Bruce Westerman,370,116,251,3,0
Garland,041,U.S. House,4,REP,Representative Bruce Westerman,271,83,179,9,0
Garland,042,U.S. House,4,REP,Representative Bruce Westerman,477,177,295,4,1
Garland,043,U.S. House,4,REP,Representative Bruce Westerman,368,68,283,16,1
Garland,044,U.S. House,4,REP,Representative Bruce Westerman,478,92,364,22,0
Garland,051,U.S. House,4,REP,Representative Bruce Westerman,54,9,43,2,0
Garland,052,U.S. House,4,REP,Representative Bruce Westerman,93,30,60,3,0
Garland,053,U.S. House,4,REP,Representative Bruce Westerman,547,119,413,14,1
Garland,054,U.S. House,4,REP,Representative Bruce Westerman,827,373,444,10,0
Garland,061,U.S. House,4,REP,Representative Bruce Westerman,14,6,7,1,0
Garland,062,U.S. House,4,REP,Representative Bruce Westerman,227,58,166,3,0
Garland,063,U.S. House,4,REP,Representative Bruce Westerman,214,87,121,6,0
Garland,064,U.S. House,4,REP,Representative Bruce Westerman,158,68,68,22,0
Garland,065,U.S. House,4,REP,Representative Bruce Westerman,36,2,32,2,0
Garland,071,U.S. House,4,REP,Representative Bruce Westerman,596,147,449,0,0
Garland,072,U.S. House,4,REP,Representative Bruce Westerman,150,69,77,4,0
Garland,073,U.S. House,4,REP,Representative Bruce Westerman,649,181,456,9,3
Garland,074,U.S. House,4,REP,Representative Bruce Westerman,722,355,354,10,3
Garland,081,U.S. House,4,REP,Representative Bruce Westerman,204,74,123,7,0
Garland,082,U.S. House,4,REP,Representative Bruce Westerman,439,142,286,8,3
Garland,083,U.S. House,4,REP,Representative Bruce Westerman,1099,481,609,8,1
Garland,084,U.S. House,4,REP,Representative Bruce Westerman,160,53,102,5,0
Garland,091,U.S. House,4,REP,Representative Bruce Westerman,217,116,101,0,0
Garland,092,U.S. House,4,REP,Representative Bruce Westerman,341,183,150,8,0
Garland,093,U.S. House,4,REP,Representative Bruce Westerman,791,217,555,18,1
Garland,094,U.S. House,4,REP,Representative Bruce Westerman,400,102,297,1,0
Garland,095,U.S. House,4,REP,Representative Bruce Westerman,229,107,117,5,0
Garland,101,U.S. House,4,REP,Representative Bruce Westerman,1040,479,552,9,0
Garland,102,U.S. House,4,REP,Representative Bruce Westerman,296,151,143,2,0
Garland,103,U.S. House,4,REP,Representative Bruce Westerman,15,2,9,4,0
Garland,104,U.S. House,4,REP,Representative Bruce Westerman,77,15,55,7,0
Garland,111,U.S. House,4,REP,Representative Bruce Westerman,153,81,71,1,0
Garland,112,U.S. House,4,REP,Representative Bruce Westerman,399,220,179,0,0
Garland,113,U.S. House,4,REP,Representative Bruce Westerman,583,135,438,10,0
Garland,114,U.S. House,4,REP,Representative Bruce Westerman,1014,241,753,20,0
Garland,115,U.S. House,4,REP,Representative Bruce Westerman,404,88,308,8,0
Garland,121,U.S. House,4,REP,Representative Bruce Westerman,346,230,116,0,0
Garland,122,U.S. House,4,REP,Representative Bruce Westerman,794,285,499,8,2
Garland,123,U.S. House,4,REP,Representative Bruce Westerman,388,85,299,4,0
Garland,124,U.S. House,4,REP,Representative Bruce Westerman,0,0,0,0,0
Garland,125,U.S. House,4,REP,Representative Bruce Westerman,313,74,238,1,0
Garland,131,U.S. House,4,REP,Representative Bruce Westerman,204,95,105,4,0
Garland,132,U.S. House,4,REP,Representative Bruce Westerman,1085,224,830,31,0
Garland,133,U.S. House,4,REP,Representative Bruce Westerman,487,166,308,12,1
Garland,134,U.S. House,4,REP,Representative Bruce Westerman,169,112,57,0,0
Garland,011,U.S. House,4,NP,Write-In,0,0,0,0,0
Garland,012,U.S. House,4,NP,Write-In,0,0,0,0,0
Garland,013,U.S. House,4,NP,Write-In,0,0,0,0,0
Garland,014,U.S. House,4,NP,Write-In,1,1,0,0,0
Garland,021,U.S. House,4,NP,Write-In,2,2,0,0,0
Garland,022,U.S. House,4,NP,Write-In,1,1,0,0,0
Garland,023,U.S. House,4,NP,Write-In,1,1,0,0,0
Garland,024,U.S. House,4,NP,Write-In,0,0,0,0,0
Garland,031,U.S. House,4,NP,Write-In,0,0,0,0,0
Garland,032,U.S. House,4,NP,Write-In,0,0,0,0,0
Garland,033,U.S. House,4,NP,Write-In,2,1,0,1,0
Garland,034,U.S. House,4,NP,Write-In,0,0,0,0,0
Garland,041,U.S. House,4,NP,Write-In,0,0,0,0,0
Garland,042,U.S. House,4,NP,Write-In,0,0,0,0,0
Garland,043,U.S. House,4,NP,Write-In,0,0,0,0,0
Garland,044,U.S. House,4,NP,Write-In,1,0,0,1,0
Garland,051,U.S. House,4,NP,Write-In,0,0,0,0,0
Garland,052,U.S. House,4,NP,Write-In,0,0,0,0,0
Garland,053,U.S. House,4,NP,Write-In,1,0,1,0,0
Garland,054,U.S. House,4,NP,Write-In,0,0,0,0,0
Garland,061,U.S. House,4,NP,Write-In,0,0,0,0,0
Garland,062,U.S. House,4,NP,Write-In,0,0,0,0,0
Garland,063,U.S. House,4,NP,Write-In,0,0,0,0,0
Garland,064,U.S. House,4,NP,Write-In,1,1,0,0,0
Garland,065,U.S. House,4,NP,Write-In,0,0,0,0,0
Garland,071,U.S. House,4,NP,Write-In,1,0,1,0,0
Garland,072,U.S. House,4,NP,Write-In,0,0,0,0,0
Garland,073,U.S. House,4,NP,Write-In,2,0,2,0,0
Garland,074,U.S. House,4,NP,Write-In,1,1,0,0,0
Garland,081,U.S. House,4,NP,Write-In,0,0,0,0,0
Garland,082,U.S. House,4,NP,Write-In,1,1,0,0,0
Garland,083,U.S. House,4,NP,Write-In,1,0,1,0,0
Garland,084,U.S. House,4,NP,Write-In,0,0,0,0,0
Garland,091,U.S. House,4,NP,Write-In,0,0,0,0,0
Garland,092,U.S. House,4,NP,Write-In,1,0,1,0,0
Garland,093,U.S. House,4,NP,Write-In,1,1,0,0,0
Garland,094,U.S. House,4,NP,Write-In,3,2,1,0,0
Garland,095,U.S. House,4,NP,Write-In,0,0,0,0,0
Garland,101,U.S. House,4,NP,Write-In,1,1,0,0,0
Garland,102,U.S. House,4,NP,Write-In,0,0,0,0,0
Garland,103,U.S. House,4,NP,Write-In,0,0,0,0,0
Garland,104,U.S. House,4,NP,Write-In,0,0,0,0,0
Garland,111,U.S. House,4,NP,Write-In,0,0,0,0,0
