county,precinct,office,district,party,candidate,votes,absentee,election_day,provisional,early_vote
Faulkner,17.01 Bristol S29,State Senate District 29,,REP,Jim Coy,0,0,0,0,0
Faulkner,17.02 Bristol S29,State Senate District 29,,REP,Jim Coy,0,0,0,0,0
Faulkner,21.01 VCITY S29,State Senate District 29,,REP,Jim Coy,18,0,18,0,0
Faulkner,22.01 CYP-R S29,State Senate District 29,,REP,Jim Coy,9,0,9,0,0
Faulkner,22.02 CYP-R S29,State Senate District 29,,REP,Jim Coy,2,0,2,0,0
Faulkner,22.03 CYP-R S29,State Senate District 29,,REP,Jim Coy,27,0,25,0,2
Faulkner,34.01 Newton S29,State Senate District 29,,REP,Jim Coy,0,0,0,0,0
Faulkner,34.02 Newton S29,State Senate District 29,,REP,Jim Coy,0,0,0,0,0
Faulkner,34.03 Newton S29,State Senate District 29,,REP,Jim Coy,0,0,0,0,0
Faulkner,34.04 Newton S29,State Senate District 29,,REP,Jim Coy,0,0,0,0,0
Faulkner,17.01 Bristol S29,State Senate District 29,,REP,Ricky Hill,0,0,0,0,0
Faulkner,17.02 Bristol S29,State Senate District 29,,REP,Ricky Hill,1,0,1,0,0
Faulkner,21.01 VCITY S29,State Senate District 29,,REP,Ricky Hill,26,0,25,0,1
Faulkner,22.01 CYP-R S29,State Senate District 29,,REP,Ricky Hill,18,0,17,0,1
Faulkner,22.02 CYP-R S29,State Senate District 29,,REP,Ricky Hill,1,0,1,0,0
Faulkner,22.03 CYP-R S29,State Senate District 29,,REP,Ricky Hill,32,0,32,0,0
Faulkner,34.01 Newton S29,State Senate District 29,,REP,Ricky Hill,1,0,1,0,0
Faulkner,34.02 Newton S29,State Senate District 29,,REP,Ricky Hill,1,0,1,0,0
Faulkner,34.03 Newton S29,State Senate District 29,,REP,Ricky Hill,0,0,0,0,0
Faulkner,34.04 Newton S29,State Senate District 29,,REP,Ricky Hill,0,0,0,0,0
