county,precinct,office,district,party,candidate,votes,election_day_paper,absentee,early_vote_paper,election_day,early_vote
Pope,Appleton #1,State Senate District 16,,REP,Breanne Davis,7,6,0,0,0,1
Pope,Appleton #2,State Senate District 16,,REP,Breanne Davis,11,8,0,3,0,0
Pope,Atkins In,State Senate District 16,,REP,Breanne Davis,131,70,0,12,35,14
Pope,Atkins Out #1,State Senate District 16,,REP,Breanne Davis,42,21,0,2,12,7
Pope,Atkins Out #2,State Senate District 16,,REP,Breanne Davis,3,1,0,0,1,1
Pope,Atkins Out #3,State Senate District 16,,REP,Breanne Davis,10,5,0,1,4,0
Pope,Bayliss,State Senate District 16,,REP,Breanne Davis,39,14,0,16,0,9
Pope,Buck Mountain,State Senate District 16,,REP,Breanne Davis,22,7,0,7,1,7
Pope,Caglesville #1,State Senate District 16,,REP,Breanne Davis,22,9,0,7,0,6
Pope,Caglesville #2,State Senate District 16,,REP,Breanne Davis,2,0,0,2,0,0
Pope,Crow Mountain East #1,State Senate District 16,,REP,Breanne Davis,16,6,0,3,0,7
Pope,Crow Mountain East #2,State Senate District 16,,REP,Breanne Davis,39,14,0,11,7,7
Pope,Crow Mountain West #1,State Senate District 16,,REP,Breanne Davis,68,10,0,19,18,21
Pope,Crow Mountain West #2,State Senate District 16,,REP,Breanne Davis,88,14,0,21,25,28
Pope,Dover In,State Senate District 16,,REP,Breanne Davis,50,19,0,10,13,8
Pope,Dover Out,State Senate District 16,,REP,Breanne Davis,204,57,0,44,45,58
Pope,Economy,State Senate District 16,,REP,Breanne Davis,25,8,0,6,4,7
Pope,Freeman,State Senate District 16,,REP,Breanne Davis,1,1,0,0,0,0
Pope,Hector In,State Senate District 16,,REP,Breanne Davis,25,24,0,0,0,1
Pope,Hector Out,State Senate District 16,,REP,Breanne Davis,12,7,0,2,0,3
Pope,London In,State Senate District 16,,REP,Breanne Davis,47,25,0,5,5,12
Pope,London Out,State Senate District 16,,REP,Breanne Davis,134,45,1,30,17,41
Pope,Martin #1,State Senate District 16,,REP,Breanne Davis,24,8,1,5,6,4
Pope,Martin #2,State Senate District 16,,REP,Breanne Davis,16,6,0,3,4,3
Pope,Martin #3,State Senate District 16,,REP,Breanne Davis,4,0,0,2,1,1
Pope,Moreland #1,State Senate District 16,,REP,Breanne Davis,10,1,0,4,0,5
Pope,Moreland #2,State Senate District 16,,REP,Breanne Davis,4,1,0,2,1,0
Pope,Pea Ridge,State Senate District 16,,REP,Breanne Davis,20,9,0,5,3,3
Pope,Pottsville In #1,State Senate District 16,,REP,Breanne Davis,139,41,0,21,43,34
Pope,Pottsville In #2,State Senate District 16,,REP,Breanne Davis,6,5,0,0,1,0
Pope,Pottsville Out #1,State Senate District 16,,REP,Breanne Davis,176,40,0,47,32,57
Pope,Pottsville Out #2,State Senate District 16,,REP,Breanne Davis,0,0,0,0,0,0
Pope,Russellville 1A,State Senate District 16,,REP,Breanne Davis,15,2,0,3,4,6
Pope,Russellville 1B,State Senate District 16,,REP,Breanne Davis,427,48,13,105,85,176
Pope,Russellville 1C,State Senate District 16,,REP,Breanne Davis,30,3,0,7,8,12
Pope,Russellville 2A,State Senate District 16,,REP,Breanne Davis,276,33,4,79,52,108
Pope,Russellville 2B,State Senate District 16,,REP,Breanne Davis,491,61,2,129,108,191
Pope,Russellville 2C,State Senate District 16,,REP,Breanne Davis,59,13,0,12,12,22
Pope,Russellville 3A,State Senate District 16,,REP,Breanne Davis,99,23,0,12,33,31
Pope,Russellville 3B,State Senate District 16,,REP,Breanne Davis,160,21,0,39,31,69
Pope,Russellville 4A,State Senate District 16,,REP,Breanne Davis,98,9,0,29,19,41
Pope,Russellville 4B,State Senate District 16,,REP,Breanne Davis,21,3,0,7,6,5
Pope,Russellville 4C,State Senate District 16,,REP,Breanne Davis,45,8,0,13,13,11
Pope,Russellville 4D,State Senate District 16,,REP,Breanne Davis,15,2,0,4,6,3
Pope,Russellville 4E,State Senate District 16,,REP,Breanne Davis,0,0,0,0,0,0
Pope,Russellville 4F,State Senate District 16,,REP,Breanne Davis,19,8,0,3,4,4
Pope,Russellville 4G,State Senate District 16,,REP,Breanne Davis,3,1,0,0,2,0
Pope,Russellville 4H,State Senate District 16,,REP,Breanne Davis,68,11,1,16,21,19
Pope,Russellville Out #1,State Senate District 16,,REP,Breanne Davis,124,18,0,32,16,58
Pope,Russellville Out #2,State Senate District 16,,REP,Breanne Davis,49,9,0,13,5,22
Pope,Russellville Out #3,State Senate District 16,,REP,Breanne Davis,6,1,0,2,0,3
Pope,Russellville Out #4,State Senate District 16,,REP,Breanne Davis,186,9,1,43,61,72
Pope,Scottsville #1,State Senate District 16,,REP,Breanne Davis,24,11,0,1,11,1
Pope,Scottsville #2,State Senate District 16,,REP,Breanne Davis,6,4,0,0,0,2
Pope,Nogo,State Senate District 16,,REP,Breanne Davis,4,2,0,2,0,0
Pope,Appleton #1,State Senate District 16,,REP,Robert (Bob) Bailey,15,11,0,4,0,0
Pope,Appleton #2,State Senate District 16,,REP,Robert (Bob) Bailey,24,12,0,10,0,2
Pope,Atkins In,State Senate District 16,,REP,Robert (Bob) Bailey,111,69,0,13,22,7
Pope,Atkins Out #1,State Senate District 16,,REP,Robert (Bob) Bailey,59,26,0,9,11,13
Pope,Atkins Out #2,State Senate District 16,,REP,Robert (Bob) Bailey,9,3,0,3,3,0
Pope,Atkins Out #3,State Senate District 16,,REP,Robert (Bob) Bailey,23,3,0,4,9,7
Pope,Bayliss,State Senate District 16,,REP,Robert (Bob) Bailey,49,24,1,17,0,7
Pope,Buck Mountain,State Senate District 16,,REP,Robert (Bob) Bailey,54,21,0,23,4,6
Pope,Caglesville #1,State Senate District 16,,REP,Robert (Bob) Bailey,20,9,0,10,0,1
Pope,Caglesville #2,State Senate District 16,,REP,Robert (Bob) Bailey,1,0,0,1,0,0
