county,precinct,office,district,party,candidate,votes,absentee,election_day,provisional,early_vote
Searcy,Bear Creek #4,State Representative District 83,,REP,Timmy Reid,39,2,21,0,16
Searcy,Bear Creek #5,State Representative District 83,,REP,Timmy Reid,75,12,38,0,25
Searcy,Bear Creek #6,State Representative District 83,,REP,Timmy Reid,86,3,53,0,30
Searcy,Calf Creek,State Representative District 83,,REP,Timmy Reid,17,0,9,0,8
Searcy,Mt. Pleasant,State Representative District 83,,REP,Timmy Reid,15,0,7,0,8
Searcy,Red River,State Representative District 83,,REP,Timmy Reid,24,1,13,0,10
Searcy,Shady Grove,State Representative District 83,,REP,Timmy Reid,8,0,4,0,4
Searcy,Spring,State Representative District 83,,REP,Timmy Reid,49,1,29,1,18
Searcy,St. Joe,State Representative District 83,,REP,Timmy Reid,9,0,8,0,1
Searcy,Bear Creek #4,State Representative District 83,,REP,J. Donald Ragland,73,0,36,0,37
Searcy,Bear Creek #5,State Representative District 83,,REP,J. Donald Ragland,95,10,43,1,41
Searcy,Bear Creek #6,State Representative District 83,,REP,J. Donald Ragland,71,0,24,0,47
Searcy,Calf Creek,State Representative District 83,,REP,J. Donald Ragland,34,0,18,0,16
Searcy,Mt. Pleasant,State Representative District 83,,REP,J. Donald Ragland,31,2,14,0,15
Searcy,Red River,State Representative District 83,,REP,J. Donald Ragland,22,0,8,0,14
Searcy,Shady Grove,State Representative District 83,,REP,J. Donald Ragland,0,0,0,0,0
Searcy,Spring,State Representative District 83,,REP,J. Donald Ragland,48,0,17,0,31
Searcy,St. Joe,State Representative District 83,,REP,J. Donald Ragland,6,0,0,0,6
